股票代码,报告日期,分类类型,主营构成,主营收入,收入比例,主营成本,成本比例,主营利润,利润比例,毛利率
300760,2025-12-31,按行业分类,医疗器械行业,33172047312,0.996692,13159859370.0,0.996367,20012187942.0,0.996905,0.603285
300760,2025-12-31,按行业分类,其他(补充),110112092,0.003308,47978802.0,0.003633,62133290.0,0.003095,0.564273
300760,2025-12-31,按产品分类,体外诊断类产品,12240656910,0.367784,5101259962.0,0.38623,7139396948.0,0.355648,0.583253
300760,2025-12-31,按产品分类,生命信息与支持类产品,9836723709,0.295555,3996461004.0,0.302583,5840262705.0,0.290932,0.59372
300760,2025-12-31,按产品分类,医学影像类产品,5716705579,0.171765,2112251141.0,0.159924,3604454438.0,0.179555,0.630513
300760,2025-12-31,按产品分类,新兴业务类产品,5377961114,0.161587,1949887263.0,0.147631,3428073851.0,0.170769,0.63743
300760,2025-12-31,按产品分类,其他(补充),110112092,0.003308,47978802.0,0.003633,62133290.0,0.003095,0.564273
300760,2025-12-31,按地区分类,境外,17650375236,0.530325,,,,,
300760,2025-12-31,按地区分类,境内,15631784168,0.469675,,,,,
300760,2025-06-30,按产品分类,体外诊断类产品,6423778809,0.383669,2601390224.0,0.405326,3822388585.0,0.370208,0.595037
300760,2025-06-30,按产品分类,生命信息与支持类产品,5479233254,0.327255,2161173304.0,0.336735,3318059950.0,0.321362,0.60557
300760,2025-06-30,按产品分类,医学影像类产品,3312210655,0.197827,1156807680.0,0.180244,2155402975.0,0.208756,0.650745
300760,2025-06-30,按产品分类,电生理与血管介入类产品,1213804907,0.072496,340917768.0,0.053119,872887139.0,0.084541,0.719133
300760,2025-06-30,按产品分类,其他产品,261917908,0.015643,136813979.0,0.021317,125103929.0,0.012117,0.477646
300760,2025-06-30,按产品分类,其他(补充),52058321,0.003109,20915852.0,0.003259,31142469.0,0.003016,0.598223
300760,2025-06-30,按地区分类,境内,8410604047,0.502335,,,,,
300760,2025-06-30,按地区分类,其他,2295076003,0.137077,,,,,
300760,2025-06-30,按地区分类,亚太,1750569796,0.104555,,,,,
300760,2025-06-30,按地区分类,欧洲,1579938123,0.094364,,,,,
300760,2025-06-30,按地区分类,拉丁美洲,1389795995,0.083008,,,,,
300760,2025-06-30,按地区分类,北美,1317019890,0.078661,,,,,
300760,2024-12-31,按行业分类,医疗器械行业,36624071127,0.997231,13500206965.0,0.996508,23123864162.0,0.997654,0.631384
300760,2024-12-31,按行业分类,其他(补充),101678421,0.002769,47312419.0,0.003492,54366002.0,0.002346,0.534686
300760,2024-12-31,按产品分类,体外诊断类产品,13764979775,0.374805,5229770583.0,0.386032,8535209192.0,0.368242,0.620067
300760,2024-12-31,按产品分类,生命信息与支持类产品,13557440254,0.369154,5077063911.0,0.37476,8480376343.0,0.365877,0.625515
300760,2024-12-31,按产品分类,医学影像类产品,7497547094,0.20415,2485283087.0,0.183449,5012264007.0,0.216249,0.668521
