SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
000682.SZ,000682,东方电子,10005606,通用,2026-03-31 00:00:00,一季报,2026一季报,058001001,2026-04-29 00:00:00,2026-04-29 00:00:00,CNY,1766341747.77,,,,,,,,,,,,25303221.93,114679184.87,,0.0,1906324154.57,1279432934.78,,,,,,655506337.8,113208473.36,237501363.72,,0.0,2285649109.66,,0.0,-379324955.09,10000000.0,2061499.11,63590.45,,,,,0.0,12125089.56,38998245.56,,,,,,,0.0,38998245.56,,0.0,-26873156.0,,,26892980.88,,,,0.0,26892980.88,123290000.0,5864910.12,5512475.06,,1399029.75,,,0.0,130553939.87,,0.0,-103660958.99,-3552201.58,,0.0,-513411271.66,4220475938.78,,0.0,3707064667.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02532773,,,,,,,,,,,,30.4577892112,349.8377044985,,,7.3279871761,14.0388041554,,,,,,11.4029417849,-41.2423289402,23.660445255,,,9.0966884338,,,-18.9477508336,-88.2352941176,774.602524482,4593.264596695,,,,,,-85.7748621436,205.7398965137,,,,,,,,-82.9519866185,,,81.2754505427,,,24.0938192947,,,,,19.1718533616,1.4635389222,1232.5101074088,,,-34.209418733,,,,5.2190290787,,,-2.117247223,-6210.5072688406,,,8.9674999027,8.6964975045,,,11.698244657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000682.SZ,000682,东方电子,10005606,通用,2025-12-31 00:00:00,年报,2025年报,058001001,2026-04-24 00:00:00,2026-04-24 00:00:00,CNY,8534164107.69,,,,,,,,,,,,122331258.69,142628560.96,,0.0,8799123927.34,4985782170.36,,,,,,1670397472.86,546741834.04,787955398.34,,0.0,7990876875.6,,0.0,808247051.74,377171480.0,4539211.39,573944.34,,,,,0.0,382284635.73,225504856.23,456096397.48,,,,,,0.0,681601253.71,,0.0,-299316617.98,,,353262689.06,,9400.0,,0.0,353272089.06,392876491.0,118772012.24,7221000.0,,8988426.77,,,0.0,520636930.01,,0.0,-167364840.95,-3897320.95,,0.0,337668271.86,3882807666.92,,0.0,4220475938.78,927413586.23,39499526.32,73653115.82,73653115.82,,19028828.47,12072551.05,,,,41854.82,66242.94,-178717950.76,2304870.29,-15685880.71,-14070057.1,-42091406.49,28021349.39,,-376946197.58,-359446575.05,603537297.12,-173023.8,,0.0,808247051.74,,,,,4220475938.78,3882807666.92,,,,,337668271.86,5.05833737,,,,,,,,,,,,34.4739470764,51.9888976888,,,5.910517556,13.4450434562,,,,,,14.1495070105,6.9994991271,-12.3310378228,,,9.9461669803,,,-22.2901657512,31.4186341463,246.6816288579,4.0419919397,,,,,,32.1813581494,103.3639777857,64.7152031347,,,,,,,75.766773686,,,-203.643232649,,,-23.7547232977,,,,,-23.75269448,-20.2301013004,-30.3383742984,-41.4426683436,,-37.325546729,,,,-23.1364458223,,,21.802402313,-360.0807300981,,,-53.6792645635,23.1140827896,,,8.6964975045,24.8458375498,-30.0615526007,7.5328527405,7.5328527405,,1.9553342133,1.0264662306,,,,274.3812781488,-45.1790036296,-19181.7561401694,-33.2317737738,-44.3450379169,-2.2923043852,-192.9377741411,4464.0121210546,,-57.0582883611,-25.2284536062,-8.3128216828,0.0,,,-22.2901657512,,,,,8.6964975045,23.1140827896,,,,,-53.6792645635,标准无保留意见,,,,7891446.21,35.4316854805
000682.SZ,000682,东方电子,10005606,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-25 00:00:00,2025-10-25 00:00:00,CNY,5496375190.82,,,,,,,,,,,,78966894.28,109020508.62,,0.0,5684362593.72,3698942984.31,,,,,,1323307721.24,432678961.89,584197487.84,,0.0,6039127155.28,,0.0,-354764561.56,328171480.0,4401987.33,548840.17,,,,,0.0,333122307.5,63739225.13,337764000.0,,,,,,0.0,401503225.13,,0.0,-68380917.63,,,300689561.28,,1153947.39,,0.0,301843508.67,264865000.0,117256884.61,7221000.0,,7461300.9,,,0.0,389583185.51,,0.0,-87739676.84,-1844795.98,,0.0,-512729952.01,3882807666.92,,0.0,3370077714.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1303828626,,,,,,,,,,,,34.4074042123,-8.8826414852,,,3.2030496692,18.9725288275,,,,,,14.7950168773,25.6720278005,-25.7330877973,,,11.9862211507,,,-407.957322925,59.3065436893,402.6616111689,103.3195149406,,,,,,60.5433906717,69.1299566986,55.6516129032,,,,,,,57.646033644,,,-44.9061572378,,,-13.1363296679,,,,,-12.8029755427,-11.6218501713,0.8987032689,4.1666666667,,-37.5609453946,,,,-8.9455391952,,,-7.3994647711,-85.5337525432,,,-3392.816235964,23.1140827896,,,7.3563956735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000682.SZ,000682,东方电子,10005606,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-23 00:00:00,2025-08-23 00:00:00,CNY,3361746414.7,,,,,,,,,,,,55261571.45,70645345.45,,0.0,3487653331.6,2390227551.54,,,,,,934067435.56,339516048.78,374881260.87,,0.0,4038692296.75,,0.0,-551038965.15,257000000.0,2184509.65,8746.15,,,,,0.0,259193255.8,25129512.15,267764000.0,,,,,,0.0,292893512.15,,0.0,-33700256.35,,,155944214.48,,1153947.39,,0.0,157098161.87,240220000.0,8035055.16,7221000.0,,3929527.48,,,0.0,252184582.64,,0.0,-95086420.77,-737938.22,,0.0,-680563580.49,3882807666.92,,0.0,3202244086.43,279649014.16,8582882.86,35785020.83,35785020.83,,9796335.67,5990184.08,,,,671.64,,,1353824.64,-3604474.6,-6992291.9,-6838214.89,-154077.01,,-670514803.1,-52503443.62,-162293598.19,,,0.0,-551038965.15,,,,,3202244086.43,3882807666.92,,,,,-680563580.49,4.5147676497,,,,,,,,,,,,113.505664309,1.6421756621,,,5.3062583967,21.8682945085,,,,,,13.7904786976,43.1043447466,-20.2985464529,,,15.7286767457,,,-209.7824953228,54.7593554327,249.1503329524,-95.0004784505,,,,,,55.005106684,9.8304335533,50.4292134831,,,,,,,45.8050089608,,,-0.1067041719,,,-28.279863422,,,,,-27.7491527144,-2.4189178932,2.0611782207,4.1666666667,,-3.6091690595,,,,-2.3010731769,,,-133.685805857,-267.9193298975,,,-170.2858153876,23.1140827896,,,10.3447792502,16.0319324292,-52.7066511632,8.1322930938,8.1322930938,,13.5699201374,29.3364519518,,,,123.4632421782,,,-34.5811031934,33.9934211093,-666.551951978,-1122.0098386055,-127.2659775704,,-27.9161044263,-369.0035201526,-963.9863066493,,,,-209.7824953228,,,,,10.3447792502,23.1140827896,,,,,-170.2858153876,,,,,3711712.38,-20.2176571641
000682.SZ,000682,东方电子,10005606,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-29 00:00:00,2026-04-29 00:00:00,CNY,1731277700.42,,,,,,,,,,,,19395715.72,25493457.69,,0.0,1776166873.83,1121927701.94,,,,,,588410258.56,192670116.63,192059282.36,,0.0,2095067359.49,,0.0,-318900485.66,85000000.0,235706.97,1354.93,,,,,0.0,85237061.9,12755366.9,216000000.0,,,,,,0.0,228755366.9,,0.0,-143518305.0,,,21671491.0,,895063.2,,0.0,22566554.2,121511630.0,440140.01,,,2126489.42,,,0.0,124078259.43,,0.0,-101511705.23,-56290.27,,0.0,-563986786.16,3882807666.92,,0.0,3318820880.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6063053559,,,,,,,,,,,,-2.3071154022,-37.3742201924,,,1.6193506221,10.1713526301,,,,,,12.8858215007,50.5367354049,-11.5862620591,,,11.1554607748,,,-132.866778414,2.4096385542,-9.0249694951,-95.51357784,,,,,,1.9090108055,-1.4716310731,111.7647058824,,,,,,,99.0113624473,,,-358.4440257116,,,-45.134392846,,,,,-42.8683657457,-6.3862240687,37.8288262091,,,-26.9967073206,,,,-6.7313714061,,,-8.5292128012,-217.7009060564,,,-115.478306761,23.1140827896,,,14.7550298299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000682.SZ,000682,东方电子,10005606,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-23 00:00:00,2026-04-24 00:00:00,CNY,8123262104.97,,,,,,,,,,,,90970229.81,93841433.9,,0.0,8308073768.68,4394887620.0,,,,,,1463341819.52,510976068.58,898784904.91,,0.0,7267990413.01,,0.0,1040083355.67,287000000.0,1309331.39,551646.82,351238.31,,,,0.0,289212216.52,110887315.78,276900000.0,,,,,,0.0,387787315.78,,0.0,-98575099.26,,,463324030.47,,,,0.0,463324030.47,492512210.0,170498478.96,12331504.52,,14341452.22,,,0.0,677352141.18,,0.0,-214028110.71,1498504.31,,0.0,728978650.01,3153829016.91,,0.0,3882807666.92,742847021.92,56477556.75,68493594.23,68493594.23,,18663887.1,11949889.47,,,,-24001.9,120834.98,-926875.9,3452046.61,-10866934.49,-13754756.22,-14368719.3,613963.08,,-240004014.76,-287032670.85,658257030.26,-173023.8,,0.0,1040083355.67,,,,,3882807666.92,3153829016.91,,,,,728978650.01,9.1809844035,,,,,,,,,,,,-0.4042134981,-34.409387569,,,8.254284375,8.6769006279,,,,,,14.9930927635,27.7089691201,28.5871129471,,,13.2858394542,,,-17.386162922,32.4780885823,-77.6540234559,1288.870042657,,,,,,29.9604265679,-27.7104004709,57.5892094929,,,,,,,17.8315309404,,,7.4972453111,,,12.0400843731,,,,,12.0400843731,9.7135483562,53.2727402777,38.888013896,,-78.15545494,,,,8.2380886166,,,-0.8310199832,341.6807523051,,,-22.4095604462,42.4295679125,,,23.1140827896,22.7078502908,140.7636541048,20.6604918668,20.6604918668,,16.3559458366,41.740897783,,,,-2.3532125917,148.3976616266,98.1428271788,-68.5134931856,18.4518974425,-307.2604517964,-32.5178517848,-91.7759620195,,52.2314847645,-205.7644096231,-42.4345010258,0.0,,,-17.386162922,,,,,23.1140827896,42.4295679125,,,,,-22.4095604462,标准无保留意见,,,,5826883.26,1.011918215
000682.SZ,000682,东方电子,10005606,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-23 00:00:00,2025-10-25 00:00:00,CNY,5329540178.42,,,,,,,,,,,,58751892.98,119648451.62,,0.0,5507940523.02,3109073179.13,,,,,,1152757111.97,344292178.19,786618792.29,,0.0,5392741261.58,,0.0,115199261.44,206000000.0,875735.73,269939.74,351068.0,,,,0.0,207496743.47,37686537.84,217000000.0,,,,,,0.0,254686537.84,,0.0,-47189794.37,,,346162624.87,,,,0.0,346162624.87,299695117.53,116212479.26,6932160.0,,11949733.94,,,0.0,427857330.73,,0.0,-81694705.86,-994318.26,,0.0,-14679557.05,3153829016.91,,0.0,3139149459.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2628422907,,,,,,,,,,,,-17.6884152272,50.9980196936,,,13.4236417699,10.9577314108,,,,,,15.3522922261,29.9454984502,34.9446319758,,,15.9918675461,,,-44.3043745245,21.4799207417,-75.9115539045,567.5236121188,,,,,,19.6972598845,-51.7759681067,72.61952112,,,,,,,24.3862036039,,,-50.2698792557,,,8.7771712961,,,,,8.7771712961,-9.9026087305,8.8974677956,31.4329462863,,-80.7686711053,,,,-14.6825697974,,,55.4208896139,-16.9831536411,,,-69.2369173082,42.4295679125,,,42.3241441997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000682.SZ,000682,东方电子,10005606,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-23 00:00:00,2025-08-23 00:00:00,CNY,3216527664.27,,,,,,,,,,,,25882953.33,69503968.2,,0.0,3311914585.8,1961320260.68,,,,,,820866074.43,237250692.41,470356868.27,,0.0,3489793895.79,,0.0,-177879309.99,166064273.97,625664.49,174939.74,351068.0,,,,0.0,167215946.2,22880281.3,178000000.0,,,,,,0.0,200880281.3,,0.0,-33664335.1,,,217434352.36,,,,0.0,217434352.36,246174765.45,7872783.07,6932160.0,,4076661.07,,,0.0,258124209.59,,0.0,-40689857.23,439459.96,,0.0,-251794042.36,3153829016.91,,0.0,2902034974.55,241010391.11,18148181.66,33093740.83,33093740.83,,8625818.93,4631473.95,,,,-2862.52,,,2069470.3,-5460780.82,1234183.71,669094.82,565088.89,,-524183257.54,19517753.37,18784278.98,,,0.0,-177879309.99,,,,,2902034974.55,3153829016.91,,,,,-251794042.36,8.9524709418,,,,,,,,,,,,-41.6275738797,6.425499315,,,8.166089917,7.5354438537,,,,,,15.285350326,20.2505775235,21.7660466796,,,11.8707079786,,,-208.7661758823,28.666814752,-81.1758005355,332.6017619633,,,,,,26.2678861223,-54.9129584209,69.2015209125,,,,,,,28.4179804934,,,-40.2832641281,,,5.5828954845,,,,,5.5828954845,-8.9376529762,14.6390921857,31.8086775415,,-88.8573057579,,,,-17.7397991939,,,62.2727889949,-65.4569668527,,,-33.7994060926,42.4295679125,,,43.2311444996,13.4300941418,324.4116722827,21.4781008049,21.4781008049,,18.9366193044,22.8418955916,,,,-1108.3911649699,,,91.5058377036,29.4596607961,370.3856321248,91.5667709274,750.2899434153,,-11.1176372835,30.6207242375,-85.4129970317,,,,-208.7661758823,,,,,43.2311444996,42.4295679125,,,,,-33.7994060926,,,,,4652298.05,45.6663254342
000682.SZ,000682,东方电子,10005606,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-27 00:00:00,2025-04-29 00:00:00,CNY,1687301471.79,,,,,,,,,,,,19853764.99,40707609.18,,0.0,1747862845.96,1018347941.78,,,,,,521243722.85,127988770.39,217227872.99,,0.0,1884808308.01,,0.0,-136945462.05,83000000.0,259089.74,30200.68,351068.0,,,,0.0,83640358.42,12945882.53,102000000.0,,,,,,0.0,114945882.53,,0.0,-31305524.11,,,39499227.52,,,,0.0,39499227.52,129801013.57,319338.14,,,2912867.82,,,0.0,133033219.53,,0.0,-93533992.01,47824.84,,0.0,-261737153.33,3153829016.91,,0.0,2892091863.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2891769407,,,,,,,,,,,,-15.2378970098,43.1311276873,,,13.4063169534,12.8488966814,,,,,,15.3659785693,10.3425839781,9.4324580024,,,12.9497960425,,,-7.4301731208,-16.8472093082,-92.171364764,568.6003984946,,,,,,-18.8983531155,-43.0535625618,104.0,,,,,,,57.0010739814,,,-204.6417914417,,,-27.2503204824,,,,,-27.2503204824,20.5779976466,-28.2074380531,,,-92.2427144986,,,,-8.6585725425,,,-2.3917009781,-99.3153746291,,,-43.8742905711,42.4295679125,,,42.3002495367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000682.SZ,000682,东方电子,10005606,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-19 00:00:00,2025-04-23 00:00:00,CNY,7440180311.02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,91339436.14,143071440.29,0.0,0.0,7674591187.45,4043994256.93,0.0,0.0,0.0,0.0,0.0,1272547580.34,400109774.67,698969659.02,0.0,0.0,6415621270.96,,0.0,1258969916.49,216639599.1,5859360.8,39719.11,0.0,,0.0,,0.0,222538679.01,153393180.35,175710000.0,,0.0,,0.0,,0.0,329103180.35,,0.0,-106564501.34,,,413534167.76,,,,0.0,413534167.76,448907375.05,111238618.59,8878739.19,,65652327.3,,,0.0,625798320.94,,0.0,-212264153.18,-620034.61,,0.0,939521227.36,2214307789.55,,0.0,3153829016.91,605378563.93,23457675.52,56765551.98,56765551.98,,16040338.09,8430798.49,,,,-23450.07,48645.78,-49907897.07,10963574.43,-13325796.86,-3377385.69,-10842855.59,7465469.9,,-502431389.33,-93873800.16,1143492268.79,-173023.8,,0.0,1258969916.49,,,,,3153829016.91,2214307789.55,,,,,939521227.36,22.7652419241,,,,,,,,,,,,33.8943396259,54.4788369629,,,23.3593871888,6.8417831549,,,,,,19.1354544928,28.6607886392,8.4327699445,,,10.4470805597,,,205.1654050717,-73.1820385342,-12.4514333726,-97.6356005154,,,,,,-72.7343812101,-23.9489568718,-79.7602992567,,,,,,,-69.2381773246,,,57.9884128392,,,26.165698234,,,,,20.0631044434,184.8400479096,19.9684914116,-2.5925386025,,21.548449432,,,,105.6272326926,,,-629.411288368,-106.9169218953,,,351.7870196885,10.3649189061,,,42.4295679125,22.5544505335,72.4578807926,10.8039750738,10.8039750738,,5.1714232331,15.0304000919,,,,-106.7577339441,-57.9082250483,36.5976853358,303.0696357867,16.3238679795,-126.3122701015,-1099.2808261758,-36.4679590869,,41.2528887866,39.847385234,26.2301788,0.0,,,205.1654050717,,,,,42.4295679125,10.3649189061,,,,,351.7870196885,标准无保留意见,,,,5768510.65,5.0788747975
