SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,EPSJB,EPSKCJB,EPSXS,BPS,MGZBGJ,MGWFPLR,MGJYXJJE,TOTALOPERATEREVE,MLR,PARENTNETPROFIT,KCFJCXSYJLR,TOTALOPERATEREVETZ,PARENTNETPROFITTZ,KCFJCXSYJLRTZ,YYZSRGDHBZC,NETPROFITRPHBZC,KFJLRGDHBZC,ROEJQ,ROEKCJQ,ZZCJLL,XSJLL,XSMLL,YSZKYYSR,XSJXLYYSR,JYXJLYYSR,TAXRATE,LD,SD,XJLLB,ZCFZL,QYCS,CQBL,ZZCZZTS,CHZZTS,YSZKZZTS,TOAZZL,CHZZL,YSZKZZL,TOTALDEPOSITS,GROSSLOANS,LTDRR,NEWCAPITALADER,HXYJBCZL,NONPERLOAN,BLDKBBL,NZBJE,TOTAL_ROI,NET_ROI,EARNED_PREMIUM,COMPENSATE_EXPENSE,SURRENDER_RATE_LIFE,SOLVENCY_AR,JZB,JZC,JZBJZC,ZYGPGMJZC,ZYGDSYLZQJZB,YYFXZB,JJYWFXZB,ZQZYYWFXZB,ZQCXYWFXZB,RZRQYWFXZB,EPSJBTZ,BPSTZ,MGZBGJTZ,MGWFPLRTZ,MGJYXJJETZ,ROEJQTZ,ZZCJLLTZ,ZCFZLTZ,REPORT_YEAR,ROIC,ROICTZ,NBV_LIFE,NBV_RATE,NHJZ_CURRENT_AMT,DJD_TOI_YOY,DJD_DPNP_YOY,DJD_DEDUCTDPNP_YOY,DJD_TOI_QOQ,DJD_DPNP_QOQ,DJD_DEDUCTDPNP_QOQ,XSMLL_TB,PER_TOI,PER_OI,PER_EBIT,STAFF_NUM,AVG_TOI,AVG_NET_PROFIT,PREPAID_ACCOUNTS_RATIO,ACCOUNTS_PAYABLE_TR,FIXED_ASSET_TR,CURRENT_ASSET_TR,PREPAID_ACCOUNTS_TDAYS,PAYABLE_TDAYS,OPERATE_CYCLE,GUARD_SPEED_RATIO,CASH_RATIO,INTEREST_COVERAGE_RATIO,CA_TA,NCA_TA,LIQUIDATION_RATIO,INTEREST_DEBT_RATIO,FC_LIABILITIES,FCFF_FORWARD,FCFF_BACK,SS_OI,SS_TA,NCO_OP,NCO_NETPROFIT,NCO_FIXED,FIRST_ADEQUACY_RATIO,NET_INTEREST_SPREAD,NET_INTEREST_MARGIN,LOAN_ADVANCES,NON_PERFORMING_LOAN,OVERDUE_LOANS,LOAN_PROVISION_RATIO,REVENUE_RATIO,LIABILITY,CAPITAL_PROVISIONS_SUM,RISK_COVERAGE,CAPITAL_LEVERAGE_RATIO,LIQUIDITY_COVERAGE_RATIO,NET_FUNDING_RATIO,NET_CAPITAL_LIABILITIES,NET_ASSETS_LIABILITIES,PROPRIETARY_CAPITAL,IS_BZ
600089.SH,600089,特变电工,10002313,通用,2026-03-31 00:00:00,一季报,2026一季报,058001001,2026-04-30 00:00:00,2026-04-30 00:00:00,CNY,0.3614,,0.3614,14.2408728525,2.269973429651,9.660820945153,0.104378966646,24961284684.65,5268403254.65,1814529514.69,1460823600.0,6.750421354504,13.395220256747,-3.774567372952,1.6219396795,3.599886451594,-1.258224873275,2.5539,,0.9139663419,8.5833562232,21.1191843919,4.7981028e-05,0.172166179827,0.02114183093,16.156980267,1.212944799495,0.927047097761,0.006602943294,56.5765079782,2.302900926296,1.302900926298,844.703663269048,132.724400207469,76.748286815727,0.106546240905,0.678096867338,1.172664612255,,,,,,,,,,,,,,,,,,,,,,,,,13.398180106683,9.9607625384,5.359123591031,10.362938760982,-49.928807677965,3.1628696074,16.228349129231,-0.360778973003,2026,1.577163971258,10.16685683535,,,,6.750421354504,13.395220256747,-3.774567372952,2.596400313324,286.051239751032,107.514288039895,2.589004072605,4.940096854146,4.937082648713,0.568780100005,,,,5.008797136098,0.674614359529,0.282305104087,0.270113871838,17.968385932699,133.409552774471,209.469757888588,0.674580656928,0.35110473511,,40.133386843,59.866613157,164.248412149704,23.4069642401,34.767103685337,-9268337538.86876,-11638869827.6384,1.075625664694,0.11115292677,0.206584376604,0.2463119365,0.006000773121,,,,,,,,,136577217060.88,,,,,,,,,0
600089.SH,600089,特变电工,10002313,通用,2025-12-31 00:00:00,年报,2025年报,058001001,2026-04-16 00:00:00,2026-04-16 00:00:00,CNY,1.161,0.8821,1.161,13.832315621266,2.201664930086,9.301706754496,1.846628544057,97318077030.24,18280894342.84,5954294958.25,4554249500.0,-0.600816118375,43.687328928891,15.636760298535,-1.185512812338,11.934115037639,19.765056133179,8.7546,6.6516,2.7583898599,6.17216607,18.8023708851,3.5361146e-05,0.260976078537,0.095967943993,25.4700580003,1.145606726135,0.866967623319,0.121555063276,55.6002375474,2.252264302242,1.252264302239,804.777379047121,116.653056081056,67.476111583093,0.447328676691,3.086074313817,5.335221481408,,,,,,,,,,,,,,,,,,,,,,,,,45.488721804511,10.0717737941,2.410769988652,10.125836323814,-27.745640541854,35.7070887136,53.065671234464,-1.721305594332,2025,5.107692325007,39.042283074207,,,,-4.727752025625,401.99634935164,1577.30289873017,-1.050484193654,-79.567831468924,-33.764647934435,3.730549898022,19.260255722506,19.242139272964,1.846391562012,31806.0,3059739.57838898,187206.657808275,21.606433934145,2.873597997246,1.13705626686,1.132485578056,16.661703689616,125.278483749299,184.098151439979,0.627150380685,0.338179011485,6.337883274105,38.7132867505,61.2867132495,166.770195395711,21.9824408542,33.464516328423,-13795308131.6596,-8889362081.1601,1.126777003929,0.482291188837,1.143589811711,1.554850321659,0.104898062458,,,,,,,,,126296151780.78,,,,,,,,,0
600089.SH,600089,特变电工,10002313,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-31 00:00:00,2025-10-31 00:00:00,CNY,1.0924,,1.0924,13.61824848788,2.203844677706,9.283712164023,1.209370386018,72988485925.27,13319272888.61,5484271985.17,3850286600.0,0.855451337198,27.554157268871,-3.406246822522,0.082869291699,24.100993258729,0.53760137431,8.1802,,2.6526631606,7.8643650608,18.2661883052,5.5022e-06,0.226876750292,0.08380273896,21.8609227218,1.159747820934,0.902225812874,0.077591004244,56.1318755507,2.279559503748,1.279559503748,799.693479529403,116.137845037065,68.380084450927,0.337629362889,2.324823574209,3.948518083416,,,,,,,,,,,,,,,,,,,,,,,,,27.557216254087,6.6223525772,0.110640876659,8.239550728139,-17.550088210508,20.2581517744,19.067815514025,-1.175304601978,2025,4.748328640681,19.048485084265,,,,0.332757911873,81.514292131529,1.950499517116,-1.718282972655,45.256707223532,-16.269819948922,-3.58464152514,14.445177572533,14.431155843237,1.640698830308,,,,13.761227910349,2.155931835744,0.867065472494,0.832892056073,19.620342149624,125.23587041277,184.486923796877,0.632171855737,0.340686878628,,40.7021727906,59.2978272094,165.698090268571,21.8113450816,33.919959993163,-14504102711.626,-8754551923.04132,1.118191844798,0.363348614733,0.841244073836,1.06560082489,0.070946124787,,,,,,,,,125960667064.09,,,,,,,,,0
600089.SH,600089,特变电工,10002313,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-30 00:00:00,2025-08-30 00:00:00,CNY,0.6342,0.5552,0.6342,13.118531117635,2.203844354867,8.828437845132,0.917665062503,48400602996.58,8953326702.99001,3183865288.91,2787466100.0,1.123075252456,5.001075843587,-5.303377695489,0.735124366008,14.573857344,8.203916788541,4.8279,4.2396,1.588190842,7.0414591184,18.5172523171,9.262849e-06,0.258594323172,0.095897609111,23.0177469523,1.15347971822,0.917838323558,0.058456581235,56.6467047092,2.306629734354,1.306629734353,797.240944948602,112.609680124446,65.708487869929,0.225778669724,1.598441624211,2.739372124288,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.8106865173,3.704033530117,6.021173062316,-12.563103222698,-1.0757314974,-4.050173752366,2.265189862805,2025,2.918323366747,0.056650541213,,,,2.955242370434,52.504370959764,29.185949471182,6.991940878519,-1.031009536684,-16.387734011327,-6.829505572609,9.578980794575,9.569217324669,1.003916088912,,,,8.793046732412,1.459643428773,0.583565099417,0.551816307997,20.470720272246,123.317788750168,178.28476244123,0.66244848594,0.3907479289,5.987964116595,41.4399992527,58.5600007473,164.003489130309,21.710323224,38.854455325516,-3661200661.29962,-3906478881.42046,1.160164133953,0.2540708523,1.057627609089,1.361899678721,0.055428600813,,,,,,,,,125068266203.51,,,,,,,,,0
600089.SH,600089,特变电工,10002313,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-22 00:00:00,2026-04-30 00:00:00,CNY,0.3187,,0.3187,12.950867676577,2.154510546673,8.753682217611,0.208461116673,23382844177.97,4808384284.5,1600181657.2,1518126300.0,-0.766336916668,-19.740921415503,-22.58435079528,-0.184511641554,-9.51903015632,-11.245113247085,2.4756,,0.7863540597,7.0963557231,20.586206663,2.0809784e-05,0.168499219371,0.045095550083,21.6031224878,1.185271044503,0.939739484713,0.014203659247,56.7813631972,2.313816617037,1.313816617037,811.307066870903,117.212788640224,71.682173378687,0.110932104101,0.767834304124,1.255542288381,,,,,,,,,,,,,,,,,,,,,,,,,-19.763343403827,4.4437700106,1.389964802069,5.214930114137,-57.798004177407,-23.4413656606,-35.565285266792,5.388427045258,2025,1.431613841552,-29.191383761031,,,,-0.766336916668,-19.740921415503,-22.58435079528,-8.435118401367,1128.1391473425,3285.86730014963,-11.925172850446,4.62770712421,4.622653815976,0.47553967582,,,,4.37788068628,0.682726266604,0.284387642556,0.272168957719,20.557892379767,131.824428621555,188.858811731557,0.689646845271,0.377989095113,,41.1477585692,58.8522414308,163.094228146026,21.2199473341,37.515751890944,-4672853251.63418,-5568477513.56038,1.079552150354,0.118042579367,0.504286006836,0.635474768211,0.012811274279,,,,,,,,,121292400586.71,,,,,,,,,0
600089.SH,600089,特变电工,10002313,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-22 00:00:00,2026-04-16 00:00:00,CNY,0.798,0.7571,0.798,12.555410059827,2.149837297708,8.446434610626,2.555733049058,97906313945.33,17731368862.17,4143924869.81,3938409800.0,-0.305606850283,-61.281538850041,-62.078519107848,1.006939313926,-26.47559886656,-26.029780780935,6.4511,6.1201,1.8020956872,3.683110496,18.126165246,8.135851e-06,0.284490555522,0.132011154522,28.3483259442,1.14652971158,0.92494757424,0.17640886732,56.5740498321,2.302770569518,1.302770569518,735.131497553839,98.484706785861,55.942819286159,0.489708305518,3.655389874722,6.435142250492,,,,,,,,,,,,,,,,,,,,,,,,,-66.594105827194,4.8425831525,0.271388900343,6.574888568808,-49.97156421955,-64.9790724565,-76.796964784255,4.222291629758,2024,3.673481341126,-70.427442741874,,,,4.019302906913,-111.735017822816,-103.554867471395,4.205348629597,-112.280713378134,-104.570983536674,-33.610403865139,19.376673902518,19.359978013315,1.244580718701,30542.0,3205628.77170225,135679.551758562,25.967617750586,3.359173288768,1.264331567079,1.218594957595,13.863420335963,107.16922559599,154.457265889901,0.666079816044,0.395396060746,8.137270839441,40.3587439204,59.6412560796,163.400811741028,21.1499280285,38.49611120569,149485516.757592,-4092601091.62144,1.089472850607,0.512481888895,2.645976028963,3.584230086621,0.157049996694,,,,,,,,,117649879956.16,,,,,,,,,0
600089.SH,600089,特变电工,10002313,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-30 00:00:00,2025-10-31 00:00:00,CNY,0.8564,,0.8564,12.772414187745,2.201409019468,8.57700544909,1.466794032607,72369400917.4,13699189031.34,4299563497.26,3986061700.0,-1.747130506399,-54.145010646688,-55.932145133033,0.991269788112,-10.059216663084,-14.633492473256,6.8022,,2.2278590979,6.2175991513,18.9453097454,5.9427e-06,0.220322541673,0.102496126593,15.6411603788,1.254594632205,1.018532166555,0.105266859349,56.7994420065,2.314784915858,1.314784915857,752.899371121961,103.170062585073,61.88309167295,0.358613661209,2.617038249612,4.363065785836,,,,,,,,,,,,,,,,,,,,,,,,,-62.362661510064,8.4619531787,0.616819866714,10.277871366414,-53.894175327869,-55.3564748272,-67.746112931891,1.537380741728,2024,3.988567042512,-63.832062280396,,,,4.070866575985,-33.013232333352,-47.026524320266,0.850591648446,22.041534595852,6.098183535389,-35.367337692159,14.322654320392,14.310726476832,1.230031707864,,,,16.392572081906,2.449259002449,0.994390467398,0.876731479662,16.470874652918,110.237422718475,165.119155827833,0.66061896966,0.331771887134,,41.7229234016,58.2770765984,164.568568731066,22.59517277,32.022059517169,-10621917621.8391,-11622157525.5463,1.033206803259,0.35289278174,1.438411465,1.648483990354,0.101655830843,,,,,,,,,120249062606.36,,,,,,,,,0
600089.SH,600089,特变电工,10002313,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-30 00:00:00,2025-08-30 00:00:00,CNY,0.604,0.5863,0.604,12.398115492328,2.125128869001,8.327051654053,1.049516961747,47863064761.18,9503763374.91,3032221587.57,2943575000.0,-4.481209300178,-59.486687799678,-58.508914196436,0.704064840902,-21.472711842525,-22.189171855519,4.8804,4.7411,1.6552305555,6.8427441661,19.8745884423,7.678604e-06,0.261701264683,0.110897934786,14.4601067451,1.252023433056,1.037397994508,0.078879456219,55.3919713885,2.241748920826,1.241748920827,743.432050106903,97.825352379518,57.92761514949,0.242120312104,1.840013816681,3.107326264606,,,,,,,,,,,,,,,,,,,,,,,,,-68.790368418333,-16.1549261292,-31.536371101733,-13.294673303873,-66.305189498018,-59.8773399541,-71.644575396461,2.92504323509,2024,2.916671056808,-68.263637887429,,,,2.930520945186,-62.243246262315,-64.443029099512,3.124444849248,-47.915197885579,-49.894722456371,-38.103530178812,9.472596464787,9.463809797435,0.874323840491,,,,12.407329487932,1.659958841726,0.656539409407,0.594828620484,14.507553795124,108.43642352773,155.820988828257,0.687532680869,0.370076996657,6.981085095746,41.3689143139,58.6310856861,168.409904999972,21.4723768908,35.982427139375,-1687186337.56989,-4286899915.21785,1.044454673941,0.245466207844,1.415672760221,1.620664635332,0.072489173968,,,,,,,,,112704738780.87,,,,,,,,,0
600089.SH,600089,特变电工,10002313,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-30 00:00:00,2025-04-22 00:00:00,CNY,0.3972,,0.3972,12.399846994476,2.124974153881,8.319809943432,0.493960327254,23563419359.35,5502762289.98,1993770281.72,1961007000.0,-11.083850601741,-57.885220366601,-54.722795054168,-2.990944558523,-25.604393431655,-22.82074931317,3.2336,,1.2203888276,10.1382493032,23.3735419407,1.5990069e-05,0.247607951665,0.106014998915,16.2741689841,1.254431109905,1.011682704179,0.038292587866,53.8781769395,2.168171016762,1.168171016762,747.007847107823,107.799925669411,57.137463745491,0.120480662082,0.834879981977,1.575148669547,,,,,,,,,,,,,,,,,,,,,,,,,-67.048282727725,-18.7353422434,-31.244990512123,-16.940918436026,-70.282680201283,-59.3753533425,-68.429007872803,3.72744245347,2024,2.021807398016,-66.265637238848,,,,-11.083850601741,-57.885220366601,-54.722795054168,-4.019313016335,50.32855386817,46.292592645366,-38.407540399914,4.663444851169,4.659343793899,0.621695069707,,,,6.154318204544,0.796112092664,0.324904552752,0.297290773576,14.623878228064,113.049407023622,164.936570254207,0.693035501748,0.393539284824,,41.0335093026,58.9664906974,173.19705413922,21.276396425,38.322666751531,-3091233957.89998,-4220630580.28763,0.986315650927,0.116534676147,0.886058369662,1.045693351424,0.03447356176,,,,,,,,,107356876365.8,,,,,,,,,0
600089.SH,600089,特变电工,10002313,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-09 00:00:00,2025-04-22 00:00:00,CNY,2.3888,2.3175,2.3888,11.986191502514,2.144018669019,7.925351575829,5.108560779861,98206439552.02,26790379578.05,10702710662.39,10385696200.0,1.757375032081,-32.747442108768,-34.704750967474,-1.123473832451,-24.525375373503,-23.91329893501,18.4207,17.8562,7.7666377284,14.3625522166,27.3027195544,4.769242e-06,0.420164829572,0.263057071314,16.6144636427,1.211176169272,0.983579416704,0.40729135719,54.282101216,2.187327122632,1.187327122633,665.172162875631,99.637592429397,48.431681435973,0.541213267921,3.613094126648,7.43315097321,,,,,,,,,,,,,,,,,,,,,,,,,-42.106538703892,-14.633351556,-31.65729864778,-10.192102960461,-8.947764742828,-44.515295365,-47.973314798612,2.467869912811,2023,12.42192654853,-46.069972010339,,,,-6.201265538283,-72.570957469245,-71.051646758717,4.25700452386,-29.898249302842,-31.884694110002,-29.079151791407,19.436389403901,19.419971317776,3.570608753999,27583.0,3560397.32995033,388018.368646993,17.529458196183,3.345137521681,1.504357948961,1.34508468511,20.536858354149,107.618893892019,147.540650490473,0.664222335372,0.410041608556,17.00629097024,39.9994388047,60.0005611953,171.445193831524,22.3136667056,40.033333243891,9076792132.51172,-400528593.044758,1.112585873946,0.568899217276,1.526507733121,1.831548232839,0.355301110748,,,,,,,,,104166438241.62,,,,,,,,,0
