name,code,market,subsector,entry_category,note,quote_name,price,prev_close,open,volume_lot,quote_time,change,change_pct,high,low,turnover_amt_wan,turnover_rate,pe,float_market_cap_yi,market_cap_yi,pb,high_52w,low_52w,dividend_yield,ttm_pe2,np_2025,np_2026q1,np_2024,rev_2025,rev_2026q1,rev_2024,ocf_2025,ocf_2026q1,ocf_2024,roe_2025,roe_2026q1,roe_2024,debt_asset_2025,debt_asset_2026q1,debt_asset_2024,ocf_np_2025,ocf_np_2026q1,ocf_np_2024,chg_90d_pct,avg_amount_90d_lot,last_hist_close,np_2025_yi,np_2026q1_yi,np_2024_yi,rev_2025_yi,rev_2026q1_yi,rev_2024_yi,ocf_2025_yi,ocf_2026q1_yi,ocf_2024_yi,ocf_np_2025_yi,ocf_np_2026q1_yi,ocf_np_2024_yi,financial_error
长江电力,600900,A股-SH,水电,A/B/C,质量池；全球级长江干流水电资产,长江电力,27.19,27.05,26.91,924577,20260706161449,0.14,0.52,27.20,26.78,250208,0.38,18.44,6652.91,6652.91,2.92,29.76,24.35,15.83,24.60,34502809176.39,6761006898.48,32496172808.65,86241940222.2,18111540767.5,84491870566.52,60562925570.41,11710663090.9,59648468284.22,15.9,3.01,15.71,58.269459,57.327069,60.790164,1.755304,1.732088,1.835553,1.15,1090407.0,27.19,345.03,67.61,324.96,862.42,181.12,844.92,605.63,117.11,596.48,0.0,0.0,0.0,
中国神华,601088,A股-SH,煤炭一体化/煤电,A/B/C,质量池；煤炭、电力、铁路港口一体化现金牛,中国神华,41.91,40.70,40.49,502183,20260706161450,1.21,2.97,42.03,40.20,208184,0.30,17.63,6911.39,9090.04,1.81,44.77,36.63,10.72,21.30,52849000000.0,10667000000.0,55805000000.0,294916000000.0,70397000000.0,339788000000.0,75059000000.0,17363000000.0,91086000000.0,12.76,2.4,13.55,23.30664,29.03129,23.419464,1.420253,1.62773,1.591041,-10.1,405488.0,41.91,528.49,106.67,558.05,2949.16,703.97,3397.88,750.59,173.63,910.86,0.0,0.0,0.0,
紫金矿业,601899,A股-SH,铜金矿业,A/B/C,质量池；全球化铜金资源龙头,紫金矿业,28.28,27.82,27.64,3700913,20260706161447,0.46,1.65,29.19,27.62,1057806,1.80,12.19,5826.19,7519.85,3.97,30.60,25.04,30.78,9.36,51777327785.0,20079391507.0,32050602437.0,349079082852.0,98497579591.0,303639957153.0,75429516296.0,27831931440.0,48860346839.0,33.04,10.35,25.89,51.558587,51.371248,55.187614,1.456805,1.386094,1.524475,-17.19,3203435.0,28.28,517.77,200.79,320.51,3490.79,984.98,3036.4,754.3,278.32,488.6,0.0,0.0,0.0,
陕西煤业,601225,A股-SH,煤炭,A/B/C,质量池；高股息煤炭龙头,陕西煤业,23.11,21.54,21.53,744450,20260706161458,1.57,7.29,23.30,21.36,167689,0.77,13.86,2240.51,2240.51,2.40,23.69,19.39,15.84,13.30,16764763168.36,4209991046.33,22359786564.16,158178519718.2,38953072382.69,184144845071.05,35269272762.06,9677280197.73,42350239402.91,17.88,4.21,21.32,41.842873,40.100244,43.712405,2.103773,2.298646,1.894035,-8.94,529131.0,23.11,167.65,42.1,223.6,1581.79,389.53,1841.45,352.69,96.77,423.5,0.0,0.0,0.0,
华能水电,600025,A股-SH,水电,A/C,质量池；澜沧江水电平台,华能水电,9.23,9.19,9.17,227372,20260706161452,0.04,0.44,9.26,9.02,20843,0.12,20.14,1719.65,1719.65,2.56,10.11,8.27,10.03,27.86,8504138221.82,1543259523.33,8297028967.06,26595330703.95,5762822634.53,24881606852.66,19048606224.95,3753111950.54,17553802019.74,12.93,2.1,11.85,61.134465,60.039145,63.110035,2.239921,2.431938,2.115673,-6.39,346465.0,9.23,85.04,15.43,82.97,265.95,57.63,248.82,190.49,37.53,175.54,0.0,0.0,0.0,
兖矿能源,600188,A股-SH,煤炭,A/B/C,质量池；煤炭弹性更高但周期更强,兖矿能源,18.80,17.80,17.54,1166421,20260706161452,1.00,5.62,19.05,17.45,214682,1.96,18.54,1120.73,1886.93,2.47,19.58,16.02,9.66,11.47,8380948000.0,3954969000.0,14862943000.0,144932859000.0,34588720000.0,156672148000.0,19484794000.0,6182253000.0,25852012000.0,9.95,3.84,17.72,62.225632,62.101139,62.903751,2.324891,1.56316,1.548828,-1.1,647807.0,18.8,83.81,39.55,148.63,1449.33,345.89,1566.72,194.85,61.82,258.52,0.0,0.0,0.0,
国投电力,600886,A股-SH,水火风光综合电力,A/B/C,质量池；雅砻江水电核心权益,国投电力,13.49,13.42,13.39,236310,20260706161431,0.07,0.52,13.53,13.27,31694,0.32,14.53,1005.57,1079.81,1.56,14.76,12.08,9.95,12.75,7393381322.0,2117951994.59,6643033266.19,53014434927.3,12513846246.56,57819279281.44,31569574019.8,6878714894.21,24657128874.02,11.35,3.06,11.8,60.524132,59.584463,63.217475,4.269977,3.247814,3.711727,-3.71,381379.0,13.49,73.93,21.18,66.43,530.14,125.14,578.19,315.7,68.79,246.57,0.0,0.0,0.0,
川投能源,600674,A股-SH,水电投资,A/C,雅砻江水电权益平台,川投能源,14.50,14.58,14.56,201102,20260706161435,-0.08,-0.55,14.58,14.35,29123,0.41,14.95,706.82,706.82,1.52,16.04,13.12,10.19,12.16,4754148319.5,1452651218.68,4507725742.38,1667654821.96,329176009.33,1608982365.83,762890300.36,233747898.52,879455226.51,10.97,3.18,11.1,33.508054,32.63108,32.533517,0.160468,0.160911,0.195099,-1.69,356766.0,14.5,47.54,14.53,45.08,16.68,3.29,16.09,7.63,2.34,8.79,0.0,0.0,0.0,
桂冠电力,600236,A股-SH,水电/火电,A/B,广西水电为主，来水波动大,桂冠电力,9.41,9.54,9.48,109082,20260706161447,-0.13,-1.36,9.61,9.35,10312,0.14,20.63,741.73,741.73,4.31,10.49,8.59,16.61,21.58,3279598444.12,859164531.66,2283438449.36,10392934752.84,2663963310.59,9598376231.5,6957390577.01,1848048005.95,5606601895.75,18.39,4.53,13.35,54.217396,53.663444,56.301142,2.121415,2.150982,2.455333,-2.89,271018.0,9.41,32.8,8.59,22.83,103.93,26.64,95.98,69.57,18.48,56.07,0.0,0.0,0.0,
中国广核,003816,A股-SZ,核电,A/C,核电运营龙头之一,中国广核,3.89,3.89,3.89,940862,20260706161421,0.00,0.00,3.93,3.85,36648,0.24,20.71,1530.14,1964.40,1.56,4.28,3.50,7.53,17.92,9765358959.88,2740733564.01,10838120422.43,75696558973.53,16319425061.99,78944669623.05,29970529392.01,3477521980.8,37505728041.7,9.11,2.2,9.76,65.15135,65.988612,59.493188,3.069065,1.268828,3.51548,-13.94,1330130.0,3.89,97.65,27.41,108.38,756.97,163.19,789.45,299.71,34.78,375.06,0.0,0.0,0.0,
