amount_10000_cny,bps,change_cny,code,deduct_netprofit_100m_cny,eps,float_mcap_100m_cny,gross_margin_pct,gross_profit_100m_cny,high_52w,liability_100m_cny,low_52w,name,net_margin_pct,notice_date,operating_cashflow_per_share,parent_netprofit_100m_cny,parent_np_yoy_pct,pb,pct_change,pe_ttm,prev_close,price_cny,quote_time,report,revenue_100m_cny,revenue_yoy_pct,roe_pct,source,total_mcap_100m_cny,turnover_rate_pct,volume_lot
1333947,52.06324493821,76.11,002371,53.3595,7.6446,6374.67,40.1037429257,157.8207,882.55,458.7303,722.09,北方华创,13.7445475735,2026-04-18 00:00:00,2.944239337829,55.2199,-1.774593786742,16.45,9.49,114.32,802.32,878.43,20260709161430,2025年报,393.5311,30.850525003344,16.41,Tencent qt.gtimg.cn snapshot fetched 2026-07-09 evening CST,6369.58,2.19,158615
1517904,36.24496829002,48.59,688012,15.498,3.4,4517.09,39.1654495476,48.505,507.60,71.1718,338.40,中微公司,16.6675625638,2026-03-31 00:00:00,3.66584703809,21.1147,30.686679836527,16.38,11.49,165.53,423.00,471.59,20260709161455,2025年报,123.8464,36.617900883745,9.97,Tencent qt.gtimg.cn snapshot fetched 2026-07-09 evening CST,4443.31,3.60,33945458
0,23.41093170285,0.00,688072,7.2315,3.32,2418.45,34.9522590568,22.7857,998.40,127.081,665.60,拓荆科技,14.0342540519,2026-04-28 00:00:00,12.867974992515,9.267,34.66505935321,20.61,0.00,147.08,832.00,832.00,20260709161435,2025年报,65.1909,58.868482685935,15.77,Tencent qt.gtimg.cn snapshot fetched 2026-07-09 evening CST,2352.01,0.00,0
393828,28.052015861684,17.60,688082,12.1991,3.1,2087.71,48.3179881345,32.7894,498.00,54.2405,332.00,盛美上海,20.5630274544,2026-02-27 00:00:00,0.497418570232,13.9593,21.049591062808,15.17,4.24,166.50,415.00,432.60,20260709161457,2025年报,67.8617,20.798929711356,14.82,Tencent qt.gtimg.cn snapshot fetched 2026-07-09 evening CST,2065.29,1.98,9443286
596441,21.089923134124,49.00,688120,9.6482,3.08,1701.88,41.8136869445,19.436,354.00,56.8018,236.00,华海清科,23.3084117791,2026-04-23 00:00:00,2.261605331723,10.8372,5.893724535711,22.45,16.61,155.05,295.00,344.00,20260709161437,2025年报,46.4823,36.46258832312,15.52,Tencent qt.gtimg.cn snapshot fetched 2026-07-09 evening CST,1701.88,3.87,19165077
439098,20.862902045503,27.81,688019,6.9655,4.66,782.35,56.7236786223,14.2048,379.31,15.0748,252.87,安集科技,31.2931364796,2026-04-16 00:00:00,2.608968105945,7.8365,46.848622683531,17.38,8.80,95.12,316.09,343.90,20260709161447,2025年报,25.0422,36.468513722689,25.18,Tencent qt.gtimg.cn snapshot fetched 2026-07-09 evening CST,782.35,5.94,13514402
829456,18.727999548456,30.62,300666,3.6039,1.89,1005.86,27.1716205035,12.5101,400.63,57.5686,267.09,江丰电子,8.9985043081,2026-04-16 00:00:00,1.771502330597,4.995,24.699924844372,14.40,9.17,182.21,333.86,364.48,20260709161424,2025年报,46.041,27.715622530719,10.58,Tencent qt.gtimg.cn snapshot fetched 2026-07-09 evening CST,805.92,10.82,239265
582338,5.038335874553,6.05,300346,2.5356,0.46,554.17,39.6205436878,10.2437,88.96,21.7534,59.30,南大光电,15.61262611,2026-04-10 00:00:00,1.059850441196,3.1976,18.000807713433,16.27,8.16,159.06,74.13,80.18,20260709161448,2025年报,25.8546,9.931417738868,9.19,Tencent qt.gtimg.cn snapshot fetched 2026-07-09 evening CST,525.97,11.45,751026
162002,15.376023449263,14.69,688268,1.2187,1.13,292.66,30.87301529,4.3801,257.42,15.18,171.62,XD华特气,9.052992105,2026-04-10 00:00:00,2.16976115942,1.3535,-26.749155306481,16.16,6.85,234.44,214.52,229.21,20260709161447,2025年报,14.1875,1.701886628068,6.81,Tencent qt.gtimg.cn snapshot fetched 2026-07-09 evening CST,292.66,5.78,7384179
205689,6.166394701551,1.95,688106,1.1759,0.28,203.71,29.7090807742,8.249,43.32,43.7638,28.88,金宏气体,5.4007814415,2026-03-28 00:00:00,1.116281070186,1.3192,-34.439252265094,6.27,5.40,219.54,36.10,38.05,20260709161448,2025年报,27.7658,9.951354393664,4.26,Tencent qt.gtimg.cn snapshot fetched 2026-07-09 evening CST,203.71,10.54,56447734
734137,5.120392000765,4.75,688126,-17.7428,-0.539,1231.12,-17.0622723304,-6.3404,39.00,136.2708,26.00,沪硅产业,-48.7065617591,2026-04-17 00:00:00,-0.169209029205,-15.0751,-55.32704803111,7.31,14.62,-69.08,32.50,37.25,20260709161438,2025年报,37.1603,9.694688950839,-12.68,Tencent qt.gtimg.cn snapshot fetched 2026-07-09 evening CST,1058.68,7.37,209444987
528590,5.478169998455,6.63,300054,6.7754,0.77,915.03,50.8504348397,18.6108,107.23,35.5062,71.49,鼎龙股份,21.7390987687,2026-03-27 00:00:00,1.22081399223,7.202,38.31562198525,17.05,7.42,110.22,89.36,95.99,20260709161418,2025年报,36.5991,9.655438660452,12.83,Tencent qt.gtimg.cn snapshot fetched 2026-07-09 evening CST,713.37,7.62,566472
0,14.629678321257,0.00,300567,0.2354,0.29,831.13,46.7304400646,15.6437,356.52,65.1721,237.68,精测电子,2.5117440985,2026-04-28 00:00:00,0.915242860139,0.8202,184.038972184653,20.17,0.00,953.83,297.10,297.10,20260709161406,2025年报,33.4764,30.508470894174,2.23,Tencent qt.gtimg.cn snapshot fetched 2026-07-09 evening CST,674.56,0.00,0
1345620,7.481630663051,56.78,300604,12.5016,2.12,2372.73,55.0546315574,29.1324,380.66,55.7119,253.78,长川科技,25.3918622822,2026-04-25 00:00:00,0.888752158572,13.3138,190.420215487814,47.17,17.90,150.85,317.22,374.00,20260709161403,2025年报,52.9154,45.3111174427,33.05,Tencent qt.gtimg.cn snapshot fetched 2026-07-09 evening CST,1830.62,8.13,397850
674320,16.531117267885,19.00,002409,9.5392,2.1018,994.69,30.9574840169,26.6589,209.00,72.2671,171.00,雅克科技,11.9559062784,2026-04-28 00:00:00,2.167182647486,10.0032,14.770104637052,12.51,10.00,98.80,190.00,209.00,20260709161439,2025年报,86.1147,25.489252431199,12.59,Tencent qt.gtimg.cn snapshot fetched 2026-07-09 evening CST,665.71,10.53,335414
283522,6.794779903497,6.49,603650,5.3897,0.94,551.76,24.1964531139,8.2965,91.38,49.6004,74.76,彤程新材,16.8356338811,2026-04-18 00:00:00,0.548990550767,5.6255,8.858249851884,13.75,7.81,94.37,83.07,89.56,20260709161443,2025年报,34.2881,4.847636668613,15.98,Tencent qt.gtimg.cn snapshot fetched 2026-07-09 evening CST,550.32,5.34,328143
