name,code,market,segment,market_cap_usd_bn,source_url,source
ASML,ASML,NASDAQ/Amsterdam,光刻机,676.62,https://companiesmarketcap.com/asml/marketcap/,CompaniesMarketCap fetched 2026-07-13
Applied Materials,AMAT,NASDAQ,沉积/刻蚀/检测,462.96,https://companiesmarketcap.com/applied-materials/marketcap/,CompaniesMarketCap fetched 2026-07-13
Lam Research,LRCX,NASDAQ,刻蚀/沉积,416.84,https://companiesmarketcap.com/lam-research/marketcap/,CompaniesMarketCap fetched 2026-07-13
KLA,KLAC,NASDAQ,量测检测,291.63,https://companiesmarketcap.com/kla/marketcap/,CompaniesMarketCap fetched 2026-07-13
Tokyo Electron,8035.T,东京,刻蚀/沉积/清洗,199.89,https://companiesmarketcap.com/tokyo-electron/marketcap/,CompaniesMarketCap fetched 2026-07-13
SCREEN Holdings,7735.T,东京,清洗设备,20.69,https://companiesmarketcap.com/screen-holdings/marketcap/,CompaniesMarketCap fetched 2026-07-13
Advantest,6857.T,东京,测试设备,128.75,https://companiesmarketcap.com/advantest/marketcap/,CompaniesMarketCap fetched 2026-07-13
ASM International,ASM.AS,阿姆斯特丹,ALD/沉积,49.59,https://companiesmarketcap.com/asm-international/marketcap/,CompaniesMarketCap fetched 2026-07-13
Disco,6146.T,东京,切割/减薄,47.38,https://companiesmarketcap.com/disco-corp/marketcap/,CompaniesMarketCap fetched 2026-07-13
Shin-Etsu Chemical,4063.T,东京,硅片/光刻胶,84.13,https://companiesmarketcap.com/shin-etsu-chemical/marketcap/,CompaniesMarketCap fetched 2026-07-13
SUMCO,3436.T,东京,硅片,11.06,https://companiesmarketcap.com/sumco-corporation/marketcap/,CompaniesMarketCap fetched 2026-07-13
Tokyo Ohka Kogyo,4186.T,东京,光刻胶,7.64,https://companiesmarketcap.com/tokyo-ohka-kogyo/marketcap/,CompaniesMarketCap fetched 2026-07-13
Entegris,ENTG,NASDAQ,半导体材料/污染控制,21.08,https://companiesmarketcap.com/entegris/marketcap/,CompaniesMarketCap fetched 2026-07-13
GlobalWafers,6488.TW,台湾,硅片,22.09,https://companiesmarketcap.com/globalwafers/marketcap/,CompaniesMarketCap fetched 2026-07-13
ASMPT,0522.HK,香港,封装设备,9.92,https://companiesmarketcap.com/asm-pacific-technology/marketcap/,CompaniesMarketCap fetched 2026-07-13
Air Liquide,AI.PA,巴黎,电子气体,127.59,https://companiesmarketcap.com/air-liquide/marketcap/,CompaniesMarketCap fetched 2026-07-13
