name,code,segment,purity,categories,in_scan_pool,price_cny,mcap_100m_cny,revenue_100m_cny,netprofit_100m_cny,return_30d_pct,return_90d_pct,avg_30d_amount_100m_cny_est,pe_ttm,peg_proxy,roe_pct,ocf_to_eps_proxy,liability_to_asset_pct,moat_stars,valuation_pass,roe_pass,cashflow_pass,debt_pass,moat_pass,hard_pass_count,status,elimination_reason,quote_source,financial_source
北方华创,002371,平台设备,高,AC,True,764.3,5542.01,393.5311,55.2199,21.48947398538883,64.35216046860685,95.68765354540001,99.47,,16.41,0.38513975065130945,51.0832216197,5,False,True,False,True,True,3,精细分析保留,估值不及格；经营现金流/净利≤70%,Tencent qt.gtimg.cn 2026-07-13 close; Sina cross-check for finalists,Eastmoney F10 2025 annual; CNINFO annual report cross-check for finalists
中微公司,688012,刻蚀设备,高,AC,True,408.6,3849.82,123.8464,21.1147,37.26148884708411,74.55048763921108,113.15749384248998,143.42,4.673689065223803,9.97,1.0781903053205881,23.8463242812,5,False,False,True,True,True,3,精细分析保留,估值不及格；ROE≤15%,Tencent qt.gtimg.cn 2026-07-13 close; Sina cross-check for finalists,Eastmoney F10 2025 annual; CNINFO annual report cross-check for finalists
拓荆科技,688072,薄膜沉积,高,ABC,True,845.0,2388.76,65.1909,9.267,59.551066726333104,156.05983012172692,73.34283966804767,149.38,4.309238258556951,15.77,3.8758960820828317,64.1060038808,4,False,True,True,False,True,3,精细分析保留,估值不及格；负债率≥60%,Tencent qt.gtimg.cn 2026-07-13 close; Sina cross-check for finalists,Eastmoney F10 2025 annual; CNINFO annual report cross-check for finalists
盛美上海,688082,清洗/电镀,高,ABC,True,399.06,1905.16,67.8617,13.9593,74.23157527069509,137.84718083204197,34.541800450993335,153.59,7.296578804866874,14.82,0.16045760330064515,28.7064271769,4,False,False,False,True,True,2,第一层扫描,估值不及格；ROE≤15%；经营现金流/净利≤70%,Tencent qt.gtimg.cn 2026-07-13 close; Sina cross-check for finalists,Eastmoney F10 2025 annual; CNINFO annual report cross-check for finalists
华海清科,688120,CMP设备,高,ABC,True,325.51,1610.4,46.4823,10.8372,74.54087240944796,137.6609912093689,39.401394475109996,146.72,24.89427510753184,15.52,0.7342874453646104,43.2325285308,4,False,True,True,True,True,4,终选观察-卫星,估值不及格,Tencent qt.gtimg.cn 2026-07-13 close; Sina cross-check for finalists,Eastmoney F10 2025 annual; CNINFO annual report cross-check for finalists
长川科技,300604,测试设备,高,ABC,True,325.24,1591.96,52.9154,13.3138,54.36897811951209,132.14846538187012,86.29185384266667,131.18,0.6888974453891158,33.05,0.41922271630754715,51.0341102294,4,True,True,False,True,True,4,终选观察-高弹性,经营现金流/净利≤70%,Tencent qt.gtimg.cn 2026-07-13 close; Sina cross-check for finalists,Eastmoney F10 2025 annual; CNINFO annual report cross-check for finalists
中科飞测,688361,量测检测,高,ABC,True,389.99,1365.6,20.533,0.5865,78.98480884850154,112.76050190943808,33.65481478,24165.64,39.686691142910945,1.99,-13.678877989822224,35.4941949378,4,False,False,False,True,True,2,第一层扫描,估值不及格；ROE≤15%；经营现金流/净利≤70%,Tencent qt.gtimg.cn 2026-07-13 close; Sina cross-check for finalists,Eastmoney F10 2025 annual; CNINFO annual report cross-check for finalists
沪硅产业,688126,硅片,高,AC,True,35.86,1019.18,37.1603,-15.0751,29.45848375451263,73.57212003872216,70.34260144660999,-66.51,,-12.68,,40.332847943,3,False,False,False,True,True,2,第一层扫描,估值不及格；ROE≤15%；经营现金流/净利≤70%,Tencent qt.gtimg.cn 2026-07-13 close; Sina cross-check for finalists,Eastmoney F10 2025 annual; CNINFO annual report cross-check for finalists
华峰测控,688200,测试设备,高,ABC,True,489.0,980.81,13.4641,5.361,82.31642525585818,152.64397865184213,23.846666046736,172.57,2.8501006818395003,14.08,0.5667863905992424,9.1620395292,4,False,False,False,True,True,2,精细分析保留,估值不及格；ROE≤15%；经营现金流/净利≤70%,Tencent qt.gtimg.cn 2026-07-13 close; Sina cross-check for finalists,Eastmoney F10 2025 annual; CNINFO annual report cross-check for finalists
富创精密,688409,设备零部件,高,ABC,True,253.63,776.64,35.4344,-0.0861,68.51372001860344,139.81656580937974,23.775243248033334,1086.36,,-0.19,,48.5945948142,3,False,False,False,True,True,2,第一层扫描,估值不及格；ROE≤15%；经营现金流/净利≤70%,Tencent qt.gtimg.cn 2026-07-13 close; Sina cross-check for finalists,Eastmoney F10 2025 annual; CNINFO annual report cross-check for finalists
芯源微,688037,涂胶显影/清洗,高,ABC,True,378.0,762.15,19.4849,0.7171,54.097024052181,75.01620520418557,28.47802647701667,1080.24,,2.62,1.418592284747222,54.4786957984,3,False,False,True,True,True,3,第一层扫描,估值不及格；ROE≤15%,Tencent qt.gtimg.cn 2026-07-13 close; Sina cross-check for finalists,Eastmoney F10 2025 annual; CNINFO annual report cross-check for finalists
江丰电子,300666,高纯靶材,高,ABC,True,318.34,703.9,46.041,4.995,67.37118822292322,102.17711614673304,71.250843953,159.14,6.442934583918818,10.58,0.9373028204216931,54.3982983104,3,False,False,True,True,True,3,第一层扫描,估值不及格；ROE≤15%,Tencent qt.gtimg.cn 2026-07-13 close; Sina cross-check for finalists,Eastmoney F10 2025 annual; CNINFO annual report cross-check for finalists
安集科技,688019,CMP材料,高,AC,True,297.58,676.97,25.0422,7.8365,36.345725622439915,46.813885106466934,28.451715306176002,82.31,1.7569353224323279,25.18,0.559864400417382,29.9197109662,4,False,True,False,True,True,3,终选候选-核心,估值不及格；经营现金流/净利≤70%,Tencent qt.gtimg.cn 2026-07-13 close; Sina cross-check for finalists,Eastmoney F10 2025 annual; CNINFO annual report cross-check for finalists
精测电子,300567,量测检测,中,ABC,True,297.1,674.56,33.4764,0.8202,36.40328726872046,91.92506459948319,25.154439063,953.83,5.18276095914613,2.23,3.156009862548276,55.9289366639,3,False,False,True,True,True,3,第一层扫描,估值不及格；ROE≤15%,Tencent qt.gtimg.cn 2026-07-13 close; Sina cross-check for finalists,Eastmoney F10 2025 annual; CNINFO annual report cross-check for finalists
微导纳米,688147,ALD/CVD,高,BC,True,133.0,617.74,26.333,2.1937,65.71763210685671,54.602624757343634,16.043920245208,395.25,,7.92,1.76458982935,69.3455255433,3,False,False,True,False,True,2,第一层扫描,估值不及格；ROE≤15%；负债率≥60%,Tencent qt.gtimg.cn 2026-07-13 close; Sina cross-check for finalists,Eastmoney F10 2025 annual; CNINFO annual report cross-check for finalists
有研硅,688432,硅片,高,BC,True,49.1,613.9,10.0525,2.0928,157.9458891515629,198.7526620018254,21.203034484354998,294.22,,4.75,1.3038024545065399,11.496011966,3,False,False,True,True,True,3,第一层扫描,估值不及格；ROE≤15%,Tencent qt.gtimg.cn 2026-07-13 close; Sina cross-check for finalists,Eastmoney F10 2025 annual; CNINFO annual report cross-check for finalists
雅克科技,002409,前驱体/电子材料,中,ABC,True,189.02,602.07,86.1147,10.0032,76.06184798807752,95.32913092900695,60.530147321,89.36,6.050058695984673,12.59,1.0311079301008659,42.604856965,3,False,False,True,True,True,3,精细分析保留,估值不及格；ROE≤15%,Tencent qt.gtimg.cn 2026-07-13 close; Sina cross-check for finalists,Eastmoney F10 2025 annual; CNINFO annual report cross-check for finalists
鼎龙股份,300054,CMP抛光垫/材料,中,AC,True,79.92,593.94,36.5991,7.202,19.21241050119331,77.24550898203593,46.65060540466666,91.77,2.395106623489704,12.83,1.5854727171818184,39.165859351,3,False,False,True,True,True,3,第一层扫描,估值不及格；ROE≤15%,Tencent qt.gtimg.cn 2026-07-13 close; Sina cross-check for finalists,Eastmoney F10 2025 annual; CNINFO annual report cross-check for finalists
芯碁微装,688630,直写光刻,高,ABC,True,446.58,588.33,14.0812,2.8993,33.30746268656717,122.15699930355188,28.62623817978,186.36,2.3172150586541282,13.28,0.3155276654606335,25.9343057679,3,False,False,False,True,True,2,第一层扫描,估值不及格；ROE≤15%；经营现金流/净利≤70%,Tencent qt.gtimg.cn 2026-07-13 close; Sina cross-check for finalists,Eastmoney F10 2025 annual; CNINFO annual report cross-check for finalists
彤程新材,603650,光刻胶/树脂,中,C,True,79.62,489.24,34.2881,5.6255,52.58134989076693,33.81062821417768,0.25546745765333334,83.89,9.470267987773907,15.98,0.5840325008159575,53.8039374158,3,False,True,False,True,True,3,第一层扫描,估值不及格；经营现金流/净利≤70%,Tencent qt.gtimg.cn 2026-07-13 close; Sina cross-check for finalists,Eastmoney F10 2025 annual; CNINFO annual report cross-check for finalists
南大光电,300346,特气/前驱体/光刻胶,中,AC,True,70.15,460.18,25.8546,3.1976,36.107877376794725,27.383330306882158,63.698293584333335,139.17,7.731319739399535,9.19,2.3040226982521737,35.3297216495,3,False,False,True,True,True,3,第一层扫描,估值不及格；ROE≤15%,Tencent qt.gtimg.cn 2026-07-13 close; Sina cross-check for finalists,Eastmoney F10 2025 annual; CNINFO annual report cross-check for finalists
有研新材,600206,靶材/稀有金属,中,BC,True,54.0,457.14,95.4213,2.6479,90.11406844106465,110.4934902939113,0.5648775793033334,160.02,2.0182172875251823,6.5,-0.2974350483258786,34.8616079439,3,False,False,False,True,True,2,第一层扫描,估值不及格；ROE≤15%；经营现金流/净利≤70%,Tencent qt.gtimg.cn 2026-07-13 close; Sina cross-check for finalists,Eastmoney F10 2025 annual; CNINFO annual report cross-check for finalists
立昂微,605358,硅片/功率器件,中,C,True,57.4,443.24,35.9092,-1.4244,3.6475261827374483,41.86851211072664,0.5824180179133333,-818.03,,-1.96,,57.631889811,3,False,False,False,True,True,2,第一层扫描,估值不及格；ROE≤15%；经营现金流/净利≤70%,Tencent qt.gtimg.cn 2026-07-13 close; Sina cross-check for finalists,Eastmoney F10 2025 annual; CNINFO annual report cross-check for finalists
TCL中环,002129,硅片/光伏,低,AC,True,10.49,423.76,290.5025,-92.6379,7.589743589743603,4.7952047952048105,33.391159089666665,-4.71,,-35.2,,66.6401656956,2,False,False,False,False,False,0,第一层扫描,估值不及格；ROE≤15%；经营现金流/净利≤70%；负债率≥60%；护城河<★★★,Tencent qt.gtimg.cn 2026-07-13 close; Sina cross-check for finalists,Eastmoney F10 2025 annual; CNINFO annual report cross-check for finalists
先导基电,600641,离子注入/转型,中,BC,True,39.38,366.48,18.5182,-1.266,46.394052044609694,110.25093432995195,0.30558834345999997,-303.12,,-1.55,,28.350655727,2,False,False,False,True,False,1,第一层扫描,估值不及格；ROE≤15%；经营现金流/净利≤70%；护城河<★★★,Tencent qt.gtimg.cn 2026-07-13 close; Sina cross-check for finalists,Eastmoney F10 2025 annual; CNINFO annual report cross-check for finalists
华特气体,688268,电子特气,中高,AB,True,208.1,265.71,14.1875,1.3535,45.93267882187939,204.28425208363797,26.240345343526666,212.85,,6.81,1.9201426189557524,42.3695372276,3,False,False,True,True,True,3,第一层扫描,估值不及格；ROE≤15%,Tencent qt.gtimg.cn 2026-07-13 close; Sina cross-check for finalists,Eastmoney F10 2025 annual; CNINFO annual report cross-check for finalists
神工股份,688233,硅材料零部件,高,B,True,154.31,262.8,4.38,1.0204,80.93239218629083,76.32204396910278,20.633703567546668,265.69,1.7956973367700306,5.55,1.695597141445,5.7084545857,3,False,False,True,True,True,3,第一层扫描,估值不及格；ROE≤15%,Tencent qt.gtimg.cn 2026-07-13 close; Sina cross-check for finalists,Eastmoney F10 2025 annual; CNINFO annual report cross-check for finalists
正帆科技,688596,高纯工艺系统,中高,B,True,63.98,188.19,49.1643,1.363,57.741617357001964,89.85163204747772,18.830979011860002,246.7,,3.73,1.3971411961500002,68.1897940631,3,False,False,True,False,True,2,第一层扫描,估值不及格；ROE≤15%；负债率≥60%,Tencent qt.gtimg.cn 2026-07-13 close; Sina cross-check for finalists,Eastmoney F10 2025 annual; CNINFO annual report cross-check for finalists
上海新阳,300236,湿电子化学品/光刻胶,中,-,False,113.35,315.74,19.3668,3.0067,24.314542662864657,46.48109379442247,18.596156244333333,100.58,1.4142236730209992,6.18,1.5715255252285685,25.801361895,3,True,False,True,True,True,4,第一层淘汰,ROE≤15%；未进入A/B/C并集,Tencent qt.gtimg.cn 2026-07-13 close; Sina cross-check for finalists,Eastmoney F10 2025 annual; CNINFO annual report cross-check for finalists
新莱应材,300260,洁净零部件,中高,-,False,79.52,228.73,29.9771,1.7506,41.3940256045519,42.6879598062085,22.63186522033333,183.29,,8.65,1.2214208412954546,62.8564705517,3,False,False,True,False,True,2,第一层淘汰,估值不及格；ROE≤15%；负债率≥60%；未进入A/B/C并集,Tencent qt.gtimg.cn 2026-07-13 close; Sina cross-check for finalists,Eastmoney F10 2025 annual; CNINFO annual report cross-check for finalists
金宏气体,688106,电子/工业气体,中,-,False,37.48,200.66,27.7658,1.3192,48.96661367249602,60.8445626984808,18.95570756605333,216.25,,4.26,3.9867181078071425,56.2634194363,3,False,False,True,True,True,3,第一层淘汰,估值不及格；ROE≤15%；未进入A/B/C并集,Tencent qt.gtimg.cn 2026-07-13 close; Sina cross-check for finalists,Eastmoney F10 2025 annual; CNINFO annual report cross-check for finalists
晶瑞电材,300655,光刻胶/湿电子化学品,中,-,False,16.66,186.84,16.0981,1.4935,16.33265833391524,-1.0453789498693133,19.565850939833332,166.78,0.9105602663443787,5.81,2.4647285172714284,27.869091263,3,True,False,True,True,True,4,第一层淘汰,ROE≤15%；未进入A/B/C并集,Tencent qt.gtimg.cn 2026-07-13 close; Sina cross-check for finalists,Eastmoney F10 2025 annual; CNINFO annual report cross-check for finalists
江化微,603078,湿电子化学品,高,-,False,41.92,161.66,12.3384,1.0481,21.0161662817552,67.74709883953582,0.23449023935666666,151.4,24.165117033433333,5.44,1.7351532724117644,26.5813589128,3,False,False,True,True,True,3,第一层淘汰,估值不及格；ROE≤15%；未进入A/B/C并集,Tencent qt.gtimg.cn 2026-07-13 close; Sina cross-check for finalists,Eastmoney F10 2025 annual; CNINFO annual report cross-check for finalists
至纯科技,603690,高纯工艺系统,中高,-,False,31.0,118.72,28.5456,-7.7682,24.39807383627608,9.30888575458393,0.12676285254333333,-14.27,,-20.84,,72.6767179188,3,False,False,False,False,True,1,第一层淘汰,估值不及格；ROE≤15%；经营现金流/净利≤70%；负债率≥60%；未进入A/B/C并集,Tencent qt.gtimg.cn 2026-07-13 close; Sina cross-check for finalists,Eastmoney F10 2025 annual; CNINFO annual report cross-check for finalists
格林达,603931,显影液/湿电子化学品,中高,-,False,57.68,115.11,6.2585,1.2251,-9.613727180130061,76.85114211252491,0.06535278848166667,95.91,,7.64,1.0560540394,9.0491526492,3,False,False,True,True,True,3,第一层淘汰,估值不及格；ROE≤15%；未进入A/B/C并集,Tencent qt.gtimg.cn 2026-07-13 close; Sina cross-check for finalists,Eastmoney F10 2025 annual; CNINFO annual report cross-check for finalists
