项目,2025年,2024年,同比增减
经营活动现金流入小计,"20,496,811,841.15","15,800,502,550.74",29.72%
经营活动现金流出小计,"18,262,533,327.91","13,338,030,322.10",36.92%
经营活动产生的现金流量净额,"2,234,278,513.24","2,462,472,228.64",-9.27%
投资活动现金流入小计,"9,497,036,823.03","8,939,117,121.86",6.24%
投资活动现金流出小计,"10,738,131,718.07","10,644,542,205.03",0.88%
投资活动产生的现金流量净额,"-1,241,094,895.04","-1,705,425,083.17",27.23%
筹资活动现金流入小计,"622,613,268.32","294,505,843.00",111.41%
筹资活动现金流出小计,"650,594,012.64","493,602,076.99",31.81%
筹资活动产生的现金流量净额,"-27,980,744.32","-199,096,233.99",85.95%
现金及现金等价物净增加额,"951,823,638.36","549,899,008.36",73.09%
