思源电气股份有限公司2025年年度报告全文
第八节 财务报告
(1) 外币货币性项目
项目 期末外币余额 折算汇率 期末折算人民币余额
货币资金 1,478,056,591.12
其中：美元 178,725,556.58 7.02880 1,256,226,192.09
阿联酋迪拉姆 7,339,136.38 1.90709 13,996,393.60
澳元 1,987,179.11 4.68920 9,318,280.28
巴西雷亚尔 34,045,134.25 1.28315 43,685,014.01
博茨瓦纳普拉 366,830.29 0.50186 184,097.45
瑞士法郎 127,425.10 8.85100 1,127,839.56
埃及镑 57,580,570.72 0.14729 8,481,042.26
埃塞俄比亚比尔 1,566,485.24 0.04569 71,572.71
欧元 12,477,892.25 8.23550 102,761,681.62
英镑 385,278.99 9.43460 3,634,953.16
加纳塞地 2,185.00 0.66941 1,462.66
港元 687,851.18 0.90322 621,280.94
印度卢比 27,724,944.51 0.07830 2,170,863.16
肯尼亚先令 3,532,985.20 0.05453 192,653.68
墨西哥比索 1,377,962.11 0.38988 537,239.87
尼日利亚奈拉 40,913,968.59 0.00483 197,614.47
菲律宾比索 105,894,244.35 0.11950 12,654,362.20
巴基斯坦卢比 0.63 0.02509 0.02
俄罗斯卢布 146,028,744.17 0.08805 12,857,830.92
坦桑尼亚先令 96,102,339.17 0.00285 273,891.67
乌兹别克斯坦苏姆 1,169,389,561.85 0.00059 689,939.84
西非法郎 378,407,058.00 0.01258 4,760,360.79
赞比亚克瓦查 486,426.83 0.31626 153,837.35
哥伦比亚比索 1,832,971,173.00 0.00186 3,409,326.38
匈牙利福林 2,289,617.00 0.02134 48,860.43
应收账款 1,530,644,492.65
其中：美元 148,633,220.85 7.02880 1,044,713,182.71
澳元 20,205,127.67 4.68920 94,745,884.67
巴西雷亚尔 29,928,529.62 1.28315 38,402,792.78
埃及镑 3,113,865.36 0.14729 458,641.23
埃塞俄比亚比尔 8,257,122.22 0.04569 377,267.91
欧元 37,946,785.95 8.23550 312,510,755.69
英镑 1,048,171.84 9.43460 9,889,082.04
印度卢比 83,551,701.13 0.07830 6,542,098.20
肯尼亚先令 119,125,411.64 0.05453 6,495,908.70
俄罗斯卢布 142,721,310.62 0.08805 12,566,611.40
泰铢 729,143.10 0.22252 162,248.92
第162页共191页
