项目,期末余额,期初余额
流动资产：,,
货币资金,"3,488,664,441.56","4,929,836,694.99"
结算备付金,0.00,0.00
拆出资金,0.00,0.00
交易性金融资产,"3,839,128,121.96","2,841,280,573.49"
衍生金融资产,0.00,0.00
应收票据,"996,535,859.09","1,162,480,532.98"
应收账款,"7,799,346,158.00","8,183,096,459.67"
应收款项融资,0.00,0.00
预付款项,"961,702,829.22","882,197,801.54"
应收保费,0.00,0.00
应收分保账款,0.00,0.00
应收分保合同准备金,0.00,0.00
其他应收款,"277,874,525.49","276,443,753.12"
其中：应收利息,0.00,0.00
应收股利,0.00,0.00
买入返售金融资产,0.00,0.00
存货,"5,030,746,598.53","4,078,944,481.10"
其中：数据资源,,
合同资产,"1,644,911,425.70","1,480,489,353.88"
持有待售资产,0.00,0.00
一年内到期的非流动资产,0.00,0.00
其他流动资产,"353,494,406.11","271,912,930.15"
流动资产合计,"24,392,404,365.66","24,106,682,580.92"
非流动资产：,,
发放贷款和垫款,0.00,0.00
债权投资,"301,150,684.93","301,150,684.93"
其他债权投资,0.00,0.00
长期应收款,0.00,0.00
长期股权投资,"22,507,684.88","20,273,135.81"
其他权益工具投资,"18,857,511.62","18,857,511.62"
其他非流动金融资产,"147,317,369.63","147,317,369.63"
投资性房地产,0.00,0.00
固定资产,"2,921,664,304.50","2,904,204,698.78"
在建工程,"575,922,519.48","419,809,670.30"
生产性生物资产,0.00,0.00
油气资产,0.00,0.00
使用权资产,"72,381,629.30","76,853,065.25"
无形资产,"552,817,817.57","558,500,225.97"
其中：数据资源,,
开发支出,0.00,0.00
其中：数据资源,,
商誉,"541,001,880.87","541,001,880.87"
长期待摊费用,"73,082,983.70","76,715,297.39"
