项目,本期发生额,上期发生额
一、营业总收入,"4,568,663,867.62","3,226,557,969.19"
其中：营业收入,"4,568,663,867.62","3,226,557,969.19"
利息收入,0.00,0.00
已赚保费,0.00,0.00
手续费及佣金收入,0.00,0.00
二、营业总成本,"4,004,628,298.13","2,743,442,980.36"
其中：营业成本,"3,246,018,126.56","2,248,557,111.44"
利息支出,0.00,0.00
手续费及佣金支出,0.00,0.00
退保金,0.00,0.00
赔付支出净额,0.00,0.00
提取保险责任准备金净额,0.00,0.00
保单红利支出,0.00,0.00
分保费用,0.00,0.00
税金及附加,"25,040,860.57","17,583,989.22"
销售费用,"227,923,794.86","162,295,690.53"
管理费用,"97,640,443.52","89,347,292.10"
研发费用,"354,313,078.83","254,803,447.08"
财务费用,"53,691,993.79","-29,144,550.01"
其中：利息费用,"3,488,834.65","1,885,778.35"
利息收入,"13,989,314.18","16,004,876.80"
加：其他收益,"90,545,983.58","23,313,697.97"
投资收益（损失以“－”号填列）,"7,135,457.05","6,042,603.59"
其中：对联营企业和合营企业的投资收益,"2,234,549.07","-1,261,691.21"
以摊余成本计量的金融资产终止确认收益,0.00,0.00
汇兑收益（损失以“-”号填列）,0.00,0.00
净敞口套期收益（损失以“－”号填列）,0.00,0.00
公允价值变动收益（损失以“－”号填列）,"7,899,840.60","-1,977,160.00"
信用减值损失（损失以“-”号填列）,"1,703,064.54","3,389,814.80"
资产减值损失（损失以“-”号填列）,"-5,845,003.62","-533,963.53"
资产处置收益（损失以“-”号填列）,"251,923.00","-105,351.23"
三、营业利润（亏损以“－”号填列）,"665,726,834.64","513,244,630.43"
加：营业外收入,"1,873,847.15","1,414,669.75"
减：营业外支出,"16,417,066.61","338,694.30"
四、利润总额（亏损总额以“－”号填列）,"651,183,615.18","514,320,605.88"
减：所得税费用,"79,393,978.55","50,954,586.07"
五、净利润（净亏损以“－”号填列）,"571,789,636.63","463,366,019.81"
（一）按经营持续性分类,,
1.持续经营净利润（净亏损以“－”号填列）,"571,789,636.63","463,366,019.81"
