实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2004-05-26,年度分红,,,0.9,2004-05-31,2004-06-01,2004-06-08,,10派0.9元(含税),2003年报
2005-05-18,年度分红,,,2.1,2005-05-23,2005-05-24,2005-05-31,,10派2.1元(含税),2004年报
2005-08-09,股改分红,,0.421,1.74,2005-08-11,,2005-08-17,,10转增0.421股派1.74元(含税),
2006-06-01,年度分红,,,1.89,2006-06-06,2006-06-07,2006-06-09,,10派1.89元（含税）,2005年报
2007-06-05,年度分红,,,2.3532,2007-06-08,2007-06-11,2007-06-15,,10派2.3532元（含税）,2006年报
2008-07-16,年度分红,,,2.9682,2008-07-21,2008-07-22,2008-07-28,,10派2.9682元（含税）,2007年报
2009-08-03,年度分红,,,2.1585,2009-08-06,2009-08-07,2009-08-13,,10派2.1585元（含税）,2008年报
2010-07-14,年度分红,,5.0,3.2199,2010-07-19,2010-07-20,2010-07-23,2010-07-21,10转增5股派3.2199元（含税）,2009年报
2011-06-17,年度分红,,,2.5579,2011-06-22,2011-06-23,2011-06-29,,10派2.5579元(含税),2010年报
2012-06-26,年度分红,,,2.5462,2012-06-29,2012-07-02,2012-07-05,,10派2.5462元(含税),2011年报
2013-06-25,年度分红,,,3.3157,2013-06-28,2013-07-01,2013-07-04,,10派3.3157元(含税),2012年报
2014-07-04,年度分红,,,2.8042,2014-07-10,2014-07-11,2014-07-11,,10派2.8042元(含税),2013年报
2015-06-20,年度分红,,,3.791,2015-06-29,2015-06-30,2015-06-30,,10派3.791元(含税),2014年报
2016-07-13,年度分红,,,4.0,2016-07-18,2016-07-19,2016-07-19,,10派4元(含税),2015年报
2017-07-10,年度分红,,,7.25,2017-07-13,2017-07-14,2017-07-14,,10派7.25元(含税),2016年报
2018-06-15,年度分红,,,6.8,2018-06-21,2018-06-22,2018-06-22,,10派6.8元(含税),2017年报
2019-07-11,年度分红,,,6.8,2019-07-17,2019-07-18,2019-07-18,,10派6.8元(含税),2018年报
2020-07-13,年度分红,,,6.8,2020-07-16,2020-07-17,2020-07-17,,10派6.8元(含税),2019年报
2021-07-09,年度分红,,,7.0,2021-07-15,2021-07-16,2021-07-16,,10派7元(含税),2020年报
2022-07-13,年度分红,,,8.153,2022-07-20,2022-07-21,2022-07-21,,10派8.153元(含税),2021年报
2023-07-17,年度分红,,,8.533,2023-07-20,2023-07-21,2023-07-21,,10派8.533元(含税),2022年报
2024-07-11,年度分红,,,8.2,2024-07-18,2024-07-19,2024-07-19,,10派8.2元(含税),2023年报
2025-01-16,季度分红,,,2.1,2025-01-23,2025-01-24,2025-01-24,,10派2.1元(含税),2024三季报
2025-07-11,年度分红,,,7.33,2025-07-17,2025-07-18,2025-07-18,,10派7.33元(含税),2024年报
2026-02-05,季度分红,,,2.1,2026-02-11,2026-02-12,2026-02-12,,10派2.1元(含税),2025三季报
