日期,摊薄每股收益(元),加权每股收益(元),每股收益_调整后(元),扣除非经常性损益后的每股收益(元),每股净资产_调整前(元),每股净资产_调整后(元),每股经营性现金流(元),每股资本公积金(元),每股未分配利润(元),调整后的每股净资产(元),总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重,非主营比重,主营利润比重,股息发放率(%),投资收益率(%),主营业务利润(元),净资产收益率(%),加权净资产收益率(%),扣除非经常性损益后的净利润(元),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),应收账款周转率(次),应收账款周转天数(天),存货周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),股东权益周转率(次),流动比率,速动比率,现金比率(%),利息支付倍数,长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),资产负债率(%),总资产(元),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),短期股票投资(元),短期债券投资(元),短期其它经营性投资(元),长期股票投资(元),长期债券投资(元),长期其它经营性投资(元),1年以内应收帐款(元),1-2年以内应收帐款(元),2-3年以内应收帐款(元),3年以内应收帐款(元),1年以内预付货款(元),1-2年以内预付货款(元),2-3年以内预付货款(元),3年以内预付货款(元),1年以内其它应收款(元),1-2年以内其它应收款(元),2-3年以内其它应收款(元),3年以内其它应收款(元)
2020-03-31,0.1043,0.1041,0.1041,,6.9179,6.8947,0.2539,2.0166,2.6711,,0.7733,49.8297,0.7735,51.0136,34.2494,48.0389,27.3604,10.4273,1.5073,0.7733,,15.6088,16.7367,148.4961,,,4177925160.81,1.51,1.52,2739917123.51,-2.5926,-21.3598,4.4019,0.2529,2.4633,36.5364,5.1541,17.4617,,0.0283,3180.212,0.7145,125.9622,0.0555,0.2367,0.2321,14.3172,335.8504,-0.6133,51.3044,8.2927,,94.9149,160.7595,13.9145,,186.744,50.69,384.2848,,48.6956,296647943837.66,0.6662,0.0188,2.435,0.0387,10.6302,,,,42021422591.87,1125886211.03,,,,,,,,,,,,,
2020-06-30,0.3615,0.3592,0.3592,0.3633,6.5222,6.4447,0.5485,2.0152,2.2463,,2.3902,54.0411,2.5278,79.0008,48.9477,43.9353,39.9375,572.1895,87.7294,37.8342,,14.4858,21.1033,113.171,1.8863,,10760968503.35,5.57,5.25,7993471067.6,-2.2109,-7.2612,4.9396,11.5319,4.0301,44.6639,5.8617,30.7077,0.0869,0.0633,2843.6019,1.4223,126.5556,0.1357,0.1822,0.1784,8.5235,481.1324,-0.2994,43.126,6.8524,61.7828,131.8785,189.8845,13.7107,66.3229,220.0556,80.7898,286.7854,69.8027,56.874,332719000783.99,0.606,0.0363,1.5173,0.0638,12.9572,,,,45851439011.06,1159295721.46,,,20159470.75,1925712.57,1552713.26,,4107948.35,799384.22,,,8819548.17,1849229.52,11681795.55
2020-09-30,0.8969,0.9205,0.9205,,7.3658,7.2932,1.2172,2.4701,2.7221,,5.8994,61.9663,6.3453,119.7742,58.9358,36.0862,47.4832,89.6886,12.1764,5.8994,,10.4836,11.47,106.6342,0.0019,,26558674292.16,12.24,13.17,20054682597.99,12.5399,14.0558,14.7357,17.1091,6.9172,39.0331,5.6265,47.9875,,0.1336,2020.9581,2.0167,133.8821,0.2703,0.2981,0.2941,7.831,758.7061,-0.1963,48.4494,4.2148,,106.4008,172.5606,8.0032,,187.5725,71.8513,287.0302,,51.5506,344971594903.56,0.6444,0.0801,1.3571,0.1553,26.1674,,,,48054854594.79,1117786520.24,,,,,,,,,,,,,
2020-12-31,1.1655,1.1853,1.1853,1.1798,7.8411,7.5683,1.8045,2.5032,2.9819,,8.0121,61.3342,8.4508,112.9418,56.9296,36.6013,45.8718,652.1821,83.1746,44.8326,,11.0657,11.1304,109.1986,0.0014,,35440983425.76,15.28,16.71,26175647473.85,15.8585,22.8994,18.8684,11.5839,17.5248,20.5423,4.2934,83.8497,0.2527,0.1842,1954.3974,4.4949,80.0908,0.352,0.187,0.1834,11.7645,750.9452,-0.2265,53.9018,4.367,77.1617,85.5227,164.0056,7.4945,65.4838,177.2929,52.1046,333.8718,69.8556,46.0982,330827096559.03,0.7102,0.124,1.5482,0.2691,52.2985,,,,50424131310.62,1139169084.08,,,6124352.24,5974.17,,,5824384.11,9101.91,,,3114211.37,1836606.44,3227809.39
2021-03-31,0.1284,0.1262,0.1262,,7.8093,7.6999,0.1453,2.5032,3.1081,,0.8919,41.3835,0.8871,54.0974,41.2784,56.7609,32.9083,12.8358,1.6436,0.8919,,16.8606,20.8591,101.3529,0.0126,,3670881482.69,1.64,1.65,2383572424.89,5.7964,27.2485,16.6926,10.3263,2.5262,35.6266,5.1728,17.3987,,0.027,3333.3333,0.7078,127.1546,0.0498,0.1304,0.1267,7.0605,395.1015,-0.1666,54.2649,3.5244,,84.2811,167.5498,6.0987,,178.4318,51.3401,336.4078,,45.7351,327280823000.86,0.3725,0.0101,1.1319,0.0221,4.1487,,,,52446626400.17,1046161726.12,,,,,,,,,,,,,
2021-06-30,0.3817,0.3774,0.3774,0.3133,7.3725,7.2515,0.4197,2.5022,2.6593,,2.6137,46.5482,2.6187,75.2555,51.4854,51.4582,43.6133,597.9536,81.1064,40.9492,,14.6269,36.8741,90.8557,1.8388,,9263778550.48,5.2,4.94,7125440066.1,-0.0555,9.143,16.8479,-0.1909,4.8798,36.8868,5.3398,33.7091,0.0872,0.06,3000.0,1.3213,136.2295,0.115,0.1825,0.1787,9.1852,534.6209,-0.2406,50.4882,5.0123,74.3342,98.0659,171.797,9.0311,63.9216,188.8524,60.4084,307.7253,67.9206,49.5118,332083972866.5,0.4795,0.0287,1.0995,0.058,11.276,,,,59276969770.37,1064876195.99,,,12322252.46,1222623.3,5974.17,,2035995.8,604743.36,10304.67,,11334694.82,2308617.34,4297984.96
2021-09-30,0.8674,0.8604,0.8604,,7.8461,7.7277,0.9501,2.5022,3.1424,,5.8827,57.9106,5.9224,110.2335,59.6478,40.1745,48.7685,86.7387,11.0551,5.8827,,11.3074,20.3702,98.3852,0.0019,,23423814192.69,11.13,10.89,18101584350.94,-5.6268,-3.0723,6.7594,-2.7972,6.4242,42.0286,5.5458,48.6857,,0.1214,2224.0527,2.3377,115.4981,0.2268,0.3045,0.2986,13.4975,758.5757,-0.7378,53.2128,10.0163,,87.9249,148.7551,15.8412,,176.7554,55.5054,317.9202,,46.7872,335322153790.87,0.5342,0.0644,1.0953,0.1377,33.0098,,,,61559975151.18,1041662592.77,,,,,,,,,,,,,
2021-12-31,1.1646,1.1553,1.1553,1.0615,8.3673,7.9617,1.5712,2.5027,3.3756,,8.061,59.9673,8.0333,113.5646,59.0807,37.9416,47.5961,692.496,82.7621,47.9319,,11.2524,15.3006,102.9628,0.001,,33369556166.87,14.51,14.92,24141419619.03,-3.6985,-0.0785,6.7107,-0.6843,15.0024,23.9962,6.412,56.145,0.2474,0.1688,2132.7014,3.414,105.4482,0.3019,0.3356,0.3268,18.5933,782.1053,-1.027,57.9152,11.0905,87.0093,72.6661,137.0102,16.0719,62.539,163.247,47.2155,343.2354,66.5621,42.0848,328563281639.2,0.6421,0.1088,1.3491,0.2584,66.9069,,,,60716844608.7,1014594368.22,,,19045142.59,62899.95,5974.17,,2021073.33,604743.36,,,12869464.31,2594934.53,2555372.7
2022-03-31,0.1411,0.138,0.138,,8.5208,8.1096,0.1731,2.5024,3.5137,,0.9856,46.8326,0.9812,60.2421,42.5453,51.3911,32.9609,14.1141,1.6564,0.9856,,13.7519,24.1734,116.1709,0.0093,,4560656987.34,1.7,1.72,3096583943.01,9.7832,9.9587,9.1105,-0.493,2.4319,37.0081,8.6081,10.4553,,0.0298,3020.1342,0.617,145.8671,0.0507,0.2906,0.2802,16.7128,479.1572,-1.0029,59.5021,10.2547,,68.0613,137.3508,14.7007,,161.0221,41.4577,380.3495,,40.4979,325667232636.13,0.4041,0.0121,1.2261,0.0298,8.3843,,,,64013448420.78,979697290.88,,,,,,,,,,,,,
2022-06-30,0.504,0.4965,0.4965,0.4959,8.1219,7.6858,0.5272,2.5038,3.0571,,3.419,56.6191,3.4535,101.6668,56.5813,41.3471,45.1481,651.2748,80.1871,44.1781,,10.7511,18.3,102.8797,1.6205,,14374731446.9,6.46,6.13,11278634706.3,27.5707,32.0603,10.1659,0.9567,4.635,38.835,8.2366,21.8536,0.1172,0.0765,2352.9412,1.2367,145.5486,0.1354,0.348,0.3407,15.5408,785.6979,-0.7763,55.0938,10.0349,86.0551,81.5086,142.9464,15.4078,61.1005,168.9829,54.2026,313.6826,64.0215,44.9062,335260890148.82,0.4722,0.0358,1.0459,0.0796,18.0354,,,,64578893985.9,995849448.69,,,2179073.06,,,,4056668.79,604743.36,,,11808499.3,4669919.66,4035917.79
