日期,摊薄每股收益(元),加权每股收益(元),每股收益_调整后(元),扣除非经常性损益后的每股收益(元),每股净资产_调整前(元),每股净资产_调整后(元),每股经营性现金流(元),每股资本公积金(元),每股未分配利润(元),调整后的每股净资产(元),总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重,非主营比重,主营利润比重,股息发放率(%),投资收益率(%),主营业务利润(元),净资产收益率(%),加权净资产收益率(%),扣除非经常性损益后的净利润(元),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),应收账款周转率(次),应收账款周转天数(天),存货周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),股东权益周转率(次),流动比率,速动比率,现金比率(%),利息支付倍数,长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),资产负债率(%),总资产(元),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),短期股票投资(元),短期债券投资(元),短期其它经营性投资(元),长期股票投资(元),长期债券投资(元),长期其它经营性投资(元),1年以内应收帐款(元),1-2年以内应收帐款(元),2-3年以内应收帐款(元),3年以内应收帐款(元),1年以内预付货款(元),1-2年以内预付货款(元),2-3年以内预付货款(元),3年以内预付货款(元),1年以内其它应收款(元),1-2年以内其它应收款(元),2-3年以内其它应收款(元),3年以内其它应收款(元)
2020-03-31,0.0424,0.0382,0.0382,,8.6476,8.1025,-0.1997,0.8236,5.7645,,0.2832,23.5391,0.2834,6.3462,5.5406,75.8487,4.6653,4.2446,0.4908,0.2832,,15.2579,4.8117,404.4042,0.3505,,215948779.27,0.47,0.47,34119318.54,-11.153,51.0989,4.0362,5.5412,0.1171,768.5739,292.3027,0.3079,,0.0608,1480.2632,0.0721,1248.2663,0.1055,2.2866,1.8262,23.7256,1511.3291,,57.6981,,,73.3159,,,,27.1008,63.9442,,,42.3019,15112517124.37,-0.2195,-0.0133,-4.7046,-0.0315,-3.6114,,,,15609414.61,,,,,,,,,,,,,,
2020-06-30,0.3927,0.3514,0.3514,0.2863,8.7794,8.238,-0.1504,0.689,6.0278,,2.4904,20.9045,2.5554,12.9251,11.1409,78.5622,9.5585,183.0732,20.8526,11.611,,7.6867,0.5659,186.3695,0.1692,,865925545.14,4.27,4.13,288698515.95,35.6131,101.0261,4.4321,12.029,0.5076,354.6099,119.6013,1.505,2.9296,0.2673,673.4007,0.3199,562.6758,0.4726,2.1215,1.7406,15.1062,5860.1581,,55.6815,,581.259,79.5929,,,51.2269,30.343,70.3501,,9.5795,44.3185,15898490461.42,-0.0366,-0.0095,-0.3829,-0.0215,-2.4344,,,,15096539.33,,,,1552300491.28,798869175.82,1362086135.64,,54322929.79,21583478.11,,,41123914.56,7960232.05,28908191.42
2020-09-30,0.5729,0.5076,0.5076,,8.9596,8.3942,-0.1464,0.689,6.1839,,3.5806,21.2754,3.7002,11.7967,10.0206,78.2356,8.7625,57.2866,6.3939,3.5806,,7.9046,1.8688,208.1866,0.1073,,1402510028.04,6.05,5.92,437454484.16,25.8477,86.5864,5.2329,10.5216,0.8288,325.7722,126.8022,2.1293,,0.4223,639.3559,0.5047,534.9713,0.7444,2.1399,1.6793,14.67,4854.5127,,56.0003,,,78.5705,,,,29.8283,69.5086,,,43.9997,16132434763.46,-0.0224,-0.0091,-0.2555,-0.0208,-2.35,,,,15096539.33,,,,,,,,,,,,,,
2020-12-31,0.796,0.7101,0.7101,0.6,9.1232,8.5967,0.777,0.689,6.3854,,4.7758,19.6966,5.0328,9.1955,7.9356,79.8195,7.172,228.5055,25.0466,13.7098,,7.8821,2.2545,242.8958,0.081,,2204288658.25,8.26,8.42,604954931.23,10.1921,62.3245,6.0203,11.3754,1.3956,257.9536,89.0098,4.0445,7.7112,0.7017,513.0398,0.838,429.5943,1.2521,2.068,1.7045,25.6565,3992.5621,,54.7371,,575.801,82.6913,,,51.5518,30.259,73.7095,,9.5063,45.2629,16806142848.31,0.07,0.0466,0.9761,0.103,11.5544,,,,15714033.49,,,,1915636727.57,667894711.01,1273703761.69,,36432081.39,7779947.43,,,21885571.75,13945124.77,15645981.81
2021-03-31,0.0952,0.082,0.082,,9.216,8.6787,-0.0225,0.689,6.4674,,0.591,17.3149,0.581,6.8232,6.0321,82.1943,5.2901,9.522,1.0332,0.591,,8.258,3.5619,279.0384,0.3072,,314256240.61,0.94,0.95,72375378.27,97.8349,124.3288,6.5728,7.4952,0.2376,378.7879,154.1096,0.584,,0.1098,819.6721,0.1317,683.3713,0.1963,2.2118,1.7802,26.2051,4096.5884,,57.203,,,74.8159,,,,29.0194,65.9175,,,42.797,16245224425.93,-0.0125,-0.0014,-0.2358,-0.0033,-0.3696,,,,15714033.49,,,,,,,,,,,,,,
2021-06-30,0.4741,0.4259,0.4259,0.4069,9.4949,8.9226,-0.0455,0.689,6.7113,,2.9522,21.6105,2.8973,13.1599,11.0165,77.994,9.649,202.0747,21.2825,12.5829,,6.2927,1.2788,193.9177,0.0356,,1070680565.18,4.77,4.84,410297507.91,19.6067,20.7381,8.1494,1.8541,0.6278,286.7155,116.0242,1.5514,3.1894,0.3003,599.4006,0.3598,500.2779,0.5278,2.3354,1.9007,25.0169,10763.912,,59.123,,634.3668,69.1388,,,49.1803,27.919,60.4693,,9.32,40.877,16193260927.46,-0.0093,-0.0028,-0.096,-0.0069,-0.793,,,,15332196.39,,,,2127581642.88,628433396.96,1173296146.75,,8137485.27,13091045.01,,,19223610.23,13280702.41,16542635.82
2021-09-30,0.6829,0.5742,0.5742,,9.9061,9.1992,0.2397,0.8165,6.8596,,4.1125,22.0651,4.1048,12.4808,10.3301,77.4505,9.1386,68.2876,6.8935,4.1125,,6.771,2.3828,208.7136,0.0029,,1662533680.61,6.24,6.49,548066936.88,14.2971,19.2033,10.5636,3.7851,1.003,269.1924,121.8907,2.2151,,0.4492,601.0686,0.5356,504.1075,0.7854,2.3884,1.9139,32.2977,9847.9186,,59.6578,,,67.6227,,,,26.3141,59.1642,,,40.3422,16743071364.96,0.0321,0.0144,0.351,0.0358,4.0894,,,,15530003.83,,,,,,,,,,,,,,
2021-12-31,0.8501,0.7184,0.7184,0.6627,10.0727,9.3429,1.2936,0.8165,7.0038,,4.8512,19.9992,4.9726,9.1882,7.7071,79.4151,7.1483,244.845,24.3077,13.9733,,7.2524,3.9236,249.4583,,,2398040457.5,7.69,8.04,668198586.91,7.144,6.7901,10.4075,5.1297,1.708,210.7728,98.2881,3.6627,7.691,0.6956,517.5388,0.8421,427.5027,1.239,2.169,1.7587,42.8239,8767.845,,57.4851,,667.9943,73.9581,,,48.5434,31.6222,65.6224,,8.6056,42.5149,17668247679.41,0.1088,0.0738,1.5218,0.1736,19.5702,,,,15725542.02,,,,1536468064.02,357333212.01,1162622416.47,,12427514.49,11579935.88,,,11882003.71,17773669.87,16242815.12
2022-03-31,0.1281,0.0998,0.0998,,10.2,9.4418,-0.3729,0.8165,7.1036,,0.746,14.9281,0.7385,6.9315,6.0768,84.626,5.2316,12.8104,1.2559,0.746,,5.7722,3.4947,237.0727,,,368578113.68,1.06,1.06,93645197.61,36.0388,34.5352,10.6764,6.587,0.4072,221.0216,125.3656,0.7179,,0.1412,637.3938,0.1723,522.3447,0.2416,2.2946,1.7961,39.0516,-3637.6736,,59.3977,,,68.3565,,,,30.2235,60.1991,,,40.6023,17315293754.09,-0.1523,-0.0217,-2.9109,-0.0535,-6.073,,,,15725542.02,,,,,,,,,,,,,,
2022-06-30,0.5469,0.4507,0.4507,0.4342,10.4715,9.7019,-0.2479,0.8165,7.3545,,3.1403,19.8281,3.1308,12.2642,10.2266,79.6098,8.9973,221.1658,21.1207,12.6982,,5.1596,2.3052,189.4671,,,1215382559.44,4.65,4.71,437798684.35,23.7187,15.3626,10.2862,8.4531,0.9776,184.1244,102.1566,1.762,4.1151,0.348,517.2414,0.4254,423.1312,0.5918,2.2228,1.7887,36.8468,-11125.1233,,60.1224,,723.8833,66.3275,,,46.4944,30.3392,61.1784,,8.3055,39.8776,17562089631.55,-0.0408,-0.0142,-0.4532,-0.0357,-3.8689,,,,6158093.61,,,,1897540428.49,413351559.53,1045257660.49,,20412415.05,8031232.53,,,21292991.17,14956099.81,12466864.16
