code,title,date,pdf_url,path,bytes,ok
601179,中国西电2025年年度报告,2026-04-11,http://static.cninfo.com.cn/finalpage/2026-04-11/1225094842.PDF,research\source_docs\大型变压器\601179_中国西电2025年年度报告_2026-04-11.PDF,1573121,True
600089,特变电工股份有限公司2025年年度报告,2026-04-16,http://static.cninfo.com.cn/finalpage/2026-04-16/1225105816.PDF,research\source_docs\大型变压器\600089_特变电工股份有限公司2025年年度报告_2026-04-16.PDF,4038937,True
600550,保定天威保变电气股份有限公司2025年年度报告,2026-04-11,http://static.cninfo.com.cn/finalpage/2026-04-11/1225094301.PDF,research\source_docs\大型变压器\600550_保定天威保变电气股份有限公司2025年年度报告_2026-04-11.PDF,1278900,True
002028,2025年年度报告,2026-04-18,http://static.cninfo.com.cn/finalpage/2026-04-18/1225117829.PDF,research\source_docs\大型变压器\002028_2025年年度报告_2026-04-18.PDF,12340393,True
688676,2025年年度报告,2026-03-21,http://static.cninfo.com.cn/finalpage/2026-03-21/1225021733.PDF,research\source_docs\大型变压器\688676_2025年年度报告_2026-03-21.PDF,3666815,True
002270,2025年年度报告,2026-02-27,http://static.cninfo.com.cn/finalpage/2026-02-27/1224986242.PDF,research\source_docs\大型变压器\002270_2025年年度报告_2026-02-27.PDF,2503642,True
002922,2025年年度报告,2026-03-31,http://static.cninfo.com.cn/finalpage/2026-03-31/1225057623.PDF,research\source_docs\大型变压器\002922_2025年年度报告_2026-03-31.PDF,10052927,True
301012,2025年年度报告,2026-04-28,http://static.cninfo.com.cn/finalpage/2026-04-28/1225199673.PDF,research\source_docs\大型变压器\301012_2025年年度报告_2026-04-28.PDF,1235728,True
002112,2025年年度报告,2026-04-25,http://static.cninfo.com.cn/finalpage/2026-04-25/1225176994.PDF,research\source_docs\大型变压器\002112_2025年年度报告_2026-04-25.PDF,1026989,True
600019,宝钢股份2025年年度报告全文,2026-04-30,http://static.cninfo.com.cn/finalpage/2026-04-30/1225257227.PDF,research\source_docs\大型变压器\600019_宝钢股份2025年年度报告全文_2026-04-30.PDF,1905325,True
000959,北京首钢股份有限公司2025年年度报告(英文版),2026-04-18,http://static.cninfo.com.cn/finalpage/2026-04-18/1225115533.PDF,research\source_docs\大型变压器\000959_北京首钢股份有限公司2025年年度报告(英文版)_2026-04-18.PDF,146,False
000959,2025年年度报告,2026-04-18,http://static.cninfo.com.cn/finalpage/2026-04-18/1225115503.PDF,research\source_docs\大型变压器\000959_2025年年度报告_2026-04-18.PDF,1310825,True
600362,江西铜业股份有限公司2025年年度报告,2026-03-27,http://static.cninfo.com.cn/finalpage/2026-03-27/1225034758.PDF,research\source_docs\大型变压器\600362_江西铜业股份有限公司2025年年度报告_2026-03-27.PDF,3593578,True
