"code","name","report","revenue_100m","net_profit_100m","ocf_100m","ocf_net_profit_ratio","revenue_yoy_pct","net_profit_yoy_pct","gross_margin_pct","roe_pct","debt_ratio_pct","total_assets_100m","total_equity_100m","source"
"002155","湖南黄金","2025年报","501.81","14.88","14.99","1.01","80.26","75.77","6.15","19.05","13.47","94.36","81.65","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"601020","华钰矿业","2025年报","20.71","8.71","10.45","1.2","28.31","243.73","48.98","17.61","37.73","103.96","64.74","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"600301","华锡有色","2025年报","58.03","8.01","14.63","1.83","25.31","21.75","36.57","18.19","34.92","90.64","58.99","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"000426","兴业银锡","2025年报","55.55","17.04","24.88","1.46","30.09","11.4","57.59","19.6","40.76","171.52","101.61","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"600549","厦门钨业","2025年报","462.65","23.09","29.71","1.29","30.79","34.89","17.9","13.99","52.41","560.67","266.83","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"000657","中钨高新","2025年报","176.39","12.81","3.89","0.3","19.34","29.2","23.67","13.32","50.78","214.44","105.56","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"002378","章源钨业","2025年报","52.02","2.9","1.59","0.55","41.62","68.82","16.25","13.04","65.13","67.12","23.41","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"002842","翔鹭钨业","2025年报","24.09","1.44","1.1","0.77","37.71","260.56","14.36","13.66","56.97","28.05","12.07","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"600111","北方稀土","2025年报","425.63","22.51","11.15","0.5","29.11","124.17","12.21","9.56","35.89","481.28","308.57","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"600392","盛和资源","2025年报","149.91","8.39","7.33","0.87","31.83","304.94","10.66","7.79","31.88","207.65","141.44","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"000831","中国稀土","2025年报","31.82","1.73","4.66","2.7","5.11","160.15","16.65","3.65","13.1","57.37","49.85","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"600259","中稀有色","2025年报","58.2","1.28","9.27","7.27","-53.8","142.73","6.2","3.73","45.77","68.75","37.28","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"600010","包钢股份","2025年报","663.58","3.74","25.71","6.88","-2.54","41.19","9.66","0.72","59.48","1516.73","614.53","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"300748","金力永磁","2025年报","77.18","7.06","3.53","0.5","14.11","142.44","21.18","9.58","49.87","153.27","76.84","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"300224","正海磁材","2025年报","70.31","3.07","1.22","0.4","26.93","232.85","13.05","7.11","45.06","94.34","51.82","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"600366","宁波韵升","2025年报","54.64","3.31","3.49","1.05","8.39","247.95","17.81","5.48","41.88","107.64","62.56","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"603688","石英股份","2025年报","10.08","1.53","-0.6","-0.39","-16.71","-54.03","34.61","2.65","4.92","61.48","58.45","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"300395","菲利华","2025年报","20.16","4.43","2.62","0.59","15.76","41.04","47.38","10.15","21.37","73.63","57.89","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"600552","凯盛科技","2025年报","58.8","1.29","4.76","3.7","20.15","-8.2","18.06","3.04","61.64","123.16","47.24","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"688146","中船特气","2025年报","22.6","3.46","6.77","1.96","15.88","12.43","28.87","6.07","20.43","72.42","57.62","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"688268","华特气体","2025年报","14.19","1.35","2.61","1.93","1.7","-26.75","30.87","6.81","42.37","35.83","20.65","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"688106","金宏气体","2025年报","27.77","1.32","5.38","4.08","9.95","-34.44","29.71","4.26","56.26","77.78","34.02","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"300346","南大光电","2025年报","25.85","3.2","7.33","2.29","9.93","18","39.62","9.19","35.33","61.57","39.82","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"002409","雅克科技","2025年报","86.11","10","10.31","1.03","25.49","14.77","30.96","12.59","42.6","169.62","97.35","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"600378","昊华科技","2025年报","166.89","14.44","19.23","1.33","19.49","37.07","25.25","8.19","40.62","317.35","188.45","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"002971","和远气体","2025年报","16.64","0.6","2.28","3.78","8.55","-17.55","18.88","3.82","72.27","63.59","17.63","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"002549","凯美特气","2025年报","6.27","0.69","1.55","2.26","6.57","241.16","33.67","3.38","27.39","28.41","20.63","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
