"code","name","report","revenue_100m","net_profit_100m","ocf_100m","ocf_net_profit_ratio","revenue_yoy_pct","net_profit_yoy_pct","gross_margin_pct","roe_pct","debt_ratio_pct","total_assets_100m","total_equity_100m","source"
"002155","湖南黄金","2026一季报","188.3","5.96","2.13","0.36","43.51","79.21","5.24","7.08","12.83","100.61","87.71","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"601020","华钰矿业","2026一季报","2.22","0.31","-1.74","-5.71","-15.12","-33.07","56.79","0.7","39.15","105.45","64.17","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"600301","华锡有色","2026一季报","11.57","1.82","2","1.1","-7.01","18.54","41.51","3.72","30.85","84.02","58.1","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"000426","兴业银锡","2026一季报","21.3","13.38","12.17","0.91","85.32","257.32","69.07","13.17","41.4","196.89","115.37","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"600549","厦门钨业","2026一季报","157.43","11.07","-25.7","-2.32","86.99","189.14","21","6.24","55.62","639.28","283.73","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"000657","中钨高新","2026一季报","70.07","9.21","-21.36","-2.32","106.47","264.44","30.45","9.03","59.38","285.26","115.87","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"002378","章源钨业","2026一季报","26.31","3.81","-0.04","-0.01","121.76","795.78","26.87","15.08","70.3","91.7","27.24","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"002842","翔鹭钨业","2026一季报","11.48","2.51","-5.82","-2.32","138.65","2917.13","31.02","18.79","62.44","38.87","14.6","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"600111","北方稀土","2026一季报","118.59","9.18","-2.72","-0.3","27.69","113.12","13.22","3.65","36.83","505.26","319.16","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"600392","盛和资源","2026一季报","33.83","3.27","-5.95","-1.82","13.07","94.46","12.82","2.56","36.04","223.76","143.11","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"000831","中国稀土","2026一季报","8.21","1.39","0.86","0.62","12.79","90.8","20.84","2.84","11.05","57.65","51.28","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"600259","中稀有色","2026一季报","15.35","1.71","-4.27","-2.5","1.9","261.55","7.22","4.78","51.81","80.8","38.94","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"600010","包钢股份","2026一季报","133.14","-4.63","-18.11","3.91","-13.73","-1129.04","6.6","-0.89","59.83","1516.72","609.26","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"300748","金力永磁","2026一季报","20.36","1.93","3.58","1.86","16.05","20.09","21.83","2.51","50.5","159.59","79","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"300224","正海磁材","2026一季报","13.65","0.47","2.77","5.89","-6.45","-32.29","12.73","0.91","49.1","102.8","52.32","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"600366","宁波韵升","2026一季报","14.98","1.17","0.57","0.49","33.53","213.11","22.4","1.87","41.3","108.95","63.95","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"603688","石英股份","2026一季报","2.56","0.37","0.05","0.13","1.03","-30.29","36.27","0.63","5.18","62.01","58.79","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"300395","菲利华","2026一季报","6.22","1.44","0.21","0.14","53.04","36.77","50.74","3.06","21.4","76.46","60.1","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"600552","凯盛科技","2026一季报","14.55","0.28","0.07","0.24","15.07","17.07","18.24","0.65","61.93","125.78","47.89","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"688146","中船特气","2026一季报","7.01","1.01","-1.28","-1.27","36","16.86","30.2","1.74","19.2","72.62","58.68","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"688268","华特气体","2026一季报","3.84","0.34","0.53","1.56","13.7","-23.7","30.2","1.67","41.72","35.88","20.91","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"688106","金宏气体","2026一季报","6.63","0.05","0.48","9.89","6.53","-88.93","28.15","0.15","53.5","80.66","37.51","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"300346","南大光电","2026一季报","6.62","1.24","1","0.81","5.45","29.97","41.86","3.5","33.87","61.27","40.52","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"002409","雅克科技","2026一季报","19.73","2.67","-0.42","-0.16","-6.85","2.47","31.25","3.34","35.7","176.54","113.51","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"600378","昊华科技","2026一季报","42.31","3.08","-7.51","-2.44","34.02","66.73","23.97","1.67","40.2","322.27","192.72","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"002971","和远气体","2026一季报","3.92","0.18","0.05","0.26","10.54","-28.39","20.11","1.06","68.6","67.3","21.13","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"002549","凯美特气","2026一季报","1.54","0.11","-0.07","-0.66","-5.56","-66.2","30.91","0.52","28.43","29","20.76","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
