company,code,market,segment,market_cap,purity,entry_class,screen_note,source
湖南黄金,002155,A股,锑/黄金,346.91亿元,中,A/B/C,进入A股硬筛,腾讯行情20260713
华钰矿业,601020,A股,锑/多金属,156.45亿元,高,A/B/C,进入A股硬筛,腾讯行情20260713
华锡有色,600301,A股,锑/锡/锌,289.65亿元,高,A/B/C,进入A股硬筛,腾讯行情20260713
兴业银锡,000426,A股,银/锡/铅锌,540.68亿元,中,A/B/C,邻近战略矿物但超出五类核心,腾讯行情20260713
厦门钨业,600549,A股,钨/稀土/电池材料,938.90亿元,中高,A/B/C,进入A股硬筛,腾讯行情20260713
中钨高新,000657,A股,钨硬质合金,1580.44亿元,高,A/B/C,进入A股硬筛,腾讯行情20260713
章源钨业,002378,A股,钨资源/制品,319.58亿元,高,A/B/C,进入A股硬筛,腾讯行情20260713
翔鹭钨业,002842,A股,钨制品,121.61亿元,高,A/B,进入A股硬筛,腾讯行情20260713
北方稀土,600111,A股,轻稀土,1409.15亿元,高,A/B/C,进入A股硬筛,腾讯行情20260713
盛和资源,600392,A股,稀土/海外资源,407.71亿元,高,A/B/C,进入A股硬筛,腾讯行情20260713
中国稀土,000831,A股,中重稀土,477.34亿元,高,A/B/C,进入A股硬筛,腾讯行情20260713
中稀有色,600259,A股,中重稀土,264.94亿元,高,A/B,进入A股硬筛,腾讯行情20260713
包钢股份,600010,A股,钢铁/稀土矿权益,936.18亿元,低,A/C,进入A股硬筛但主题纯度低,腾讯行情20260713
金力永磁,300748,A股,稀土永磁,365.22亿元,高,A/B/C,进入A股硬筛,腾讯行情20260713
正海磁材,300224,A股,稀土永磁,107.03亿元,高,A/B,进入A股硬筛,腾讯行情20260713
宁波韵升,600366,A股,稀土永磁,150.90亿元,高,A/B,进入A股硬筛,腾讯行情20260713
石英股份,603688,A股,高纯石英,330.42亿元,高,A/B/C,进入A股硬筛,腾讯行情20260713
菲利华,300395,A股,石英玻璃材料,517.42亿元,高,A/B/C,进入A股硬筛,腾讯行情20260713
凯盛科技,600552,A股,显示/石英材料,188.17亿元,低,A/B,进入A股硬筛但主题纯度低,腾讯行情20260713
中船特气,688146,A股,电子特气,1294.41亿元,高,A/B/C,进入A股硬筛,腾讯行情20260713
华特气体,688268,A股,电子特气,265.71亿元,高,A/B/C,进入A股硬筛,腾讯行情20260713
金宏气体,688106,A股,综合气体/电子气,200.66亿元,中,A/B,进入A股硬筛,腾讯行情20260713
南大光电,300346,A股,电子材料/特气,484.85亿元,中,A/B/C,进入A股硬筛,腾讯行情20260713
雅克科技,002409,A股,电子材料,899.60亿元,中,A/B/C,进入A股硬筛,腾讯行情20260713
昊华科技,600378,A股,氟化工/电子特气,704.21亿元,中,A/B/C,进入A股硬筛,腾讯行情20260713
和远气体,002971,A股,工业气/电子气,101.67亿元,中,A/B,进入A股硬筛,腾讯行情20260713
凯美特气,002549,A股,尾气回收/电子气,124.33亿元,中,A/B,进入A股硬筛,腾讯行情20260713
MP Materials,MP,美股,稀土矿/磁材,89.4亿美元,高,B/C,亏损且估值依赖磁材项目兑现,StockAnalysis 20260713
Energy Fuels,UUUU,美股,铀/稀土/钒,34.0亿美元,中,B/C,亏损且战略矿物业务分散,StockAnalysis 20260713
Perpetua Resources,PPTA,美股,锑金项目,24.3亿美元,高,B/C,开发期无收入,StockAnalysis 20260713
United States Antimony,UAMY,美股,锑加工/资源,9.07亿美元,高,A/B,亏损且PS高,StockAnalysis 20260713
Lynas Rare Earths,LYC.AX,澳股,稀土矿/分离,未同日核验,高,A/B/C,海外稀土龙头但本轮缺双源同日财务,公司/交易所公开资料
Iluka Resources,ILU.AX,澳股,矿砂/稀土,未同日核验,中,B/C,稀土项目占比尚在爬坡,公司/交易所公开资料
Arafura Rare Earths,ARU.AX,澳股,稀土项目,未同日核验,高,B,开发期与融资风险,公司/交易所公开资料
Almonty Industries,AII/ALM,纳斯达克/多伦多,钨项目,未同日核验,高,A/B,项目投产与融资风险,公司/交易所公开资料
Kennametal,KMT,美股,硬质合金/刀具,25.9亿美元,中,C,PE约19.15但更偏下游加工,StockAnalysis 20260713
Sandvik,SAND.ST,瑞典,硬质合金/矿山工具,未同日核验,低,C,大集团且战略矿物收入纯度低,公司/交易所公开资料
Linde,LIN,美股,工业气/电子气,2422.5亿美元,低,C,PE约34.73且电子特气占比低,StockAnalysis 20260713
Air Products,APD,美股,工业气/电子气,675.7亿美元,低,C,PE约32.14且电子特气占比低,StockAnalysis 20260713
Air Liquide,AI.PA,法国,工业气/电子气,未同日核验,低,C,大集团且主题纯度低,公司/交易所公开资料
Kanto Denka,4047.T,日本,含氟电子气,未同日核验,中,A/B,关键电子气供应商但本轮财务未双源,公司/交易所公开资料
Resonac,4004.T,日本,半导体材料/电子气,未同日核验,低,C,综合材料集团纯度低,公司/交易所公开资料
The Quartz Corp,Private,未上市,高纯石英,N/A,高,C,关键HPQ供应商但不可交易,USGS/公司公开资料
Sibelco,Private,未上市,高纯石英/工业矿物,N/A,中,C,关键供应商但不可交易,USGS/公司公开资料
Heraeus Conamic,Private,未上市,石英玻璃/耗材,N/A,中,C,关键供应商但不可交易,公司公开资料
