code,name,segment,purity,price,market_cap_100m,pe,ps,roe_pct,ocf_net_profit_ratio,debt_ratio_pct,moat_stars,pe_status,roe_status,ocf_status,debt_status,moat_status,passes,near,keep,decision_reason,q1_revenue_yoy_pct,q1_net_profit_yoy_pct,q1_net_profit_100m,source_time
002155,湖南黄金,锑/黄金,中,22.2,346.91,19.81,0.69,19.05,1.01,13.47,4,P,P,P,P,P,5,0,True,保留,43.51,79.21,5.96,20260713161445
601020,华钰矿业,锑/多金属,高,19.08,156.45,18.28,7.55,17.61,1.2,37.73,4,P,P,P,P,P,5,0,True,保留,-15.12,-33.07,0.31,20260713161444
600301,华锡有色,锑/锡/锌,高,45.79,289.65,34.93,4.99,18.19,1.83,34.92,4,P,P,P,P,P,5,0,True,保留,-7.01,18.54,1.82,20260713161434
000426,兴业银锡,银/锡/铅锌,中,30.45,540.68,20.27,9.73,19.6,1.46,40.76,4,P,P,P,P,P,5,0,True,保留,85.32,257.32,13.38,20260713161457
600549,厦门钨业,钨/稀土/电池材料,中高,59.14,938.9,30.95,2.03,13.99,1.29,52.41,4,P,N,P,P,P,4,1,True,保留,86.99,189.14,11.07,20260713161434
000657,中钨高新,钨硬质合金,高,69.36,1580.44,81.09,8.96,13.32,0.3,50.78,4,F,N,F,P,P,2,1,False,PE; 现金流; 1项仅接近,106.47,264.44,9.21,20260713161457
002378,章源钨业,钨资源/制品,高,26.6,319.58,50.79,6.14,13.04,0.55,65.13,4,N,N,N,F,P,1,3,False,负债率; 3项仅接近,121.76,795.78,3.81,20260713161451
002842,翔鹭钨业,钨制品,高,37.17,121.61,31.51,5.05,13.66,0.77,56.97,3,P,N,P,P,P,4,1,True,保留,138.65,2917.13,2.51,20260713161436
600111,北方稀土,轻稀土,高,38.98,1409.15,51.46,3.31,9.56,0.5,35.89,5,N,N,N,P,P,2,3,False,3项仅接近,27.69,113.12,9.18,20260713161443
600392,盛和资源,稀土/海外资源,高,23.26,407.71,40.85,2.72,7.79,0.87,31.88,4,N,F,P,P,P,3,1,False,ROE; 1项仅接近,13.07,94.46,3.27,20260713161458
000831,中国稀土,中重稀土,高,44.98,477.34,200.13,15.0,3.65,2.7,13.1,4,F,F,P,P,P,3,0,False,PE; ROE,12.79,90.8,1.39,20260713161433
600259,中稀有色,中重稀土,高,78.75,264.94,105.47,4.55,3.73,7.27,45.77,3,F,F,P,P,P,3,0,False,PE; ROE,1.9,261.55,1.71,20260713161431
600010,包钢股份,钢铁/稀土矿权益,低,2.07,936.18,-698.43,1.41,0.72,6.88,59.48,3,F,F,P,P,P,3,0,False,PE; ROE,-13.73,-1129.04,-4.63,20260713161447
300748,金力永磁,稀土永磁,高,26.55,365.22,49.5,4.73,9.58,0.5,49.87,4,F,F,N,P,P,2,1,False,PE; ROE; 1项仅接近,16.05,20.09,1.93,20260713161451
300224,正海磁材,稀土永磁,高,11.5,107.03,37.57,1.52,7.11,0.4,45.06,3,F,F,F,P,P,2,0,False,PE; ROE; 现金流,-6.45,-32.29,0.47,20260713161424
600366,宁波韵升,稀土永磁,高,13.73,150.9,36.79,2.76,5.48,1.05,41.88,3,N,F,P,P,P,3,1,False,ROE; 1项仅接近,33.53,213.11,1.17,20260713161500
603688,石英股份,高纯石英,高,61,330.42,240.56,32.78,2.65,-0.39,4.92,4,F,F,F,P,P,2,0,False,PE; ROE; 现金流,1.03,-30.29,0.37,20260713161453
300395,菲利华,石英玻璃材料,高,98.42,517.42,107.39,25.67,10.15,0.59,21.37,4,F,N,N,P,P,2,2,False,PE; 2项仅接近,53.04,36.77,1.44,20260713161406
600552,凯盛科技,显示/石英材料,低,19.92,188.17,141.76,3.2,3.04,3.7,61.64,3,F,F,P,N,P,2,1,False,PE; ROE; 1项仅接近,15.07,17.07,0.28,20260713161455
688146,中船特气,电子特气,高,244.5,1294.41,359.43,57.27,6.07,1.96,20.43,5,F,F,P,P,P,3,0,False,PE; ROE,36,16.86,1.01,20260713161435
688268,华特气体,电子特气,高,208.1,265.71,212.85,18.73,6.81,1.93,42.37,4,F,F,P,P,P,3,0,False,PE; ROE,13.7,-23.7,0.34,20260713161434
688106,金宏气体,综合气体/电子气,中,37.48,200.66,216.25,7.23,4.26,4.08,56.26,3,F,F,P,P,P,3,0,False,PE; ROE,6.53,-88.93,0.05,20260713161435
300346,南大光电,电子材料/特气,中,70.15,484.85,139.17,18.76,9.19,2.29,35.33,4,F,F,P,P,P,3,0,False,PE; ROE,5.45,29.97,1.24,20260713161442
002409,雅克科技,电子材料,中,189.02,899.6,89.36,10.45,12.59,1.03,42.6,4,F,F,P,P,P,3,0,False,PE; ROE,-6.85,2.47,2.67,20260713161442
600378,昊华科技,氟化工/电子特气,中,54.59,704.21,44.92,4.22,8.19,1.33,40.62,4,N,N,P,P,P,3,2,False,2项仅接近,34.02,66.73,3.08,20260713161434
002971,和远气体,工业气/电子气,中,48.27,101.67,191.19,6.11,3.82,3.78,72.27,3,F,F,P,F,P,2,0,False,PE; ROE; 负债率,10.54,-28.39,0.18,20260713161442
002549,凯美特气,尾气回收/电子气,中,17.88,124.33,261.54,19.83,3.38,2.26,27.39,3,F,F,P,P,P,3,0,False,PE; ROE,-5.56,-66.2,0.11,20260713161427
