"slug","title","price","market_cap","revenue_ttm","pe_raw","url","status"
"mp","MP Materials (MP) Stock Price &amp; Overview","USD","8.94B","347.57M","""n/a""","https://stockanalysis.com/stocks/mp/","OK"
"uuuu","Energy Fuels (UUUU) Stock Price &amp; Overview","USD","3.40B","84.86M","""n/a""","https://stockanalysis.com/stocks/uuuu/","OK"
"ppta","Perpetua Resources (PPTA) Stock Price &amp; Overview","USD","2.43B","n/a","""n/a""","https://stockanalysis.com/stocks/ppta/","OK"
"uamy","United States Antimony (UAMY) Stock Price &amp; Overview","USD","907.04M","39.04M","""n/a""","https://stockanalysis.com/stocks/uamy/","OK"
"lin","Linde (LIN) Stock Price &amp; Overview","USD","242.25B","34.66B","""34.73""","https://stockanalysis.com/stocks/lin/","OK"
"apd","Air Products and Chemicals (APD) Stock Price &amp; Overview","USD","67.57B","12.46B","""32.14""","https://stockanalysis.com/stocks/apd/","OK"
"kmt","Kennametal (KMT) Stock Price &amp; Overview","USD","2.59B","2.14B","""19.15""","https://stockanalysis.com/stocks/kmt/","OK"
"lyscf","","","","","","https://stockanalysis.com/stocks/lyscf/","Response status code does not indicate success: 404 (Not Found)."
"ilkaf","","","","","","https://stockanalysis.com/stocks/ilkaf/","Response status code does not indicate success: 404 (Not Found)."
"araff","","","","","","https://stockanalysis.com/stocks/araff/","Response status code does not indicate success: 404 (Not Found)."
"sdvky","","","","","","https://stockanalysis.com/stocks/sdvky/","Response status code does not indicate success: 404 (Not Found)."
"almff","","","","","","https://stockanalysis.com/stocks/almff/","Response status code does not indicate success: 404 (Not Found)."
