"code","name","price","pct_change","turnover_rate","pe","market_cap_100m","pb","source_time","total_shares"
"002155","湖南黄金","22.2","-6.57","3.14","19.81","346.91","4.21","20260713161445","1562651316"
"601020","华钰矿业","19.08","-8.27","3.53","18.28","156.45","3.69","20260713161444","819964698"
"600301","华锡有色","45.79","-7.29","5.2","34.93","289.65","6.12","20260713161434","632567479"
"000426","兴业银锡","30.45","-7.73","2.81","20.27","540.68","4.99","20260713161457","1775635739"
"600549","厦门钨业","59.14","-6.65","3.54","30.95","938.9","5.31","20260713161434","1587585826"
"000657","中钨高新","69.36","-7.16","4.67","81.09","1580.44","15.56","20260713161457","2278604400"
"002378","章源钨业","26.6","-2.81","3.32","50.79","319.58","12.41","20260713161451","1201417666"
"002842","翔鹭钨业","37.17","5.15","25.23","31.51","121.61","8.60","20260713161436","327172422"
"600111","北方稀土","38.98","-8.3","2.87","51.46","1409.15","5.61","20260713161443","3615065842"
"600392","盛和资源","23.26","-4.24","4.91","40.85","407.71","3.17","20260713161458","1752826570"
"000831","中国稀土","44.98","-5.94","2.92","200.13","477.34","9.71","20260713161433","1061220807"
"600259","中稀有色","78.75","-6.06","3.73","105.47","264.94","7.34","20260713161431","336435910"
"600010","包钢股份","2.07","-4.61","1.69","-698.43","936.18","1.81","20260713161447","45226032948"
"300748","金力永磁","26.55","-7.46","2.95","49.50","365.22","4.96","20260713161451","1375589297"
"300224","正海磁材","11.5","-6.35","2.53","37.57","107.03","2.14","20260713161424","930700417"
"600366","宁波韵升","13.73","-9.97","6.42","36.79","150.9","2.42","20260713161500","1099041051"
"603688","石英股份","61","-6.87","3.43","240.56","330.42","5.69","20260713161453","541678289"
"300395","菲利华","98.42","-4.59","4.51","107.39","517.42","10.20","20260713161406","525727082"
"600552","凯盛科技","19.92","-9.99","9.41","141.76","188.17","4.41","20260713161455","944606894"
"688146","中船特气","244.5","-16.83","15.28","359.43","1294.41","22.46","20260713161435","529411765"
"688268","华特气体","208.1","6.6","8.99","212.85","265.71","14.68","20260713161434","127682038"
"688106","金宏气体","37.48","8.99","13.53","216.25","200.66","6.18","20260713161435","535384888"
"300346","南大光电","70.15","-5.55","9.31","139.17","484.85","14.23","20260713161442","691156903"
"002409","雅克科技","189.02","-8.76","10.81","89.36","899.6","11.31","20260713161442","475927678"
"600378","昊华科技","54.59","-9.89","6.91","44.92","704.21","3.90","20260713161434","1289999620"
"002971","和远气体","48.27","-9.76","14.47","191.19","101.67","5.70","20260713161442","210625000"
"002549","凯美特气","17.88","9.63","14.58","261.54","124.33","6.09","20260713161427","695347901"
