"symbol","code","name","prev_close","close","high","low","volume","amount_cny","source_date","source_time"
"sh600549","600549","厦门钨业","63.35","59.14","63.6","58.36","54972941","3325863508","2026-07-13","15:34:59"
"sz002155","002155","湖南黄金","23.76","22.2","23.22","22.12","49060297","1110007110.18","2026-07-13","16:30:00"
"sh601020","601020","华钰矿业","20.8","19.08","20.5","18.98","28982393","566588339","2026-07-13","15:34:59"
"sh600301","600301","华锡有色","49.39","45.79","48.83","45.01","14320151","668980734","2026-07-13","15:34:59"
"sz000426","000426","兴业银锡","33","30.45","32.3","30.39","49927427","1549290432.08","2026-07-13","16:29:45"
"sh600392","600392","盛和资源","24.29","23.26","25.04","23.23","86001815","2053553286","2026-07-13","15:34:59"
"sz002378","002378","章源钨业","27.37","26.6","28.09","26.45","39658060","1080026121.82","2026-07-13","16:30:00"
"sz002842","002842","翔鹭钨业","35.35","37.17","38.77","36.73","67742024","2552248402.32","2026-07-13","16:29:15"
"sh688146","688146","中船特气","293.99","244.5","309.78","237.33","22151297","5858644376","2026-07-13","15:34:59"
"sh688268","688268","华特气体","195.22","208.1","226.98","205","11481478","2469483336","2026-07-13","15:34:59"
