"symbol","name","price_cny","pct_change","high","low","turnover_pct","market_cap_cny_100m","source_time"
"600111","北方稀土","42.98","-6.61","45.98","41.42","4.49","1553.76","20260709161446"
"600549","厦门钨业","64.71","1.92","64.71","60.45","3.91","1027.33","20260709161437"
"600392","盛和资源","24.85","1.55","24.94","22.93","5.9","435.58","20260709161438"
"000657","中钨高新","75.99","2.76","76.46","71.06","4.63","1731.51","20260709161430"
"002155","湖南黄金","24.26","5.89","25.05","22.77","5.34","379.1","20260709161409"
"603688","石英股份","67.17","10.01","67.17","62.25","5.13","363.85","20260709161433"
"688268","XD华特气","229.21","6.85","229.98","207.53","5.78","292.66","20260709161447"
"688146","中船特气","363.6","9.85","370","328.6","9.67","1924.94","20260709161448"
"688106","金宏气体","38.05","5.4","38.22","34.85","10.54","203.71","20260709161448"
"002409","雅克科技","209","10","209","194.97","10.53","994.69","20260709161439"
