日期,摊薄每股收益(元),加权每股收益(元),每股收益_调整后(元),扣除非经常性损益后的每股收益(元),每股净资产_调整前(元),每股净资产_调整后(元),每股经营性现金流(元),每股资本公积金(元),每股未分配利润(元),调整后的每股净资产(元),总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重,非主营比重,主营利润比重,股息发放率(%),投资收益率(%),主营业务利润(元),净资产收益率(%),加权净资产收益率(%),扣除非经常性损益后的净利润(元),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),应收账款周转率(次),应收账款周转天数(天),存货周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),股东权益周转率(次),流动比率,速动比率,现金比率(%),利息支付倍数,长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),资产负债率(%),总资产(元),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),短期股票投资(元),短期债券投资(元),短期其它经营性投资(元),长期股票投资(元),长期债券投资(元),长期其它经营性投资(元),1年以内应收帐款(元),1-2年以内应收帐款(元),2-3年以内应收帐款(元),3年以内应收帐款(元),1年以内预付货款(元),1-2年以内预付货款(元),2-3年以内预付货款(元),3年以内预付货款(元),1年以内其它应收款(元),1-2年以内其它应收款(元),2-3年以内其它应收款(元),3年以内其它应收款(元)
2021-03-31,0.0617,0.06,0.06,,4.3922,4.3186,-0.1585,1.0741,1.9965,,1.0627,7.8234,1.0652,1.9996,1.9719,91.6935,1.8696,6.1659,1.4038,1.0627,,4.6447,-5.5245,404.0906,0.0033,,310135341.56,1.43,1.44,74294077.38,5.5173,,5.6566,0.0536,32.6513,2.7564,11.5714,7.7778,,0.5697,157.9779,3.2309,27.856,0.7562,0.8762,0.5116,14.2457,922.2852,-0.4605,75.7026,1.1328,,32.0959,107.4941,1.4743,,109.1026,27.7387,436.5154,,24.2974,6974056781.92,-0.0481,-0.0273,-2.5704,-0.1124,-13.7506,,,,17053617.33,,,,,,,,,,,,,,
2021-06-30,0.1503,0.15,0.15,0.15,4.4846,4.4117,0.122,1.0741,2.0858,,2.5783,7.4324,2.5904,2.5582,2.4742,92.056,2.0908,186.8355,41.6617,32.0514,,3.5939,-1.6598,302.1301,0.0014,,642221553.7,3.42,3.48,181952522.75,14.5846,93.6827,5.7743,0.134,61.2405,2.9392,10.2962,17.4822,2.3431,1.2389,145.2902,7.1231,25.2699,1.6311,0.908,0.5402,17.4694,1607.5325,-0.6576,76.9324,1.1274,144.907,29.9843,106.4213,1.4443,64.3028,107.9809,25.6974,464.338,53.0909,23.0676,7006995800.19,0.017,0.0209,0.8116,0.0907,11.2253,,,,17001440.9,,,,504359.7,701405.55,8359522.82,,553607.57,319717.71,,,1524389.91,1251301.18,64814976.06
2021-09-30,0.2295,0.23,0.23,,4.5634,4.4906,0.2446,1.0741,2.165,,3.8604,7.0732,3.9162,2.3784,2.2767,92.445,1.9786,22.9481,5.0287,3.8604,,3.4487,0.0638,308.5784,0.0009,,986128264.01,5.12,5.26,270466614.05,25.4949,33.8801,5.2522,3.981,103.0848,2.6192,10.2218,26.4142,,1.9793,136.4119,11.0481,24.4386,2.6084,0.9386,0.5392,9.7549,1634.9664,-0.715,76.7664,0.8397,,30.2653,105.7048,1.082,,106.861,26.0279,460.3772,,23.2336,7145595832.41,0.0211,0.0411,1.0658,0.1771,21.4946,,,,17001440.9,,,,,,,,,,,,,,
2021-12-31,0.3032,0.3,0.3,0.29,4.6164,4.557,0.5107,1.0726,2.2372,,4.9547,6.8145,5.0985,1.9584,1.9089,92.7022,1.8367,212.3544,46.0001,34.6964,,3.3693,-2.125,360.3727,0.0007,,1352392454.63,6.63,6.89,351172120.3,32.194,61.8409,6.621,5.9778,215.6324,1.6695,8.8079,40.8725,5.1341,2.7759,129.6877,14.7838,24.351,3.691,0.916,0.6176,29.1996,1495.0589,,75.4269,,136.1635,32.5787,,,65.0656,106.5422,28.4234,,55.3944,24.5731,7356908164.97,0.0309,0.0834,1.6841,0.3396,38.92,,,,17057073.76,,,,655059.7,528631.53,5502268.33,,181341.44,480351.7,,,4817965.77,1264846.23,61760689.08
2022-03-31,0.0796,0.08,0.08,,4.6963,4.6352,-0.07,1.0726,2.3151,,1.2848,6.0521,1.2926,1.7532,1.6339,93.5077,1.6408,7.96,1.695,1.2848,,3.2332,4.0002,355.2232,0.0026,,352925870.95,1.68,1.7,89648765.94,47.103,29.0974,6.9248,6.7872,34.0616,2.6423,8.1583,11.0317,,0.7878,114.2422,3.9534,22.7652,1.0419,0.9546,0.6262,16.8916,1261.667,,75.8001,,,31.9259,,,,105.2604,27.9346,,,24.1999,7447397362.08,-0.0144,-0.0113,-0.8792,-0.0467,-5.3343,,,,17057073.76,,,,,,,,,,,,,,
2022-06-30,0.2252,0.22,0.22,0.22,4.7797,4.7174,0.43,1.0726,2.399,,3.6727,7.3553,3.6759,2.9288,2.8189,92.0942,2.4559,207.8198,43.4793,33.8968,,3.2474,-1.9473,261.893,0.0009,,810620580.8,4.7,4.77,262068138.35,27.5436,49.8157,6.5817,5.1755,81.453,2.2099,7.5444,23.8589,2.749,1.4967,120.2646,7.6593,23.5008,1.9515,1.0259,0.7538,31.6777,2772.1549,,77.9609,,145.7194,28.2693,,,63.9006,103.3277,24.3131,,53.5007,22.0391,7369641891.58,0.0469,0.0701,1.9096,0.3182,37.0001,,,,17032713.76,,,,1042045.06,231107.2,5887192.68,,262734.43,41660.24,,,16495021.83,4676629.97,62614467.6
2022-09-30,0.2963,0.29,0.29,,4.8481,4.7841,0.6346,1.0726,2.4686,,4.9682,7.34,4.9043,2.7092,2.6148,92.1295,2.2038,29.6345,6.1126,4.9682,,3.3752,-3.0668,282.1171,0.0007,,1186403059.52,6.09,6.22,346073090.79,15.936,29.137,6.2378,0.3402,106.9311,2.525,8.2311,32.8026,,2.2253,121.332,11.8515,22.7819,2.8415,1.1519,0.7593,22.7931,4134.2102,,81.2784,,,23.0339,,,,101.0199,19.1116,,,18.7216,7169902967.01,0.0472,0.1064,2.1415,0.5683,68.4938,,,,17032713.76,,,,,,,,,,,,,,
2022-12-31,0.3601,0.36,0.36,0.34,4.9113,4.856,1.0284,1.0726,2.5357,,5.916,7.0992,5.8997,2.4181,2.36,92.3812,2.0571,231.1409,47.0633,37.9747,,3.2228,-3.377,305.4239,0.0006,,1493724506.43,7.49,7.77,413941301.91,6.0214,18.7456,6.3878,-0.5498,237.7297,1.5143,7.2073,49.9491,5.283,2.8679,125.5274,14.4478,24.9173,3.6744,1.2024,0.9505,52.0751,48186.3773,,80.6887,,151.7534,23.9331,,,62.3855,99.0687,20.6786,,53.1709,19.3113,7316456786.11,0.0587,0.169,2.8558,0.8749,101.2568,,,,16992230.36,,,,828044.15,231107.2,4810859.76,,453517.12,,,,12512905.52,3670640.68,57187116.57
2023-03-31,0.0922,0.09,0.09,,5.0042,4.9451,-0.0256,1.0726,2.6243,,1.5416,5.657,1.5285,2.1817,2.113,93.9655,1.9551,9.2249,1.8435,1.5416,,2.491,0.0348,267.7638,0.0022,,320838345.55,1.79,1.81,104703991.99,-2.7422,15.8911,6.5552,-3.4146,47.3609,1.9003,6.6082,13.6195,,0.7818,115.119,4.0127,22.4288,0.9517,1.3792,0.8971,30.7854,3795.0253,,83.6245,,,19.5822,,,,96.9907,16.3803,,,16.3755,7193095827.92,-0.0054,-0.0043,-0.2776,-0.0261,-3.124,,,,16992230.36,,,,,,,,,,,,,,
2023-06-30,0.2373,0.23,0.23,0.23,5.06,4.9922,0.2146,1.0726,2.6683,,3.8806,6.0013,3.8899,2.5331,2.4441,93.6376,2.1981,227.2202,44.9054,37.1512,,2.5125,-2.2475,245.4762,0.0009,-42.3801,778901760.77,4.66,4.69,280286894.28,17.7668,5.4047,5.8628,-0.2423,106.6594,1.6876,5.9481,30.2619,3.3423,1.7697,101.7122,8.8003,20.4538,2.1657,1.3878,0.9236,37.043,39480.3295,,82.7321,,156.9065,20.872,,,61.3122,96.5097,17.5551,,52.727,17.2679,7351781807.26,0.0199,0.0351,0.904,0.2032,24.1546,,,,17027793.8,,,,991249.87,593161.0,4621961.86,,1500764.57,249574.27,,,2680782.39,12343604.17,28312156.64
2023-09-30,0.3257,0.32,0.32,,5.1466,5.0784,0.4323,1.0726,2.7554,,5.2552,6.2134,5.3029,2.4457,2.3652,93.4258,2.0878,32.5721,6.3289,5.2552,,2.6878,-2.1195,263.3404,0.0006,,1165195033.53,6.29,6.39,386159682.41,16.0197,9.9127,6.1572,3.9102,149.0913,1.811,5.2293,51.6318,,2.5399,106.3034,12.2752,21.9956,3.1022,1.4974,1.1474,57.1361,50022.1099,,83.036,,,20.4296,,,,94.768,17.137,,,16.964,7450257572.66,0.0277,0.0697,1.3272,0.4112,49.0148,,,,17027793.81,,,,,,,,,,,,,,
2023-12-31,0.4114,0.41,0.41,0.41,5.2337,5.1671,0.8291,1.0726,2.8354,,6.5191,6.6934,6.6367,2.6258,2.5611,92.8834,2.122,252.6792,48.2794,40.0416,,2.6188,-3.8368,265.7393,0.0005,-48.5717,1559746694.67,7.87,8.14,493265670.42,10.7507,14.2446,6.5647,3.6754,297.3019,1.2109,5.3965,66.7096,6.0253,3.1275,115.1079,14.6823,24.5193,3.8218,1.5621,1.2496,76.7593,53593.0876,,82.9374,,163.6284,20.5729,,,60.1912,93.4489,17.364,,50.6864,17.0626,7585363018.9,0.0428,0.1314,2.0154,0.77,91.2305,,,,13725992.71,,,,3635724.42,585911.0,4355961.44,,278985.63,211574.27,,,2278493.18,11842012.1,22001816.85
2024-03-31,0.1386,0.14,0.14,,5.3623,5.2915,-0.1746,1.0726,2.9705,,2.1958,5.3752,2.1957,2.5527,2.4965,94.3391,2.1302,13.8551,2.5838,2.1958,,1.928,-1.26,218.0896,0.0015,0.1717,420248947.69,2.55,2.58,158981496.6,37.851,50.1919,7.1566,5.4442,45.1997,1.9912,4.7081,19.1158,,1.0308,87.3108,4.6128,19.5109,1.2277,1.8263,1.3595,60.3356,276452.0636,,84.9825,,,17.6712,,,,91.5538,14.3007,,,15.0175,7584703243.04,-0.0268,-0.0277,-1.2599,-0.1842,-22.7634,,,,13725992.71,,,,,,,,,,,,,,
2024-06-30,0.3724,0.36,0.36,0.37,5.4829,5.4077,0.0571,1.0726,3.0702,,5.7979,6.3393,5.8492,3.5977,3.4804,93.3031,2.9577,256.9655,46.8668,40.0062,,1.8451,-1.8708,184.4941,0.0005,-9.5667,959439815.71,6.74,6.86,439148849.45,16.6103,56.9091,8.3581,5.0205,82.9517,2.1699,5.5331,32.5316,3.9819,1.9776,91.0194,8.474,21.2414,2.3498,2.0506,1.4716,65.1951,675719.097,,85.3614,,175.4231,17.149,,,58.7198,88.8411,13.8045,,48.6603,14.6386,7720876431.88,0.0045,0.0089,0.1533,0.0607,7.5408,,,,6211246.27,,,,582440.5,106500.0,4844561.44,,2400571.19,220641.34,,,12684610.15,1797905.82,33692694.37
2024-09-30,0.5628,0.55,0.55,,5.659,5.5944,0.3314,1.0726,3.2605,,8.3665,7.1661,8.6337,3.9041,3.7533,92.3863,3.223,56.2793,9.9451,8.3665,,2.3111,-1.419,192.9179,0.0004,-9.319,1504129065.86,9.92,10.32,670188111.31,11.9266,72.784,9.9566,8.5312,111.7928,2.4152,6.4178,42.0707,,2.6787,100.7952,10.5172,25.6722,3.2061,2.1655,1.6154,76.3106,78377.9361,,84.1265,,,18.8685,,,,85.2761,15.5125,,,15.8735,8085855845.84,0.019,0.0493,0.5888,0.3104,37.7505,,,,6211246.27,,,,,,,,,,,,,,
2024-12-31,0.7138,0.7,0.7,0.72,5.8025,5.7447,0.7394,1.0726,3.3967,,10.4652,7.3688,10.872,3.8001,3.7398,92.1399,3.0822,303.8363,52.3626,44.5454,,2.3452,-4.4537,204.1679,0.0003,,2051364934.84,12.26,12.53,869924739.23,19.464,73.5166,10.8691,8.0885,262.206,1.373,6.4408,55.8935,7.384,3.5274,102.0582,13.5106,26.6457,4.197,2.4063,1.8318,113.5955,78142.8806,,85.071,,188.7431,17.5489,,,56.9437,82.9305,14.3866,,45.0724,14.929,8198902634.81,0.0319,0.1084,1.0358,0.7261,88.5708,,,,6211246.27,,,,582440.5,100000.0,4794561.44,,1192116.7,109681.21,,,178834.2,1320066.61,31621882.88
2025-03-31,0.2835,0.28,0.28,,6.0286,5.9638,0.1887,1.0726,3.6732,,4.024,4.644,4.0888,3.1519,3.052,95.1308,2.5967,28.3453,4.7018,4.024,,1.2198,-0.2929,152.5619,0.0007,,609347781.83,4.64,4.75,325223112.12,67.8274,104.5836,12.4258,11.6347,75.0033,1.1999,3.7946,23.7181,,1.5746,57.1574,5.1724,17.4,1.8453,2.632,2.1608,129.4362,-57120.4188,,85.5847,,,16.8432,,,,80.1511,13.9406,,,14.4153,8467163289.8,0.0173,0.0268,0.6657,0.1858,22.4529,,,,6211246.27,,,,,,,,,,,,,,
2025-06-30,0.4308,0.42,0.42,0.42,4.7053,4.6657,0.319,0.5941,2.8555,,7.9001,4.5022,8.0522,2.8661,2.8061,95.2079,2.3672,231.2196,49.1402,42.4036,,1.2105,-1.3363,162.4346,0.0004,,1280275319.12,8.99,9.18,656968576.04,87.8872,50.3755,11.5634,10.3614,209.7167,0.8583,4.3107,41.7569,7.7343,3.4015,52.9178,11.1565,16.1341,3.9694,2.7921,2.0426,119.207,-47353.9748,,86.291,,201.0137,15.8869,,,55.4399,79.3956,13.0695,,42.9279,13.709,8520869960.63,0.0175,0.0585,0.7405,0.4268,51.8746,,,,6211246.27,,,,1340653.72,563690.5,4894561.44,,2378356.5,665207.6,,,3841638.95,166502.0,32773150.36
2025-09-30,0.6722,0.66,0.66,,4.9257,4.8835,0.4918,0.5851,3.0943,,11.578,4.9917,12.1636,3.1246,3.094,94.7129,2.5499,67.2197,13.6467,11.578,,1.3087,-3.0805,165.8606,0.0002,,2056285707.97,13.48,14.16,1054201810.89,96.2623,55.2713,13.1547,12.2019,275.2315,0.981,4.8287,55.916,,4.7703,56.6002,14.5798,18.5188,5.6154,2.7835,2.079,121.1058,-101160.9096,,84.8409,,,17.8677,,,,75.8226,15.1052,,,15.1591,9072482063.84,0.0187,0.0847,0.7316,0.5588,66.0951,,,,6211246.27,,,,,,,,,,,,,,
2025-12-31,0.9663,0.95,0.95,0.98,5.2249,5.1942,0.9591,0.5925,3.37,,16.0039,5.8275,17.1262,3.713,3.6337,93.8533,3.0092,286.8271,54.896,47.502,,1.497,-3.0965,164.0535,0.0002,,2924288872.29,18.33,19.05,1526904667.59,80.2583,75.9916,17.059,15.084,448.1397,0.8033,5.905,60.9652,13.6231,5.6913,63.2544,16.6048,21.6805,6.6291,3.4256,2.5114,189.3901,-102879.9586,,86.5309,,222.371,15.5656,,,55.2653,71.1111,12.9773,,38.9129,13.4691,9435622401.27,0.0299,0.1588,0.9925,1.1793,141.4557,,,,6211246.27,,,,1052222.48,563690.5,4381695.27,,2362787.25,404465.0,,,914021.17,99340.08,32138957.2
2026-03-31,0.3878,0.38,0.38,,5.6126,5.5752,0.1362,0.5925,3.7511,,6.0231,5.0205,6.2163,3.8935,3.7359,94.7616,3.2182,38.7792,6.9093,6.0231,,0.8517,-0.1243,134.5552,0.0004,,945350276.94,6.84,7.08,593866044.97,43.5051,77.853,21.0301,18.8231,125.2081,0.7188,5.1376,17.518,,1.9316,46.5935,4.8003,18.7488,2.2237,3.9221,2.928,199.7513,-131403.7159,,87.1744,,,14.7126,,,,66.6465,12.255,,,12.8256,10060944980.43,0.0113,0.0212,0.3512,0.1649,19.7988,,,,6211246.27,,,,,,,,,,,,,,
