报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,18829704609.45,18829704609.45,,,,,,18113685117.72,17843337016.69,,,,,,,,,41017315.82,68952893.73,7445661.82,153466491.58,-534261.92,0.0,,6661.42,,,,,-209160.02,,,,2631639.79,,-15762679.96,,768426.93,703454379.89,60938.4,,941040.77,,702574277.52,96591314.05,,605982963.47,605982963.47,,595546380.34,,10436583.13,-2188851.31,-2188851.31,,,,,,-2188851.31,,,,,,,-2188851.31,,,,,603794112.16,593357529.03,10436583.13,0.38,0.38,定期报告,未审计,20260427,CNY,合并期末,2026-04-26T15:54:04
20251231,50181265325.14,50181265325.14,,,,,,48353389448.17,47096777246.54,,,,,,,,,160199206.31,345176046.94,26850152.79,726117736.14,-1730940.55,549626.92,,-14278482.2,,,,,364956.99,,,,18071762.37,-7218914.95,2866262.43,,-4243132.47,1823438329.14,548147.55,,41464614.91,,1782521861.78,272456532.07,,1510065329.71,1510065329.71,,1487994929.97,,22070399.74,-718412.15,-747528.65,,,,,,-747528.65,,,,,,,-747528.65,,,,29116.5,1509346917.56,1487247401.32,22099516.24,0.95,0.95,定期报告,是,20260410,CNY,合并期末,2026-04-09T19:02:05
20250930,41194424016.98,41194424016.98,,,,,,39930429303.24,39016450751.24,,,,,,,,,121687557.77,253171592.16,21607865.09,518735866.77,-1224329.79,460228.51,,-3406635.66,,,,,161716.99,,,,18061102.95,-21705.23,-3974544.13,,-263375.53,1274551273.13,247505.26,,35031297.1,,1239767481.29,189357394.47,,1050410086.82,1050410086.82,,1028799255.07,,21610831.75,-14136011.92,-14136011.92,,,,,,-14136011.92,,,,,,,-14136011.92,,,,,1036274074.9,1014663243.15,21610831.75,0.66,0.66,定期报告,未审计,20251028,CNY,合并期末,2025-10-27T18:58:07
20250630,28436386278.9,28436386278.9,,,,,,27646131645.76,27073691092.02,,,,,,,,,82419867.76,145806590.59,16535939.2,329339089.51,-1660933.32,344339.62,,-754627.63,,,,,286786.99,,,,13391738.79,-21704.63,-5199986.64,,,797956840.02,131738.64,,9909699.65,,788178879.01,115023575.27,,673155303.74,673155303.74,,655645999.98,,17509303.76,4502459.25,4502459.25,,,,,,4502459.25,,,,,,,4502459.25,,,,,677657762.99,660148459.23,17509303.76,0.42,0.42,定期报告,未审计,20250826,CNY,合并期末,2025-08-25T19:18:06
20250331,13121278586.44,13121278586.44,,,,,,12728710423.18,12482377847.39,,,,,,,,,29552957.22,56726486.44,7394847.43,153356305.16,-698020.46,350217.06,,-112769.24,,,,,154746.99,,,,12484267.65,,-4627075.43,,,400467333.23,4117.28,,1061219.95,,399410230.56,58689032.72,,340721197.84,340721197.84,,332326414.49,,8394783.35,-69202961.35,-69202961.35,,,,,,-69202961.35,,,,,,,-69202961.35,,,,,271518236.49,263123453.14,8394783.35,0.21,0.21,定期报告,未审计,20260427,CNY,合并期末,2025-04-22T16:52:09
20241231,27838535232.01,27838535232.01,,,,,,26764086423.08,25650408937.89,,,,,,,,,136761359.28,324035293.77,13873430.41,637719975.92,1287425.81,2479063.43,,-8389605.01,,,,,-183420.05,,,,21130148.91,-41547474.87,-4379502.95,,24262.94,1041103217.9,838878.69,,37197909.46,,1004744187.13,146711673.02,,858032514.11,858032514.11,,846543591.1,,11488923.01,2885337.75,2885337.75,,,,,,2885337.75,,,,,,,2885337.75,,,,,860917851.86,849428928.85,11488923.01,0.54,0.54,定期报告,是,20260410,CNY,合并期末,2025-04-10T20:58:05
20240930,20989478458.12,20989478458.12,,,,,,20165314750.48,19391410086.09,,,,,,,,,93939306.17,194874303.79,8133392.28,475961630.43,996031.72,1761894.24,,-2943046.33,,,,,-754616.79,,,,15574652.5,-33000000.0,-16147311.11,,900098.13,787793484.04,335870.32,,8456280.65,,779673073.71,103173238.32,,676499835.39,676499835.39,,666826170.54,,9673664.85,-2481895.56,-2481895.56,,,,,,-2481895.56,,,,,,,-2481895.56,,,,,674017939.83,664344274.98,9673664.85,0.43,0.43,定期报告,未审计,20251028,CNY,合并期末,2024-10-28T17:52:13
20240630,15134815481.78,15134815481.78,0.0,0.0,0.0,,,14606262574.9,14121244798.3,0.0,,0.0,0.0,0.0,0.0,0.0,,54130867.77,151640677.22,5497532.17,273671727.34,76972.1,1032953.61,0.0,-3021268.98,0.0,0.0,0.0,0.0,199272.94,,,,14727113.14,0.0,-14612173.93,,900098.13,526745948.18,315386.89,,7023128.13,,520038206.94,72388530.92,,447649676.02,447649676.02,,438076700.28,,9572975.74,1508287.6,1508287.6,0.0,0.0,0.0,0.0,0.0,1508287.6,,,,,,,1508287.6,,,,,449157963.62,439584987.88,9572975.74,0.28,0.28,定期报告,未审计,20250826,CNY,合并期末,2024-08-26T18:37:06
20240331,7818319389.83,7818319389.83,,,,,,7624028056.75,7375735149.14,,,,,,,,,22335293.0,75219035.01,4572304.06,146096547.26,69728.28,954004.93,,60375.94,,,,,-39142.06,,,,6224414.49,,-6193317.71,,840264.6,195183928.34,217846.89,,2706234.55,,192695540.68,26151788.16,,166543752.52,166543752.52,,162401970.99,,4141781.53,-15750783.04,-15750783.04,,,,,,-15750783.04,,,,,,,-15750783.04,,,,0.0,150792969.48,146651187.95,4141781.53,0.14,0.14,定期报告,未审计,20250423,CNY,合并期末,2024-04-26T20:12:08
20231231,23302874970.82,23302874970.82,0.0,0.0,0.0,,,22698991919.78,21644494213.25,0.0,,0.0,0.0,0.0,0.0,0.0,,98634062.9,345609457.68,22542490.96,586614457.69,1097237.3,4632644.71,0.0,-12666816.04,-1235340.81,6680318.93,0.0,0.0,800419.34,,,,9631277.25,-8152679.71,2069791.26,,1234101.81,596799144.95,938850.61,,10791885.32,,586946110.24,92450164.81,,494495945.43,494495945.43,,489103372.6,,5392572.83,336585.4,336585.4,0.0,0.0,0.0,0.0,0.0,336585.4,,,,,,,336585.4,,,,,494832530.83,489439958.0,5392572.83,0.41,0.41,定期报告,是,20250411,CNY,合并期末,2025-04-10T20:58:05
20230930,18752894037.77,18752894037.77,,,,,,18298722572.94,17520045073.33,,,,,,,,,67653930.91,206976844.5,14960305.99,488200103.05,886315.16,4460657.95,,-8306147.2,35563.45,,,,-1104083.6,,,,4548376.69,,-5770598.09,,,443539012.63,855278.93,,1927063.66,,442467227.9,50937935.57,,391529292.33,391529292.33,,384200450.71,,7328841.62,-959605.97,-959605.97,,,,,,-959605.97,,,,,,,-959605.97,,,,,390569686.36,383240844.74,7328841.62,0.32,0.32,定期报告,未审计,20241029,CNY,合并期末,2024-10-28T17:52:13
20230630,12978968234.91,12978968234.91,0.0,0.0,0.0,,,12650322101.31,12153198881.68,0.0,,0.0,0.0,0.0,0.0,0.0,,46867592.46,124163397.99,8761851.27,316524639.86,805738.05,4751381.21,0.0,-7208861.63,35563.45,0.0,0.0,0.0,-1574502.91,,,,4152566.87,0.0,-6790517.54,,0.0,317224818.39,639922.37,,562441.51,,317302299.25,32010008.42,,285292290.83,285292290.83,,279542109.65,,5750181.18,528376.0,528376.0,0.0,0.0,0.0,0.0,0.0,528376.0,,,,,,,528376.0,,,,,285820666.83,280070485.65,5750181.18,0.23,0.23,定期报告,未审计,20240827,CNY,合并期末,2024-08-26T18:37:06
20230331,5671570919.02,5671570919.02,,,,,,5548846024.23,5329317236.14,,,,,,,,,21415337.33,56832213.65,4403418.35,133635042.01,3242776.75,1885192.4,,60723.37,,,,,-469715.03,,,,2565072.53,37626.3,-5078102.64,,,119840499.32,306942.23,,326021.6,,119821419.95,8934115.0,,110887304.95,110887304.95,,106438032.49,,4449272.46,-630682.39,-630682.39,,,,,,-630682.39,,,,,,,-630682.39,,,,,110256622.56,105807350.1,4449272.46,0.09,0.09,定期报告,未审计,20240427,CNY,合并期末,2023-04-27T17:17:05
20221231,21040831859.08,21040831859.08,0.0,0.0,0.0,,,20526876549.26,19437780597.63,0.0,,0.0,0.0,0.0,0.0,0.0,,109326755.02,301667186.4,19694944.09,657390008.88,1017057.24,16606860.92,0.0,-9025405.68,-64843.4,0.0,0.0,0.0,4064896.72,,,,17824177.27,-29904037.49,-6289113.48,,5930400.06,496556227.22,1275189.88,,8765434.91,,489065982.19,53748542.65,,435317439.54,435317439.54,,439835000.94,,-4517561.4,-481167.0,-481167.0,0.0,0.0,0.0,0.0,0.0,-481167.0,,,,,,,-481167.0,,,,,434836272.54,439353833.94,-4517561.4,0.37,0.37,定期报告,是,20240326,CNY,合并期末,2023-03-27T21:12:05
20220930,16163543785.4,16163543785.4,,,,,,15734872887.14,14891388650.75,,,,,,,,,85752075.13,212182082.94,15946272.94,519179567.13,10424238.25,19843071.12,,-10784145.28,-24360.0,,,,3208600.0,,,,12588362.86,-3874216.97,-7160925.07,,,422648573.8,1058535.03,,3171430.23,,420535678.6,64317138.72,,356218539.88,356218539.88,,350332212.08,,5886327.8,-1077464.13,-1077464.13,,,,,,-1077464.13,,,,,,,-1077464.13,,,,,355141075.75,349254747.95,5886327.8,0.29,0.29,定期报告,未审计,20231027,CNY,合并期末,2022-10-24T19:22:08
20220630,11020905733.78,11020905733.78,0.0,0.0,0.0,,,10710515300.42,10149614845.5,0.0,,0.0,0.0,0.0,0.0,0.0,,60670307.48,142339513.65,10717684.7,335589653.43,11583295.66,13700508.76,0.0,-4883540.51,-24360.0,0.0,0.0,0.0,945000.0,,,,10394770.83,0.0,-6179166.18,,0.0,310667497.5,633608.03,,1777498.81,,309523606.72,38859838.63,,270663768.09,270663768.09,,266688489.67,,3975278.42,2664828.11,2664828.11,0.0,0.0,0.0,0.0,0.0,2664828.11,,,,,,,2664828.11,,,,,273328596.2,269353317.78,3975278.42,0.22,0.22,定期报告,未审计,20230822,CNY,合并期末,2022-08-22T18:02:04
20220331,5831484367.33,5831484367.33,,,,,,5729645366.25,5452889488.65,,,,,,,,,25669007.73,62543684.18,5356328.72,174634210.39,8552646.58,7629617.39,,-99437.89,,,,,359000.0,,,,489043.98,1465587.95,-8773673.48,,,95279521.64,4286500.01,,212752.43,,99353269.22,3670917.92,,95682351.3,95682351.3,,93647442.59,,2034908.71,-690.15,-690.15,,,,,,-690.15,,,,,,,-690.15,,,,,95681661.15,93646752.44,2034908.71,0.08,0.08,定期报告,未审计,20230428,CNY,合并期末,2022-04-21T17:12:03
20211231,19845826883.66,19845826883.66,,0.0,0.0,,,19455034656.77,18397522556.67,0.0,,0.0,0.0,0.0,0.0,0.0,,95911872.36,292943324.0,18379754.24,623376779.19,26900370.31,19046717.76,0.0,-4421466.84,-48720.0,0.0,0.0,0.0,642600.0,,,,21183527.25,-36022715.64,6574461.62,,80406.26,378829039.54,985777.37,,4538798.54,,375276018.37,10765943.49,,364510074.88,364510074.88,,363311573.62,,1198501.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,364510074.88,363311573.62,1198501.26,0.3,0.3,定期报告,是,20230328,CNY,合并期末,2022-03-21T20:07:03
20210930,13941781495.15,13941781495.15,,,,,,13625281062.52,12888482091.82,,,,,,,,,67171139.32,188823528.27,13303124.78,446681740.56,20819437.77,20007833.19,,-1959723.66,,,,,1644200.0,,,,2716329.81,2343926.24,-3837519.61,,,317407645.41,5607011.99,,3443286.51,,319571370.89,43725992.49,,275845378.4,275845378.4,,276599297.48,,-753919.08,2323780.64,2323780.64,,,,,,2323780.64,,,,,,,2323780.64,,,,,278169159.04,278923078.12,-753919.08,0.23,0.23,定期报告,未审计,20221025,CNY,合并期末,2021-10-22T17:07:04
20210630,8640893032.0,8640893032.0,,,,,,8426375480.88,7954456356.93,,,,,,,,,44215121.37,117158609.6,8111927.55,288333299.97,14100165.46,13422910.82,,-2298413.66,-104352.86,,,,1285480.0,,,,1600433.14,2355123.43,-3665941.31,,,213794232.72,1457915.13,,2687573.01,,212564574.84,31900104.67,,180664470.17,180664470.17,,181398996.8,,-734526.63,1944688.8,1944688.8,,,,,,1944688.8,,,,,,,1944688.8,,,,,182609158.97,183343685.6,-734526.63,0.15,0.15,定期报告,未审计,20220823,CNY,合并期末,2021-08-16T20:42:03
20210331,3964219096.96,3964219096.96,,,,,,3886799865.08,3634932983.04,,,,,,,,,19150772.36,48589190.54,3704073.95,171089226.98,9333618.21,8368067.04,,-2819448.35,,,,,3111000.0,,,,441827.94,,16898.81,,,78169510.28,598049.75,,2018597.76,,76748962.27,2632577.9,,74116384.37,74116384.37,,74058694.55,,57689.82,,,,,,,,,,,,,,,,,,,,74116384.37,74058694.55,57689.82,0.06,0.06,定期报告,未审计,20220422,CNY,合并期末,2021-04-26T21:02:03
20201231,15012652140.01,15012652140.01,,,,,,14639778810.73,13716043121.01,,,,,,,,,66057158.97,225647143.64,10733109.85,585904376.57,35393900.69,25699198.22,,-3642264.67,-48736.65,,,,-1474047.14,,,,17247221.44,-123900260.03,3628635.94,,,264732614.82,8187990.32,,8784727.02,,264135878.12,38908499.14,,225227378.98,225227378.98,,225265515.78,,-38136.8,165155.0,165155.0,,,,,,165155.0,,,,,,,165155.0,,,,,225392533.98,225430670.78,-38136.8,0.19,0.19,定期报告,是,20220322,CNY,合并期末,2022-03-21T20:07:03
20200930,11109442425.33,11109442425.33,,,,,,10838743077.91,10189252621.94,,,,,,,,,42251775.4,168319876.12,24025605.0,391005248.84,23887950.61,23260578.16,,1468043.03,,,,,-2544190.0,,,,7326035.68,-46242618.25,322073.18,,,231028691.06,4822873.35,,7315741.06,,228535823.35,22496720.27,,206039103.08,206039103.08,,204115572.32,,1923530.76,2890895.07,2890895.07,,,,,,2890895.07,,,,,,,2890895.07,,,,,208929998.15,207006467.39,1923530.76,0.17,0.17,定期报告,未审计,20211023,CNY,合并期末,2020-10-26T18:37:03
20200630,7541056761.08,7541056761.08,,,,,,7431520033.82,7023632020.39,,,,,,,,,26270223.65,100689463.95,14687119.46,250153259.56,16087946.81,16484071.08,,1075943.03,-54671.37,,,,-2230610.0,,,,3015130.44,-942639.94,-956100.18,,0.0,109498450.61,3226808.6,,3248939.76,,109476319.45,16197735.0,,93278584.45,93278584.45,,91775136.69,,1503447.76,46597.0,46597.0,,,,,,46597.0,,,,,,,46597.0,,,,,93325181.45,91821733.69,1503447.76,0.08,0.08,定期报告,未审计,20210817,CNY,合并期末,2020-08-24T18:02:03
20200331,3756938820.35,3756938820.35,,,,,,3798752140.13,3624185447.69,,,,,,,,,10368420.15,43056883.33,6957039.44,104344021.59,9840327.93,9593884.66,,383328.63,,,,,-438000.0,,,,717449.57,,-1387135.3,,,-42537676.88,54311.0,,1441635.01,,-43925000.89,-4838491.54,,-39086509.35,-39086509.35,,-38238332.85,,-848176.5,246545.0,246545.0,,,,,,246545.0,,,,,,,246545.0,,,,,-38839964.35,-37991787.85,-848176.5,-0.03,-0.03,定期报告,未审计,20210427,CNY,合并期末,2020-04-27T23:22:04
20191231,13829217053.36,13829217053.36,,,,,,13571346868.94,12680536046.9,,,,,,,,,61776738.17,231007219.97,37640617.1,506543682.79,53842564.01,52559637.42,,-1304129.73,-32778.2,,,,-4659202.86,,,,4690994.0,-67458772.29,8729364.96,,541.84,197868980.34,7823537.85,,10911423.9,,194781094.29,39133229.62,,155647864.67,155647864.67,,159789350.8,,-4141486.13,162163.9,162163.9,,,,,,162163.9,,,,,,,162163.9,,,,,155810028.57,159951514.7,-4141486.13,0.13,0.13,定期报告,是,20210323,CNY,合并期末,2020-03-23T21:22:03
20190930,11324967644.22,11324967644.22,,,,,,11199222408.98,10530563009.58,,,,,,,,,43448854.74,194422635.72,26902108.96,361473356.91,42412443.07,44584406.14,,2211039.26,,,,,-698930.0,,,,1494978.45,,1100109.05,,,129852432.0,4784844.01,,7823844.08,,126813431.93,26337221.54,,100476210.39,100476210.39,,101443670.03,,-967459.64,865673.07,865673.07,,,,,,865673.07,,,,,,,865673.07,,,,,101341883.46,102309343.1,-967459.64,0.08,0.08,定期报告,未审计,20201027,CNY,合并期末,2020-03-13T16:00:40
20190630,8374948304.25,8374948304.25,,,,,,8278017595.39,7846312660.19,,,,,,,,,28627519.29,138137032.13,17835183.16,217030615.27,30074585.35,31512289.96,,1686494.19,-63229.1,,,,-703700.0,,,,1008155.86,,1090843.83,,,100012502.74,4483558.72,,7111752.46,,97384309.0,14330289.75,,83054019.25,83054019.25,,84041343.56,,-987324.31,-1414025.2,-1414025.2,,,,,,-1414025.2,,,,,,,-1414025.2,,,,,81639994.05,82627318.36,-987324.31,0.0699,0.0699,定期报告,未审计,20200825,CNY,合并期末,2020-03-13T16:00:40
20190331,4560995752.28,4560995752.28,,,,,,4509744478.01,4295791981.31,,,,,,,,,11705038.55,73027885.13,9223394.37,103285443.91,16710734.74,15731128.09,,296685.45,,,,,-666000.0,,,,413132.93,,662919.66,,0.0,51958012.31,113284.21,,2206465.33,,49864831.19,4419947.17,,45444884.02,45444884.02,,46919815.44,,-1474931.42,1174891.78,1174891.78,,,,,,1174891.78,,,,,,,1174891.78,,,,0.0,46619775.8,48094707.22,-1474931.42,0.04,0.04,定期报告,未审计,20200428,CNY,合并期末,2020-03-13T16:00:40
20181231,12460909715.71,12460909715.71,,,,,,12091289407.29,11230526132.35,,,,,,,,,64003674.29,238968846.68,36358861.26,474145719.43,47286173.28,51843653.74,,8853491.43,-72492.4,0.0,,,-985500.0,,,,9581018.49,-31626354.82,0.0,,1334357.27,356777320.79,11783617.52,,16945434.43,,351615503.88,92400277.42,,259215226.46,259215226.46,,270411427.8,,-11196201.34,-269892.87,-269892.87,,,,,,-269892.87,,,,,,,-269892.87,-269892.87,,,,258945333.59,270141534.93,-11196201.34,0.22,0.22,定期报告,是,20200324,CNY,合并期末,2020-03-13T16:00:40
20180930,9641093258.14,9641093258.14,,,,,,9397916797.33,8771827960.86,,,,,,,,,45513555.75,170775668.27,26233319.79,353350305.25,30215987.41,33354203.92,,6116425.09,,,,,0.0,,,,3947074.82,-38615112.19,,,1300808.42,215925656.95,1900456.24,,5129466.86,,212696646.33,40089393.78,,172607252.55,172607252.55,,179218533.2,,-6611280.65,291986.0,291986.0,,,,,,291986.0,,,,,,,291986.0,291986.0,,,0.0,172899238.55,179510519.2,-6611280.65,0.1491,0.1491,定期报告,未审计,20191025,CNY,合并期末,2020-03-13T16:00:40
20180630,6564656432.67,6564656432.67,,,,,,6398413010.17,6004377801.84,,,,,,,,,30116208.92,111434707.91,16952475.73,214192603.2,21339212.57,24007825.3,,5175135.53,,,,,0.0,,,,3498189.95,-9657350.42,,,1300808.42,166560205.98,919389.18,,2133077.97,,165346517.19,27610342.39,,137736174.8,137736174.8,,138159744.62,,-423569.82,57426.03,57426.03,,,,,,57426.03,,,,,,,57426.03,57426.03,,,,137793600.83,138217170.65,-423569.82,0.1149,0.1149,定期报告,未审计,20190823,CNY,合并期末,2020-03-13T16:00:40
20180331,3048574024.74,3048574024.74,,,,,,2998862356.03,2818041505.52,,,,,,,,,8552555.02,58023323.34,6681476.58,99774905.66,12391694.82,11055983.78,,2073915.96,,,,,0.0,,,,487000.85,,,,8369.45,52280954.97,1431520.3,,1093465.91,,52619009.36,1368734.89,,51250274.47,51250274.47,,51049366.95,,200907.52,471513.62,471513.62,,,,,,471513.62,,,,,,,471513.62,471513.62,,,0.0,51721788.09,51520880.57,200907.52,0.04,0.04,定期报告,未审计,20190424,CNY,合并期末,2020-03-13T16:00:40
20171231,10325751218.85,10325751218.85,,,,,,9945608706.05,9061197292.85,,,,,,,,,51760347.57,219810821.73,33053230.9,462906338.99,44499664.15,41348386.3,,10705338.24,-467065.25,,,,,,,,7201668.67,,,,-21378080.07,376671439.64,793411.24,,17329836.33,,360135014.55,66865829.23,,293269185.32,313449638.36,-20180453.04,302220650.94,,-8951465.62,643589.22,610643.64,,,,,,610643.64,,,,,,,,610643.64,,,32945.58,293912774.54,302831294.58,-8918520.04,0.25,0.25,定期报告,是,20190326,CNY,合并期末,2020-03-13T16:00:40
20170930,7909406096.76,7909406096.76,,,,,,7582607908.02,6929268062.59,,,,,,,,,28342842.88,173259731.17,24685839.87,330010251.35,33168182.05,31832841.02,,8221893.47,,,,,491886.0,,,,0.0,,,,-19650000.0,315861968.21,3731332.47,,9727498.73,,309865801.95,63720413.86,,246145388.09,246145388.09,,250367067.08,,-4221678.99,1364401.96,1331456.38,,,,,,1331456.38,,,,,,,,1331456.38,,,32945.58,247509790.05,251698523.46,-4188733.41,0.2083,0.2083,定期报告,未审计,20181026,CNY,合并期末,2020-03-13T16:00:40
20170630,4472777915.4,4472777915.4,,,,,,4254184724.49,3852120625.62,,,,,,,,,20104911.24,,16668596.02,327892537.26,19885531.16,,,4326307.68,,,,,362270.0,,,,,,,,-19650000.0,203631768.59,2573359.4,12800.0,4172335.43,22690396.7,202032792.56,43143357.67,,158889434.89,158889434.89,,162762926.98,,-3873492.09,2362255.25,2329309.67,,,,,,2329309.67,,,,,,,,2329309.67,,,32945.58,161251690.14,165092236.65,-3840546.51,0.1354,0.1354,定期报告,未审计,20180821,CNY,合并期末,2020-03-13T16:00:40
20170331,1380111481.33,1380111481.33,,,,,,1311287822.13,1098795295.05,,,,,,,,,10133990.81,,7902223.64,179306146.02,10328083.93,,,2631861.97,,,,,-2047295.0,,,,816562.88,,,,,70224789.05,234044.95,,3135614.84,2810740.06,67323219.16,2489230.62,,64833988.54,64833988.54,,66811262.94,,-1977274.4,660590.55,660590.55,,,,,,660590.55,,,,,,,,660590.55,,,,65494579.09,67471853.49,-1977274.4,0.06,0.06,定期报告,未审计,20180427,CNY,合并期末,2020-03-13T16:00:40
20161231,6781135190.45,6781135190.45,,,,,,6618132720.22,5712447019.68,,,,,,,,,41875073.72,,35704120.97,698464997.7,53337040.1,,,-10222691.46,-742259.59,,,,-150890.0,,,,,,,,-352677.05,152276211.72,7901092.75,576458.11,5910802.75,1839949.46,154266501.72,31287278.92,,122979222.8,136138135.12,-13158912.32,141900030.91,,-18920808.11,-701015.25,-668069.67,,,,,,-668069.67,,,,,,,,-668069.67,,,-32945.58,122278207.55,141231961.24,-18953753.69,0.12,0.12,定期报告,是,20180424,CNY,合并期末,2020-03-13T16:00:40
20160930,4958401889.24,4958401889.24,,,,,,4791512606.03,4206037669.5,,,,,,,,,18583407.45,,26979976.96,488757824.76,47138739.77,,,-43384588.22,,,,,-6263435.52,,,,,,,,,117241259.47,4054871.39,,22333236.6,,98962894.26,-1718336.86,,100681231.12,,,106535249.14,,-5854018.02,,,,,,,,,,,,,,,,,,,,100681231.12,106535249.14,-5854018.02,0.0941,0.0941,定期报告,未审计,20171028,CNY,合并期末,2020-03-13T16:00:40
20160630,3109816721.13,3109816721.13,,,,,,3028679651.88,2676256284.66,,,,,,,,,9464101.94,,17312062.0,296205136.71,30242275.66,,,-27678313.14,,,,,-18849494.48,,,,,,,,,34609261.63,3566400.33,653738.94,1634563.11,166644.83,36541098.85,-8564606.41,,45105705.26,,,48135500.07,,-3029794.81,,,,,,,,,,,,,,,,,,,,45105705.26,48135500.07,-3029794.81,0.0425,0.0425,定期报告,未审计,20170829,CNY,合并期末,2020-03-13T16:00:40
20160331,1355515656.91,1355515656.91,,,,,,1356942747.31,1184268303.33,,,,,,,,,4185994.39,,7117885.43,147597675.99,14499546.33,,,-18225038.28,,,,,833221.29,,,,,,,,,-18818907.39,1632231.08,226000.0,179732.15,20146.05,-17366408.46,-8445230.42,,-8921178.04,,,-6612900.09,,-2308277.95,,,,,,,,,,,,,,,,,,,,-8921178.04,-6612900.09,-2308277.95,-0.01,-0.01,定期报告,未审计,20170426,CNY,合并期末,2020-03-13T16:00:40
20151231,5792423427.74,5792423427.74,,,,,,5791544733.86,5021321755.65,,,,,,,,,19349476.88,,37694517.96,633612510.8,58392338.44,,,-2999714.12,-2484334.45,,,,1715446.34,,,,,,,,,-405573.9,31221968.34,98823.26,14232268.77,3978175.14,16584125.67,1938214.92,,14645910.75,,,24644118.38,3396476.91,-9998207.63,,,,,,,,,,,,,,,,,,,,14645910.75,24644118.38,-9998207.63,0.03,0.03,定期报告,是,20170314,CNY,合并期末,2020-03-13T16:00:40
20150930,4279653215.22,4279653215.22,,,,,,4275961305.48,3728293254.35,,,,,,,,,15089871.42,,29805646.55,461375705.35,42045684.54,,,-2075845.7,,,,,1621164.04,,,,,,,,,3237228.08,14865546.88,,11180077.25,,6922697.71,-6357806.61,,13280504.32,,,21884051.45,3396476.91,-8603547.13,,,,,,,,,,,,,,,,,,,,13280504.32,21884051.45,-8603547.13,0.0193,0.0193,定期报告,未审计,20161026,CNY,合并期末,2020-03-13T16:00:40
20150630,2926786411.55,2926786411.55,,,,,,2926042042.75,2563655531.24,,,,,,,,,10294695.55,,19887677.96,299222253.11,31848550.14,,,-2183181.22,,,,,-599491.96,,,,,,,,,-2038304.38,13585730.88,,9659905.67,2572164.89,1887520.83,-8455491.33,,10343012.16,,,16415977.3,3396476.91,-6072965.14,,,,,,,,,,,,,,,,,,,,10343012.16,16415977.3,-6072965.14,0.0145,0.0145,定期报告,未审计,20160823,CNY,合并期末,2020-03-13T16:00:40
20150331,1517217293.95,1517217293.95,,,,,,1539656397.28,1370023903.35,,,,,,,,,4558441.58,,13339391.35,138109492.71,12425225.7,,,-1251115.18,,,,,-516804.75,,,,,,,,,-24207023.26,7458713.02,464669.85,6926594.74,27962.6,-23674904.98,2168820.25,,-25843725.23,,,-21534364.76,3396476.91,-4309360.47,,,,,,,,,,,,,,,,,,,,-25843725.23,-21534364.76,-4309360.47,-0.02,-0.02,定期报告,未审计,20160422,CNY,合并期末,2020-03-13T16:00:40
