报告日,经营活动产生的现金流量,销售商品、提供劳务收到的现金,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,减少质押和定期存款所收到的现金,处置可供出售金融资产净增加额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,增加质押和定期存款所支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,18588777868.25,,,,,,,,,,,,9264258.09,18598042126.34,17648773227.49,,,,,,336661959.97,158297810.11,241503773.58,18385236771.15,212805355.19,,,,3242787.37,,,,,3242787.37,91888672.16,,,,,,91888672.16,-88645884.79,,5025505.92,5025505.92,,,,5025505.92,,,,699413.0,699413.0,4326092.92,,128485563.32,1915500541.99,,,,,2043986105.31,定期报告,未审计,20260427,CNY,合并期末,2026-04-26T15:54:05
20251231,,49772124220.0,,,,,,,,,,,49458522.72,114702024.01,49936284766.73,46270942912.64,,,,,,1018363126.22,695594984.02,452575957.33,48437476980.21,1498807786.52,,,,1932608.01,12397498.78,,,,14330106.79,325473058.3,,,,,7022.11,325480080.41,-311149973.62,,,,379140201.91,,0.0,379140201.91,409150201.91,303176105.1,26110979.37,28513837.52,740840144.53,-361699942.62,2752777.29,828710647.57,1086789894.42,1915500541.99,1086789894.42,,,1915500541.99,定期报告,是,20260410,CNY,合并期末,2026-04-09T19:02:05
20250930,,41133543525.93,,,,,,,,,,,53803010.57,53864329.87,41241210866.37,39008389063.43,,,,,,718018810.86,537763105.33,208570349.31,40472741328.93,768469537.44,,,,1030570.2,,,,,1030570.2,184345092.05,24238428.95,,,,,208583521.0,-207552950.8,,,,379140201.91,,,379140201.91,379181167.57,302095526.15,25166218.62,1903846.74,683180540.46,-304040338.55,,256876248.09,1086789894.42,,,,,1343666142.51,定期报告,未审计,20251028,CNY,合并期末,2025-10-27T18:58:15
20250630,,28407273670.28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,33762632.89,4754491.62,28445790794.79,26842077536.6,0.0,0.0,0.0,0.0,0.0,575219973.32,358012664.22,171983206.02,27947293380.16,498497414.63,,0.0,0.0,1030570.2,0.0,0.0,,,1030570.2,138189771.45,24238428.95,0.0,0.0,,0.0,162428200.4,-161397630.2,,0.0,0.0,309140201.91,,0.0,309140201.91,339208868.58,301979637.26,25166218.62,1249195.73,642437701.57,-333297499.66,0.0,3802284.77,1086789894.42,1090592179.19,1086789894.42,,,1090592179.19,定期报告,未审计,20250826,CNY,合并期末,2025-08-25T19:18:06
20250331,,13146617993.71,,,,,,,,,,,2665705.66,27977155.8,13177260855.17,12390345985.77,,,,,,332033478.99,113742289.54,114315827.26,12950437581.56,226823273.61,,,,,,,,,0.0,71538743.56,,,,,139876.96,71678620.52,-71678620.52,,,,309140201.91,,,309140201.91,309150201.91,350217.06,,,309500418.97,-360217.06,,154784436.03,1086789894.42,,,,,1241574330.45,定期报告,未审计,20260427,CNY,合并期末,2025-04-22T16:52:11
20241231,,27510144568.7,,,,,,,,,,,32280214.43,44139729.03,27586564512.16,24947915764.9,,,,,,908602546.59,489329520.48,351956769.26,26697804601.23,888759910.93,,29219128.27,348833.33,364169.0,,,,,29932130.6,369284929.29,,,,,489637.14,369774566.43,-339842435.83,,940800.0,940800.0,117524055.96,,,118464855.96,171444055.96,181210304.12,22920762.47,2266687.06,354921047.14,-236456191.18,619268.86,313080552.78,773709341.64,1086789894.42,773709341.64,,,1086789894.42,定期报告,是,20260410,CNY,合并期末,2025-04-10T20:56:06
20240930,,21406095888.76,,,,,,,,,,,22302228.69,48035998.61,21476434116.06,19815951236.25,,,,,,721088707.57,340375597.06,200670413.18,21078085954.06,398348162.0,,7497961.6,,51478.0,,,,,7549439.6,216021990.81,,,,,,216021990.81,-208472551.21,,940800.0,940800.0,82994842.75,,,83935642.75,135728435.63,170516441.16,12963628.1,,306244876.79,-222309234.04,,-32433623.25,773709341.64,,,,,741275718.39,定期报告,未审计,20251028,CNY,合并期末,2024-10-28T17:55:08
20240630,,15188674580.63,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,15796302.79,33110685.78,15237581569.2,14312952982.03,0.0,0.0,0.0,0.0,0.0,525770762.49,196099025.46,134152653.63,15168975423.61,68606145.59,,7497961.6,0.0,51478.0,0.0,0.0,,,7549439.6,149461004.03,0.0,0.0,0.0,,0.0,149461004.03,-141911564.43,,940800.0,0.0,66000200.0,,0.0,66941000.0,81910200.0,157230120.41,0.0,0.0,239140320.41,-172199320.41,0.0,-245504739.25,773709341.64,528204602.39,773709341.64,,,528204602.39,定期报告,未审计,20250826,CNY,合并期末,2024-08-26T18:35:12
20240331,,7613756167.38,,,,,,,,,,,15796302.79,23823259.9,7653375730.07,7362268644.36,,,,,,344712106.48,76183994.08,80038753.08,7863203498.0,-209827767.93,,,,,,,,,0.0,76648287.31,,,,,,76648287.31,-76648287.31,,940800.0,,26000000.0,,,26940800.0,26000000.0,954004.93,,,26954004.93,-13204.93,,-286489260.17,773709341.64,,,,,487220081.47,定期报告,未审计,20250423,CNY,合并期末,2024-04-26T20:10:12
20231231,,23274896025.61,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,17694427.93,60291993.07,23352882446.61,20619222027.59,0.0,0.0,0.0,0.0,0.0,876519838.17,366610934.79,493940196.4,22356292996.95,996589449.66,,10519680.56,36486.11,2414953.04,0.0,0.0,,,12971119.71,447214104.83,31892013.9,0.0,0.0,,0.0,479106118.73,-466134999.02,,0.0,0.0,2308352482.84,,40556320.0,2348908802.84,2542935850.29,126054867.56,1087802.12,40556320.0,2709547037.85,-360638235.01,795823.33,170612038.96,603097302.68,773709341.64,603097302.68,,,773709341.64,定期报告,是,20250411,CNY,合并期末,2024-03-25T20:25:04
