报告日,流动资产,货币资金,结算备付金,拆出资金,交易性金融资产,买入返售金融资产,衍生金融资产,应收票据及应收账款,应收票据,应收账款,应收款项融资,预付款项,应收股利,应收利息,应收保费,应收分保账款,应收分保合同准备金,应收出口退税,应收补贴款,应收保证金,内部应收款,其他应收款,其他应收款(合计),存货,划分为持有待售的资产,待摊费用,待处理流动资产损益,一年内到期的非流动资产,其他流动资产,流动资产合计,非流动资产,发放贷款及垫款,债权投资,其他债权投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,可供出售金融资产,长期股权投资,投资性房地产,长期应收款,其他权益工具投资,其他非流动金融资产,其他长期投资,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,在建工程合计,在建工程,工程物资,固定资产净额,固定资产清理,固定资产及清理合计,生产性生物资产,公益性生物资产,油气资产,合同资产,使用权资产,无形资产,开发支出,商誉,长期待摊费用,股权分置流通权,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,流动负债,短期借款,向中央银行借款,吸收存款及同业存放,拆入资金,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,合同负债,卖出回购金融资产款,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,应付保证金,内部应付款,其他应付款,其他应付款合计,其他应交款,担保责任赔偿准备金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,国际票证结算,国内票证结算,预提费用,预计流动负债,应付短期债券,划分为持有待售的负债,一年内的递延收益,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,应付债券：优先股,应付债券：永续债,租赁负债,长期应付职工薪酬,长期应付款,长期应付款合计,专项应付款,预计非流动负债,长期递延收益,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,所有者权益,实收资本(或股本),其他权益工具,优先股,永续债,资本公积,减:库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未确定的投资损失,未分配利润,拟分配现金股利,外币报表折算差额,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,2147001117.07,,,,,1108780.0,211291212.06,,211291212.06,368241154.06,133831593.01,,,,,,,,,,,233517958.81,1068575919.61,,,,,52098424.41,4215666159.03,,,,,,,,6211246.27,6463682.19,,500000.0,,,,,,,130959415.97,,,,,3586626822.57,,,,,2191061.55,773387796.61,,27437443.26,1199661761.74,,94076249.2,17763342.04,5845278821.4,10060944980.43,,,,,,,1429705.68,279643960.8,,279643960.8,,185237900.93,,,341988085.69,94727489.12,,244680.31,,,,156636816.99,,,,,,,,,,,,,,2572293.08,12600864.62,1074837116.91,,,,,,76443.39,,,20861140.17,,130266136.24,56697639.5,7098926.18,537272.08,215537557.56,1290374674.47,,1562651316.0,,,,925917042.71,,-195623.81,27327558.16,334754001.61,,,5861706657.91,,,8712160952.58,58409353.38,8770570305.96,10060944980.43,定期报告,未审计,20260427,CNY,合并期末,2026-04-26T15:54:04
20251231,,2006701326.05,,,0.0,,2563620.0,89483258.99,,89483258.99,406684334.45,12698996.94,,,,,,,,,,52261599.92,52261599.92,968562708.01,,,,,90633601.59,3629589445.95,,,,,,,,6211246.27,6711807.84,,500000.0,,,6643711904.52,2972041552.78,3671670351.74,33726442.42,50458608.59,50038712.85,419895.74,3637943909.32,,3637943909.32,,,,,2854636.14,759800493.94,,27437443.26,1191280066.79,,103763143.43,19071599.74,5806032955.32,9435622401.27,,0.0,,,,0.0,,261390384.75,,261390384.75,0.0,67748555.22,,,488724833.46,73405992.93,0.0,244680.31,,,159131644.77,159376325.08,,,,,,,,,,,,,,3021248.44,5892448.58,1059559788.46,,,,,,326901.03,0.0,20861140.17,20861140.17,,128764214.67,53251349.32,7590794.85,537272.08,211331672.12,1270891460.58,,1562651316.0,,,,925917042.71,,1993227.5,25282305.05,334754001.61,,,5266160277.57,,,8116758170.44,47972770.25,8164730940.69,9435622401.27,定期报告,是,20260427,CNY,合并期末,2026-04-09T19:02:04
20250930,,1408063063.03,,,,,,164873390.27,,164873390.27,256986192.16,353849407.26,,,,,,,,,,,131897638.91,819063956.97,,,,,101548447.94,3236282096.54,,,,,,,,6211246.27,6959933.49,,500000.0,,,,,,,185114515.19,,,,,3534228148.34,,,,,3356115.31,758480146.66,,27437443.26,1173238929.32,,111215983.44,29457506.02,5836199967.3,9072482063.84,,30000000.0,,,,,,243290898.32,,243290898.32,,222295033.0,,,418736228.35,83834487.78,,244680.31,,,,135569686.79,,,,,,,,,,,,,,2849713.33,26096164.02,1162672211.59,,,,,,1028232.12,,,22972301.17,,131163281.99,48378467.54,8550055.73,540755.99,212633094.54,1375305306.13,,1562651316.0,,,,914286298.01,,-11395255.77,23928842.66,306433182.47,,,4835285421.82,,,7631189805.19,65986952.52,7697176757.71,9072482063.84,定期报告,未审计,20251028,CNY,合并期末,2025-10-27T18:58:11
20250630,,1145538909.13,,,0.0,,,136718121.91,,136718121.91,196034719.01,209743062.0,,,,,,,,,,157797271.22,157797271.22,720254008.2,,,,,117028689.48,2683114780.95,,,,,,,,6211246.27,7208059.14,,500000.0,,,6597835102.61,2940001184.79,3657833917.82,76216910.79,152723098.74,151243645.75,1479452.99,3581617007.03,10937.49,3581627944.52,,,,,4019689.87,759488451.84,,27437443.26,1160712002.04,,111211468.44,26615775.56,5837755179.68,8520869960.63,,0.0,,,,0.0,,253323874.3,,253323874.3,0.0,112986697.27,,,368326599.65,79947091.75,0.0,244680.31,,,139077228.83,139321909.14,,,,,,,,,,,,,,2754348.39,4305482.9,960966003.4,,,,,,1778248.07,0.0,22972301.17,22972301.17,,132135493.4,40228949.36,9500981.7,540755.99,207156729.69,1168122733.09,,1562651316.0,,,,928365635.32,,7243215.4,24036287.1,306433182.47,,,4462132166.72,,,7290861803.01,61885424.53,7352747227.54,8520869960.63,定期报告,未审计,20250826,CNY,合并期末,2025-08-25T19:18:05
20250331,,1307590081.05,,,,,,215414841.64,,215414841.64,342751672.92,99357391.98,,,,,,,,,,,148346517.95,476086199.25,,,,,69385436.36,2658932141.15,,,,,,,,6211246.27,7456184.79,,500000.0,,,,,,,145256446.04,,,,,3575849790.0,,,,,4782648.39,770869180.92,,27437443.26,1171515124.03,,83070772.01,15282312.94,5808231148.65,8467163289.8,,30058666.67,,,,,,252548615.94,,252548615.94,,197991721.28,,,272365848.79,74924661.77,,244680.31,,,,161661595.07,,,,,,,,,,,,,,2594135.63,18074779.42,1010220024.57,,,,,,2788863.99,,,22814685.76,,133813304.22,40854107.94,9534685.58,537272.08,210342919.57,1220562944.14,,1202039474.0,,,,1289317677.17,,-66462205.2,22053434.23,306433182.47,,,4415281660.25,,,7168663222.92,77937122.74,7246600345.66,8467163289.8,定期报告,未审计,20250423,CNY,合并期末,2025-04-22T16:52:11
20241231,,1139870050.09,,,0.0,,,134470408.54,,134470408.54,258946002.56,90160421.31,,,,,,,,,,84308941.69,84308941.69,576474403.1,,,,,130363687.73,2414593915.02,,,,,,,,6211246.27,7704310.44,,500000.0,,,6489639195.87,2794199301.52,3695439894.35,76195206.16,75531603.28,75166849.71,364753.57,3619244688.19,10937.49,3619255625.68,,,,,5346838.98,782212789.37,,27437443.26,1166522695.13,,76185932.56,17400234.82,5784308719.79,8198902634.81,,30068666.67,,,,155736.99,,201619038.92,,201619038.92,83588.55,118883953.89,,,450932489.78,71983371.63,,244680.31,,,118855390.95,119100071.26,,,,,,,,,,,,,,2580198.26,8038955.42,1003446071.37,,,,,,3201593.93,,22972301.17,22972301.17,,132589584.33,51517017.76,9752218.25,537272.08,220569987.52,1224016058.89,,1202039474.0,,,,1289317677.17,,2740756.15,21857900.98,306433182.47,,,4082955245.76,,,6905344236.53,69542339.39,6974886575.92,8198902634.81,定期报告,是,20260410,CNY,合并期末,2025-04-10T20:56:06
20240930,,783454379.24,,,,,,297636114.88,,297636114.88,254333952.47,168593734.46,,,,,,,,,,,108570290.2,580491205.59,,,,21785913.26,70209557.17,2285075147.27,,,,,,,,6211246.27,7952436.09,,500000.0,,,,,,,133472920.63,,,,,3596173733.26,,,,,3502551.89,745942200.53,,27437443.26,1186252686.73,,80359472.88,12976007.03,5800780698.57,8085855845.84,,30058666.67,,,,786169.73,,242907992.66,,242907992.66,,196930422.1,,,347152496.8,62414015.72,,244680.31,,,,163849784.4,,,,,,,,,,,,,,1196407.12,9918352.57,1055214307.77,,,,,,2487303.59,,,28323328.07,,137579730.75,49769176.34,9586398.58,544442.1,228290379.43,1283504687.2,,1202039474.0,,,,1289317677.17,,-2626477.16,25791048.56,290884799.04,,,3919260421.43,,,6724666943.04,77684215.6,6802351158.64,8085855845.84,定期报告,未审计,20241029,CNY,合并期末,2024-10-28T17:55:10
20240630,,571360542.77,,,0.0,,,287036202.51,0.0,287036202.51,242755425.47,71846359.38,,,,,,,,,,84098301.89,84098301.89,526797739.08,,,,21785913.26,59995334.58,1865675818.94,,,,,,,,6211246.27,8202429.62,,500000.0,,,6398177292.65,2641177572.04,3756999720.61,64220101.87,79764918.93,78512491.62,1252427.31,3692779618.74,,3692779618.74,,,,,3906692.48,757006246.21,,27437443.26,1189356262.42,,76570607.97,13465147.04,5855200612.94,7720876431.88,,68078666.67,,,,,,248005776.65,,248005776.65,0.0,114934947.7,,,288957979.96,59717394.39,0.0,244680.31,,,118588502.78,118833183.09,,,,,,,,,,,,,,1588408.5,9686418.24,909802775.2,,,,,,2487303.59,0.0,25111405.17,25111405.17,,136009082.78,46587086.16,9687433.73,544442.1,220426753.53,1130229528.73,,1202039474.0,,,,1289317677.17,,1363706.0,26146769.28,290884799.04,,,3690510951.17,,,6500263376.66,90383526.49,6590646903.15,7720876431.88,定期报告,未审计,20240827,CNY,合并期末,2024-08-26T18:35:18
20240331,,534720632.94,,,16698.0,,,268074742.64,,268074742.64,182221984.15,124942976.33,,,,,,,,,,,73965394.84,430330868.41,,,,21438996.59,47731189.05,1683443482.95,,,,,,,,13725992.71,8453357.09,,500000.0,,,,,,,114890886.26,,,,,3685026900.56,,,,,,768010951.4,,27437443.26,1197886727.02,,72990394.88,12337106.91,5901259760.09,7584703243.04,,83988666.67,,,,,,311379319.78,,311379319.78,,73630595.8,,,256719703.52,41822254.82,,244680.31,,,,148940629.05,,,,,,,,,,,,,,,5295824.74,921776994.38,,,,,,,,,25111405.17,,135388633.48,47114469.42,9093476.21,544442.1,217252426.38,1139029420.76,,1202039474.0,,,,1289317677.17,,-15895364.64,23584135.63,290884799.04,,,3570627140.7,,,6360557861.9,85115960.38,6445673822.28,7584703243.04,定期报告,未审计,20240427,CNY,合并期末,2024-04-26T20:15:15
20231231,,817068438.24,,,55840.06,,,77870520.61,0.0,77870520.61,213940144.46,118611172.98,,,,,,,,,,46941130.98,46941130.98,341357728.81,0.0,,,21438996.59,69112775.56,1706396748.29,,,,,,,,13725992.71,8704284.56,,500000.0,0.0,,6387559113.72,2542808312.68,3844750801.04,112313325.76,57488123.83,56095758.24,1392365.59,3732437475.28,,3732437475.28,0.0,,0.0,,0.0,753562605.33,0.0,27437443.26,1201874022.48,,71025982.69,12210340.47,5878966270.61,7585363018.9,,83988666.67,,,,0.0,,242757431.05,0.0,242757431.05,0.0,195204763.58,,,415426974.55,35901730.68,0.0,244680.31,,,110992761.13,111237441.44,,,,,,,,,,,,,,0.0,7868944.33,1092385952.3,,,,,,,0.0,25111405.17,25111405.17,,133855100.17,33072379.24,9291102.57,544442.1,201874429.25,1294260381.55,,1202039474.0,,,,1289317677.17,,-144581.6,20746720.18,290884799.04,,,3408225169.71,,,6211069258.5,80033378.85,6291102637.35,7585363018.9,定期报告,是,20250411,CNY,合并期末,2024-04-26T20:15:15
20230930,,605734609.55,,,4053280.0,,,172670630.75,,172670630.75,239458963.39,113109246.09,,,,,,,,,,,45285206.68,371094530.95,,,,,36126106.22,1587532573.63,,,,,,,,17027793.81,8955212.03,,500000.0,,,,,,,132716862.79,,,,,3691106645.1,,,,,,668978703.75,,27437443.26,1195046704.0,,107430429.65,13525204.64,5862724999.03,7450257572.66,,76870000.0,,,,45591656.88,,266238246.24,,266238246.24,,152868044.11,,,360992668.91,55923201.4,,244680.31,,,,90016067.18,,,,,,,,,,,,,,,11661791.11,1060161675.83,,,,,,,,,27317552.17,,133385600.39,33315096.5,8472072.6,1206935.47,203697257.13,1263858932.96,,1202039474.0,,,,1289317677.17,,-1440772.97,22687398.99,279792318.49,,,3312048172.62,,,6104444268.3,81954371.4,6186398639.7,7450257572.66,定期报告,未审计,20231027,CNY,合并期末,2023-10-26T19:00:04
20230630,,395527615.62,,,3731306.0,,,164480307.4,0.0,164480307.4,217614191.67,77938926.51,,,,,,,,,,61206420.6,61206420.6,495641284.42,0.0,,,0.0,65645214.55,1481785266.77,,,,,,,,17027793.8,9206139.5,,500000.0,0.0,,6322359030.95,2445984554.64,3876374476.31,117918434.98,58080302.55,54500467.13,3579835.42,3758456041.33,,3758456041.33,0.0,,0.0,,0.0,677010350.56,0.0,27437443.26,1198200241.11,,109537543.95,14540684.43,5869996540.49,7351781807.26,,57860000.0,,,,45684562.19,,332074560.57,0.0,332074560.57,0.0,135981993.96,,,321369808.26,57882119.18,0.0,244680.31,,,106527677.82,106772358.13,,,,,,,,,,,,,,0.0,10127760.21,1067753162.5,,,,,,,0.0,27317552.17,27317552.17,,130933077.74,33618006.32,8667720.88,1206935.47,201743292.58,1269496455.08,,1202039474.0,,,,1289317677.17,,47209.0,22235328.9,279792318.49,,,3207389831.56,,,6000821839.12,81463513.06,6082285352.18,7351781807.26,定期报告,未审计,20230822,CNY,合并期末,2023-08-21T18:40:04
20230331,,303331124.92,,,2303980.0,,,160612240.79,,160612240.79,221282611.12,62472100.21,,,,,,,,,,,60959355.76,475044191.46,,,,,72915221.25,1358920825.51,,,,,,,,16992230.36,9457066.97,,500000.0,,,,,,,68995834.44,,,,,3712063310.04,,,,,,688440765.72,,27437443.26,1205777322.86,,90653115.46,13857913.3,5834175002.41,7193095827.92,,60000000.0,,,,43207988.31,,372535756.28,,372535756.28,,77837692.11,,,264456419.15,47853922.71,,244680.31,,,,114117409.78,,,,,,,,,,,,,,,5298229.46,985307417.8,,,,,,,,,27317552.17,,129821362.02,34246566.05,,1212154.28,192597634.52,1177905052.32,,1202039474.0,,,,1289317677.17,,-1111849.39,19713095.32,279792318.49,,,3154489701.8,,,5944240417.39,70950358.21,6015190775.6,7193095827.92,定期报告,未审计,20230428,CNY,合并期末,2023-04-27T17:20:08
20221231,,635719297.58,,,122026.72,,,78891873.83,0.0,78891873.83,295738312.41,56946476.17,,,,,,,,,,26494455.8,26494455.8,307558877.08,0.0,,,0.0,66409703.27,1467881022.86,,,,,,,,16992230.36,9707994.44,,500000.0,0.0,,6235793292.24,2345565496.51,3890227795.73,122783526.71,42895830.9,41252411.45,1643419.45,3767444269.02,,3767444269.02,0.0,,0.0,,0.0,673815249.75,0.0,27437443.26,1210025070.48,,98301673.34,14431009.94,5861550771.49,7329431794.35,,318513367.45,,,,0.0,,148089741.28,0.0,148089741.28,0.0,155554617.66,,,407390825.8,48706204.24,0.0,244680.31,,,129693831.27,129938511.58,,,,,,,,,,,,,,0.0,12581742.81,1220775010.82,,,,,,,0.0,27317552.17,27317552.17,,129104213.16,34463299.4,10623682.93,1212154.28,202720901.94,1423495912.76,,1202039474.0,,,,1289317677.17,,-481167.0,18332991.87,279792318.49,,,3050418225.06,,,5839419519.59,66516362.0,5905935881.59,7329431794.35,定期报告,是,20240326,CNY,合并期末,2023-03-27T21:15:02
