code,mkt,name,sectors,biz,latest_report,latest_notice,q1_revenue_yi,q1_np_yi,q1_rev_yoy_pct,q1_np_yoy_pct,ann_report,ann_revenue_yi,ann_np_yi,ann_rev_yoy_pct,ann_np_yoy_pct,roe_pct,gross_margin_pct,debt_asset_pct,ocf_np_ratio,ocf_rev_ratio,roic_pct,eps,price,pct_day,turnover_rate,pe_ttm,mkt_cap_yi,float_mkt_cap_yi,time,shares_total,last_date,r30_pct,r90_pct,avg30_amount_yi_est,quality_score
600089,SH,特变电工,变压器;柔直,大型/特高压变压器、换流变、输变电与新能源硅料,2026一季报,2026-04-30 00:00:00,249.61284684650002,18.1452951469,6.750421354504,13.395220256747,2025年报,973.1807703024001,59.5429495825,-0.600816118375,43.687328928891,8.7546,18.8023708851,55.6002375474,1.554850321659,0.095967943993,5.107692325007,1.161,20.05,-2.67,1.7,16.42,1013.08,1013.08,20260708161443,5052792571.0,2026-07-08,-21.893260615504484,-32.85331547220361,31.145027857,5.7
002028,SZ,思源电气,变压器;GIS;高压开关;配电,GIS/高压开关/互感器/电容器/变压器/配电设备平台,2026一季报,2026-04-25 00:00:00,45.6866386762,5.4995287075,41.595592307518,23.16986834821,2025年报,215.39031405330002,31.5014266504,39.338439172515,53.735272885299,22.63,30.7747999649,47.0482666977,0.685429729739,0.103731615001,22.043699449097,4.04,156.84,-5.09,1.47,37.72,1227.39,957.99,20260708161424,782573282.0,2026-07-08,-18.903826266804547,-29.731182795698917,24.067880850999998,5.3
688676,SH,金盘科技,变压器;配电,干式变压器、箱变、储能、数据中心与新能源配电,2026一季报,2026-04-24 00:00:00,15.227836943900002,1.1242559940999999,13.413878164326,4.833525871856,2025年报,72.9498663641,6.595387724,5.711280274295,14.817921516143,14.05,25.8529973007,57.8641191283,0.918759289959,0.082381593115,9.3790383928,1.44,77.35,-5.92,3.0,53.5,355.64,355.64,20260708161443,459784364.0,2026-07-08,-19.49417152373023,-23.567948933310934,1613.554448563,4.1
601179,SH,中国西电,变压器;GIS;高压开关;柔直,特高压一次设备国家队，变压器/GIS/断路器/换流阀,2026一季报,2026-04-28 00:00:00,55.239059435200005,3.4660077007,4.99334126784,17.53644677215,2025年报,238.1299898175,12.696795961400001,6.878046268084,20.445536546794,5.64,22.7485658663,46.968574771,1.813314218229,0.115345248262,5.349025706214,0.25,13.27,-2.28,1.65,51.48,680.2,680.2,20260708161457,5125882352.0,2026-07-08,-17.710529579560962,-15.671072699542455,25.21534542226667,4.0
600550,SH,保变电气,变压器;柔直,大型电力变压器、换流变、特高压变压器,2026一季报,2026-04-11 00:00:00,16.3518038271,0.59563649,10.564166490458,110.392812212108,2025年报,57.0819180438,1.9701657598,20.418176583589,104.536784411825,27.44,15.3442760798,88.4567841595,0.976567422118,0.03779347926,8.980029922611,0.107,10.7,-2.1,1.33,86.32,197.04,197.04,20260708161445,1841528480.0,2026-07-08,-20.208799403430277,-38.50574712643679,4.871122779,1.8
002270,SZ,华明装备,分接开关,变压器有载/无励磁分接开关龙头,2026一季报,2026-04-27 00:00:00,5.3027178647,1.6302654806999999,4.070896752411,-4.852560095809,2025年报,24.2679460012,7.097373602699999,4.503984166499,15.536192044577,22.04,54.489396329,39.0917281465,0.839367501858,0.248900934125,17.730396980249,0.79,18.2,-3.65,2.05,23.25,163.11,163.11,20260708161500,896225431.0,2026-07-08,-21.75408426483234,-46.32851666175169,4.238510103666667,5.9
600312,SH,平高电气,GIS;高压开关,高压/超高压/特高压GIS、断路器、隔离开关,2026一季报,2026-04-22 00:00:00,24.4994783013,4.148464791,-2.405206833424,15.750732467609,2025年报,125.16931784559999,11.198330309600001,0.929882884996,9.4472840188,10.28,23.9159696944,46.8123904408,0.659404367071,0.064765083158,10.145014546797,0.8253,16.55,-2.47,1.24,19.09,224.57,224.57,20260708161440,1356921309.0,2026-07-08,-20.65014143932492,-27.179126149513788,4.012209768933333,5.0
000400,SZ,许继电气,柔直;GIS;高压开关;配电,换流阀/直流控保/保护自动化/智能变配电,2026一季报,2026-04-11 00:00:00,23.7775158279,1.1104623014,1.260555195613,-46.504418957072,2025年报,149.9190606624,11.6721000973,-12.272285773602,4.502079915038,9.94,23.3572080334,49.0306647393,2.035585442041,0.178121618637,9.40659787593,1.1531,20.2,-1.7,1.17,19.22,205.76,204.36,20260708161421,1018622249.0,2026-07-08,-21.79333307522553,-35.56413282720342,5.0789981809,4.7
600406,SH,国电南瑞,柔直;配电,电网自动化、继保、调度、柔直/直流控保、配网自动化,2026一季报,2026-04-30 00:00:00,95.64242921530001,7.2129197343,7.522465627317,6.042416850954,2025年报,662.2896322321,82.7897172332,14.525179185846,8.787323481758,16.26,25.83709383,42.7305696423,1.441476413803,0.192796346245,15.510115748384,1.04,22.51,-1.23,0.45,21.73,1807.95,1802.64,20260708161450,8031756156.0,2026-07-08,-9.988803582853478,-15.082239323977653,16.0919506456,7.4
601126,SH,四方股份,柔直;配电,继保自动化、配网自动化、柔性输电控制保护,2026一季报,2026-04-30 00:00:00,21.5806601406,2.7066553647000005,18.052040382479,12.07907470487,2025年报,81.9331011395,8.2897042218,17.873503192498,15.844708746511,17.75,30.2236396077,61.4629871516,1.477369785886,0.149470292968,16.346322715665,1.0,54.0,-4.24,2.79,52.42,449.88,445.55,20260708161433,833105500.0,2026-07-08,-28.26780021253985,30.12048192771084,23.09623975266667,4.6
000682,SZ,东方电子,配电,配电自动化、调度自动化、智能电网软件与设备,2026一季报,2026-04-29 00:00:00,15.1893434619,2.3582566352,8.051134991794,95.055281106625,2025年报,83.774828874,9.119924299,11.036447792893,33.350030626001,16.5,32.2444506617,54.2740853545,0.87150658966,0.096478508235,13.437834630536,0.6802,12.02,1.26,1.25,15.69,161.16,161.14,20260708161421,1340727007.0,2026-07-08,-15.826330532212884,-13.711414213926776,4.758714835666667,6.8
002350,SZ,北京科锐,配电;高压开关,配电自动化、箱变、开关设备,2026一季报,2026-04-29 00:00:00,5.181634964200001,-0.2388976806,19.263477044848,-326.206318332187,2025年报,21.5158107508,0.5452201004,5.342424485511,39.055308904058,3.25,20.9997048577,40.9212746818,5.917657393418,0.168555503955,3.323885770911,0.1062,15.07,10.0,4.23,407.2,81.73,79.95,20260708161427,542331351.0,2026-07-08,-2.8869699703570117,48.50216791486008,2.781193404866667,0.4
300001,SZ,特锐德,配电;变压器,箱变/户外箱式电力设备、充电网,2026一季报,2026-04-28 00:00:00,22.1593324371,0.7193277189,5.40906375072,11.046238059737,2025年报,157.8632320192,12.4306487645,2.678770176934,35.622986452063,15.68,27.3639885841,63.0250696821,1.777272022573,0.147902557393,9.932035662005,1.2,32.93,-4.16,1.93,27.8,347.52,338.13,20260708161454,1055327713.0,2026-07-08,-12.657153466659587,15.942539257798739,14.970307947333334,5.3
300444,SZ,双杰电气,配电;高压开关,配网开关、箱变、数字化配网设备,2026一季报,2026-04-24 00:00:00,5.5516233574000005,2.8148307096,-7.115383206255,29615.0124045733,2025年报,48.3476730771,1.854570211,39.228987693856,129.410773896821,10.78,15.1859456456,76.0846041709,0.027984285296,0.001088753318,6.302808141634,0.2322,10.98,-3.85,3.7,18.96,88.35,68.89,20260708161400,804620090.0,2026-07-08,-25.458248472505097,-29.389067524115752,5.122384576333333,2.7
603050,SH,科林电气,配电;变压器,配用电设备、箱变/变压器/智能电网,2026一季报,2026-04-29 00:00:00,8.6646612261,0.42389948409999995,-4.972549941318,-41.696513886015,2025年报,43.8785152697,2.5797590075,7.052481938828,45.060359503522,14.49,19.2972852321,62.0325799913,2.429723827501,0.142797234377,11.185419880342,0.64,19.19,-1.44,1.05,34.0,77.4,77.4,20260708161451,403319193.0,2026-07-08,-17.956391620350576,-10.544471377960097,2.092371845,3.0
603861,SH,白云电器,配电;高压开关;变压器,成套开关/变压器/配网设备,2026一季报,2026-04-25 00:00:00,9.7402768343,0.3404341986,-0.19652471882,-7.094667703782,2025年报,49.2822050222,2.041803421,-1.144176253449,4.011946219343,5.51,19.2963003807,60.8218256902,-1.157854383119,-0.052719588735,4.300173758942,0.4,13.68,-10.0,8.87,36.68,73.94,72.31,20260708161437,540527955.0,2026-07-08,-10.588235294117654,-24.544953116381684,4.501903507,-0.1
002452,SZ,长高电新,高压开关;GIS,高压隔离开关、组合电器、输变电设备,2026一季报,2026-04-30 00:00:00,2.958338224,0.5662034517,-12.755239366842,69.27317293696,2025年报,16.6502132203,3.4263142139999996,-5.405079010797,35.908794465467,13.65,38.8203294023,27.4717207369,1.043246072207,0.215330769016,12.63572530637,0.5523,12.12,-6.98,8.44,20.55,75.18,62.77,20260708161442,620332085.0,2026-07-08,1.6778523489932917,14.124293785310726,4.216532962,6.8
