sym,name_q,code,price,pct_day,turnover_rate,pe_ttm,mkt_cap_yi,float_mkt_cap_yi,time,shares_total
sh600089,特变电工,600089,20.05,-2.67,1.7,16.42,1013.08,1013.08,20260708161443,5052792571.0
sz002028,思源电气,002028,156.84,-5.09,1.47,37.72,1227.39,957.99,20260708161424,782573282.0
sh688676,金盘科技,688676,77.35,-5.92,3.0,53.5,355.64,355.64,20260708161443,459784364.0
sh601179,中国西电,601179,13.27,-2.28,1.65,51.48,680.2,680.2,20260708161457,5125882352.0
sh600550,保变电气,600550,10.7,-2.1,1.33,86.32,197.04,197.04,20260708161445,1841528480.0
sz002270,华明装备,002270,18.2,-3.65,2.05,23.25,163.11,163.11,20260708161500,896225431.0
sh600312,平高电气,600312,16.55,-2.47,1.24,19.09,224.57,224.57,20260708161440,1356921309.0
sz000400,许继电气,000400,20.2,-1.7,1.17,19.22,205.76,204.36,20260708161421,1018622249.0
sh600406,国电南瑞,600406,22.51,-1.23,0.45,21.73,1807.95,1802.64,20260708161450,8031756156.0
sh601126,四方股份,601126,54.0,-4.24,2.79,52.42,449.88,445.55,20260708161433,833105500.0
sz000682,东方电子,000682,12.02,1.26,1.25,15.69,161.16,161.14,20260708161421,1340727007.0
sz002350,北京科锐,002350,15.07,10.0,4.23,407.2,81.73,79.95,20260708161427,542331351.0
sz300001,特锐德,300001,32.93,-4.16,1.93,27.8,347.52,338.13,20260708161454,1055327713.0
sz300444,双杰电气,300444,10.98,-3.85,3.7,18.96,88.35,68.89,20260708161400,804620090.0
sh603050,科林电气,603050,19.19,-1.44,1.05,34.0,77.4,77.4,20260708161451,403319193.0
sh603861,白云电器,603861,13.68,-10.0,8.87,36.68,73.94,72.31,20260708161437,540527955.0
sz002452,长高电气,002452,12.12,-6.98,8.44,20.55,75.18,62.77,20260708161442,620332085.0
sz002922,伊戈尔,002922,28.61,-8.18,6.98,53.28,120.9,107.86,20260708161436,422582924.0
sz301291,明阳电气,301291,39.4,11.43,12.58,24.75,123.93,64.48,20260708161430,314540278.0
sh603191,望变电气,603191,14.29,-3.77,1.9,70.34,47.15,47.15,20260708161454,329964639.0
sz002112,三变科技,002112,15.12,-2.45,3.39,273.85,44.47,39.63,20260708161412,294131282.0
sh603097,江苏华辰,603097,16.85,-4.21,0.81,77.72,38.74,37.86,20260708161438,229935868.0
sz301012,扬电科技,301012,22.32,-3.13,2.32,98.25,43.96,43.96,20260708161409,196960162.0
sz301120,新特电气,301120,14.9,-4.49,3.3,173.71,55.6,32.81,20260708161454,373125855.0
sz000533,顺钠股份,000533,8.61,-2.93,2.51,59.86,59.48,58.97,20260708161442,690816000.0
sh603530,神马电力,603530,49.14,-2.54,0.58,45.94,212.13,210.06,20260708161448,431684575.0
sz300617,安靠智电,300617,47.22,-7.08,4.42,99.3,78.25,65.6,20260708161445,165707664.0
sz002879,长缆科技,002879,12.98,-2.41,3.09,18.89,25.07,17.8,20260708161415,193107640.0
sz002498,汉缆股份,002498,5.98,-3.24,1.62,34.85,198.94,198.94,20260708161418,3326796000.0
sh600973,宝胜股份,600973,6.3,0.48,1.41,-511.82,86.4,86.4,20260708161443,1371366248.0
sz300062,中能电气,300062,5.32,-2.21,2.32,-43.35,33.51,24.38,20260708161442,629937370.0
sz300477,ST合纵,300477,2.31,0.87,1.4,-2.75,24.76,22.89,20260708161442,1072018687.0
sz002339,积成电子,002339,6.56,-1.2,2.01,406.03,33.07,31.4,20260708161454,504092274.0
sz002090,金智科技,002090,9.09,-0.87,2.43,50.16,36.41,36.2,20260708161500,400577071.0
sz300222,科大智能,300222,11.83,0.77,8.78,105.87,92.07,74.98,20260708161412,778281234.0
sz300670,大烨智能,300670,6.27,-3.98,4.29,-9.93,19.87,14.09,20260708161427,316920479.0
sh688517,金冠电气,688517,16.76,-1.59,1.62,30.11,22.9,22.9,20260708161437,136613184.0
sh603829,XD洛凯股,603829,15.09,-2.33,1.37,51.1,28.11,28.11,20260708161447,186266159.0
sz002358,森源电气,002358,5.27,-1.86,1.23,49.74,49.0,49.0,20260708161448,929756977.0
sz002927,泰永长征,002927,16.62,-3.82,3.36,-450.96,37.09,36.68,20260708161500,223192180.0
sz002706,良信股份,002706,9.74,-2.89,2.49,50.05,109.39,89.06,20260708161500,1123125020.0
sz301359,东南电子,301359,15.34,-2.85,2.74,53.39,18.43,10.91,20260708161427,120176000.0
sz300491,通合科技,300491,29.56,-7.42,5.36,113.27,52.52,46.59,20260708161457,177666749.0
sz300360,炬华科技,300360,11.47,-0.78,0.84,12.1,58.98,57.38,20260708161454,514187126.0
sh688248,南网科技,688248,59.5,-3.82,0.55,81.31,336.0,336.0,20260708161459,564700000.0
