日期,摊薄每股收益(元),加权每股收益(元),每股收益_调整后(元),扣除非经常性损益后的每股收益(元),每股净资产_调整前(元),每股净资产_调整后(元),每股经营性现金流(元),每股资本公积金(元),每股未分配利润(元),调整后的每股净资产(元),总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重,非主营比重,主营利润比重,股息发放率(%),投资收益率(%),主营业务利润(元),净资产收益率(%),加权净资产收益率(%),扣除非经常性损益后的净利润(元),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),应收账款周转率(次),应收账款周转天数(天),存货周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),股东权益周转率(次),流动比率,速动比率,现金比率(%),利息支付倍数,长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),资产负债率(%),总资产(元),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),短期股票投资(元),短期债券投资(元),短期其它经营性投资(元),长期股票投资(元),长期债券投资(元),长期其它经营性投资(元),1年以内应收帐款(元),1-2年以内应收帐款(元),2-3年以内应收帐款(元),3年以内应收帐款(元),1年以内预付货款(元),1-2年以内预付货款(元),2-3年以内预付货款(元),3年以内预付货款(元),1年以内其它应收款(元),1-2年以内其它应收款(元),2-3年以内其它应收款(元),3年以内其它应收款(元)
2020-03-31,0.0285,0.0297,0.0297,,2.6802,2.4615,-0.0354,0.8942,0.549,,0.6172,33.2725,0.6135,8.4922,7.2407,65.8771,6.2505,2.8473,1.0623,0.6172,,18.4481,5.4212,459.9948,0.0036,4.7525,203212918.69,1.21,1.21,34809303.72,3.1343,-6.36,8.2258,21.219,0.49,183.6735,318.5841,0.2825,,0.0981,917.4312,0.1164,773.1959,0.1708,2.0918,1.5129,74.0429,-594.974,,58.1022,,,72.1107,,,,26.9565,69.3931,,,41.8978,6184745184.2,-0.0778,-0.0077,-1.2449,-0.0183,-1.9059,,,,48932846.04,,,,,,,,,,,,,,
2020-06-30,0.0893,0.0849,0.0849,0.0654,2.6962,2.4786,-0.1059,0.8942,0.5661,,1.9411,30.9554,1.9261,9.7393,8.2459,68.2535,7.6992,40.5242,15.0303,8.8126,,17.5609,8.9379,366.9949,0.2377,16.984,481149363.19,3.42,3.43,87660779.47,11.4926,8.1362,6.7096,17.2603,1.2088,148.908,244.366,0.7366,2.5001,0.2502,719.4245,0.2987,602.6113,0.4335,2.0864,1.4856,69.3598,-644.8451,,58.6318,,561.51,70.5558,,,60.3109,28.8017,67.9411,,10.4418,41.3682,6165286284.45,-0.0914,-0.023,-1.1868,-0.0557,-5.7828,,,,49643945.56,,,,281224818.76,95664000.77,110939590.75,,,,,,10862630.0,8064934.3,12523945.23
2020-09-30,0.1515,0.1414,0.1414,,2.7584,2.5352,-0.188,0.8942,0.6226,,3.2725,31.174,3.2578,10.5666,8.9486,68.0599,8.1792,15.1456,5.4906,3.2725,,16.9627,6.8993,343.8967,,23.836,773943571.74,5.58,5.67,151378009.07,15.3063,5.9648,6.4387,12.2602,1.8902,142.842,235.7667,1.1452,,0.3983,677.881,0.4752,568.1818,0.6844,2.1421,1.5012,62.8751,-1028.5161,,59.6011,,,67.7821,,,,28.0481,65.2327,,,40.3989,6205118120.6,-0.1015,-0.0406,-1.2411,-0.1005,-10.4463,,,,52318891.71,,,,,,,,,,,,,,
2020-12-31,0.2367,0.2075,0.2075,0.17,2.8357,2.5924,0.2387,0.8944,0.6712,,4.6003,33.3426,4.823,10.9315,9.2286,65.6281,8.5339,56.099,19.783,10.9029,,17.9272,4.8553,360.6013,0.0004,28.8774,1239893636.12,8.0,8.29,230406686.06,8.7763,12.2384,6.8869,10.1789,3.2037,112.3701,232.423,1.5489,6.2165,0.5652,636.9427,0.6747,533.5705,1.0107,1.936,1.347,70.1432,-1328.2601,0.0058,55.1127,0.2339,637.0977,81.4464,30.3204,0.4226,57.8508,30.449,78.4181,227.1595,8.6506,44.8873,6898451713.97,0.0861,0.0464,1.0086,0.1034,10.794,,,,51779783.25,,,,176805814.0,107358409.15,126104189.63,,5955992.65,2653899.22,,,7922791.45,5040628.17,13587660.8
2021-03-31,0.0325,0.0364,0.0364,,2.8688,2.6287,-0.0648,0.8944,0.7076,,0.6413,28.6569,0.6367,7.9642,6.8681,70.563,5.8251,3.2529,1.1339,0.6413,,15.5784,5.4141,413.9595,0.0031,4.0432,214553072.02,1.39,1.4,42268099.42,22.586,14.2429,7.0356,9.9551,0.7676,117.2486,308.2192,0.292,,0.1093,823.4218,0.1314,684.9315,0.1958,2.0019,1.3392,65.1988,-445.7659,0.0049,56.5594,0.2059,,76.8051,29.6956,0.3627,,29.8036,73.7947,235.1391,,43.4406,6800440890.31,-0.116,-0.0128,-1.9909,-0.0294,-3.0742,,,,52647964.35,,,,,,,,,,,,,,
2021-06-30,0.1067,0.0985,0.0985,0.083,2.9357,2.6911,-0.2991,0.8944,0.7697,,2.0951,30.5121,2.0841,10.6447,9.0393,68.6381,8.1392,44.3858,15.1192,8.7174,,15.8682,5.7244,335.8167,0.0202,13.603,536150720.82,3.66,3.73,111359034.46,13.05,19.5106,8.8851,10.7251,1.7554,102.5407,286.123,0.6291,2.9517,0.2561,702.8504,0.3113,578.2204,0.4542,2.0145,1.2566,57.0313,-839.0386,0.0046,57.6575,0.1902,662.7973,73.438,32.3436,0.3287,56.7775,32.4503,70.3177,242.1223,8.6991,42.3425,6826516687.49,-0.2282,-0.0587,-2.8041,-0.1387,-14.5582,,,,53915116.32,,,,208405597.22,89085126.88,149277295.31,,8345242.4,4036471.68,,,10452324.25,5337363.75,13411641.24
2021-09-30,0.1854,0.1641,0.1641,,3.0145,2.7567,-0.3104,0.8944,0.8353,,3.5111,30.582,3.557,11.2429,9.5519,68.6197,8.6507,18.544,6.1517,3.5111,,15.8125,3.8722,319.1493,,15.9834,878934625.33,5.95,6.14,183128227.51,15.7641,22.4379,9.2813,14.116,2.708,99.7046,274.8651,0.9823,,0.4112,656.6148,0.5008,539.1374,0.7328,1.9744,1.1934,52.4766,-862.7038,0.0042,57.076,0.169,,75.2049,33.1828,0.2951,,33.281,72.1775,238.4996,,42.924,7081034673.58,-0.1448,-0.0588,-1.6738,-0.1369,-14.3245,,,,54076645.3,,,,,,,,,,,,,,
2021-12-31,0.3128,0.2594,0.2594,0.1975,3.1375,2.8404,0.1507,0.8771,0.9258,,5.2058,32.1755,5.609,11.9557,10.0481,66.9271,9.3504,66.3492,21.147,11.0413,,16.9439,3.3355,317.4799,0.0003,16.9024,1443250858.26,9.13,9.48,264732651.34,20.6236,32.1643,10.6433,16.7899,4.1198,87.3829,243.6383,1.4776,7.072,0.5999,600.1,0.7294,493.5563,1.1202,1.7721,1.1462,58.755,-1425.1652,0.0024,52.2121,0.0853,626.175,91.5263,35.548,0.1631,58.8291,35.6061,88.1483,214.0188,8.3383,47.7879,8056696372.77,0.045,0.0251,0.4818,0.0525,5.4597,,,,63868354.84,,,,192589139.95,81262735.89,131990250.91,,6445690.1,2396395.25,,,10512275.73,4482958.51,14454135.97
2022-03-31,0.0484,0.0453,0.0453,,3.1863,2.8861,-0.2506,0.8771,0.9712,,0.7899,30.7637,0.798,8.6451,7.3152,68.419,6.8782,4.8445,1.5204,0.7899,,16.4142,2.6833,415.4694,,1.4101,290508389.35,1.57,1.58,54788229.99,26.1287,48.9311,11.0655,20.9116,0.8542,105.3617,353.4957,0.2546,,0.116,775.8621,0.143,629.3706,0.2228,1.7473,1.022,44.1348,-1509.7774,0.0024,51.9537,0.0836,,92.479,36.8541,0.1606,,36.9134,89.1906,212.6351,,48.0463,8222520184.16,-0.3558,-0.0409,-5.1731,-0.0851,-8.8346,,,,62897457.06,,,,,,,,,,,,,,
2022-06-30,0.1354,0.1245,0.1245,0.1088,3.2039,2.905,-0.3196,0.8771,0.9903,,2.1218,31.1644,2.1855,10.7948,9.1048,68.1099,8.2991,49.8851,15.5701,7.8171,,16.0323,4.8862,340.1748,0.4431,10.9846,681706717.36,4.28,4.29,145865834.5,24.487,26.9318,9.1351,25.333,1.9048,94.4981,322.4073,0.5583,3.2895,0.2633,683.6308,0.3237,556.0704,0.5146,1.6871,0.9543,38.2647,-1089.8411,,50.2059,,652.6339,99.1798,,,57.4599,37.2675,95.9688,,7.6928,49.7941,8555876069.86,-0.1959,-0.0501,-2.3605,-0.1006,-10.3951,,,,72272937.59,,,,192534077.95,90600969.17,153188135.11,,11188601.64,4125576.62,,,11039726.29,4100901.35,16280336.42
