      选项                  指标
0   常用指标               归母净利润
1   常用指标               营业总收入
2   常用指标                营业成本
3   常用指标                 净利润
4   常用指标               扣非净利润
5   常用指标         股东权益合计(净资产)
6   常用指标                  商誉
7   常用指标            经营现金流量净额
8   常用指标              基本每股收益
9   常用指标               每股净资产
10  常用指标               每股现金流
11  常用指标         净资产收益率(ROE)
12  常用指标         总资产报酬率(ROA)
13  常用指标                 毛利率
14  常用指标               销售净利率
15  常用指标               期间费用率
16  常用指标               资产负债率
17  每股指标              基本每股收益
18  每股指标              稀释每股收益
19  每股指标         摊薄每股收益_最新股数
20  每股指标        摊薄每股净资产_期末股数
21  每股指标        调整每股净资产_期末股数
22  每股指标          每股净资产_最新股数
23  每股指标             每股经营现金流
24  每股指标            每股现金流量净额
25  每股指标          每股企业自由现金流量
26  每股指标          每股股东自由现金流量
27  每股指标             每股未分配利润
28  每股指标             每股资本公积金
29  每股指标             每股盈余公积金
30  每股指标              每股留存收益
31  每股指标              每股营业收入
32  每股指标             每股营业总收入
33  每股指标             每股息税前利润
34  盈利能力         净资产收益率(ROE)
35  盈利能力            摊薄净资产收益率
36  盈利能力           净资产收益率_平均
37  盈利能力   净资产收益率_平均_扣除非经常损益
38  盈利能力    摊薄净资产收益率_扣除非经常损益
39  盈利能力              息税前利润率
40  盈利能力              总资产报酬率
41  盈利能力              总资本回报率
42  盈利能力             投入资本回报率
43  盈利能力       息前税后总资产报酬率_平均
44  盈利能力                 毛利率
45  盈利能力               销售净利率
46  盈利能力             成本费用利润率
47  盈利能力               营业利润率
48  盈利能力           总资产净利率_平均
49  盈利能力  总资产净利率_平均(含少数股东损益)
50  成长能力               归母净利润
51  成长能力               营业总收入
52  成长能力                 净利润
53  成长能力               扣非净利润
54  成长能力            营业总收入增长率
55  成长能力         归属母公司净利润增长率
56  收益质量        经营活动净现金/销售收入
57  收益质量      经营性现金净流量/营业总收入
58  收益质量               成本费用率
59  收益质量               期间费用率
60  收益质量               销售成本率
61  收益质量   经营活动净现金/归属母公司的净利润
62  收益质量            所得税/利润总额
63  财务风险                流动比率
64  财务风险                速动比率
65  财务风险              保守速动比率
66  财务风险               资产负债率
67  财务风险                权益乘数
68  财务风险     权益乘数(含少数股权的净资产)
69  财务风险                产权比率
70  财务风险                现金比率
71  营运能力             应收账款周转率
72  营运能力            应收账款周转天数
73  营运能力               存货周转率
74  营运能力              存货周转天数
75  营运能力              总资产周转率
76  营运能力             总资产周转天数
77  营运能力             流动资产周转率
78  营运能力            流动资产周转天数
79  营运能力             应付账款周转率
