
==== 2025AR_11972985.pdf.fixed.txt ====
KW 公司简介和主要财务指标 idx -1
KW 营业收入构成 idx -1
KW 占营业收入比重 idx -1
KW 主营业务分析 idx -1
KW 分行业 idx -1
KW 分产品 idx -1
KW 研发投入 idx -1
KW 现金流 idx -1
KW 普通股股份变动 idx -1
KW 前10名股东 idx -1
KW 股利分配 idx -1
KW 实际控制人 idx -1
KW 控股股东 idx -1
KW 境外销售 idx -1
KW 核心竞争力 idx -1
KW 经营情况讨论 idx -1
KW 未来发展展望 idx -1
KW 分接开关 idx -1

==== 2026Q1_12201904.pdf.fixed.txt ====
KW 公司简介和主要财务指标 idx -1
KW 营业收入构成 idx -1
KW 占营业收入比重 idx -1
KW 主营业务分析 idx -1
KW 分行业 idx -1
KW 分产品 idx -1
KW 研发投入 idx -1
KW 现金流 idx -1
KW 普通股股份变动 idx -1
KW 前10名股东 idx -1
KW 股利分配 idx -1
KW 实际控制人 idx -1
KW 控股股东 idx -1
KW 境外销售 idx -1
KW 核心竞争力 idx -1
KW 经营情况讨论 idx -1
KW 未来发展展望 idx -1
KW 分接开关 idx -1

==== 2024AR_10862534.pdf.fixed.txt ====
KW 公司简介和主要财务指标 idx -1
KW 营业收入构成 idx -1
KW 占营业收入比重 idx -1
KW 主营业务分析 idx -1
KW 分行业 idx -1
KW 分产品 idx -1
KW 研发投入 idx -1
KW 现金流 idx -1
KW 普通股股份变动 idx -1
KW 前10名股东 idx -1
KW 股利分配 idx -1
KW 实际控制人 idx -1
KW 控股股东 idx -1
KW 境外销售 idx -1
KW 核心竞争力 idx -1
KW 经营情况讨论 idx -1
KW 未来发展展望 idx -1
KW 分接开关 idx -1
