公司,代码,期间,公告日,营业收入_亿元,收入同比_%,营业成本_亿元,归母净利润_亿元,归母净利同比_%,扣非归母_亿元,扣非同比_%,研发费用_亿元,销售费用_亿元,管理费用_亿元,经营现金流_亿元,毛利率_%,净利率_%,研发费率_%
四方股份,SH601126,2026Q1,2026-04-30 00:00:00,21.58,18.05,14.79,2.71,12.08,2.64,13.0,1.92,1.24,0.8,0.14,31.45,12.54,8.88
四方股份,SH601126,2025A,2026-03-24 00:00:00,81.93,17.87,57.17,8.29,15.84,8.0,14.64,7.07,5.53,3.0,12.25,30.22,10.12,8.63
国电南瑞,SH600406,2026Q1,2026-04-30 00:00:00,95.64,7.52,71.64,7.21,6.04,6.42,5.39,8.37,5.02,3.39,-15.14,25.1,7.54,8.76
国电南瑞,SH600406,2025A,2026-04-30 00:00:00,662.29,14.53,491.17,82.79,8.79,79.83,8.04,36.04,24.26,15.69,127.69,25.84,12.5,5.44
许继电气,SZ000400,2026Q1,2026-04-11 00:00:00,23.78,1.26,19.26,1.11,-46.5,1.07,-47.26,1.09,1.06,1.14,-1.94,19.01,4.67,4.59
许继电气,SZ000400,2025A,2026-04-11 00:00:00,149.92,-12.27,114.9,11.67,4.5,11.22,5.64,7.81,7.7,6.05,26.7,23.36,7.79,5.21
平高电气,SH600312,2026Q1,2026-04-22 00:00:00,24.5,-2.41,17.29,4.15,15.75,4.07,14.45,0.78,0.59,0.98,-10.35,29.42,16.93,3.2
平高电气,SH600312,2025A,2026-04-11 00:00:00,125.17,0.93,95.23,11.2,9.45,10.93,10.1,6.2,4.41,4.33,8.11,23.92,8.95,4.95
思源电气,SZ002028,2026Q1,2026-04-25 00:00:00,45.69,41.6,32.46,5.5,23.17,4.93,12.79,3.54,2.28,0.98,-4.83,28.95,12.04,7.76
思源电气,SZ002028,2025A,2026-04-18 00:00:00,215.39,39.34,149.1,31.5,53.74,29.52,57.13,13.0,10.28,5.81,22.34,30.77,14.63,6.04
