讨 论 与 分 析
工银理财2025年末理财产品直接和间接投资情况
人民币百万元，百分比除外
资产类别 金额 占比(%)
现金、存款及买入返售 927,323 43.3
债券 945,456 44.1
非标准化债权类资产 40,006 1.9
其他资产(1) 228,643 10.7
合计 2,141,428 100.0
注 ： (1) 包含权益类资产、金融衍生品、代客境外理财投资QDII、公募基金。
主要控股子公司和参股公司情况
境外主要控股子公司
2025年12月31日 2025年
已发行股本/ 总资产 净资产 净利润
机构 主要业务 实收资本 （百万美元） （百万美元） （百万美元）
中国工商银行（亚洲）有限公司 商业银行 441.88亿港元 127,165.27 21,186.96 939.46
工银国际控股有限公司 投资银行 59.63亿港元 6,635.60 696.46 (390.93)
中国工商银行（澳门）股份有限公司 商业银行 5.89亿澳门元 48,328.75 3,980.61 16.57
中国工商银行（印度尼西亚）有限公司 商业银行 3.71万亿印尼盾 3,602.57 468.55 34.01
中国工商银行马来西亚有限公司 商业银行 8.33亿林吉特 1,503.53 377.39 19.38
中国工商银行（泰国）股份有限公司 商业银行 201.07亿泰铢 7,447.80 1,557.93 92.12
中国工商银行（阿拉木图）股份公司 商业银行 89.33亿坚戈 1,219.11 227.83 57.12
中国工商银行（新西兰）有限公司 商业银行 2.34亿新西兰元 1,675.24 206.16 11.45
中国工商银行（欧洲）有限公司 商业银行 4.37亿欧元 10,017.02 680.40 0.82
中国工商银行（伦敦）有限公司 商业银行 2亿美元 2,393.33 591.41 42.88
工银标准银行公众有限公司 银行 10.83亿美元 37,800.73 2,131.46 224.85
中国工商银行（莫斯科）股份公司 商业银行 108.10亿卢布 6,643.61 1,188.33 369.09
中国工商银行（土耳其）股份有限公司 商业银行 167.47亿里拉 2,438.44 113.53 (29.49)
中国工商银行奥地利有限公司 商业银行 2亿欧元 1,195.83 237.61 0.27
中国工商银行（美国） 商业银行 3.69亿美元 2,902.68 486.72 15.05
中国工商银行（加拿大）有限公司 商业银行 2.08亿加元 2,416.83 361.23 7.40
中国工商银行（墨西哥）有限公司 商业银行 15.97亿墨西哥比索 720.95 78.89 16.05
中国工商银行（巴西）有限公司 商业银行 2.02亿雷亚尔 245.25 29.29 (4.37)
中国工商银行（秘鲁）有限公司 商业银行 1.20亿美元 744.10 171.85 8.70
中国工商银行（阿根廷）股份有限公司 商业银行 4,827.87亿阿根廷比索 9,489.20 1,452.74 137.46
60 二零二五年度报告 （A股）
