name,code,price_cny,change_pct,market_cap_100m_cny,float_mcap_100m_cny,pe_ttm,pb,high_52w,low_52w,quote_time
中际旭创,300308,1098.92,-1.53,12255.54,12197.35,81.98,35.38,1339.20,892.80,20260706161436
新易盛,300502,506.89,-3.63,7067.35,6357.63,65.81,36.40,631.20,420.80,20260706161421
沪电股份,002463,128.83,-4.82,2479.16,2477.16,57.63,15.66,148.89,121.82,20260706161454
胜宏科技,300476,292.77,-4.97,2877.30,2533.03,61.48,18.37,369.68,246.46,20260706161406
澜起科技,688008,268.68,0.70,3283.81,3080.22,128.39,15.75,320.16,213.44,20260706161449
海光信息,688041,339.00,4.18,7879.51,7879.51,289.04,34.04,390.48,260.32,20260706161455
寒武纪,688256,1369.75,1.24,8606.04,8606.04,316.75,70.32,1623.60,1082.40,20260706161443
沪硅产业,688126,34.61,0.23,1143.87,983.65,-64.19,6.80,41.44,27.62,20260706161447
浪潮信息,000977,69.71,5.06,1023.68,1022.53,40.06,4.60,72.99,59.72,20260706161412
中芯国际,688981,143.99,2.62,12326.70,2879.17,244.31,6.47,168.37,112.25,20260706161433
北方华创,002371,803.60,-1.52,5831.64,5826.98,104.58,15.05,897.60,734.40,20260706161436
长电科技,600584,95.09,4.63,1701.55,1701.55,102.99,5.95,99.97,81.79,20260706161453
佰维存储,688525,454.70,6.26,2144.21,2144.21,54.29,25.02,513.49,342.33,20260706161434
