name,code,market,bucket,subsector,price,pe,pb,market_cap_yi,dividend_yield,np_2025_yi,np_2026q1_yi,rev_2025_yi,roe_2025,debt_asset_2025,chg_90d_pct,entry_category,funnel_score,score_flags,funnel_result,source
中国海油,600938,A股-SH,resource,海上油气,28.27,10.78,1.61,13436.72,14.89,1220.82,391.44,3982.2,15.64,26.705438,-26.84,A/C,10,scale/valuation/pb/roe/balance_sheet/not_chased/resource_cashflow,watch_oil_beta,power_resource_funnel_candidates_20260706.csv
中国神华,601088,A股-SH,resource,煤炭一体化/煤电,41.91,17.63,1.81,9090.04,10.72,528.49,106.67,2949.16,12.76,23.30664,-10.1,A/B/C,10,scale/valuation/pb/roe/balance_sheet/not_chased/resource_cashflow,final_1,power_resource_funnel_candidates_20260706.csv
陕西煤业,601225,A股-SH,resource,煤炭,23.11,13.86,2.40,2240.51,15.84,167.65,42.1,1581.79,17.88,41.842873,-8.94,A/B/C,10,scale/valuation/pb/roe/balance_sheet/not_chased/resource_cashflow,watch_coal_beta,power_resource_funnel_candidates_20260706.csv
中国石油,601857,A股-SH,resource,油气,9.09,10.52,1.05,16636.61,9.74,1573.02,483.32,28644.69,10.1,36.367143,-24.69,A/C,10,scale/valuation/pb/roe/balance_sheet/not_chased/resource_cashflow,watch_oil_policy,power_resource_funnel_candidates_20260706.csv
紫金矿业,601899,A股-SH,resource,铜金矿业,28.28,12.19,3.97,7519.85,30.78,517.77,200.79,3490.79,33.04,51.558587,-17.19,A/B/C,9,scale/valuation/roe/balance_sheet/not_chased/resource_cashflow,watch_copper_gold_beta,power_resource_funnel_candidates_20260706.csv
兖矿能源,600188,A股-SH,resource,煤炭,18.80,18.54,2.47,1886.93,9.66,83.81,39.55,1449.33,9.95,62.225632,-1.1,A/B/C,8,scale/valuation/pb/balance_sheet/not_chased/resource_cashflow,eliminate_higher_coal_complexity,power_resource_funnel_candidates_20260706.csv
宁波银行,002142,SZ,bank,bank,30.73,6.74,0.87,2029.28,,,,,,,,quality/C,8,scale/valuation/pb/bank_discount/earnings_yield,eliminate_dividend_not_core,ashare_undervalued_quality_quotes_20260706.csv
招商银行,600036,SH,bank,bank,37.74,6.31,0.84,9517.97,,,,,,,,quality/C,8,scale/valuation/pb/bank_discount/earnings_yield,watch_retail_bank_beta,ashare_undervalued_quality_quotes_20260706.csv
兴业银行,601166,SH,bank,bank,17.13,4.68,0.44,3625.20,,,,,,,,quality/C,8,scale/valuation/pb/bank_discount/earnings_yield,watch_property_local_debt,ashare_undervalued_quality_quotes_20260706.csv
工商银行,601398,SH,bank,bank,7.11,6.82,0.65,25340.48,,,,,,,,quality/C,8,scale/valuation/pb/bank_discount/earnings_yield,final_3,ashare_undervalued_quality_quotes_20260706.csv
建设银行,601939,SH,bank,bank,9.67,7.40,0.71,25296.76,,,,,,,,quality/C,8,scale/valuation/pb/bank_discount/earnings_yield,watch_big_bank_peer,ashare_undervalued_quality_quotes_20260706.csv
国投电力,600886,A股-SH,utility,水火风光综合电力,13.49,14.53,1.56,1079.81,9.95,73.93,21.18,530.14,11.35,60.524132,-3.71,A/B/C,10,scale/valuation/pb/roe/balance_sheet/not_chased/utility_cashflow,watch_power_mix,power_resource_funnel_candidates_20260706.csv
长江电力,600900,A股-SH,utility,水电,27.19,18.44,2.92,6652.91,15.83,345.03,67.61,862.42,15.9,58.269459,1.15,A/B/C,9,scale/valuation/roe/balance_sheet/not_chased/utility_cashflow,final_2,power_resource_funnel_candidates_20260706.csv
申能股份,600642,A股-SH,utility,综合电力/燃气,8.82,11.39,1.13,431.66,8.92,40.13,7.88,280.29,10.79,54.770583,-1.23,A/B,8,valuation/pb/roe/balance_sheet/not_chased/utility_cashflow,eliminate_regional_platform,power_resource_funnel_candidates_20260706.csv
川投能源,600674,A股-SH,utility,水电投资,14.50,14.95,1.52,706.82,10.19,47.54,14.53,16.68,10.97,33.508054,-1.69,A/C,8,valuation/pb/roe/balance_sheet/not_chased/utility_cashflow,watch_smaller_scale,power_resource_funnel_candidates_20260706.csv
华能水电,600025,A股-SH,utility,水电,9.23,20.14,2.56,1719.65,10.03,85.04,15.43,265.95,12.93,61.134465,-6.39,A/C,7,scale/roe/balance_sheet/not_chased/utility_cashflow,watch_hydro_weather,power_resource_funnel_candidates_20260706.csv
深圳能源,000027,A股-SZ,utility,综合电力/环保,6.31,15.00,0.92,300.19,3.78,21.03,12.49,434.3,4.66,61.991844,-8.55,A/B,6,valuation/pb/balance_sheet/not_chased/utility_cashflow,eliminate_regional_platform,power_resource_funnel_candidates_20260706.csv
中国广核,003816,A股-SZ,utility,核电,3.89,20.71,1.56,1964.40,7.53,97.65,27.41,756.97,9.11,65.15135,-13.94,A/C,5,scale/pb/not_chased/utility_cashflow,watch_nuclear_valuation,power_resource_funnel_candidates_20260706.csv
中国核电,601985,A股-SH,utility,核电/新能源,8.86,22.14,1.52,1822.32,6.80,93.04,20.64,820.75,8.21,69.006069,-1.01,A/C,5,scale/pb/not_chased/utility_cashflow,eliminate_not_better_than_cgn,power_resource_funnel_candidates_20260706.csv
