code,name,report_period,notice_date,revenue_yi,revenue_yoy_pct,parent_net_profit_yi,parent_net_profit_yoy_pct,deducted_net_profit_yi,gross_margin_pct,net_margin_pct,roe_pct,operating_cashflow_yi,liability_ratio_pct,total_shares
002050,三花智控,2025年报,2026-03-24,310.12,10.97,40.63,31.1,39.58,28.78,13.24,15.8,50.91,35.15,4208013935
300124,汇川技术,2025年报,2026-04-28,451.05,21.77,50.5,17.84,49.51,28.95,11.47,16.34,66.81,47.93,2707603944
688017,绿的谐波,2025年报,2026-04-23,5.71,47.31,1.24,121.42,0.99,36.91,22.05,3.57,1.52,9.82,183330125
601689,拓普集团,2025年报,2026-03-24,295.81,11.21,27.79,-7.38,26.11,19.43,9.41,12.37,44.82,45.07,1737835580
002747,埃斯顿,2025年报,2026-03-31,48.88,21.93,0.45,105.55,0.07,29.45,0.93,2.4,5.07,78.56,967798453
300024,机器人,2025年报,2026-04-24,41.22,-0.4,-3.98,-105.43,-4.57,12.48,-9.43,-9.28,1.61,61.76,1565619950
002472,双环传动,2025年报,2026-04-24,91.12,3.77,12.62,23.21,12.04,27.34,14.54,13.36,23.91,43.98,849934492
002444,巨星科技,2025年报,2026-04-29,146.66,-0.87,25.1,8.95,23.26,32.72,17.5,14.16,23.1,18.97,1194478182
688322,奥比中光,2025年报,2026-04-20,9.41,66.66,1.28,303.33,0.71,43.76,13.57,4.37,0.83,12.27,411247332
603662,柯力传感,2025年报,2026-04-28,15.58,20.33,3.41,30.73,2.14,44.83,25.11,12.13,3.86,31.28,280829868
002896,中大力德,2025年报,2026-04-16,10.41,6.61,0.63,-13.57,0.46,26.1,6.0,5.29,0.31,35.13,196522670
603728,鸣志电器,2025年报,2026-04-25,27.62,14.32,0.61,-21.54,0.53,36.39,2.27,2.08,2.2,34.23,418882500
