日期,摊薄每股收益(元),加权每股收益(元),每股收益_调整后(元),扣除非经常性损益后的每股收益(元),每股净资产_调整前(元),每股净资产_调整后(元),每股经营性现金流(元),每股资本公积金(元),每股未分配利润(元),调整后的每股净资产(元),总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重,非主营比重,主营利润比重,股息发放率(%),投资收益率(%),主营业务利润(元),净资产收益率(%),加权净资产收益率(%),扣除非经常性损益后的净利润(元),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),应收账款周转率(次),应收账款周转天数(天),存货周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),股东权益周转率(次),流动比率,速动比率,现金比率(%),利息支付倍数,长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),资产负债率(%),总资产(元),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),短期股票投资(元),短期债券投资(元),短期其它经营性投资(元),长期股票投资(元),长期债券投资(元),长期其它经营性投资(元),1年以内应收帐款(元),1-2年以内应收帐款(元),2-3年以内应收帐款(元),3年以内应收帐款(元),1年以内预付货款(元),1-2年以内预付货款(元),2-3年以内预付货款(元),3年以内预付货款(元),1年以内其它应收款(元),1-2年以内其它应收款(元),2-3年以内其它应收款(元),3年以内其它应收款(元)
2020-12-31,,1.3,1.3,1.26,,4.97,,,,,9.6956,47.7993,10.7306,27.6477,20.4963,51.3852,16.2583,,37.8668,14.1506,,20.3139,0.2616,238.4171,,35.4102,2753732219.2,25.08,32.2,877717100.0,93.359,,49.0411,23.9014,7.4256,48.4809,206.2328,1.7456,3.4507,0.66,545.4545,1.0776,334.0757,1.9101,1.2755,0.9081,67.7806,4854.8741,,37.3694,,176.2187,167.5989,,,82.6392,98.1852,132.8196,,21.2062,62.6306,9660523039.67,0.5745,0.3426,3.5336,0.547,69.0269,,,,51581604.89,,,,,,,,,,,,,,
2021-03-31,,0.41,0.41,0.35,,,,,,,,50.4561,,36.9101,25.2715,48.853,21.3646,,,,,19.4054,3.8605,198.2616,,,697138644.83,,7.99,252891400.0,,,,,,,,,,,,,,0.7655,,,,-4046.2105,,,,,,,,,,,,,,,0.044,,0.2057,,,,,,,,,,,,,,,,,,,,
2021-06-30,,0.89,0.89,0.77,,5.9,,,,,7.1494,51.0377,6.8748,36.6475,24.4096,48.3376,20.7301,,26.4947,12.6624,,18.0645,2.557,207.7775,,6.7667,1574626997.57,15.15,16.48,559181200.0,,,,,4.2387,42.4659,241.2869,0.746,1.5082,0.3316,542.8227,0.5264,341.9453,0.7825,1.4745,0.8863,38.9038,-5328.5253,,47.7923,,209.3136,109.2385,,,80.5508,78.1079,88.934,,22.8329,52.2077,8945832650.92,-0.0884,-0.0305,-0.4266,-0.0584,-7.1757,,,,38355196.52,,,,,,,,,,,,,,
2021-12-31,1.9381,1.96,1.96,1.61,6.9509,6.96,1.3014,4.4174,1.2903,,13.5449,48.8302,14.0194,33.7092,23.3828,50.5752,19.3487,272.2365,39.1656,19.0257,,18.2542,3.7502,208.6561,,22.7096,3542025561.26,28.13,32.83,1165694900.0,25.9107,49.8444,39.4306,7.2601,8.5197,42.255,194.6367,1.8496,3.5405,0.7246,496.8258,1.1039,326.1165,1.6784,1.5551,1.0671,73.5758,-6848.7085,,48.5776,,245.6642,105.8563,,,78.298,66.2763,89.7535,,19.774,51.4224,10361883193.35,0.1299,0.091,0.6715,0.1769,20.8609,,,,44496996.18,,,,,,,,,,,,,,
2022-03-31,0.4166,,,,7.3734,,-0.7193,,,,2.8442,100.0,2.8774,,21.7395,,18.1888,41.6596,5.65,2.8442,,0.0,0.0,467.0838,,,1658616400.0,5.72,,268201000.0,20.044,2.1996,,,,,,,,0.1582,568.9001,,,0.3198,,,,,,50.339,,,98.653,,,,198.653,0.0,,,49.661,10607057900.0,-0.314,-0.0491,-1.7266,-0.0989,,,,,,,,,,,,,,,,,,,
2022-06-30,1.047,1.07,1.07,0.95,8.0424,8.0691,-1.0777,4.4481,2.3589,,6.8216,45.91,7.0608,29.9377,21.17,53.844,18.1738,104.7029,13.0189,6.8216,,16.1399,-0.5373,218.357,,0.4135,1915374416.19,13.24,14.24,687694400.0,35.2258,18.5504,36.2192,24.2472,2.7252,66.0502,195.0585,0.9228,,0.3885,463.3205,0.5749,313.0979,0.7685,1.6575,1.0678,44.1534,-4053.2725,,52.3975,,,90.8489,,,,62.2912,77.5593,,,47.6025,11114944636.53,-0.1871,-0.0702,-1.0293,-0.1475,-17.278,,,,36031509.37,,,,,,,,,,,,,,
2022-09-30,1.067,1.22,1.22,,20.2391,20.2672,-1.0489,16.809,2.2244,,3.9656,45.4465,5.4054,23.7706,17.4079,54.1998,15.0108,106.7049,5.2722,3.9656,,18.1664,-0.965,262.9099,,-0.7594,2662512321.63,5.38,13.42,719948927.22,25.5474,16.1254,,,4.0771,66.2235,233.342,1.1571,,0.3601,749.7917,0.4602,586.7014,0.5396,3.8787,3.1879,240.5705,-1149.7584,,75.2163,,,32.95,,,,22.4267,28.4952,,,24.7837,22176347625.49,-0.1475,-0.039,-0.9829,-0.1573,-18.1866,,,,31760384.98,,,,,,,,,,,,,,
2022-12-31,2.0021,2.19,2.19,1.75,21.2016,21.2135,0.8285,16.8233,2.9303,,6.8173,47.951,9.5473,29.6819,20.8727,51.6338,17.8617,287.9446,13.5812,9.8044,,17.9642,0.2198,230.742,,4.3626,4429773404.49,9.47,17.48,1327840485.88,27.3564,17.5686,247.1408,133.5919,6.0366,59.6362,213.7767,1.684,4.4358,0.5345,673.5267,0.68,529.4118,0.8209,3.3509,2.7753,169.1829,-1844.5835,,72.1911,,825.6497,38.5212,,,74.5354,23.2349,34.4051,,8.7436,27.8089,24204518370.23,0.0739,0.0282,0.4138,0.1014,11.3579,,,,40031749.12,,,1846274300.69,237085958.95,49295366.23,,,17437683.4,3390110.85,,57527209.63,12499420.48,11703151.49,
2023-03-31,0.395,0.4,0.4,,21.6074,21.6192,-0.3805,16.8348,3.3303,,1.3433,49.3587,1.3441,23.3978,16.4134,49.7448,14.7106,39.4981,1.828,1.3433,,18.7997,1.0148,303.7884,,5.0003,1092243107.67,1.85,1.87,276621420.07,33.4167,7.904,233.5133,128.4631,1.0767,83.5887,298.7056,0.3013,,0.0914,984.6827,0.1098,819.6721,0.1254,3.5225,2.8506,146.3276,-945.0372,,73.4855,,,36.0812,,,,22.8282,32.1509,,,26.5145,24233214669.96,-0.1417,-0.0129,-0.9633,-0.0488,-5.4767,,,,36895475.53,,,,,,,,,,,,,,
2023-06-30,1.1402,1.14,1.14,0.95,22.1844,22.1888,-0.6206,16.8463,3.8672,,3.8259,48.0656,3.8539,28.3758,19.8511,51.2865,17.8265,212.5851,9.5826,7.1332,,18.0811,4.7491,241.9314,0.0501,31.9467,2533703847.96,5.13,5.22,786981052.34,26.35,23.9356,213.9356,120.9782,2.3426,76.8377,250.8012,0.7177,2.5022,0.2162,832.5624,0.2611,689.391,0.2948,3.628,2.8972,159.2677,-791.1488,,74.4392,,871.8583,34.3379,,,72.0789,23.7146,30.4914,,8.538,25.5608,24561604059.29,-0.097,-0.0208,-0.5443,-0.0815,-9.1744,,,,26936620.63,,,2342675466.76,249319788.74,35897000.86,,,27833351.42,1629301.92,,63860434.37,18127609.41,7375009.73,
