报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2018-12-31,-1.26亿,False,-3.01亿,False,20.35亿,False,False,3.35,5.05,-2.70,0.31,-6.49%,39.06%,-5.37%,-5.45%,539.67,0.92,391.47,148.20,1.42,0.88,0.88,1.93,64.39%
2019-12-31,-7351.98万,41.53%,-2.55亿,15.18%,29.79亿,46.43%,False,3.25,5.06,-2.81,0.37,-1.61%,41.79%,-3.24%,-3.28%,413.88,1.16,309.12,104.76,1.15,0.70,0.70,2.40,68.93%
2020-12-31,9.03亿,1328.13%,8.78亿,444.12%,57.61亿,93.36%,1.3000,4.97,4.35,-0.45,4.57,16.26%,48.61%,32.20%,25.08%,254.71,1.75,206.23,48.48,1.28,0.84,0.83,1.68,62.63%
2021-03-31,3.00亿,False,2.53亿,False,13.82亿,False,0.4100,False,False,False,False,21.36%,51.15%,False,False,False,False,False,False,False,False,False,False,False
2021-06-30,6.47亿,False,5.59亿,False,30.85亿,False,0.8900,5.90,4.39,0.44,-0.38,20.73%,51.66%,16.48%,15.15%,283.75,0.75,241.29,42.47,1.47,0.75,0.73,1.09,52.21%
2021-09-30,7.71亿,False,False,False,46.66亿,False,1.0600,False,False,False,False,16.23%,50.75%,False,False,False,False,False,False,False,False,False,False,False
2021-12-31,14.17亿,56.96%,11.66亿,32.81%,72.54亿,25.91%,1.9600,6.96,4.42,1.29,1.30,19.35%,49.42%,32.83%,28.13%,236.89,1.85,194.64,42.26,1.56,0.93,0.91,1.06,51.42%
2022-03-31,3.06亿,1.89%,2.68亿,6.05%,16.59亿,20.04%,0.4200,7.38,4.43,1.71,-0.72,18.19%,49.53%,False,5.72%,325.72,0.35,259.89,65.83,1.58,0.85,0.81,0.99,49.66%
2022-06-30,7.74亿,19.52%,6.88亿,22.98%,41.72亿,35.23%,1.0700,8.07,4.45,2.36,-1.08,18.17%,46.16%,14.24%,13.24%,261.11,0.92,195.06,66.05,1.66,0.95,0.91,0.91,47.60%
2022-09-30,8.99亿,16.62%,7.20亿,False,58.59亿,25.55%,1.2200,20.27,16.81,2.22,-1.05,15.01%,45.80%,13.42%,5.38%,299.57,1.16,233.34,66.22,3.88,3.06,3.03,0.33,24.78%
2022-12-31,16.56亿,16.86%,13.28亿,13.91%,92.38亿,27.36%,2.1900,21.21,16.82,2.93,0.83,17.86%,48.37%,17.48%,9.47%,273.41,1.68,213.78,59.64,3.35,2.71,2.70,0.39,27.81%
