报告日,流动资产,货币资金,结算备付金,拆出资金,交易性金融资产,买入返售金融资产,衍生金融资产,应收票据及应收账款,应收票据,应收账款,应收款项融资,预付款项,应收股利,应收利息,应收保费,应收分保账款,应收分保合同准备金,应收出口退税,应收补贴款,应收保证金,内部应收款,其他应收款,其他应收款(合计),存货,划分为持有待售的资产,待摊费用,待处理流动资产损益,一年内到期的非流动资产,其他流动资产,流动资产合计,非流动资产,发放贷款及垫款,债权投资,其他债权投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,可供出售金融资产,长期股权投资,投资性房地产,长期应收款,其他权益工具投资,其他非流动金融资产,其他长期投资,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,在建工程合计,在建工程,工程物资,固定资产净额,固定资产清理,固定资产及清理合计,生产性生物资产,公益性生物资产,油气资产,合同资产,使用权资产,无形资产,开发支出,商誉,长期待摊费用,股权分置流通权,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,流动负债,短期借款,向中央银行借款,吸收存款及同业存放,拆入资金,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,合同负债,卖出回购金融资产款,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,应付保证金,内部应付款,其他应付款,其他应付款合计,其他应交款,担保责任赔偿准备金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,国际票证结算,国内票证结算,预提费用,预计流动负债,应付短期债券,划分为持有待售的负债,一年内的递延收益,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,应付债券：优先股,应付债券：永续债,租赁负债,长期应付职工薪酬,长期应付款,长期应付款合计,专项应付款,预计非流动负债,长期递延收益,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,所有者权益,实收资本(或股本),其他权益工具,优先股,永续债,资本公积,减:库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未确定的投资损失,未分配利润,拟分配现金股利,外币报表折算差额,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,7045475945.16,,,1874561458.46,,,5815928852.16,91164464.93,5724764387.23,,330472999.55,,,,,,,,,,,376124809.95,6623777828.12,,,,281716246.31,359979240.06,22752130959.88,,,,,,,,187442884.87,,181232181.59,,130880900.0,,,,,,3187675392.92,,,,,3168780480.64,,,,44093580.11,260310548.17,1591937372.16,487311773.36,22104603.13,57916674.63,,507916566.02,696728890.06,10480238267.55,33232369227.43,,1319501252.51,,,,,,2875559982.47,257777643.93,2617782338.54,,2622164948.22,,,765225074.75,560335731.15,,,,,,817807485.91,,,,,,,,,,,,,,64828138.32,203267587.32,9228690200.65,,,,,,244207762.17,,,,,2703456.42,474915701.22,10186724.46,1326687142.79,2058700787.06,11287390987.71,,824157988.0,,,,13993493176.85,449839312.68,-97586531.69,,412078994.0,,,7279586148.31,,,21961890462.79,-16912223.07,21944978239.72,33232369227.43,定期报告,未审计,20260429,CNY,合并期末,2026-04-28T18:40:11
20251231,,5502937108.96,,,4926542409.75,,,5681852637.95,91603965.94,5590248672.01,,264137851.08,,,,,,,,,,160381814.73,160381814.73,5728954000.61,,,,325604781.54,243037673.1,22872992661.24,,,,,,,,189899425.7,,175204564.76,,130880900.0,,4537242525.16,1309175792.11,3228066733.05,,2868572615.9,2868572615.9,,3228066733.05,,3228066733.05,,,,39544383.52,265003292.18,1512812075.51,429588646.46,22104603.13,58610076.19,,474663559.66,556180212.23,9911586704.77,32784579366.01,,944721233.21,,,,,,2769312046.62,420141402.99,2349170643.63,,2975154056.73,,,806276577.83,639996649.6,,,,,898235871.92,898235871.92,,,,,,,,,,,,,,58753856.21,187384320.84,9279834612.96,,,,,,252568441.01,,,,,2721872.01,475087466.2,10358896.33,1202627471.57,1943364147.12,11223198760.08,,824157988.0,,,,13957021962.83,449839312.68,-52269467.74,,412078994.0,,,6880716865.53,,,21571867029.94,-10486424.01,21561380605.93,32784579366.01,定期报告,是,20260429,CNY,合并期末,2026-04-28T18:40:11
20250930,,4973867210.48,,,3609424325.89,,,5252938910.62,42460317.59,5210478593.03,,294118121.7,,,,,,,,,,,216962514.13,6249174146.65,,,,373617777.38,195502840.76,21210431619.4,,,,,,,,189619042.52,,49486061.99,,128309619.1,,,,,,2348847089.14,,,,,3181081941.35,,,,44825771.79,181965723.83,1115221259.42,705668840.15,22104603.13,62016304.55,,450667838.19,111640636.12,8546628959.49,29757060578.89,,644489993.39,,,,,,2449718872.01,367269777.9,2082449094.11,,2573182190.82,,,579922772.69,231677378.98,,106603103.36,,,,720245428.8,,,,,,,,,,,,,,44865582.66,127767111.6,7371869330.95,,,,,,190335541.61,2658003.34,,,,,463887360.34,10934188.51,912032759.7,1579847853.5,8951717184.45,,824157988.0,,,,13920051257.78,449839312.68,-29594733.89,,412078994.0,,,6131650389.88,,,20808504583.09,-3161188.65,20805343394.44,29757060578.89,定期报告,未审计,20251030,CNY,合并期末,2025-10-29T16:52:08
20250630,,6565796074.82,,,2035980163.64,,,5106577185.4,26496454.24,5080080731.16,,335576410.88,,,,,,,,,,168865064.18,168865064.18,5962281307.39,,,,385099880.04,169734970.45,20799367994.14,,,,,,,,186725969.65,,41001381.52,,138370307.25,,4326537748.08,1181424288.71,3145113459.37,,2041634560.74,2041634560.74,,3145113459.37,,3145113459.37,,,,69456937.34,68517372.3,1071105861.3,564909459.25,22104603.13,63760731.99,,453295427.17,83152161.64,7879691295.31,28679059289.45,,76287236.84,,,,,,2554698801.71,353273520.59,2201425281.12,,2463244541.28,,,517343652.8,410114365.05,,65601909.76,,,516795425.52,582397335.28,,,,,,,,,,,,,,36950384.05,133602563.75,6774638880.76,,,,,,77049569.56,3171240.43,,,,,470127561.22,11179586.43,556100672.36,1117628630.0,7892267510.76,,824157988.0,,,,13909050564.95,449839312.68,-17645013.0,,412078994.0,,,6116037227.36,,,20793840448.63,-7048669.94,20786791778.69,28679059289.45,定期报告,未审计,20250830,CNY,合并期末,2025-08-29T17:22:04
20250331,,7185525069.64,,,1910737974.89,,604893.66,4935875191.38,28743847.8,4907131343.58,,306431355.55,,,,,,,,,,,185416125.81,6137986392.11,,,,297980340.74,153187966.5,21178583764.62,,,,,,,,183006822.31,,116395207.89,,72456082.22,,,,,,2026454219.7,,,,,3100625877.02,,,,64838454.34,76292226.24,996116945.26,492227741.21,22104603.13,64851415.87,,422138134.58,94765477.24,7667434752.67,28846018517.29,,559094116.49,,,,,,2583728145.1,610891443.56,1972836701.54,,2668698101.21,,,638371185.53,245207899.32,,,,,,651735013.88,,,,,,,,,,,,,,31148449.05,139695935.27,7517678845.85,,,,,,82229176.99,6680341.74,,,,,453383593.21,12056549.08,491182453.52,1045532114.54,8563210960.39,,824157988.0,,,,13960809890.35,449839312.68,-16619026.0,,412078994.0,,,5553703289.76,,,20284291823.43,-1484266.53,20282807556.9,28846018517.29,定期报告,未审计,20250429,CNY,合并期末,2025-04-28T17:12:05
20241231,,8399997063.38,,,1705986636.59,,489944.97,4359864269.15,1056048.0,4358808221.15,,195777640.89,,,,,,,,,,137492774.23,137492774.23,5528382408.16,,,,290564565.05,225032196.91,20893841318.46,,,,,,,,187799803.53,,114605452.67,,82366375.73,,3992445913.98,1048412872.32,2944033041.66,,1770074723.58,1770074723.58,,2944033041.66,,2944033041.66,,,,50253819.13,82847128.12,1004333811.1,329169118.87,22104603.13,67946154.27,,439339625.67,97227715.69,7141847554.02,28035688872.48,,557489368.89,,,,,,2607830526.64,520013867.5,2087816659.14,,2139304950.07,,,578225593.32,326702443.76,,,,,677339798.99,677339798.99,,,,,,,,,,,,,,54499168.71,134355301.68,7075747152.06,,,,,,83997441.38,5642483.55,,,,,461427326.26,12179906.91,490453489.65,1053700647.75,8129447799.81,,824157988.0,,,,13947476239.79,449839312.68,-14329564.58,,412078994.0,,,5183621073.0,,,19903165417.53,3075655.14,19906241072.67,28035688872.48,定期报告,是,20260429,CNY,合并期末,2025-04-28T17:38:08
20240930,,6270553490.8,,,2824171053.62,,,4158844447.49,169048.0,4158675399.49,,274057444.23,,,,,,,,,,,114871171.19,5482477839.21,,,,215949577.56,182979130.15,19589025466.15,,,,,,,,184309483.55,,192281008.39,,39545659.86,,,,,,1298450597.81,,,,,2878261757.88,,,,65121311.9,86677850.86,998970695.6,189338973.38,22104603.13,69387424.89,,400223245.66,81098843.19,6440650144.2,26029675610.35,,,,,,,,2628234317.43,384934569.04,2243299748.39,,2250525508.72,,,514998655.25,84498285.33,,98274301.44,,,,496753614.46,,,,,,,,,,,,,,47038903.97,181323891.1,6203373176.26,,,,,,87271369.44,14871185.88,,,,,476312565.09,12470503.57,,590925623.98,6794298800.24,,824157988.0,,,,13990645338.32,566415588.24,-28255046.83,,412078994.0,,,4592914705.39,,,19225126390.64,10250419.47,19235376810.1,26029675610.35,定期报告,未审计,20241031,CNY,合并期末,2024-10-30T16:30:06
20240630,,7593339229.53,,,3249235662.46,,3372057.82,4615709519.52,914999.04,4614794520.48,,224319206.1,,,,,,,,,,121687046.69,121687046.69,4512586915.68,,,,222929146.31,141214019.53,20743243013.74,,,,,,,,66614427.65,,196757452.19,,41910551.43,,3514401957.4,938645251.42,2575756705.98,,1235773999.57,1235773999.57,,2575756705.98,,2575756705.98,,,,58850210.1,92669936.28,885112890.91,213437376.99,22104603.13,75542787.86,,407628367.83,147969158.54,5961278258.36,26704521272.1,,6006082.19,,,,,,2687020907.47,269391474.99,2417629432.48,,2168225627.57,,,442205410.69,318407993.75,,204749378.0,,,413323382.45,618072760.45,,,,,,,,,,,,,,52619697.76,192150642.34,6484709122.22,,,,,,90637245.2,16648968.35,,,,,478938007.02,10926996.39,,597151216.96,7081860339.18,,824157988.0,,,,13960948145.89,561429823.37,-18164713.73,,412078994.0,,,4970237845.05,,,19587828435.84,34832497.08,19622660932.92,26704521272.1,定期报告,未审计,20240831,CNY,合并期末,2024-08-30T18:25:04
20240331,,6069865553.55,,,5125172977.79,,,3698101734.53,4229500.04,3693872234.49,,155015486.24,,,,,,,,,,,98710034.26,4228964725.42,,,,208137042.71,114827147.44,19770733478.26,,,,,,,,69071975.5,,200690946.35,,28646354.67,,,,,,1106684339.87,,,,,2375188694.86,,,,71938776.32,97967453.54,855027705.09,172684423.56,22104603.13,74795241.49,,398614708.02,175539373.03,5577015819.11,25347749297.37,,7629188.77,,,,,,1918310701.35,255570688.6,1662740012.75,,2020324667.22,,,638788053.59,282235433.91,,,,,,375438277.09,,,,,,,,,,,,,,52578144.52,152984034.76,5448288501.21,,,,,,108744218.0,18006875.59,,,,,494011409.31,10036766.89,,630799269.79,6079087771.0,,824157988.0,,,,13931496091.81,511423382.83,-19352532.76,,412078994.0,,,4588073021.73,,,19225030179.95,43631346.42,19268661526.37,25347749297.37,定期报告,未审计,20240427,CNY,合并期末,2024-04-26T21:50:06
20231231,,7584228668.21,,,4919370861.12,,,3232580100.54,4922850.0,3227657250.54,,147670550.11,,,,,,,,,,79908481.97,79908481.97,3893420190.62,,,,191997664.56,110944415.22,20227806280.02,,,,,,,,73423221.09,,226053778.63,,28646354.67,,3116864856.47,904881226.77,2211983629.7,,850209813.58,850209813.58,,2211983629.7,,2211983629.7,,,,67685347.67,103293797.98,828051180.51,125418179.16,22104603.13,74521729.49,,399404605.94,165223148.06,5108334041.94,25336140321.96,,9180082.58,,,,,,1918689007.94,318994486.73,1599694521.21,,2280329417.5,,,571573534.88,399143219.93,,,,,415690900.51,415690900.51,,,,,,,,,,,,,,51519273.24,151827737.16,5797953173.74,,,,,,117280541.63,16584658.06,,,,,514130676.76,8775306.09,,656771182.54,6454724356.28,,824157988.0,,,,13910401776.66,484662559.14,-20397851.02,,412078994.0,,,4224775301.17,,,18866353649.67,15062316.01,18881415965.68,25336140321.96,定期报告,是,20250429,CNY,合并期末,2024-04-26T21:50:06
