报告日,经营活动产生的现金流量,销售商品、提供劳务收到的现金,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,减少质押和定期存款所收到的现金,处置可供出售金融资产净增加额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,增加质押和定期存款所支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,2824529402.95,,,,,,,,,,,69505971.76,113525305.56,3007560680.27,2400414645.04,,,,,,778028444.1,336752015.46,451465057.64,3966660162.24,-959099481.97,,12028207627.0,26422803.7,8200.0,,,,,12054638630.7,890147123.88,8959816318.3,,,,,9849963442.18,2204675188.52,,,,374515436.65,,,374515436.65,,3011978.64,,16822666.37,19834645.01,354680791.64,-38573211.9,1561683286.29,5310299085.16,,,,,6871982371.45,定期报告,未审计,20260429,CNY,合并期末,2026-04-28T18:40:11
20251231,,15364921917.28,,,,,,,,,,,546048902.13,272389039.47,16183359858.88,7989420173.8,,,,,,3144650410.0,924286097.52,1445984328.07,13504341009.39,2679018849.49,,34799167283.24,89618383.8,77500.0,,,,,34888863167.04,2093181965.21,36153137997.23,,,,,38246319962.44,-3357456795.4,,12310000.0,11700000.0,1056617791.72,,,1068927791.72,671484320.94,176081824.06,,68442310.29,916008455.29,152919336.43,-32037399.47,-557556008.95,5867855094.11,5310299085.16,5867855094.11,,,5310299085.16,定期报告,是,20260429,CNY,合并期末,2026-04-28T18:40:11
20250930,,9646399214.09,,,,,,,,,,,368270977.09,185916163.17,10200586354.35,6027998095.17,,,,,,2319928412.81,697170385.67,1048276196.24,10093373089.89,107213264.45,,25615741714.18,66545829.62,65800.0,,,,,25682353343.8,1617289129.65,25635999199.98,,,,,27253288329.63,-1570934985.83,,11700000.0,11700000.0,638908755.2,,,650608755.2,553234320.94,66921423.48,,41470926.73,661626671.15,-11017915.95,-12481323.94,-1487220961.27,5867855094.11,,,,,4380634132.84,定期报告,未审计,20251030,CNY,合并期末,2025-10-29T16:52:38
20250630,,6178837680.41,,,,,,,,,,,324863010.51,158711457.91,6662412148.83,3873800637.0,,,,,,1637468936.03,425196601.6,677186174.43,6613652349.06,48759799.77,,20191246227.11,44402082.08,65400.0,,,,,20235713709.19,1077380818.06,18675232199.99,,,,,19752613018.05,483100691.14,,,,71749911.33,,,71749911.33,552984320.94,127366.72,,40391520.69,593503208.35,-521753297.02,-717683.65,9389510.24,5867855094.11,5877244604.35,5867855094.11,,,5877244604.35,定期报告,未审计,20250830,CNY,合并期末,2025-08-29T17:22:05
20250331,,2652110705.19,,,,,,,,,,,181077461.14,126254985.71,2959443152.04,2057100320.04,,,,,,638395608.53,204569091.42,412852351.7,3312917371.69,-353474219.65,,9942883400.0,20241483.44,,,,,,9963124883.44,672588192.68,9248487200.0,,,,,9921075392.68,42049490.76,,,,,,1855000.0,1855000.0,250000.0,40502.2,,10666680.19,10957182.39,-9102182.39,-571641.91,-321098553.19,5867855094.11,,,,,5546756540.92,定期报告,未审计,20260429,CNY,合并期末,2025-04-28T17:12:06
20241231,,10536648225.07,,,,,,,,,,,482871590.22,270305930.58,11289825745.87,6887356311.03,,,,,,2910054810.44,865609137.23,1245829740.42,11908849999.12,-619024253.25,,26853066600.0,109478383.47,86075.0,,,,,26962631058.47,1945732817.3,26250851509.72,,10354444.15,,,28206938771.17,-1244307712.7,,93529676.8,7800000.0,554982982.06,,,648512658.86,9455172.4,303596850.17,,136487812.98,449539835.55,198972823.31,1581829.58,-1662777313.06,7530632407.17,5867855094.11,7530632407.17,,,5867855094.11,定期报告,是,20260429,CNY,合并期末,2025-04-28T17:38:13
20240930,,6635762630.63,,,,,,,,,,,174876536.45,395895976.74,7206535143.82,4797285545.34,,,,,,2237118458.76,701531504.53,975418491.87,8711354000.5,-1504818856.68,,18951587030.16,86014720.31,1075.0,,,,,19037602825.47,1506021314.79,18407356581.93,,10354444.15,,,19923732340.87,-886129515.4,,7800000.0,7800000.0,,,,7800000.0,9455172.4,204534847.31,,123780023.52,337770043.23,-329970043.23,-11731567.35,-2732649982.66,7530632407.17,,,,,4797982424.51,定期报告,未审计,20251030,CNY,合并期末,2024-10-30T16:20:12
20240630,,4341238639.46,,,,,,,,,,,163707378.23,212489469.85,4717435487.54,2753183224.42,,,,,,1511817347.06,531678653.41,545348680.82,5342027905.71,-624592418.17,,8377695000.0,54895927.01,,,,,,8432590927.01,977258938.74,7417678901.93,,10354444.15,,,8405292284.82,27298642.19,,7800000.0,7800000.0,,,,7800000.0,3455172.4,138955.57,,118287542.59,121881670.56,-114081670.56,-5046195.91,-716421642.45,7530632407.17,6814210764.72,7530632407.17,,,6814210764.72,定期报告,未审计,20250830,CNY,合并期末,2024-08-30T18:25:06
20240331,,1848033203.95,,,,,,,,,,,62899193.05,166843025.4,2077775422.4,1592928750.76,,,,,,547990832.21,290464362.96,303442133.4,2734826079.33,-657050656.93,,3197695000.0,20973313.04,,,,,,3218668313.04,635470307.28,3696636500.0,,10354444.15,,,4342461251.43,-1123792938.39,,7800000.0,7800000.0,,,,7800000.0,1991379.3,74781.1,,58699425.4,60765585.8,-52965585.8,-1376815.13,-1835185996.25,7530632407.17,,,,,5695446410.92,定期报告,未审计,20250429,CNY,合并期末,2024-04-26T21:50:05
20231231,,11042416411.07,,,,,,,,,,,453530426.19,634245202.32,12130192039.58,7181062732.36,,,,,,2661655933.52,1000665605.3,1154296688.64,11997680959.82,132511079.76,,25308276200.0,144523473.58,129019.5,,,,,25452928693.08,1075825007.84,25896940541.34,,45000000.0,,,27017765549.18,-1564836856.1,,10250000.0,8950000.0,17313455.86,,,27563455.86,13165517.2,165950046.78,,510618631.66,689734195.64,-662170739.78,-657997.75,-2095154513.87,9625786921.04,7530632407.17,9625786921.04,,,7530632407.17,定期报告,是,20250429,CNY,合并期末,2024-04-26T21:50:05
20230930,,7470642180.58,,,,,,,,,,,285812541.87,397557925.99,8154012648.44,5364141229.95,,,,,,2089632575.93,790078217.52,752245266.34,8996097289.74,-842084641.3,,18359412200.0,104850531.15,29289.5,,,,,18464292020.65,611134298.97,17988714041.34,,,,,18599848340.31,-135556319.66,,4200000.0,4200000.0,10000000.0,,,14200000.0,15034137.9,165864124.56,,468144539.58,649042802.04,-634842802.04,4973565.79,-1607510197.21,9625786921.04,,,,,8018276723.83,定期报告,未审计,20241031,CNY,合并期末,2023-10-27T17:00:03
20230630,,5185737476.42,,,,,,,,,,,192030257.15,286182369.09,5663950102.66,3678163210.66,,,,,,1422021015.36,601724390.81,473501174.23,6175409791.06,-511459688.4,,8443600000.0,68233509.25,21289.5,,,,,8511854798.75,434373499.25,8729783600.0,,,,,9164157099.25,-652302300.5,,4200000.0,4200000.0,,,,4200000.0,7842758.6,118675487.2,,15701024.34,142219270.14,-138019270.14,8109065.38,-1293672193.66,9625786921.04,8332114727.38,9625786921.04,,,8332114727.38,定期报告,未审计,20240831,CNY,合并期末,2023-08-18T17:25:03
20230331,,2400333807.83,,,,,,,,,,,67910114.94,141812453.61,2610056376.38,1821340575.31,,,,,,560148546.57,283011536.65,259121048.41,2923621706.94,-313565330.56,,2000000000.0,11147671.24,,,,,,2011147671.24,181913625.47,3300000000.0,,,,,3481913625.47,-1470765954.23,,4200000.0,4200000.0,,,,4200000.0,9230757.3,53895.06,,5808475.89,15093128.25,-10893128.25,-3930729.91,-1799155142.95,9625786921.04,,,,,7826631778.09,定期报告,未审计,20240427,CNY,合并期末,2023-04-27T21:35:20
20221231,,9968349943.73,,,,,,,,,,,318515842.16,435350550.58,10722216336.47,6563748037.46,,,,,,1976575622.43,699604880.03,799474433.95,10039402973.87,682813362.6,,7163973580.62,38500934.11,1724965.9,,28063300.0,,,7232262780.63,741335217.03,11157063000.0,,,,22677000.0,11921075217.03,-4688812436.4,,10795440000.0,,17239378.0,,,10812679378.0,32210644.77,956788.36,,51007583.41,84175016.54,10728504361.46,30561576.85,6753066864.51,2872720056.53,9625786921.04,2872720056.53,,,9625786921.04,定期报告,是,20240427,CNY,合并期末,2023-04-28T02:40:05
20220930,,5430408009.72,,,,,,,,,,,191642227.03,197152999.44,5819203236.19,4273575201.04,,,,,,1450663459.51,562286748.02,397099869.07,6683625277.64,-864422041.45,,4619644355.84,35190006.07,1535570.97,,,,,4656369932.88,540243008.72,5690097000.0,,,,22677000.0,6253017008.72,-1596647075.84,,10787240000.0,,10000000.0,,,10797240000.0,28400000.0,1587967.75,,11948521.08,41936488.83,10755303511.17,40566153.55,8334800547.43,2872720056.53,,,,,11207520603.96,定期报告,未审计,20231028,CNY,合并期末,2022-10-28T18:35:12
