      选项                  指标      20260331      20251231      20241231      20231231      20221231      20211231
0   常用指标               归母净利润  2.329658e+09  8.135775e+09  1.166849e+10  1.158223e+10  9.607174e+09  8.001554e+09
1   常用指标               营业总收入  8.352016e+09  3.328216e+10  3.672575e+10  3.493190e+10  3.036564e+10  2.526958e+10
2   常用指标                营业成本  5.905266e+09  2.360891e+10  2.409645e+10  2.199120e+10  1.982676e+10  1.666754e+10
3   常用指标                 净利润  2.426538e+09  8.451471e+09  1.173997e+10  1.157841e+10  9.610717e+09  8.004046e+09
4   常用指标               扣非净利润  2.296470e+09  8.068551e+09  1.144204e+10  1.143373e+10  9.525118e+09  7.850417e+09
5   常用指标         股东权益合计(净资产)  4.484556e+10  4.301132e+10  4.075818e+10  3.334604e+10  3.199911e+10  2.696805e+10
6   常用指标                  商誉  1.120736e+10  1.140410e+10  1.109318e+10  5.061691e+09  4.403193e+09  4.218327e+09
7   常用指标            经营现金流量净额  1.381035e+09  1.014497e+10  1.243204e+10  1.106203e+10  1.214115e+10  8.998649e+09
8   常用指标              基本每股收益  1.922500e+00  6.714700e+00  9.635600e+00  9.558600e+00  7.940200e+00  6.586800e+00
9   常用指标               每股净资产  3.308209e+01  3.141870e+01  2.957368e+01  2.728824e+01  2.637721e+01  2.217076e+01
10  常用指标               每股现金流  1.139053e+00  8.367388e+00  1.025372e+01  9.123760e+00  1.001380e+01  7.402084e+00
11  常用指标         净资产收益率(ROE)  5.960000e+00  2.158000e+01  3.258000e+01  3.364000e+01  3.338000e+01  3.192000e+01
12  常用指标         总资产报酬率(ROA)  4.285642e+00  1.673361e+01  2.493530e+01  2.750994e+01  2.584434e+01  2.527879e+01
13  常用指标                 毛利率  6.187008e+01  6.031556e+01  6.311166e+01  6.616071e+01  6.415261e+01  6.500648e+01
14  常用指标               销售净利率  2.905332e+01  2.539340e+01  3.196658e+01  3.314567e+01  3.164997e+01  3.167463e+01
15  常用指标               期间费用率  3.144505e+01  3.008097e+01  2.763289e+01  2.806724e+01  2.829904e+01  2.984947e+01
16  常用指标               资产负债率  2.477439e+01  2.742759e+01  2.804444e+01  3.044214e+01  3.154573e+01  2.922334e+01
17  每股指标              基本每股收益  1.922500e+00  6.714700e+00  9.635600e+00  9.558600e+00  7.940200e+00  6.586800e+00
18  每股指标              稀释每股收益  1.922400e+00  6.714500e+00  9.633000e+00  9.557700e+00  7.936900e+00  6.586800e+00
19  每股指标         摊薄每股收益_最新股数  1.921460e+00  6.710242e+00  9.623959e+00  9.552813e+00  7.923825e+00  6.599538e+00
20  每股指标        摊薄每股净资产_期末股数  3.308209e+01  3.141870e+01  2.957368e+01  2.728824e+01  2.637721e+01  2.217076e+01
21  每股指标        调整每股净资产_期末股数  1.724101e+01  1.513892e+01  1.314458e+01  1.985138e+01  2.017942e+01  1.633030e+01
22  每股指标          每股净资产_最新股数  3.308209e+01  3.141870e+01  2.957368e+01  2.728824e+01  2.637721e+01  2.223019e+01
23  每股指标             每股经营现金流  1.139053e+00  8.367388e+00  1.025372e+01  9.123760e+00  1.001380e+01  7.402084e+00
24  每股指标            每股现金流量净额  9.213500e-02  2.241080e+00 -3.101752e+00 -2.517430e-01  3.167918e+00 -4.851430e-01
25  每股指标          每股企业自由现金流量           NaN  6.172958e+00  1.052155e+01  9.825646e+00  2.022802e+00  6.543213e+00
26  每股指标          每股股东自由现金流量           NaN  6.170849e+00  1.051919e+01  9.810168e+00  2.022802e+00  6.180677e+00
27  每股指标             每股未分配利润  2.678189e+01  2.486106e+01  2.278103e+01  2.035590e+01  1.959741e+01  1.512424e+01
28  每股指标             每股资本公积金  4.952681e+00  5.015310e+00  5.568656e+00  5.848345e+00  6.193195e+00  6.706130e+00
29  每股指标             每股盈余公积金  5.013400e-01  5.013400e-01  5.013400e-01  5.013400e-01  5.013400e-01  5.000000e-01
30  每股指标              每股留存收益  2.728323e+01  2.536240e+01  2.328237e+01  2.085724e+01  2.009875e+01  1.562424e+01
31  每股指标              每股营业收入  6.888593e+00  2.745053e+01  3.029074e+01  2.881121e+01  2.504504e+01  2.078618e+01
32  每股指标             每股营业总收入  6.888593e+00  2.745053e+01  3.029074e+01  2.881121e+01  2.504504e+01  2.078618e+01
33  每股指标             每股息税前利润  2.101065e+00  7.998728e+00  1.075442e+01  1.074190e+01  9.043107e+00  7.424351e+00
34  盈利能力         净资产收益率(ROE)  5.960000e+00  2.158000e+01  3.258000e+01  3.364000e+01  3.338000e+01  3.192000e+01
35  盈利能力            摊薄净资产收益率  5.808159e+00  2.135748e+01  3.254231e+01  3.500707e+01  3.004042e+01  2.968728e+01
36  盈利能力           净资产收益率_平均  5.957943e+00  2.200354e+01  3.385028e+01  3.560135e+01  3.260337e+01  3.185938e+01
