SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
600900.SH,600900,长江电力,10007169,通用,2026-03-31 00:00:00,一季报,2026一季报,058001001,2026-04-30 00:00:00,2026-04-30 00:00:00,CNY,19107302987.84,,,,,,,,,,,,,115302619.98,,0.0,19222605607.82,2898262916.98,,,,,,814430403.19,3580834423.3,218414773.45,,0.0,7511942516.92,,0.0,11710663090.9,6000000.0,143244447.37,89936.42,,,,,0.0,149334383.79,3220190872.73,9004.8,,55576030.01,,,,0.0,3275775907.54,,0.0,-3126441523.75,35100000.0,35100000.0,15914531954.26,,,,0.0,15949631954.26,13758113633.69,7252525769.79,49772.08,,26114701.88,,,0.0,21036754105.36,,0.0,-5087122151.1,-41526968.6,,0.0,3455572447.45,4534864386.02,,0.0,7990436833.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4552302299,,,,,,,,,,,,,2.6408285645,,,0.4680625489,8.1634220904,,,,,,12.2147548597,-1.6757915514,-8.4728884411,,,3.1038944109,,,-1.1529159905,-99.7709124932,-4.1078433193,-91.4018375332,,,,,,-94.6114217952,-29.9891687802,-99.9997036901,,,,,,,-57.1151657541,,,35.7654640881,-31.1764705882,-31.1764705882,-40.5443991807,,,,,-40.526584175,-47.6538716453,-8.0507352061,-99.9461869453,,-24.4931961103,,,,-38.4981566019,,,31.1340576141,-215.6550392365,,,922.5107537073,-30.5111762041,,,30.8639954062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600900.SH,600900,长江电力,10007169,通用,2025-12-31 00:00:00,年报,2025年报,058001001,2026-04-30 00:00:00,2026-04-30 00:00:00,CNY,100209596636.52,,,,,,,,,,,,97650.0,553043300.05,,0.0,100762737586.57,14327553334.02,,,,,,3988336983.09,20160836248.88,1723085450.17,,0.0,40199812016.16,,0.0,60562925570.41,4633371682.43,2634610585.96,4832440.19,2593470.0,,,,0.0,7275408178.58,18488466859.29,5380473039.67,,1621226977.84,,,,0.0,25490166876.8,,0.0,-18214758698.22,178000000.0,178000000.0,158562144700.1,,2855640000.0,,0.0,161595784700.1,168073820413.41,34191120693.3,649469714.09,,3675245525.01,,,0.0,205940186631.72,,0.0,-44344401931.62,5552475.84,,0.0,-1990682583.59,6525546969.61,,0.0,4534864386.02,34949270887.55,1504725889.21,19088905635.53,19088905635.53,,304887159.75,21553073.57,,,,456669.39,22654957.48,-1677224276.91,9501269400.42,-4958543639.59,441651089.26,-71806168.12,513457257.38,,-183309276.28,1850813056.71,-456591116.53,12237634.95,,0.0,60562925570.41,,,,25420500.33,4534864386.02,6525546969.61,,,,,-1990682583.59,5.5837346031,,,,,,,,,,,,-98.2235515155,-5.3552026109,,,5.5108273906,7.6471972474,,,,,,11.9858910093,15.0606209523,18.1560511272,,,12.128880127,,,1.5330775668,-90.9688261552,3.3975249587,-49.3508369183,-62.8450037111,,,,,-86.4941986771,26.338472328,-89.0425913165,,47.1407737052,,,,,-60.6872333954,,,-66.0317350057,-1.9607843137,-1.9607843137,22.8376280464,,91.1482388851,,,23.5836580728,16.568861666,8.0852356893,417.6893493022,,-26.1878566341,,,,13.9069765464,,,11.3796134892,-67.4908882491,,,-48.1490881495,-17.0753547901,,,-30.5059881242,6.131367345,10400.5314659711,-1.7147848595,-1.7147848595,,33.3813780502,-13.4467843401,,,,-93.4595895798,59.762693698,-691.7371066808,-15.9709036486,5.688371409,1262.9601354512,19.2394825044,908.0437999487,,-466.2489185305,313.4665869177,-123.1086180475,317.6896090852,,,1.5330775668,,,,-80.3293961365,-30.5059881242,-17.0753547901,,,,,-48.1490881495,标准无保留意见,,,,113813589.74,9.0388499223
600900.SH,600900,长江电力,10007169,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-31 00:00:00,2025-10-31 00:00:00,CNY,68938167805.42,,,,,,,,,,,,97650.0,379985618.98,,0.0,69318251074.4,10207737348.95,,,,,,2309568469.24,13080956214.27,824774590.1,,0.0,26423036622.56,,0.0,42895214451.84,4413969408.84,2312430175.02,1293268.17,1800000.0,,,,0.0,6729492852.03,8351159234.53,5018991039.67,,,,,,0.0,13370150274.2,,0.0,-6640657422.17,90000000.0,90000000.0,141250791598.32,,1503873000.0,,0.0,142844664598.32,141283032372.87,32135745769.92,616402491.89,,1930848144.29,,,0.0,175349626287.08,,0.0,-32504961688.76,7490155.47,,0.0,3757085496.38,6521876990.51,,0.0,10278962486.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.3881543854,,,,,,,,,,,,-97.5776104285,5.0756308306,,,-3.3507726612,13.6627449852,,,,,,12.4558485716,6.4650699708,9.6696588742,,,9.7614373945,,,-9.9753963533,-86.9122371616,8.8904064114,-62.2556703707,260.0,,,,,-81.2305751806,24.0162870286,-85.1061574099,,,,,,,-67.8077403103,,,-16.9396494602,-38.7171455808,-38.7171455808,27.2698635394,,0.8250383657,,,26.8335869344,15.7097091635,9.844906098,396.1668319013,,-56.9785155947,,,,12.515442584,,,24.7940319662,116.3665532901,,,389.5859403448,-16.3210904305,,,58.2222904294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600900.SH,600900,长江电力,10007169,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-30 00:00:00,2025-08-30 00:00:00,CNY,39395521233.7,,,,,,,,,,,,,243513400.58,,0.0,39639034634.28,6415489633.06,,,,,,1525567930.51,7158553080.0,548237479.1,,0.0,15647848122.67,,0.0,23991186511.61,3785335992.82,958616551.28,1056988.83,1800000.0,,,,0.0,4746809532.93,6211555134.29,4111153751.6,,,,,,0.0,10322708885.89,,0.0,-5575899352.96,90000000.0,90000000.0,107328006877.24,,1507653000.0,,0.0,108925659877.24,112450753270.65,10136277485.69,103164923.7,,1915978732.38,,,0.0,124503009488.72,,0.0,-15577349611.48,14935975.31,,0.0,2852873522.48,6521876990.51,,0.0,9374750512.99,13282623660.27,,9537870053.0,9537870053.0,,141321874.18,10902173.04,,,,1225281.31,7999253.08,15120294.41,4936220680.19,-2588848989.68,391434173.7,59769911.0,331664262.7,,-84711369.03,-2445902633.17,723250579.44,,,0.0,23991186511.61,,,,,9374750512.99,6521876990.51,,,,,2852873522.48,8.80307931,,,,,,,,,,,,,-1.2940219427,,,8.7227252647,22.8217490128,,,,,,8.1720171081,14.3247463981,1.1350402711,,,16.4498683057,,,4.2124559385,-70.2193488959,85.9508414642,-47.1086555969,260.0,,,,,-64.1174550097,74.2825984958,-66.9120622654,,,,,,,-39.7091412675,,,-43.2372034101,31.6559391457,31.6559391457,58.3904797074,,1.0613888146,,,57.1303831691,46.813406439,76.338330461,2.0061403919,,-55.6679669212,,,,43.6610468459,,,10.1786215068,-5.2305161514,,,58.3328120769,-16.581361966,,,-2.5500798177,14.6002377998,,-2.1943147427,-2.1943147427,,68.006693277,-25.9053033426,,,,-64.6321737592,18.6605747522,118.2054307908,-14.1693727865,10.4717902199,500.159541137,913.5700002959,357.0373362947,,-581.0919034738,28.3866535416,-65.5256143022,,,,4.2124559385,,,,,-2.5500798177,-16.581361966,,,,,58.3328120769,,,,,58403025.01,19.4234070697
600900.SH,600900,长江电力,10007169,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-30 00:00:00,2026-04-30 00:00:00,CNY,19020714943.48,,,,,,,,,,,,,112336018.32,,0.0,19133050961.8,2679522209.05,,,,,,725778356.16,3641864480.58,238633962.91,,0.0,7285799008.7,,0.0,11847251953.1,2619086515.97,149380775.58,1045995.82,1800000.0,,,,0.0,2771313287.37,4599560977.39,3038980630.95,,,,,,0.0,7638541608.34,,0.0,-4867228320.97,51000000.0,51000000.0,26767086254.2,,,,0.0,26818086254.2,26282963164.84,7887529917.77,92490716.7,,34585892.31,,,0.0,34205078974.92,,0.0,-7386992720.72,-13155807.27,,0.0,-420124895.86,6526034171.11,,0.0,6105909275.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4564808683,,,,,,,,,,,,,-2.0171510197,,,3.422559325,5.3616979247,,,,,,7.4196865942,21.9726102308,31.8484051083,,,14.0971656411,,,-2.2041808528,-59.4587842269,20805.9883911768,67.824732006,,,,,,-57.1113256054,162.8430633639,-53.7731601066,,,,,,,-11.3001913714,,,-126.3791266294,-25.3949678174,-25.3949678174,144.7289244625,,,,,143.6722392362,49.861349293,152.3671117829,94.5962792584,,-29.181270879,,,,65.1426585738,,,23.8975316777,-2121.6843265237,,,-263.4688441538,-16.5281891839,,,-24.3874148853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600900.SH,600900,长江电力,10007169,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-30 00:00:00,2026-04-30 00:00:00,CNY,94910070204.68,,,,,,,,,,,,5496922.7,584335658.49,,0.0,95499902785.87,13309731883.77,,,,,,3561463812.22,17521925470.26,1458313335.4,,0.0,35851434501.65,,0.0,59648468284.22,51304202111.84,2548040281.44,9541006.99,6980137.96,,,,0.0,53868763538.23,14634075051.41,49103517036.48,,1101820343.21,,,,0.0,64839412431.1,,0.0,-10970648892.87,181560000.0,181560000.0,129082714492.21,,1493940000.0,,0.0,130758214492.21,144184148332.02,31633479332.54,125455490.82,,4979188189.66,,,0.0,180796815854.22,,0.0,-50038601362.01,17079752.54,,0.0,-1343702218.12,7869249187.73,,0.0,6525546969.61,32930199395.19,14329997.43,19421950298.68,19421950298.68,,228583003.27,24901528.39,,,,6982274.21,14180380.26,-211841059.71,11307118382.77,-5257616386.94,-37976459.88,-88912466.57,50936006.69,,-32372560.95,-867027052.54,1975847779.35,-5621598.11,,0.0,59648468284.22,,,,129230909.77,6525546969.61,7869249187.73,,,,,-1343702218.12,-1.4104377296,,,,,,,,,,,,28.2675300217,-0.452263131,,,-1.4033178584,6.3646231489,,,,,,6.4075894392,18.7136110099,-2.097636763,,,11.652985793,,,-7.8780285227,-30.7663906724,18.4877474885,37.0046688747,207.6807571089,,,,,-29.3694127176,17.8540935065,-35.5932856604,,83.0285357722,,,,,-27.3580052013,,,15.5488917259,-98.8993333108,-56.7582501334,-15.8165866506,,1444.6029776675,,,-23.050482054,16.6206788829,-11.3385003921,-88.746526465,,-92.3651659208,,,,-19.4779445747,,,8.3601373552,-37.9886730735,,,52.3014789755,-25.9618664301,,,-16.4630573261,17.7446458037,-66.2744515216,2.3322645501,2.3322645501,,84.2965774516,-21.0729318796,,,,210.1897571113,-42.8369751932,-230.0609067784,-11.4523276691,-10.6827642213,-203.6488274941,-34.3362347833,-50.4639113465,,15.8493746388,-111.7138316635,2.3451457963,74.324483457,,,-7.8780285227,,,,,-16.4630573261,-25.9618664301,,,,,52.3014789755,标准无保留意见,,,,104378934.5,12.3474629051
600900.SH,600900,长江电力,10007169,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-31 00:00:00,2025-10-31 00:00:00,CNY,71355812909.77,,,,,,,,,,,,4031143.51,361630585.49,,0.0,71721474638.77,8980723939.3,,,,,,2053755761.55,12286617777.88,752053574.86,,0.0,24073151053.59,,0.0,47648323585.18,33725927519.85,2123630768.98,3426390.62,500000.0,,,,0.0,35853484679.45,6733921353.9,33698429463.83,,1099838606.28,,,,0.0,41532189424.01,,0.0,-5678704744.56,146860000.0,146860000.0,110985262080.23,,1491567000.0,,0.0,112623689080.23,122101276888.72,29255563058.38,124232909.63,,4488102098.24,,,0.0,155844942045.34,,0.0,-43221252965.11,-45765014.4,,0.0,-1297399138.89,7793931617.97,,0.0,6496532479.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7484284513,,,,,,,,,,,,87.3525640447,-8.9654263434,,,25.5094305305,9.1742947426,,,,,,5.8056646207,24.5347304445,3.4657602831,,,15.9593800397,,,30.9584534688,-46.0640696705,24.8918050936,-34.7916123567,-77.9602667689,,,,,-44.1860615771,-21.0946515802,-48.1918635143,,-98.291832916,,,,,-69.8967730369,,,92.2978049051,-99.1040891346,-50.580600547,-18.9295952595,,,,,-26.5300134509,42.7948659454,-10.5726782269,-87.7873708344,,614.3765211542,,,,31.1265732076,,,-225.4923852614,-175.5089006388,,,54.3514050942,-26.6685737299,,,-16.5637203776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600900.SH,600900,长江电力,10007169,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-31 00:00:00,2025-08-30 00:00:00,CNY,36208094002.07,,,,,,,,,,,,4031143.51,246705828.13,,0.0,36458830973.71,5223414977.09,,,,,,1410316615.42,6261595416.16,542084600.58,,0.0,13437411609.25,,0.0,23021419364.46,12710722742.74,515521491.45,1998415.51,500000.0,,,,0.0,13228742649.7,3564070760.88,12424931963.35,,1132513046.01,,,,0.0,17121515770.24,,0.0,-3892773120.54,68360000.0,68360000.0,67761652768.21,,1491819000.0,,0.0,69321831768.21,76594335625.2,5748198624.31,101135993.68,,4321883295.93,,,0.0,86664417545.44,,0.0,-17342585777.23,15760321.47,,0.0,1801820788.16,7818249187.73,,0.0,9620069975.89,11590397991.56,-1747230.72,9751856477.37,9751856477.37,,84116811.91,14713837.2,,,,3464395.3,6741289.68,-83053757.88,5751118033.79,-2891657273.21,65221686.38,-7346621.8,72568308.18,,-12437582.74,-3415428483.84,2097936090.23,,,0.0,23021419364.46,,,,,9620069975.89,7818249187.73,,,,,1801820788.16,-2.3789616054,,,,,,,,,,,,90.3177693153,12.6363756806,,,-2.2855555622,5.8919374785,,,,,,9.7635093341,11.0355678112,46.9977764351,,,9.9112946656,,,-8.2297217144,-74.5931645406,-19.7240822223,-49.9858230029,-77.9602667689,,,,,-73.8960681617,-39.8984587516,-76.0359962376,,-98.2410860136,,,,,-85.98497812,,,94.5546676076,-99.5829738066,-76.9963901225,-28.6869977172,,,,,-37.7790188595,44.5076001142,-35.4947927856,-89.0332524178,,596.0932705743,,,,38.5837619439,,,-135.4824315156,-79.5554332944,,,-29.3762632071,-26.4397749462,,,-27.0082153257,26.7670872227,-172.2200491464,3.2058819725,3.2058819725,,65.5412423809,-2.5206669536,,,,213.8536915506,-17.0100758537,74.4097925372,-9.8625237543,-8.790781954,-59.3249067417,-111.3377716919,-24.0521751316,,45.0818357575,-208.2031399629,766.1990441469,,,,-8.2297217144,,,,,-27.0082153257,-26.4397749462,,,,,-29.3762632071,,,,,48904169.16,3.0893825284
600900.SH,600900,长江电力,10007169,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-30 00:00:00,2025-04-30 00:00:00,CNY,18385232886.17,,,,,,,,,,,,,114648654.83,,0.0,18499881541.0,2543165364.48,,,,,,675647434.07,2985805152.23,180991163.84,,0.0,6385609114.62,,0.0,12114272426.38,6460305804.91,714535.82,623266.79,,,,,0.0,6461643607.52,1749926712.36,6574060952.38,,287690000.0,,,,0.0,8611677664.74,,0.0,-2150034057.22,68360000.0,68360000.0,10937442851.51,,,,0.0,11005802851.51,17538186656.42,3125419101.58,47529540.16,,48837211.2,,,0.0,20712442969.2,,0.0,-9706640117.69,-592154.66,,0.0,257006096.81,7818249187.73,,0.0,8075255284.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7662901581,,,,,,,,,,,,,17.3806941005,,,40.592704208,20.2573577912,,,,,,13.4108218007,17.4954036338,-45.0181715275,,,14.4186774493,,,59.8699735887,-58.7074895972,-97.8989075443,963.8486403928,,,,,,-58.7886735842,-5.0097416477,-59.2525325125,,-99.5531866352,,,,,-89.5442332048,,,96.775770599,-69.2764044944,-61.4873239437,-86.4156323993,,,,,-86.3683993052,0.1988712034,-9.4704370551,-40.9559861174,,-91.1123596988,,,,-3.6865622576,,,-116.3874453694,98.2322094592,,,177.5481834744,-26.4397749462,,,-24.6778973112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600900.SH,600900,长江电力,10007169,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-30 00:00:00,2025-04-30 00:00:00,CNY,96267868544.11,,,,,,,,,,,,4285513.8,586990399.65,,0.0,96859144457.56,12513307046.78,,,,,,3347001685.68,14759828566.58,1489558869.86,,0.0,32109696168.9,,0.0,64749448288.66,74103029742.51,2150467314.51,6964001.35,2268630.0,,5592027.34,,0.0,76268321715.71,12417112224.11,76239748510.66,,601993748.44,,,,0.0,89258854483.21,,0.0,-12990532767.5,16495456960.43,419872000.0,153335092218.76,,96720000.0,,0.0,169927269179.19,123635147482.54,35678935583.57,1114815709.39,,65216717718.08,,,0.0,224530800784.19,,0.0,-54603531605.0,27542956.08,,0.0,-2817073127.76,10628643387.26,,0.0,7811570259.5,27967470767.28,42490035.23,18979302748.81,18979302748.81,,124029977.35,31550048.65,,,,-6336590.98,24806910.25,162878350.58,12769526386.32,-4750167222.45,36639546.05,-66186510.82,102826056.87,,-38469780.6,7401737343.07,1930573027.16,-21894780.97,,0.0,64749448288.66,,,,0.0,7811570259.5,10628643387.26,,,,,-2817073127.76,35.0544381561,,,,,,,,,,,,-99.8545604235,10.3863234383,,,29.5616041474,22.5000771983,,,,,,6.6407837634,-12.0951493218,30.8421644437,,,2.6438166625,,,48.9297553951,-35.2247044228,23.582674519,-81.1963890007,,,-83.6502884076,,,-34.3710971531,-0.4218982577,-33.9528360728,,,,,,,-30.2192541259,,,-11.0129652186,105.4883868385,-82.7030946182,69.185158651,,,,,72.2370250569,48.1788375664,2.9804411598,-35.3551738519,,436.9958034259,,,,72.4142785249,,,-72.96823664,-80.561136168,,,-909.8637461913,3.3862465407,,,-26.5026155454,11.4156852465,-84.1677343284,13.0724172748,13.0724172748,,44.138748697,36.1590308115,,,,-112.1562696019,85.3666332956,-57.7297986121,32.9505357493,-3.2614527492,52.5883616271,-139.0935652653,98.911856931,,-55.3290148698,201.3796288938,-35.0821448083,,,,48.9297553951,,,,,-26.5026155454,3.3862465407,,,,,-909.8637461913,标准无保留意见,,,,92907246.68,19.9945153584
