公告日期,送股,转增,派息,进度,除权除息日,股权登记日,红股上市日
2026-04-30,0,0.0,7.9,预案,,,
2026-02-05,0,0.0,2.1,实施,2026-02-12,2026-02-11,
2025-12-31,0,0.0,2.1,预案,,,
2025-07-11,0,0.0,7.33,实施,2025-07-18,2025-07-17,
2025-01-16,0,0.0,2.1,实施,2025-01-24,2025-01-23,
2024-12-14,0,0.0,2.1,预案,,,
2024-07-11,0,0.0,8.2,实施,2024-07-19,2024-07-18,
2023-07-17,0,0.0,8.533,实施,2023-07-21,2023-07-20,
2022-07-13,0,0.0,8.153,实施,2022-07-21,2022-07-20,
2021-07-09,0,0.0,7.0,实施,2021-07-16,2021-07-15,
2020-07-13,0,0.0,6.8,实施,2020-07-17,2020-07-16,
2019-07-11,0,0.0,6.8,实施,2019-07-18,2019-07-17,
2018-06-15,0,0.0,6.8,实施,2018-06-22,2018-06-21,
2017-07-10,0,0.0,7.25,实施,2017-07-14,2017-07-13,
2016-07-13,0,0.0,4.0,实施,2016-07-19,2016-07-18,
2015-06-20,0,0.0,3.791,实施,2015-06-30,2015-06-29,
2014-07-04,0,0.0,2.8042,实施,2014-07-11,2014-07-10,
2013-06-25,0,0.0,3.3157,实施,2013-07-01,2013-06-28,
2012-06-26,0,0.0,2.5462,实施,2012-07-02,2012-06-29,
2011-06-17,0,0.0,2.5579,实施,2011-06-23,2011-06-22,
2010-07-14,0,5.0,3.7027,实施,2010-07-20,2010-07-19,
2009-08-03,0,0.0,2.1585,实施,2009-08-07,2009-08-06,
2008-07-16,0,0.0,2.9682,实施,2008-07-22,2008-07-21,
2007-06-05,0,0.0,2.3532,实施,2007-06-11,2007-06-08,
2006-06-01,0,0.0,1.89,实施,2006-06-07,2006-06-06,
2005-08-09,0,0.421,1.74,实施,2005-08-12,2005-08-11,2005-08-15
2005-05-18,0,0.0,2.1,实施,2005-05-24,2005-05-23,
2004-05-26,0,0.0,0.9,实施,2004-06-01,2004-05-31,
