报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2000-12-31,5.05亿,False,False,False,14.07亿,False,False,False,False,False,False,35.89%,65.01%,False,5.94%,False,False,False,False,False,False,False,False,False
2001-12-31,4.94亿,-2.27%,False,False,14.15亿,0.55%,False,False,False,False,False,34.88%,62.97%,False,5.80%,False,False,False,False,False,False,False,False,False
2002-12-31,4.43亿,-10.33%,False,False,13.71亿,-3.10%,False,1.54,0.54,False,False,32.28%,59.92%,False,5.21%,155.77,16.28,22.12,133.66,2.65,2.58,3.56,0.17,14.21%
2003-03-31,6538.89万,False,False,False,2.31亿,False,False,False,False,False,False,28.34%,46.67%,False,False,False,False,False,False,False,False,False,False,False
2003-06-30,3.06亿,False,False,False,6.96亿,False,0.0550,1.55,0.54,False,0.07,43.90%,64.62%,3.58%,3.57%,170.93,8.18,22.01,148.92,1.50,1.46,2.28,0.11,10.10%
2003-12-31,14.38亿,224.78%,14.40亿,False,29.86亿,117.76%,0.2510,2.52,1.34,0.03,0.23,48.15%,70.51%,14.31%,7.25%,112.16,27.46,13.11,99.05,2.11,2.08,3.13,0.49,33.06%
2004-03-31,4.71亿,620.62%,4.70亿,False,10.70亿,363.87%,False,2.58,1.34,0.09,0.0006,44.03%,68.55%,False,2.32%,141.65,11.99,7.51,134.15,2.40,2.39,3.97,0.49,32.94%
2004-06-30,14.00亿,357.88%,13.96亿,False,28.62亿,311.05%,0.1780,2.58,1.34,0.21,0.22,48.90%,74.44%,6.82%,6.91%,100.32,22.35,8.06,92.26,1.89,1.85,3.02,0.55,35.39%
2004-09-30,23.69亿,False,23.65亿,False,46.58亿,False,False,2.70,1.34,0.33,0.43,50.86%,76.48%,False,11.16%,125.07,25.06,10.77,114.30,1.45,1.41,2.43,0.56,35.86%
2004-12-31,30.39亿,111.40%,30.37亿,110.98%,61.74亿,106.78%,0.3870,2.79,1.34,0.35,0.67,49.22%,74.91%,14.56%,13.87%,87.63,28.41,12.67,74.96,1.82,1.76,2.46,0.51,33.89%
