report_date,report_name,report_period,quarter_name,metric_name,value,single,yoy,mom,single_yoy
2026-03-31,2026一季报,2026-1,2026一季度,index_per_operating_cash_flow_net,0.4786,0.4786,-0.01156547,-0.33721091,-0.01156547
2026-03-31,2026一季报,2026-1,2026一季度,deduct_net_profit_yoy_growth_ratio,19.1983,19.1983,-0.39041405,0.21324705,-0.39041405
2026-03-31,2026一季报,2026-1,2026一季度,parent_holder_net_profit,6761006898.4800,6761006898.4800,0.30501577,0.07148604,0.30501577
2026-03-31,2026一季报,2026-1,2026一季度,calc_per_net_assets,9.3143,,0.05601914,,
2026-03-31,2026一季报,2026-1,2026一季度,inventory_turnover_ratio,9.5789,,-0.22385895,,
2026-03-31,2026一季报,2026-1,2026一季度,conservative_quick_ratio,0.1381,,0.74810127,,
2026-03-31,2026一季报,2026-1,2026一季度,equity_ratio,1.4136,,-0.09326491,,
2026-03-31,2026一季报,2026-1,2026一季度,current_ratio,0.1507,,0.77502945,,
2026-03-31,2026一季报,2026-1,2026一季度,basic_eps,0.2763,0.2763,0.30514880,0.07134548,0.30514880
2026-03-31,2026一季报,2026-1,2026一季度,business_cycle,48.6799,,-0.15073744,,
2026-03-31,2026一季报,2026-1,2026一季度,receive_accounts_turnover_days,39.2842,,-0.21475260,,
2026-03-31,2026一季报,2026-1,2026一季度,quick_ratio,0.1381,,0.74810127,,
2026-03-31,2026一季报,2026-1,2026一季度,sale_gross_margin,55.6463,55.6463,0.05039196,-0.05804137,0.05039196
2026-03-31,2026一季报,2026-1,2026一季度,inventory_turnover_days,9.3957,,0.28842356,,
2026-03-31,2026一季报,2026-1,2026一季度,calculate_operating_income_total_yoy_growth_ratio,6.44277800,6.44277800,-0.25748159,-0.49984920,-0.25748159
2026-03-31,2026一季报,2026-1,2026一季度,sale_net_interest_ratio,38.0050,38.0050,0.22232443,0.21856984,0.22232443
2026-03-31,2026一季报,2026-1,2026一季度,per_undistributed_profits,4.5610,,0.12734193,,
2026-03-31,2026一季报,2026-1,2026一季度,operating_income_total,18111540767.5000,18111540767.5000,0.06442778,-0.11653841,0.06442778
2026-03-31,2026一季报,2026-1,2026一季度,per_capital_reserve,2.5972,,-0.00264967,,
2026-03-31,2026一季报,2026-1,2026一季度,index_full_diluted_roe,2.9666,3.0100,0.23577439,0.05528871,0.23781716
2026-03-31,2026一季报,2026-1,2026一季度,calculate_parent_holder_net_profit_yoy_growth_ratio,30.50157700,30.50157700,-0.00186112,-0.25827340,-0.00186112
2026-03-31,2026一季报,2026-1,2026一季度,assets_debt_ratio,57.3271,,-0.03892927,,
2026-03-31,2026一季报,2026-1,2026一季度,index_deduct_holder_net_profit,6237332251.3500,6237332251.3500,0.19198322,0.19055137,0.19198322
2026-03-31,2026一季报,2026-1,2026一季度,index_weighted_avg_roe,3.0100,3.0100,0.23868313,0.04152249,0.23868313
2025-12-31,2025年报,2025-4,2025四季度,index_per_operating_cash_flow_net,2.4752,0.7221,0.01534170,-0.06536371,0.47247145
2025-12-31,2025年报,2025-4,2025四季度,deduct_net_profit_yoy_growth_ratio,2.8856,15.8239,-0.84122285,2.64561451,1.62649806
2025-12-31,2025年报,2025-4,2025四季度,parent_holder_net_profit,34502809176.3900,6309934681.4400,0.06174993,-0.58313180,0.41122399
2025-12-31,2025年报,2025-4,2025四季度,calc_per_net_assets,9.0459,,0.05254646,,
2025-12-31,2025年报,2025-4,2025四季度,inventory_turnover_ratio,44.7157,,-0.20450126,,
2025-12-31,2025年报,2025-4,2025四季度,conservative_quick_ratio,0.1024,,0.00787402,,
2025-12-31,2025年报,2025-4,2025四季度,equity_ratio,1.4722,,-0.10034221,,
2025-12-31,2025年报,2025-4,2025四季度,current_ratio,0.1159,,0.07613742,,
2025-12-31,2025年报,2025-4,2025四季度,basic_eps,1.4101,0.2579,0.06174234,-0.58309085,0.41160372
2025-12-31,2025年报,2025-4,2025四季度,business_cycle,42.6526,,-0.03944239,,
2025-12-31,2025年报,2025-4,2025四季度,receive_accounts_turnover_days,34.6017,,-0.08941697,,
2025-12-31,2025年报,2025-4,2025四季度,quick_ratio,0.1024,,0.00787402,,
2025-12-31,2025年报,2025-4,2025四季度,sale_gross_margin,61.6685,59.0751,0.04285852,-0.16213257,0.14444266
2025-12-31,2025年报,2025-4,2025四季度,inventory_turnover_days,8.0509,,0.25706925,,
2025-12-31,2025年报,2025-4,2025四季度,calculate_operating_income_total_yoy_growth_ratio,2.07128800,12.88167100,-0.74503901,2.65637452,2.22859733
2025-12-31,2025年报,2025-4,2025四季度,sale_net_interest_ratio,40.5247,31.1882,0.03977739,-0.40690833,0.24413897
2025-12-31,2025年报,2025-4,2025四季度,per_undistributed_profits,4.2847,,0.11755347,,
2025-12-31,2025年报,2025-4,2025四季度,operating_income_total,86241940222.2000,20500654540.4800,0.02071288,-0.29414384,0.12881671
2025-12-31,2025年报,2025-4,2025四季度,per_capital_reserve,2.5972,,-0.00264967,,
2025-12-31,2025年报,2025-4,2025四季度,index_full_diluted_roe,15.5883,2.8523,0.00874905,-0.59709293,0.34194307
2025-12-31,2025年报,2025-4,2025四季度,calculate_parent_holder_net_profit_yoy_growth_ratio,6.17499300,41.12239900,-0.67964672,5.50425711,2.88273554
2025-12-31,2025年报,2025-4,2025四季度,assets_debt_ratio,58.2695,,-0.04146557,,
2025-12-31,2025年报,2025-4,2025四季度,index_deduct_holder_net_profit,33445575299.9400,5239028240.8100,0.02885555,-0.65111184,0.15823897
2025-12-31,2025年报,2025-4,2025四季度,index_weighted_avg_roe,15.9000,2.8900,0.01209421,-0.58236994,0.33179724
2025-09-30,2025三季报,2025-3,2025三季度,index_per_operating_cash_flow_net,1.7531,0.7726,-0.09977406,0.55671973,-0.23360778
2025-09-30,2025三季报,2025-3,2025三季度,deduct_net_profit_yoy_growth_ratio,0.7943,-9.6158,-0.97389224,-2.25447477,-1.34105959
2025-09-30,2025三季报,2025-3,2025三季度,parent_holder_net_profit,28192874494.9500,15136522021.4000,0.00599293,0.92195968,-0.09129674
2025-09-30,2025三季报,2025-3,2025三季度,calc_per_net_assets,9.0364,,0.05067088,,
2025-09-30,2025三季报,2025-3,2025三季度,inventory_turnover_ratio,33.4992,,-0.17148044,,
2025-09-30,2025三季报,2025-3,2025三季度,conservative_quick_ratio,0.2052,,0.79213974,,
2025-09-30,2025三季报,2025-3,2025三季度,equity_ratio,1.5186,,-0.08041662,,
2025-09-30,2025三季报,2025-3,2025三季度,current_ratio,0.2151,,0.75020342,,
2025-09-30,2025三季报,2025-3,2025三季度,basic_eps,1.1522,0.6186,0.00593679,0.92171482,-0.09162996
2025-09-30,2025三季报,2025-3,2025三季度,business_cycle,58.4312,,0.18121576,,
2025-09-30,2025三季报,2025-3,2025三季度,receive_accounts_turnover_days,50.3713,,0.17719658,,
2025-09-30,2025三季报,2025-3,2025三季度,quick_ratio,0.2052,,0.79213974,,
2025-09-30,2025三季报,2025-3,2025三季度,sale_gross_margin,62.4772,70.5065,0.02100775,0.19823222,-0.00592022
2025-09-30,2025三季报,2025-3,2025三季度,inventory_turnover_days,8.0599,,0.20696936,,
2025-09-30,2025三季报,2025-3,2025三季度,calculate_operating_income_total_yoy_growth_ratio,-0.88857100,-7.77702800,-1.06065497,-3.97575478,-1.45320758
2025-09-30,2025三季报,2025-3,2025三季度,sale_net_interest_ratio,43.4361,52.5858,0.01529151,0.29503174,-0.01296815
2025-09-30,2025三季报,2025-3,2025三季度,per_undistributed_profits,4.2409,,0.10064623,,
2025-09-30,2025三季报,2025-3,2025三季度,operating_income_total,65741285681.7200,29043671615.0000,-0.00888571,0.47562160,-0.07777028
2025-09-30,2025三季报,2025-3,2025三季度,per_capital_reserve,2.6149,,0.00306878,,
2025-09-30,2025三季报,2025-3,2025三季度,index_full_diluted_roe,12.7509,7.0793,-0.04252395,0.89819011,-0.14125767
2025-09-30,2025三季报,2025-3,2025三季度,calculate_parent_holder_net_profit_yoy_growth_ratio,0.59929300,-9.12967400,-0.98015853,-2.41893732,-1.28742458
2025-09-30,2025三季报,2025-3,2025三季度,assets_debt_ratio,59.0358,,-0.03283738,,
2025-09-30,2025三季报,2025-3,2025三季度,index_deduct_holder_net_profit,28206547059.1300,15016354549.4000,0.00794252,0.88707944,-0.09615757
2025-09-30,2025三季报,2025-3,2025三季度,index_weighted_avg_roe,13.0100,6.9200,-0.03914328,0.89071038,-0.13283208
2025-06-30,2025中报,2025-2,2025二季度,index_per_operating_cash_flow_net,0.9805,0.4963,0.04386245,0.02498967,0.11503033
2025-06-30,2025中报,2025-2,2025二季度,deduct_net_profit_yoy_growth_ratio,16.0049,7.6652,-0.52683782,-0.75661396,-0.84682222
2025-06-30,2025中报,2025-2,2025二季度,parent_holder_net_profit,13056352473.5500,7875566875.6800,0.14855374,0.52014916,0.06434163
2025-06-30,2025中报,2025-2,2025二季度,calc_per_net_assets,8.4404,,0.06563980,,
2025-06-30,2025中报,2025-2,2025二季度,inventory_turnover_ratio,23.4243,,-0.15121967,,
2025-06-30,2025中报,2025-2,2025二季度,conservative_quick_ratio,0.1536,,0.15401953,,
2025-06-30,2025中报,2025-2,2025二季度,equity_ratio,1.6910,,-0.11312739,,
2025-06-30,2025中报,2025-2,2025二季度,current_ratio,0.1612,,0.14570007,,
2025-06-30,2025中报,2025-2,2025二季度,basic_eps,0.5336,0.3219,0.14851485,0.52054795,0.06518862
2025-06-30,2025中报,2025-2,2025二季度,business_cycle,59.2839,,-0.00080227,,
2025-06-30,2025中报,2025-2,2025二季度,receive_accounts_turnover_days,51.5996,,-0.02290510,,
