代码,简称,公告标题,公告时间,公告链接
600420,国药现代,2025年度报告,2026-03-28,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600420&announcementId=1225042202&orgId=gssh0600420&announcementTime=2026-03-28
600420,国药现代,2025年度报告摘要,2026-03-28,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600420&announcementId=1225042159&orgId=gssh0600420&announcementTime=2026-03-28
600420,国药现代,2024年度报告,2025-03-28,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600420&announcementId=1222925535&orgId=gssh0600420&announcementTime=2025-03-28
600420,国药现代,2024年度报告摘要,2025-03-28,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600420&announcementId=1222925513&orgId=gssh0600420&announcementTime=2025-03-28
600420,国药现代,2023年度报告摘要,2024-03-30,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600420&announcementId=1219469196&orgId=gssh0600420&announcementTime=2024-03-30
600420,国药现代,2023年度报告,2024-03-30,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600420&announcementId=1219469164&orgId=gssh0600420&announcementTime=2024-03-30
600420,国药现代,2022年年度报告,2023-03-30,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600420&announcementId=1216258599&orgId=gssh0600420&announcementTime=2023-03-30
600420,国药现代,2022年年度报告摘要,2023-03-30,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600420&announcementId=1216258591&orgId=gssh0600420&announcementTime=2023-03-30
600420,国药现代,2021年年度报告,2022-03-26,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600420&announcementId=1212686930&orgId=gssh0600420&announcementTime=2022-03-26
600420,国药现代,2021年年度报告摘要,2022-03-26,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600420&announcementId=1212686919&orgId=gssh0600420&announcementTime=2022-03-26
