代码,简称,公告标题,公告时间,公告链接
600312,平高电气,河南平高电气股份有限公司2025年年度报告摘要,2026-04-11,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600312&announcementId=1225093687&orgId=gssh0600312&announcementTime=2026-04-11
600312,平高电气,河南平高电气股份有限公司2025年年度报告,2026-04-11,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600312&announcementId=1225093676&orgId=gssh0600312&announcementTime=2026-04-11
600312,平高电气,河南平高电气股份有限公司2024年年度报告摘要,2025-04-11,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600312&announcementId=1223054856&orgId=gssh0600312&announcementTime=2025-04-11
600312,平高电气,河南平高电气股份有限公司2024年年度报告,2025-04-11,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600312&announcementId=1223054837&orgId=gssh0600312&announcementTime=2025-04-11
600312,平高电气,河南平高电气股份有限公司2023年年度报告摘要,2024-04-11,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600312&announcementId=1219567413&orgId=gssh0600312&announcementTime=2024-04-11
600312,平高电气,河南平高电气股份有限公司2023年年度报告,2024-04-11,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600312&announcementId=1219567393&orgId=gssh0600312&announcementTime=2024-04-11
600312,平高电气,河南平高电气股份有限公司2022年年度报告摘要,2023-04-21,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600312&announcementId=1216496825&orgId=gssh0600312&announcementTime=2023-04-21
600312,平高电气,河南平高电气股份有限公司2022年年度报告,2023-04-21,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600312&announcementId=1216496824&orgId=gssh0600312&announcementTime=2023-04-21
600312,平高电气,河南平高电气股份有限公司2021年年度报告,2022-04-15,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600312&announcementId=1212920716&orgId=gssh0600312&announcementTime=2022-04-15
600312,平高电气,河南平高电气股份有限公司2021年年度报告摘要,2022-04-15,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600312&announcementId=1212920705&orgId=gssh0600312&announcementTime=2022-04-15
600312,平高电气,河南平高电气股份有限公司2020年年度报告,2021-04-23,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600312&announcementId=1209768585&orgId=gssh0600312&announcementTime=2021-04-23
600312,平高电气,河南平高电气股份有限公司2020年年度报告摘要,2021-04-23,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600312&announcementId=1209768574&orgId=gssh0600312&announcementTime=2021-04-23
600312,平高电气,2019年年度报告,2020-04-23,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600312&announcementId=1207554794&orgId=gssh0600312&announcementTime=2020-04-23
600312,平高电气,2019年年度报告摘要,2020-04-23,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600312&announcementId=1207554784&orgId=gssh0600312&announcementTime=2020-04-23
