实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2002-06-24,年度分红,,,1.5,2002-06-27,2002-06-28,2002-07-05,,10派1.5元(含税),2001年报
2003-05-24,年度分红,,7.0,1.0,2003-05-29,2003-05-30,2003-06-04,,10转增7股派1.00元（含税）,2002年报
2005-06-17,年度分红,,,1.0,2005-06-22,2005-06-23,2005-06-28,,10派1元(含税),2004年报
2006-04-21,年度分红,,,4.0,2006-04-26,2006-04-27,2006-05-12,,10派4元(含税),2005年报
2006-05-17,股改分红,,5.218,,2006-05-18,,,,10转增5.218股,
2008-05-09,年度分红,,4.0,1.0,2008-05-14,2008-05-15,2008-05-20,,10转增4股派1元（含税）,2007年报
2009-06-03,年度分红,2.0,,1.0,2009-06-08,2009-06-09,2009-06-12,2009-06-09,10送2股派1元（含税）,2008年报
2010-06-09,年度分红,,2.0,0.5,2010-06-17,2010-06-18,2010-06-25,2010-06-21,10转增2股派0.5元（含税）,2009年报
2013-05-20,年度分红,,,0.5,2013-05-24,2013-05-27,2013-05-31,,10派0.5元(含税),2012年报
2014-07-09,年度分红,,,0.5,2014-07-15,2014-07-16,2014-07-16,,10派0.5元(含税),2013年报
2015-08-12,年度分红,,,5.0,2015-08-18,2015-08-19,2015-08-19,,10派5元(含税),2014年报
2016-04-19,年度分红,,,5.0,2016-04-22,2016-04-25,2016-04-25,,10派5元(含税),2015年报
2017-05-25,年度分红,,,6.0,2017-06-02,2017-06-05,2017-06-05,,10派6元(含税),2016年报
2018-06-26,年度分红,,,1.4,2018-07-02,2018-07-03,2018-07-03,,10派1.4元(含税),2017年报
2019-07-12,年度分红,,,0.64,2019-07-18,2019-07-19,2019-07-19,,10派0.64元(含税),2018年报
2020-07-10,年度分红,,,0.51,2020-07-16,2020-07-17,2020-07-17,,10派0.51元(含税),2019年报
2021-07-28,年度分红,,,0.28,2021-08-03,2021-08-04,2021-08-04,,10派0.28元(含税),2020年报
2022-06-22,年度分红,,,0.16,2022-06-28,2022-06-29,2022-06-29,,10派0.16元(含税),2021年报
2023-07-28,年度分红,,,0.55,2023-08-02,2023-08-03,2023-08-03,,10派0.55元(含税),2022年报
2024-07-13,年度分红,,,2.12,2024-07-18,2024-07-19,2024-07-19,,10派2.12元(含税),2023年报
2024-10-19,中期分红,,,1.38,2024-10-24,2024-10-25,2024-10-25,,10派1.38元(含税),2024半年报
2025-01-14,季度分红,,,0.84,2025-01-20,2025-01-21,2025-01-21,,10派0.84元(含税),2024三季报
2025-06-20,年度分红,,,0.67,2025-06-25,2025-06-26,2025-06-26,,10派0.67元(含税),2024年报
2025-10-11,中期分红,,,1.88,2025-10-16,2025-10-17,2025-10-17,,10派1.88元(含税),2025半年报
2026-06-18,年度分红,,,1.43,2026-06-24,2026-06-25,2026-06-25,,10派1.43元(含税),2025年报
