日期,摊薄每股收益(元),加权每股收益(元),每股收益_调整后(元),扣除非经常性损益后的每股收益(元),每股净资产_调整前(元),每股净资产_调整后(元),每股经营性现金流(元),每股资本公积金(元),每股未分配利润(元),调整后的每股净资产(元),总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重,非主营比重,主营利润比重,股息发放率(%),投资收益率(%),主营业务利润(元),净资产收益率(%),加权净资产收益率(%),扣除非经常性损益后的净利润(元),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),应收账款周转率(次),应收账款周转天数(天),存货周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),股东权益周转率(次),流动比率,速动比率,现金比率(%),利息支付倍数,长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),资产负债率(%),总资产(元),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),短期股票投资(元),短期债券投资(元),短期其它经营性投资(元),长期股票投资(元),长期债券投资(元),长期其它经营性投资(元),1年以内应收帐款(元),1-2年以内应收帐款(元),2-3年以内应收帐款(元),3年以内应收帐款(元),1年以内预付货款(元),1-2年以内预付货款(元),2-3年以内预付货款(元),3年以内预付货款(元),1年以内其它应收款(元),1-2年以内其它应收款(元),2-3年以内其它应收款(元),3年以内其它应收款(元)
2020-03-31,0.017,0.02,0.02,0.02,6.9113,6.69,-0.2572,3.5993,1.7164,,0.1036,15.5354,0.1025,2.8199,2.6466,83.5889,1.9113,1.6979,0.2457,0.1036,,10.8885,20.7191,577.7691,0.0508,,187260126.03,0.25,0.25,22092326.15,-11.6533,2.9069,1.5217,0.2035,0.1299,692.8406,216.6586,0.4154,,0.0536,1679.1045,0.0728,1236.2637,0.1288,1.2114,1.0207,16.8469,379.3598,,42.1545,,,137.2224,,,,71.5829,136.7382,,,57.8455,22247061007.39,-0.2896,-0.0157,-15.1499,-0.0271,-2.7218,,,,185842977.6,,,,,,,,,,,,,,
2020-06-30,0.0413,0.04,0.04,0.03,6.9269,6.7086,-0.261,3.5993,1.7399,,0.2582,13.8561,0.2524,3.0495,2.5893,85.3838,1.7386,168.162,24.2767,10.5136,,9.7917,24.9209,473.6226,0.0268,,446567309.94,0.6,0.6,41103057.13,3.8637,6.2588,1.403,-0.7487,0.3427,525.2407,171.5429,1.0493,1.1578,0.1452,1239.6694,0.1963,916.9638,0.3439,1.2444,1.013,12.318,382.8813,,43.3075,,344.8776,130.9068,,,55.0452,68.4983,130.5069,,12.5574,56.6925,21703510821.14,-0.1099,-0.0163,-6.3213,-0.0288,-2.8876,,,,187031473.84,,,,1799185380.12,1423264877.14,605323469.86,,73985368.86,8762706.09,,,37401115.59,36071615.4,17123140.29
2020-09-30,0.0883,0.0852,0.0852,,6.9206,6.7003,0.0279,3.5993,1.7338,,0.5505,12.8687,0.5388,3.3249,2.6864,86.4766,2.1088,8.8265,1.2754,0.5505,,9.2477,26.1606,401.5873,0.234,,730890330.43,1.27,1.272,52170631.43,-3.8462,3.6563,1.6107,-5.4965,0.5954,453.4767,140.8745,1.9166,,0.2555,1056.7515,0.347,778.098,0.6063,1.2295,1.009,13.6747,522.5173,,43.1596,,,131.6982,,,,70.2409,131.3205,,,56.8404,21758095034.51,0.0067,0.0017,0.316,0.0031,0.3069,,,,192562940.79,,,,,,,,,,,,,,
2020-12-31,0.1009,0.0929,0.0929,0.0339,6.9151,6.69,0.9839,3.5993,1.7026,,0.6596,11.833,0.6301,2.191,1.7591,87.5079,1.3994,181.6836,26.2736,11.8806,,6.7517,27.0336,568.9876,,,1157394978.71,1.39,1.39,46049615.89,-12.3522,-40.4274,0.4279,-8.5706,1.0047,358.3159,90.1442,3.9936,3.5631,0.4503,799.467,0.6231,577.7564,1.0446,1.225,1.0584,20.7225,309.7665,,45.2185,,354.3204,121.1483,,,53.2129,73.818,120.2709,,12.762,54.7815,20750745705.73,0.1365,0.0643,9.7544,0.1174,11.8305,,,,198012194.79,,,,1358138623.16,1115198879.5,517165193.38,,26287583.87,14586064.25,,,17321645.83,8069869.98,36373519.83
2021-03-31,-0.0269,-0.03,-0.03,-0.04,6.8975,6.67,-0.1572,3.5993,1.675,,-0.1786,11.5532,-0.1773,-2.9662,-4.15,87.4577,-3.5328,-2.692,-0.3903,-0.1786,,13.0994,-58.6047,-383.5614,,,119455988.26,-0.41,-0.41,-49845795.06,-14.2211,-258.5494,-0.2008,-8.0786,0.1298,693.3744,221.4022,0.4065,,0.0502,1792.8287,0.0747,1204.8193,0.1103,1.2593,1.0258,18.671,-602.379,,45.7672,,,118.497,,,,70.4354,117.5779,,,54.2328,20449817587.77,-0.2063,-0.0104,,-0.0192,-1.9379,,,,204498653.47,,,,,,,,,,,,,,
2021-06-30,0.0508,0.04,0.04,0.03,6.9747,6.7375,-0.3273,3.6018,1.7422,,0.3369,12.0653,0.3345,2.8377,2.3014,87.1443,1.9558,184.9922,26.5235,12.2724,,7.5788,28.4538,445.1462,0.0218,,425120161.66,0.61,0.62,40003530.34,9.3271,22.9805,0.6896,-5.757,0.4318,416.8597,125.6457,1.4326,1.3603,0.171,1052.6316,0.2522,713.7193,0.3739,1.294,1.0735,18.5457,1235.2701,,46.2699,,373.7688,116.1232,,,50.9126,66.9064,115.3136,,12.3793,53.7301,20454047082.78,-0.126,-0.0217,-6.444,-0.0404,-4.0691,,,,200136970.84,,,,1981233427.39,813617049.13,1437870573.24,,64529349.6,13870360.75,,,9949102.85,5417467.8,33185847.5
2021-09-30,0.1008,0.077,0.077,,7.0037,6.7521,-0.0322,3.6018,1.7498,,0.6664,11.5128,0.6627,2.7602,2.3287,87.711,2.317,10.08,1.4392,0.6664,,7.2347,25.2418,435.7379,,,679626410.53,1.14,1.1447,78458126.75,3.9378,14.201,1.2009,-5.6648,0.7527,358.7086,112.5844,2.3982,,0.286,944.0559,0.4214,640.7214,0.6251,1.2973,1.0744,20.5569,771.1237,,46.3007,,,115.9793,,,,66.6383,115.1192,,,53.6993,20525551098.01,-0.0074,-0.0021,-0.3196,-0.004,-0.3996,,,,208239852.32,,,,,,,,,,,,,,
2021-12-31,0.0887,0.0522,0.0522,0.0259,6.9957,6.7332,0.8827,3.6,1.7113,,0.6278,12.8716,0.603,1.5308,1.2522,86.2826,1.2982,197.8253,28.2782,13.9989,,6.5914,30.8093,897.2087,,,1193622077.64,0.77,0.78,35096638.13,-5.1912,-12.048,1.1662,-7.5923,1.2691,283.6656,81.6901,4.4069,3.6514,0.4645,775.0269,0.6949,518.0602,0.9826,1.34,1.1577,28.8959,443.9487,,49.5044,,390.4677,102.0024,,,48.67,66.4679,101.1414,,12.6782,50.4956,19175290656.28,0.1292,0.0625,9.9499,0.1237,12.4757,,,,211448981.51,,,,1546118174.19,637091539.77,695286716.06,,34568392.37,7414727.08,,,2959629.83,5514393.8,33048513.62
2022-03-31,0.0421,0.0295,0.0295,,7.0525,6.774,-0.0972,3.6,1.7408,,0.3014,15.5767,0.2998,5.0175,4.6225,83.8092,3.5316,4.2143,0.5976,0.3014,,8.0904,6.7777,335.5649,,,252218099.59,0.44,0.44,39233600.3,56.602,,2.2478,-7.2242,0.2585,348.1625,126.9214,0.7091,,0.0849,1060.0707,0.1246,722.3114,0.1699,1.4076,1.1848,28.2164,1052.7572,,50.4399,,,98.2559,,,,61.2016,97.3643,,,49.5601,18972472593.75,-0.0815,-0.007,-2.3074,-0.014,-1.4161,,,,216228848.78,,,,,,,,,,,,,,
2022-06-30,0.1163,0.09,0.09,0.08,7.0922,6.8186,-0.1859,3.6,1.7812,,0.8569,17.7236,0.8398,5.2211,4.7031,81.4802,3.9302,211.1332,29.7697,15.5507,,9.4439,8.9984,370.1003,0.1995,,711943845.05,1.26,1.27,112904317.44,14.0044,129.0972,1.6854,-9.9297,0.6138,293.2551,96.3443,1.8683,1.6975,0.2137,842.3023,0.3176,566.7506,0.4203,1.4337,1.2315,26.09,2447.9881,,52.2367,,418.1013,91.4364,,,45.9541,62.3153,90.0629,,12.4938,47.7633,18423014059.92,-0.0628,-0.0137,-1.5982,-0.0287,-2.911,,,,225313051.98,,,,1132780028.82,944929384.49,605900247.32,,20385359.06,28724320.12,,,10470155.66,2061104.97,35003327.24
