日期,摊薄每股收益(元),加权每股收益(元),每股收益_调整后(元),扣除非经常性损益后的每股收益(元),每股净资产_调整前(元),每股净资产_调整后(元),每股经营性现金流(元),每股资本公积金(元),每股未分配利润(元),调整后的每股净资产(元),总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重,非主营比重,主营利润比重,股息发放率(%),投资收益率(%),主营业务利润(元),净资产收益率(%),加权净资产收益率(%),扣除非经常性损益后的净利润(元),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),应收账款周转率(次),应收账款周转天数(天),存货周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),股东权益周转率(次),流动比率,速动比率,现金比率(%),利息支付倍数,长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),资产负债率(%),总资产(元),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),短期股票投资(元),短期债券投资(元),短期其它经营性投资(元),长期股票投资(元),长期债券投资(元),长期其它经营性投资(元),1年以内应收帐款(元),1-2年以内应收帐款(元),2-3年以内应收帐款(元),3年以内应收帐款(元),1年以内预付货款(元),1-2年以内预付货款(元),2-3年以内预付货款(元),3年以内预付货款(元),1年以内其它应收款(元),1-2年以内其它应收款(元),2-3年以内其它应收款(元),3年以内其它应收款(元)
2020-03-31,-0.0761,-0.0777,-0.0777,,4.679,4.7099,0.1303,1.7321,1.8464,,-1.0569,39.2063,-1.0586,-17.3535,-18.1662,59.2997,-18.4027,-7.6066,-1.6257,-1.0569,,38.2944,-2.3651,-228.0073,,,131779087.88,-1.59,-1.58,-64135072.75,-39.2106,,-1.8937,7.5512,0.1526,589.7772,424.3281,0.2121,,0.0575,1565.2174,0.0705,1276.5957,0.0873,2.3831,1.8762,60.7481,1821.5425,,65.0097,,,53.8233,,,,27.934,52.8266,,,34.9903,5852703911.6,0.3153,0.0181,,0.0517,5.2725,,,,87695668.92,,,,,,,,,,,,,,
2020-06-30,0.0619,0.0727,0.0727,0.0602,4.6327,4.6708,0.2797,1.7327,1.8206,,0.803,35.332,0.8322,6.2672,4.3747,63.5571,3.594,75.6824,16.3366,9.8113,,16.7276,16.8131,692.6133,2.7615,,495171006.02,1.5,1.45,47242674.93,1.1934,51.8363,-0.5577,19.1501,0.7756,232.0784,193.7776,0.9289,2.9721,0.2315,777.5378,0.2793,644.4683,0.3659,2.1388,1.7113,54.6803,-535.5184,,60.0571,,819.0199,66.5082,,,44.8734,26.0876,65.6529,,7.3328,39.9429,6272654263.45,0.1623,0.0363,4.515,0.0908,9.1951,,,,58307196.8,,,,211681910.93,210574652.36,262398246.33,,14512167.74,3060293.65,,,6148496.78,2184190.85,4544496.13
2020-09-30,0.2915,0.3109,0.3109,,4.9684,4.9684,0.5983,1.5797,2.05,,3.5957,35.3098,3.8156,13.4029,10.284,63.7875,8.6945,29.153,5.8676,3.5957,,15.5462,9.361,328.3414,,,962757625.6,6.03,6.13,221709350.4,22.4005,114.7644,5.6184,22.5886,1.4876,181.5004,141.9111,1.9026,,0.4389,615.1743,0.5255,513.7964,0.6874,2.2329,1.8493,61.9543,-1912.9411,,61.2798,,,63.1859,,,,23.7708,62.4365,,,38.7202,6593037575.2,0.1784,0.0738,2.0524,0.1906,19.2883,,,,60904608.4,,,,,,,,,,,,,,
2020-12-31,0.4149,0.43,0.43,0.32,5.115,5.1126,1.2118,1.601,2.1447,,4.9189,35.6192,5.3164,13.3063,9.9431,63.3337,8.7327,111.8502,21.8671,13.2616,,15.6386,27.0586,334.5282,,,1376039023.71,8.27,8.57,255609059.74,4.9439,88.328,6.8377,17.5807,2.2885,157.3083,142.8005,2.521,8.539,0.6088,591.3272,0.721,499.3065,0.9595,2.233,1.829,81.4574,-1889.1665,,60.6462,,986.3242,64.8908,,,42.4302,21.2941,64.3063,,6.1487,39.3538,6858428888.24,0.2551,0.1437,2.921,0.3651,36.842,,,,22604717.63,,,,172693007.72,121351382.14,293223408.92,,7348032.36,3274344.42,,,8936930.62,2065871.56,4627460.98
2021-03-31,0.1145,0.1146,0.1146,,5.2507,5.2484,0.2179,1.6222,2.2593,,1.3304,35.8508,1.3438,17.2756,13.8467,62.8252,11.5416,11.4496,2.1806,1.3304,,17.7987,2.1732,253.2366,,,289204433.92,2.18,2.21,79123433.62,140.0029,,12.2195,19.5773,0.8114,110.9194,200.6689,0.4485,,0.1164,773.1959,0.1335,674.1573,0.1914,2.2729,1.8341,83.0569,-1064.3744,,61.0095,,,63.9088,,,,20.8088,62.9597,,,38.9905,6998502503.0,0.2197,0.0253,1.9031,0.0649,6.5914,,,,22103517.18,,,,,,,,,,,,,,
2021-06-30,0.308,0.3081,0.3081,0.2796,4.4853,4.483,0.0781,1.6434,1.4729,,3.9906,36.8117,3.8136,20.8406,15.5781,62.1451,12.7522,103.5062,23.0768,13.4112,,14.5514,3.8186,227.2127,,,722962771.68,6.87,6.21,227394677.32,40.1339,397.2219,-3.1819,0.0533,1.8288,98.4252,163.3246,1.1021,4.7398,0.2991,601.8054,0.3457,520.6827,0.5031,2.0766,1.6395,55.9977,-1499.456,,58.1152,,896.1383,72.072,,,40.7721,24.3169,71.1522,,6.4851,41.8848,6275994979.46,0.0323,0.0101,0.2536,0.0242,2.447,,,,21193400.81,,,,147619472.62,132487878.09,307095522.35,,8505636.94,5655468.97,,,7396625.03,3382026.25,4341594.13
2021-09-30,0.4733,0.4729,0.4729,,4.671,4.6682,0.4565,1.6637,1.6377,,5.7638,36.5063,5.6867,19.5426,14.5657,62.6123,12.4037,47.3298,10.1327,5.7638,,13.926,3.6394,241.2871,,,1132751801.53,10.13,9.78,349468879.97,13.8008,62.3498,-5.987,1.2806,2.931,92.1187,157.4895,1.7144,,0.4585,588.8768,0.5261,513.2104,0.7798,2.0458,1.6291,59.5237,-1494.3324,,56.8826,,,75.8008,,,,22.503,74.9341,,,43.1174,6677469692.48,0.1196,0.0556,0.9645,0.1289,13.0423,,,,20291546.23,,,,,,,,,,,,,,
2021-12-31,0.5564,0.56,0.56,0.5,4.764,4.7609,0.8217,1.6738,1.6927,,6.1378,35.1986,6.359,15.7287,11.8413,63.9732,10.5259,129.6708,27.219,14.3051,,14.1215,5.055,283.5491,,,1512911588.93,11.67,11.64,409378611.11,11.2607,34.1072,-6.8626,7.475,4.3411,82.9283,172.7945,2.0834,10.7777,0.6041,595.9278,0.69,521.7391,1.0701,1.8702,1.4206,58.0642,-1293.4472,,52.5557,,1030.5626,90.2743,,,38.439,22.832,89.5332,,5.0997,47.4443,7371099630.52,0.1555,0.0907,1.4769,0.1911,19.2653,,,,22908146.11,,,,158838663.91,108324667.08,348063647.39,,5015172.58,3221984.71,,,6178842.25,7830914.8,10387718.45
2022-03-31,0.1584,0.1585,0.1585,,4.9325,4.9295,-0.0659,1.6838,1.8512,,1.7448,34.7761,1.7462,19.9671,15.1671,64.1017,12.046,15.8405,3.2115,1.7448,,12.3515,0.3679,224.5126,,,371868549.77,3.22,3.27,127662335.69,32.5568,38.3497,-6.0617,5.4858,1.1358,79.2393,209.937,0.4287,,0.145,620.6897,0.1644,547.4453,0.2712,1.9525,1.4619,58.787,-1389.0927,,54.3309,,,84.0574,,,,21.4317,83.2899,,,45.6691,7382423099.73,-0.0501,-0.0073,-0.4161,-0.0159,-1.6043,,,,4077295.88,,,,,,,,,,,,,,
2022-06-30,0.3737,0.3737,0.3737,0.3598,4.6579,4.6547,-0.1592,1.6938,1.5664,,4.3586,33.5677,4.2375,20.2567,15.0399,65.4123,12.7145,113.8951,24.4521,13.2828,,10.7935,2.8793,214.5811,,,802358036.09,8.03,7.67,292604290.15,21.7071,21.3467,3.8481,11.1003,2.315,77.7538,180.5778,0.9968,6.3975,0.3333,540.054,0.381,472.4409,0.624,1.9169,1.4178,45.8851,-1174.3336,,54.3217,,1019.9729,84.0886,,,37.374,24.0663,83.4807,,5.3258,45.6783,6972646781.42,-0.0542,-0.0186,-0.4261,-0.0407,-4.0952,,,,49293603.4,,,,206808340.91,97968780.16,357811681.68,,6563139.97,2325018.87,,,9049496.64,6942676.52,11372630.08
