报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,2377751582.79,2377751582.79,,,,,,2252437674.04,1925698728.73,,,,,,,,,11232000.07,109243228.83,105682774.3,113510270.52,-12929328.41,2796054.06,,2629810.0,2629610.0,,,,,,,,21689809.09,1022941.43,57205.36,,15631.17,150729305.8,4323040.78,,3292269.89,,151760076.69,25195345.19,,126564731.5,126564731.5,,111046230.14,,15518501.36,,,,,,,,,,,,,,,,,,,,126564731.5,111046230.14,15518501.36,0.1101,0.1096,定期报告,未审计,20260411,CNY,合并期末,2026-04-10T21:16:03
20251231,14991906066.24,14991906066.24,,,,,,13670560173.17,11490215378.17,,,,,,,,,78668030.89,781179103.16,769522512.26,604557483.43,-53582334.74,11691851.39,,-783641.83,9796432.49,,,,,,,,170443045.37,-86693777.9,59559514.28,,1789710.31,1465660743.3,22396792.59,,7664864.52,,1480392671.37,168542763.32,,1311849908.05,1311849908.05,,1167210009.73,,144639898.32,-25290.69,-26045.23,-49526.29,,,-49526.29,,23481.06,23481.06,,,,,,,,,,754.54,1311824617.36,1167183964.5,144640652.86,1.1531,1.1526,定期报告,是,20260411,CNY,合并期末,2026-04-10T21:16:03
20250930,9453514648.58,9453514648.58,,,,,,8415277796.08,7195876245.89,,,,,,,,,44993865.4,486702441.63,410512795.57,316650267.94,-39457820.35,11189232.87,,7828201.97,7375582.84,,,,,,,,114014519.03,-19803136.63,-18207556.53,,447343.49,1122516223.83,10933301.69,,5548608.35,,1127900917.17,129406327.08,,998494590.09,998494590.09,,901434290.7,,97060299.39,-52201.48,-52201.48,-52201.48,,,-52201.48,,,,,,,,,,,,,,998442388.61,901382089.22,97060299.39,0.8908,0.8897,定期报告,未审计,20251028,CNY,合并期末,2025-10-27T18:44:05
20250630,6447195257.35,6447195257.35,,,,,,5700057285.45,4915915489.95,,,,,,,,,30081539.83,303953929.36,272687492.05,202672731.86,-25253897.6,7693865.07,,6934937.02,6515687.59,,,,,,,,80298886.45,-19803136.63,-18810376.2,,192956.61,795951239.15,7676579.0,,3052694.42,,800575123.73,90995049.17,,709580074.56,709580074.56,,633915377.07,,75664697.49,-52201.48,-52201.48,-52201.48,,,-52201.48,,,,,,,,,,,,,,709527873.08,633863175.59,75664697.49,0.6271,0.6265,定期报告,未审计,20250821,CNY,合并期末,2025-08-20T18:48:04
20250331,2348151832.86,2348151832.86,,,,,,2114398659.15,1797057288.64,,,,,,,,,10518453.15,98460302.48,111928585.46,109484336.74,-13050307.32,2664594.65,,395751.84,,,,,,,,,30369778.37,7095.04,-469025.0,,51726.72,264108500.68,3794886.58,,237884.47,,267665502.79,31342984.59,,236322518.2,236322518.2,,207580192.56,,28742325.64,,,,,,,,,,,,,,,,,,,,236322518.2,207580192.56,28742325.64,0.2054,0.2047,定期报告,未审计,20260411,CNY,合并期末,2025-04-10T19:56:03
20241231,17089133346.79,17089133346.79,,,,,,15767193852.42,13539026478.09,,,,,,,,,84444825.03,880891968.89,720403022.83,597103595.39,-54676037.81,8580865.16,,28823442.09,9057886.5,,,,,,,,240586273.67,-59439079.95,-141240988.81,,964015.34,1391633156.71,28287601.08,,6243246.62,,1413677511.17,121500007.55,,1292177503.62,1292177503.62,,1116925147.02,,175252356.6,473265.96,473265.96,473265.96,,-8086.5,481352.46,,,,,,,,,,,,,,1292650769.58,1117398412.98,175252356.6,1.1018,1.1018,定期报告,是,20260411,CNY,合并期末,2025-04-10T19:56:03
20240930,9586051242.34,9586051242.34,,,,,,8618112662.12,7482769824.97,,,,,,,,,44082605.18,445436417.58,367877400.68,321575978.95,-43629565.24,6043218.4,,6679765.59,4034004.07,,,,,,,,174781123.6,-26304632.2,-17634806.25,,632591.02,1106092621.98,20646035.32,,3932041.41,,1122806615.89,100199595.71,,1022607020.18,1022607020.18,,894693268.75,,127913751.43,494841.86,494841.86,494841.86,,,494841.86,,,,,,,,,,,,,,1023101862.04,895188110.61,127913751.43,0.8842,0.8827,定期报告,未审计,20251028,CNY,合并期末,2024-10-30T16:32:04
20240630,6835568793.06,6835568793.06,,,,,,6092214126.49,5406703415.2,,,,,,,,,28136400.39,263590344.83,220284761.12,202203590.39,-28704385.44,3727490.77,,4393252.1,4034004.07,,,,,,,,78632272.45,-26304632.2,-17192606.25,,42531.83,782925484.5,10760382.25,,2495151.97,,791190714.78,68269917.38,,722920797.4,722920797.4,,627858221.25,,95062576.15,52046.42,52046.42,52046.42,,,52046.42,,,,,,,,,,,,,,722972843.82,627910267.67,95062576.15,0.6195,0.6195,定期报告,未审计,20250821,CNY,合并期末,2024-08-29T17:42:03
20240331,2809529576.01,2809529576.01,,,,,,2561629169.45,2296227127.91,,,,,,,,,11696101.34,84250282.22,66336930.89,117826030.96,-14707303.87,1804609.23,,226186.31,,,,,,,,,46622996.67,,664400.0,,14687.9,295428677.44,7136518.83,,226660.71,,302338535.56,38792037.62,,263546497.94,263546497.94,,237156160.87,,26390337.07,-194528.16,-194528.16,-194528.16,,,-194528.16,,,,,,,,,,,,,,263351969.78,236961632.71,26390337.07,0.2352,0.2346,定期报告,未审计,20250411,CNY,合并期末,2024-04-29T21:27:04
20231231,17060896563.04,17060896563.04,,,,,,15924095279.45,13990345488.0,,,,,,,,,80171342.36,812950652.23,491617653.61,604415951.76,-55405808.51,3522885.22,,54901130.92,1068629.41,,,,,,,,126925850.67,-17264352.74,-86576741.32,,2354083.03,1217141254.15,21385450.86,,3262103.37,,1235264601.64,49246683.31,,1186017918.33,1186017918.33,,1005384610.79,,180633307.54,-230093.59,-230093.59,-230093.59,,,-230093.59,,,,,,,,,,,,,,1185787824.74,1005154517.2,180633307.54,0.9971,0.996,定期报告,是,20250411,CNY,合并期末,2024-04-10T20:37:03
