报告日,经营活动产生的现金流量,销售商品、提供劳务收到的现金,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,减少质押和定期存款所收到的现金,处置可供出售金融资产净增加额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,增加质押和定期存款所支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,3632031452.88,,,,,,,,,,,10043746.91,88695329.99,3730770529.78,2903779189.69,,,,,,355564309.19,133939573.07,531001601.48,3924284673.43,-193514143.65,,,,840398.46,,,,,840398.46,49410664.7,,,,,,49410664.7,-48570266.24,,,,,,,0.0,,1582975.0,,3365269.58,4948244.58,-4948244.58,-209599.32,-247242253.79,7470560376.92,,,,,7223318123.13,定期报告,未审计,20260411,CNY,合并期末,2026-04-10T21:16:04
20251231,,17239278841.66,,,,,,,,,,,155277931.45,575010890.59,17969567663.7,10851856780.32,,,,,,1718398990.73,608492636.47,2120436681.21,15299185088.73,2670382574.97,,,1275166.0,1396686.44,,,,,2671852.44,248448282.49,4500000.0,,,,,252948282.49,-250276430.05,,,,122300000.0,,,122300000.0,60000000.0,487537364.97,2631790.0,25618618.99,573155983.96,-450855983.96,399488.78,1969649649.74,5500910727.18,7470560376.92,5500910727.18,,,7470560376.92,定期报告,是,20260411,CNY,合并期末,2026-04-10T21:16:04
20250930,,11627818948.7,,,,,,,,,,,144203922.64,421426282.68,12193449154.02,7357986659.95,,,,,,958606584.66,413861603.0,1548121889.13,10278576736.74,1914872417.28,,,1254166.0,1177138.51,,,,,2431304.51,179546959.6,,,,,,179546959.6,-177115655.09,,,,,,,0.0,60000000.0,241315046.41,,18012418.63,319327465.04,-319327465.04,437779.0,1418867076.15,5500910727.18,,,,,6919777803.33,定期报告,未审计,20251028,CNY,合并期末,2025-10-27T18:44:14
20250630,,8111416992.71,,,,,,,,,,,124269870.63,244786907.52,8480473770.86,5456904758.65,,,,,,647906706.58,276274448.86,979824365.42,7360910279.51,1119563491.35,,,,870559.11,,,,,870559.11,107236311.25,,,,,,107236311.25,-106365752.14,,,,,,,0.0,,87176733.7,,7507206.43,94683940.13,-94683940.13,439855.99,918953655.07,5500910727.18,6419864382.25,5500910727.18,,,6419864382.25,定期报告,未审计,20250821,CNY,合并期末,2025-08-20T18:48:14
20250331,,3513280828.34,,,,,,,,,,,60881255.12,111499599.89,3685661683.35,2577057346.54,,,,,,345290819.84,125946076.69,474503944.74,3522798187.81,162863495.54,,,,71600.0,,,,,71600.0,55181452.56,,,,,,55181452.56,-55109852.56,,,,,,,0.0,,85846567.34,,1268743.85,87115311.19,-87115311.19,280174.92,20918506.71,5500910727.18,,,,,5521829233.89,定期报告,未审计,20260411,CNY,合并期末,2025-04-10T19:56:07
20241231,,15855232143.84,,,,,,,,,,,126652137.19,708033723.24,16689918004.27,10900088251.21,,,,,,1569485032.14,751360536.38,2170072977.92,15391006797.65,1298911206.62,,,723930.41,129293.0,,3469800.32,,,4323023.73,390063785.55,,,,,,390063785.55,-385740761.82,,,,218430294.5,,18136900.0,236567194.5,,571309302.69,79840259.02,21261181.6,592570484.29,-356003289.79,2182.29,557169337.3,4943741389.88,5500910727.18,4943741389.88,,,5500910727.18,定期报告,是,20260411,CNY,合并期末,2025-04-10T19:56:07
20240930,,10071021720.52,,,,,,,,,,,112437464.51,552120612.64,10735579797.67,7200886663.12,,,,,,867136070.02,358229999.33,1513495654.68,9939748387.15,795831410.52,,,723930.41,34703.76,,,,,758634.17,188290322.67,,,,,,188290322.67,-187531688.5,,,,60000000.0,,,60000000.0,,305986755.46,4360000.0,11451718.13,317438473.59,-257438473.59,,350861248.43,4943741389.88,,,,,5294602638.31,定期报告,未审计,20251028,CNY,合并期末,2024-10-30T16:30:06
20240630,,6449236551.86,,,,,,,,,,,65047257.29,328138358.21,6842422167.36,4743621421.98,,,,,,580862678.75,227170854.89,958630914.23,6510285869.85,332136297.51,,,723930.41,30203.76,,,,,754134.17,87112389.13,,,,,,87112389.13,-86358254.96,,,,,,,0.0,,301626755.46,,6054828.95,307681584.41,-307681584.41,,-61903541.86,4943741389.88,4881837848.02,4943741389.88,,,4881837848.02,定期报告,未审计,20250821,CNY,合并期末,2024-08-29T17:40:06
20240331,,3270161127.55,,,,,,,,,,,42333469.8,144010678.69,3456505276.04,2322152344.3,,,,,,318142148.09,144096626.37,411802579.72,3196193698.48,260311577.56,,,,10200.0,,,,,10200.0,26745590.32,,,,,,26745590.32,-26735390.32,,,,,,,0.0,,,,1249704.51,1249704.51,-1249704.51,,232326482.73,4943741389.88,,,,,5176067872.61,定期报告,未审计,20250411,CNY,合并期末,2024-04-29T21:30:05
20231231,,15404691568.2,,,,,,,,,,,156907627.67,960278395.27,16521877591.14,9577962648.23,,,,,,1432052709.48,722971363.49,2040727015.43,13773713736.63,2748163854.51,,,,2790859.89,,,,,2790859.89,212385594.15,329773389.24,,,,,542158983.39,-539368123.5,,183649910.0,56000000.0,,,,183649910.0,300000000.0,276332058.26,80846235.0,465860916.61,1042192974.87,-858543064.87,,1350252666.14,3593488723.74,4943741389.88,3593488723.74,,,4943741389.88,定期报告,是,20250411,CNY,合并期末,2024-04-10T20:40:02
