报告日,流动资产,货币资金,结算备付金,拆出资金,交易性金融资产,买入返售金融资产,衍生金融资产,应收票据及应收账款,应收票据,应收账款,应收款项融资,预付款项,应收股利,应收利息,应收保费,应收分保账款,应收分保合同准备金,应收出口退税,应收补贴款,应收保证金,内部应收款,其他应收款,其他应收款(合计),存货,划分为持有待售的资产,待摊费用,待处理流动资产损益,一年内到期的非流动资产,其他流动资产,流动资产合计,非流动资产,发放贷款及垫款,债权投资,其他债权投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,可供出售金融资产,长期股权投资,投资性房地产,长期应收款,其他权益工具投资,其他非流动金融资产,其他长期投资,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,在建工程合计,在建工程,工程物资,固定资产净额,固定资产清理,固定资产及清理合计,生产性生物资产,公益性生物资产,油气资产,合同资产,使用权资产,无形资产,开发支出,商誉,长期待摊费用,股权分置流通权,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,流动负债,短期借款,向中央银行借款,吸收存款及同业存放,拆入资金,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,合同负债,卖出回购金融资产款,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,应付保证金,内部应付款,其他应付款,其他应付款合计,其他应交款,担保责任赔偿准备金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,国际票证结算,国内票证结算,预提费用,预计流动负债,应付短期债券,划分为持有待售的负债,一年内的递延收益,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,应付债券：优先股,应付债券：永续债,租赁负债,长期应付职工薪酬,长期应付款,长期应付款合计,专项应付款,预计非流动负债,长期递延收益,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,所有者权益,实收资本(或股本),其他权益工具,优先股,永续债,资本公积,减:库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未确定的投资损失,未分配利润,拟分配现金股利,外币报表折算差额,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,7265905513.65,,,,,,6494321025.79,34246307.48,6460074718.31,590815920.6,984586667.54,,,,,,,,,,,253304195.13,3895098151.84,,,,103035350.84,504467986.09,20939385514.44,,,,,,,,350749284.77,,65776183.4,5140603.69,,,,,,,148809380.38,,,,,2015957855.2,,,,847850702.96,59169375.83,716687363.45,202858911.7,,6444257.83,,193424813.6,1091947709.17,4856965739.02,25796351253.46,,,,,,,,8410419377.73,822453219.62,7587966158.11,1026468.1,2578840077.09,,,29943548.77,54307676.31,,,,,,181597536.37,,,,,,,,,,,,,,129928501.46,324028878.81,11710092064.64,,275300000.0,,,,34277859.24,4078265.05,,67576388.01,,,185766045.05,107763.28,,567106320.63,12277198385.27,,1018622249.0,,,,667467168.15,76052392.78,-694656.29,83286491.4,539057897.68,,,10041156279.75,,,12272843036.91,1246309831.28,13519152868.19,25796351253.46,定期报告,未审计,20260411,CNY,合并期末,2026-04-10T21:16:04
20251231,,7527186625.2,,,,,,7140684156.25,40878502.51,7099805653.74,621486808.47,897257096.35,,,,,,,,,,211492669.3,211492669.3,3452811110.6,,,,93802944.82,488322903.53,21309173747.21,,,,,,,,348119674.77,,75999654.8,5140603.69,,,4119880108.23,2072757958.15,2047122150.08,11236359.15,122320045.54,122320045.54,,2035885790.93,,2035885790.93,,,,876129432.69,62695996.29,748475245.89,171860889.52,,7047545.63,,189147726.08,1175537568.49,4942230741.63,26251404488.84,,,,,,,,9207780094.24,937212050.26,8270568043.98,,2241753778.71,,,37902823.43,169678181.29,,,,,234945757.18,234945757.18,,,,,,,,,,,,,,120686664.56,278287794.46,12291035093.87,,275300000.0,,,,35027641.42,4415678.41,76958856.41,76958856.41,,,188478357.74,22496.42,,580203030.4,12871238124.27,,1018622249.0,,,,662820958.74,76052392.78,-694656.29,76729231.11,539057897.68,,,9930110049.61,,,12150593337.07,1229573027.5,13380166364.57,26251404488.84,定期报告,是,20260411,CNY,合并期末,2026-04-10T21:16:04
20250930,,6977979035.11,,,,,,7241300293.2,47439660.44,7193860632.76,770313691.82,1103739943.63,,,,,,,,,,,599283872.45,3423718137.86,,,,92003318.18,452390339.07,21528296133.79,,,,,,,,345675344.06,,89336358.73,637173.96,,,,,,,55253651.35,,,,,1926232967.84,,,,867567502.47,60487093.51,690838372.61,93819435.71,,6830333.57,,209458907.42,1295385973.28,4773955612.04,26302251745.83,,5395500.0,,,,,,9664939701.55,1153542059.2,8511397642.35,446401.33,2175625726.09,,,15474382.02,66554521.66,,245062095.26,,,,513709482.81,,,,,,,,,,,,,,119977344.0,258359284.42,12820482343.88,,153000000.0,,,,36010312.06,4623613.61,,86232893.44,,,165263250.99,9900944.39,,455031014.49,13275513358.37,,1018622249.0,,,,657842094.96,117226950.9,-720812.54,82227943.04,539057897.68,,,9664315271.58,,,11844117692.82,1182620694.64,13026738387.46,26302251745.83,定期报告,未审计,20251028,CNY,合并期末,2025-10-27T18:44:08
20250630,,6481698836.03,,,,,,8060928098.55,19048200.91,8041879897.64,641980117.22,1315429049.98,1254166.0,,,,,,,,,674779981.19,676034147.19,2934982617.21,,,,83443345.98,402349184.16,21492491363.64,,,,,,,,344815448.81,,98229778.01,637173.96,,,4013305689.54,2094803886.45,1918501803.09,10149519.32,72445519.06,72445519.06,,1908352283.77,,1908352283.77,,,,895645967.32,45462476.09,697354253.77,108441377.13,,7368845.08,,219910306.63,1199629130.57,4702646592.88,26195137956.52,,78136900.0,,,,,,9177036884.61,847425245.16,8329611639.45,845272.78,2585582501.7,,,15619190.3,104413480.14,,155442396.35,,,248569177.2,404011573.55,,,,,,,,,,,,,,108310230.53,298347587.13,12772303620.74,,153000000.0,,,,25567359.18,4944070.97,95432757.78,95432757.78,,,163999755.28,6873104.5,,449817047.71,13222120668.45,,1018749309.0,,,,654888697.39,118654470.0,-720812.54,79605075.92,539057897.68,,,9639156664.31,,,11812082361.76,1160934926.31,12973017288.07,26195137956.52,定期报告,未审计,20250821,CNY,合并期末,2025-08-20T18:48:07
20250331,,5574920468.61,,,,,,8009073470.58,231622331.2,7777451139.38,503979636.44,931997983.12,,,,,,,,,,,679185500.21,2962908006.16,,,,77134383.69,451850788.39,20076524696.11,,,,,,,,339553927.22,,107016390.04,689375.44,,,,,,,178367805.28,,,,,1801544827.53,,,,885474458.91,42883691.79,716188549.97,109726236.11,,7907356.57,,240533162.87,1233227577.51,4777638900.33,24854163596.44,,78136900.0,,,,,,8776842747.59,715251626.3,8061591121.29,1089714.79,2167376108.92,,,16678316.93,66022363.14,,,,,,252879717.47,,,,,,,,,,,,,,101153226.58,298206551.19,11758385646.61,,153000000.0,,,,23181814.22,4553186.1,,104559125.6,,900946.1,168606630.87,6507480.12,,461309183.01,12219694829.62,,1018874309.0,,,,648568171.35,126076610.0,-668611.06,72973328.13,539057897.68,,,9365523291.15,,,11518251776.25,1116216990.57,12634468766.82,24854163596.44,定期报告,未审计,20250411,CNY,合并期末,2025-04-10T19:56:07
20241231,,5554537046.95,,,,,,9029218238.33,234727753.55,8794490484.78,383509179.85,936791377.9,,,,,,,,,,641228280.49,641228280.49,2644362782.43,,,,69113632.72,446678857.27,20591189699.51,,,,,,,,339553927.22,,116915830.42,689375.44,,,3829181571.73,2049855967.07,1779325604.66,12747624.78,209446724.7,209446724.7,,1766577979.88,,1766577979.88,,,,885750303.57,47911238.98,742606386.86,110831978.43,,8458368.07,,242582708.32,1087854445.01,4673428963.33,25264618662.84,,78178566.67,,,,,,9732392715.61,902541684.82,8829851030.79,,1713252096.39,,,24400438.54,170067407.24,,84566567.65,,,220425577.63,304992145.28,,,,,,,,,,,,,,97634629.31,287805887.81,12408723886.85,,153462223.2,,,,24675421.39,5056338.62,113612666.91,113612666.91,,900946.1,169055350.66,7290683.2,,474053630.08,12882777516.93,,1018874309.0,,,,639889830.31,126076610.0,-668611.06,66251394.06,539057897.68,,,9157943098.58,,,11295271308.57,1086569837.34,12381841145.91,25264618662.84,定期报告,是,20260411,CNY,合并期末,2025-04-10T19:56:07
20240930,,5345689866.63,,,,,,7249516066.69,225582459.05,7023933607.64,466411190.39,972803383.78,,,,,,,,,,,664162000.18,3377337333.79,,,,60216750.62,82784164.47,19153199215.07,,,,,,,,334538131.29,,124289704.55,3168298.12,,,,,,,191018871.67,,,,,1710223867.5,,,,934278458.52,47174543.9,732992742.25,79046187.59,,6889495.74,,236463988.11,959398873.83,4425204704.55,23578403919.62,,60000000.0,,,,,,8198899926.02,1188772488.88,7010127437.14,480646.11,1887345307.59,,,3861585.45,89226811.82,,,,,,214387721.16,,,,,,,,,,,,,,83968276.2,256044131.55,10794214405.9,,,,,,23639926.28,4662145.11,,122594045.61,,,172101523.36,7154550.05,,330152190.41,11124366596.31,,1018874309.0,,,,631205982.7,126076610.0,-1002807.67,68528710.68,533784397.68,,,9214413314.9,,,11339727297.29,1114310026.02,12454037323.31,23578403919.62,定期报告,未审计,20241031,CNY,合并期末,2024-10-30T16:30:06
20240630,,4941795368.07,,,,,,7791672288.89,441062279.67,7350610009.22,257896543.73,713096933.08,,,,,,,,,,670701271.27,670701271.27,2813708449.32,,,,49354306.67,109352213.6,18255576483.02,,,,,,,,334538131.29,,133726668.46,2725502.68,,,3747383195.13,2014826698.4,1732556496.73,8179834.34,135830159.94,135830159.94,,1724376662.39,,1724376662.39,,,,907999108.39,33976382.07,751832381.27,67164562.99,,6787108.69,,245979823.39,912560200.11,4349497583.28,22605074066.3,,,,,,,,8040223427.2,850279287.29,7189944139.91,771864.75,1485660830.95,,,3670755.24,114839886.05,,,,,213819085.95,213819085.95,,,,,,,,,,,,,,69340783.86,208013348.35,10136339982.35,,,,,,13753389.15,4733446.77,131503919.55,131503919.55,,,169305556.65,5142243.52,,324438555.64,10460778537.99,,1019009309.0,,,,624241610.12,127649900.0,-1445603.11,63530622.48,533784397.68,,,8947578267.4,,,11059048703.57,1085246824.74,12144295528.31,22605074066.3,定期报告,未审计,20240830,CNY,合并期末,2024-08-29T17:40:05
20240331,,5238179989.04,,,,,,7580085850.06,263251276.0,7316834574.06,503324199.57,554661974.6,,,,,,,,,,,638714315.81,2757022531.41,,,,42455909.64,161523760.27,18224174267.61,,,,,,,,331228057.63,,142342461.3,2478928.1,,,,,,,110174868.75,,,,,1737862259.11,,,,748205737.21,39157413.78,771442604.01,55744554.67,,5909534.51,,242264439.95,717720071.98,4156325193.79,22380499461.4,,,,,,,,7493053604.59,336111060.7,7156942543.89,1564627.5,1950005272.42,,,3640079.78,76879878.86,,,,,,204099546.34,,,,,,,,,,,,,,63012155.63,274812812.07,10067067977.19,,,,,,18671856.71,5039946.8,,140342940.56,,,170493004.31,5925939.17,,340473687.55,10407541664.74,,1019009309.0,,,,615720189.29,127649900.0,-1692177.69,59479757.96,533784397.68,,,8858502962.48,,,10957154538.72,1015803257.94,11972957796.66,22380499461.4,定期报告,未审计,20240430,CNY,合并期末,2024-04-29T21:30:05
20231231,,5015936284.1,,,,,,7465906018.82,240597947.54,7225308071.28,827485409.16,430978363.59,,,,,,,,,,618063864.0,618063864.0,2708435233.16,,,,34960449.17,73855066.88,17829319103.39,,,,,,,,331228057.63,,151629686.93,2673456.26,,,3706175551.78,1937099726.32,1769075825.46,8179834.34,101189670.64,101189670.64,,1760895991.12,,1760895991.12,,,,653698414.51,40891515.8,796436518.44,55698903.64,,6248074.8,,246454536.92,580432930.6,4073779342.78,21903098446.17,,,,,,,,7814658866.76,539536280.76,7275122586.0,,1362182280.06,,,10744541.56,194265551.89,,,,,223100745.69,223100745.69,,,,,,,,,,,,,,53883166.95,198194712.03,9857029864.94,,,,,,19459272.75,4450633.65,149111754.56,149111754.56,,,173517811.98,6192595.38,,352732068.32,10209761933.26,,1019009309.0,,,,606979972.62,127649900.0,-1497649.53,53029023.54,533784397.68,,,8621346801.61,,,10705001954.92,988334557.99,11693336512.91,21903098446.17,定期报告,是,20250411,CNY,合并期末,2024-04-29T21:30:05
