报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
1994,5549.07万,False,False,False,2.84亿,False,False,1.32,False,False,False,19.54%,42.57%,False,47.85%,False,False,False,False,1.39,1.39,0.0000,1.55,60.74%
1995,5753.03万,3.68%,False,False,2.85亿,0.35%,False,1.61,False,False,False,20.18%,48.22%,False,40.72%,False,False,False,False,1.47,1.47,0.0000,1.64,62.13%
1996,6512.22万,13.20%,False,False,3.37亿,18.29%,False,1.93,False,False,False,19.31%,50.05%,False,38.32%,False,False,False,False,1.47,1.47,0.0000,1.55,60.73%
1997,8970.42万,37.75%,False,False,3.54亿,5.01%,0.7100,5.12,2.88,0.86,False,25.34%,42.96%,False,12.69%,333.45,3.03,118.87,214.58,5.05,4.49,3.51,0.19,16.19%
1998,1.05亿,17.20%,False,False,4.52亿,27.63%,0.8000,5.72,2.88,1.34,0.09,24.45%,42.04%,13.99%,13.99%,296.91,3.32,108.38,188.53,3.46,2.91,1.87,0.28,22.06%
1999,1.95亿,85.76%,False,False,7.40亿,63.76%,0.9100,5.41,2.90,1.11,0.46,26.36%,47.34%,False,15.08%,112.44,3.20,112.44,False,2.74,2.22,2.16,0.41,28.67%
2000,1.92亿,-1.82%,2.01亿,False,9.79亿,32.35%,0.5320,3.72,1.56,0.83,0.16,21.24%,43.05%,14.55%,14.29%,109.16,3.30,109.16,False,2.17,1.73,1.74,0.46,30.96%
2001,1.71亿,-10.87%,1.69亿,-15.81%,12.22亿,24.74%,0.4520,3.83,1.57,0.85,0.27,14.01%,39.47%,11.85%,11.79%,364.70,3.25,110.81,253.90,1.70,1.39,2.20,0.75,42.24%
2002,1.51亿,-11.54%,1.51亿,-10.55%,12.88亿,5.43%,0.3997,4.12,1.57,1.07,0.27,12.29%,33.37%,9.90%,9.71%,379.88,2.89,124.50,255.37,1.85,1.44,2.33,0.72,41.06%
2003,1.69亿,11.63%,1.64亿,8.13%,15.27亿,18.54%,0.4462,4.55,1.58,1.40,0.38,13.15%,35.25%,10.05%,9.81%,366.15,2.87,125.64,240.51,1.97,1.43,2.37,0.72,39.92%
2004,1.44亿,-14.66%,1.26亿,-23.04%,17.02亿,11.49%,0.3800,4.83,1.57,1.57,0.53,10.37%,31.34%,8.04%,7.88%,361.99,2.49,144.81,217.18,1.62,1.02,1.79,0.93,46.44%
2005,1.17亿,-18.88%,9960.66万,-20.91%,18.27亿,7.32%,0.3089,5.02,1.57,1.58,0.34,8.81%,25.55%,6.20%,6.15%,349.00,2.28,158.04,190.96,1.56,0.98,1.67,1.02,48.36%
2006,1.30亿,11.05%,1.29亿,29.11%,23.75亿,30.02%,0.3430,5.36,1.57,1.81,0.32,7.60%,29.67%,6.52%,6.31%,324.78,2.27,158.60,166.18,1.48,0.90,0.90,1.24,53.28%
