报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,1518934346.19,1518934346.19,,,,,,1413658103.1,1056419648.75,,,,,,,,,9332993.99,135436687.28,150273063.33,74656642.48,-12460932.73,935703.12,,677258.05,870775.08,,,,123901578.6,,,,28681892.64,1988585.65,-1894887.34,,50429.41,258681100.1,221101.0,,507989.18,,258394211.92,35772101.76,,222622110.16,222622110.16,,235825663.52,,-13203553.36,2686702.22,2686702.22,,,,,,2686702.22,,,,,,,,,2686702.22,,,225308812.38,238512365.74,-13203553.36,0.1759,0.1759,定期报告,未审计,20260429,CNY,合并期末,2026-04-28T19:20:09
20251231,8377482887.4,8377482887.4,,,,,,7594092164.45,5676209551.08,,,,,,,,,62754817.54,681631509.0,824429947.55,429157260.46,-80090921.18,4279671.65,,14817004.11,12238682.11,,,,178717950.76,,,,159286490.16,-39499526.32,-67777417.47,,-41854.82,1028893369.37,1182886.63,,3274086.66,,1026802169.34,99388583.11,,927413586.23,927413586.23,,911992429.9,,15421156.33,-2815134.69,-2815134.69,-4283000.0,,,-4283000.0,,1467865.31,,,,,,,,,1467865.31,,,924598451.54,909177295.21,15421156.33,0.6802,0.6802,定期报告,是,20260424,CNY,合并期末,2026-04-23T18:42:04
20250930,5164644598.68,5164644598.68,,,,,,4742113069.82,3505539433.0,,,,,,,,,43439659.34,475673125.53,512746132.43,263157362.62,-58442643.1,2621480.11,,8393634.83,7299320.27,,,,,,,,106309114.91,1703074.36,-19453910.08,,-35466.55,519447976.33,763745.04,,5949094.72,,514262626.65,64036817.89,,450225808.76,450225808.76,,495015157.26,,-44789348.5,2006305.28,2006305.28,,,,,,2006305.28,,,,,,,,,2006305.28,,,452232114.04,497021462.54,-44789348.5,0.3692,0.3692,定期报告,未审计,20251025,CNY,合并期末,2025-10-24T16:50:03
20250630,3162131520.83,3162131520.83,,,,,,2897521891.83,2116079062.99,,,,,,,,,30165911.93,301796278.93,315256704.0,167701119.03,-33477185.05,1682867.05,,3604474.6,2824929.63,,,,,,,,53938510.0,2351882.45,-10934765.31,,-671.64,313569059.1,614793.85,,2121988.4,,312061864.55,32412850.39,,279649014.16,279649014.16,,302390576.91,,-22741562.75,-21748.45,-21748.45,,,,,,-21748.45,,,,,,,,,-21748.45,,,279627265.71,302368828.46,-22741562.75,0.2255,0.2255,定期报告,未审计,20250823,CNY,合并期末,2025-08-22T16:20:04
20250331,1405755105.03,1405755105.03,,,,,,1309982623.46,967133266.01,,,,,,,,,14572801.48,132710002.03,145228913.28,71602223.68,-21264583.02,770699.28,,1662334.25,1691877.24,,,,,,,,21988971.5,-676777.44,-19946.52,,,118727063.36,450918.66,,2302637.11,,116875344.91,15847559.3,,101027785.61,101027785.61,,120901962.86,,-19874177.25,-530210.56,-530210.56,,,,,,-530210.56,,,,,,,,,-530210.56,,,100497575.05,120371752.3,-19874177.25,0.0902,0.0902,定期报告,未审计,20260429,CNY,合并期末,2025-04-28T16:50:06
20241231,7544804479.9,7544804479.9,,,,,,6809163290.85,5001748985.08,,,,,,,,,69308821.61,627597080.52,813191031.2,388418911.6,-91101539.16,5062243.13,,10866934.49,10113547.94,,,,926875.9,,,,144830980.63,-56477556.75,-26776889.01,,24001.9,809035536.21,4069880.67,,3118785.01,,809986631.87,67139609.95,,742847021.92,742847021.92,,683908676.75,,58938345.17,3206216.29,3206216.29,2638000.0,,,2638000.0,,568216.29,,,,,,,,,568216.29,,,746053238.21,687114893.04,58938345.17,0.5101,0.5101,定期报告,是,20260424,CNY,合并期末,2025-04-22T19:36:31
20240930,4630797259.92,4630797259.92,,,,,,4273366339.58,3112757998.81,,,,,,,,,40128310.97,428070344.97,508300739.47,240175362.75,-56066417.39,4464318.68,,8947107.92,8051580.54,,,,,,,,94685815.04,1049692.8,-26152866.79,,82713.97,436043383.28,3248600.22,,2451662.99,,436840320.51,45146047.98,,391694272.53,391694272.53,,421187396.33,,-29493123.8,627520.53,627520.53,,,,,,627520.53,,,,,,,,,627520.53,,,392321793.06,421814916.86,-29493123.8,0.3141,0.3141,定期报告,未审计,20251025,CNY,合并期末,2024-10-22T16:37:09
20240630,2818723830.19,2818723830.19,,,,,,2581830338.41,1905470025.85,,,,,,,,,24069994.99,254265385.23,292280826.2,142899498.29,-37155392.15,2679207.83,,5460780.82,4802361.65,,,,,,,,43105441.74,-154427.13,-17993754.53,,-372.12,267311160.56,2834791.99,,1824871.01,,268321081.54,27310690.43,,241010391.11,241010391.11,,252730053.15,,-11719662.04,-261297.16,-261297.16,,,,,,-261297.16,,,,,,,,,-261297.16,,,240749093.95,252468755.99,-11719662.04,0.1885,0.1885,定期报告,未审计,20250823,CNY,合并期末,2024-08-22T18:32:02
20240331,1277506859.47,1277506859.47,,,,,,1195443020.48,866792605.29,,,,,,,,,10647596.19,120381762.89,143042189.33,72655103.78,-18076237.0,992569.85,,1163273.89,721777.27,,,,-125455.0,,,,20447775.98,-57002.65,-4742991.76,,-428.75,98749010.7,547439.72,,437258.88,,98859191.54,9721798.59,,89137392.95,89137392.95,,101407763.96,,-12270371.01,-32769.01,-32769.01,,,,,,-32769.01,,,,,,,,,-32769.01,,,89104623.94,101374994.95,-12270371.01,0.0756,0.0756,定期报告,未审计,20250429,CNY,合并期末,2024-04-26T18:37:13
20231231,6478071293.63,6478071293.63,0.0,0.0,0.0,,,5930114825.71,4311217206.95,0.0,,0.0,0.0,0.0,0.0,0.0,,62701150.02,549813185.19,698358066.53,367737242.13,-59712025.11,10393677.89,0.0,13325796.86,13541663.75,0.0,0.0,0.0,49907897.07,,,,128295610.09,-23457675.52,-51736731.81,,23450.07,664314814.68,1675570.64,,4413193.7,,661577191.62,56198627.69,,605378563.93,605378563.93,,541303704.72,,64074859.21,-1197442.78,-1197442.78,-999000.0,0.0,0.0,-999000.0,0.0,-198442.78,0.0,,0.0,0.0,0.0,,0.0,,-198442.78,,0.0,604181121.15,540106261.94,64074859.21,0.4037,0.4037,定期报告,是,20250423,CNY,合并期末,2024-04-18T20:37:22
