报告日,经营活动产生的现金流量,销售商品、提供劳务收到的现金,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,减少质押和定期存款所收到的现金,处置可供出售金融资产净增加额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,增加质押和定期存款所支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,1766341747.77,,,,,,,,,,,25303221.93,114679184.87,1906324154.57,1279432934.78,,,,,,655506337.8,113208473.36,237501363.72,2285649109.66,-379324955.09,,10000000.0,2061499.11,63590.45,,,,,12125089.56,38998245.56,,,,,,38998245.56,-26873156.0,,,,26892980.88,,,26892980.88,123290000.0,5864910.12,5512475.06,1399029.75,130553939.87,-103660958.99,-3552201.58,-513411271.66,4220475938.78,,,,,3707064667.12,定期报告,未审计,20260429,CNY,合并期末,2026-04-28T19:20:10
20251231,,8534164107.69,,,,,,,,,,,122331258.69,142628560.96,8799123927.34,4985782170.36,,,,,,1670397472.86,546741834.04,787955398.34,7990876875.6,808247051.74,,377171480.0,4539211.39,573944.34,,,,,382284635.73,225504856.23,456096397.48,,,,,681601253.71,-299316617.98,,,,353262689.06,,9400.0,353272089.06,392876491.0,118772012.24,7221000.0,8988426.77,520636930.01,-167364840.95,-3897320.95,337668271.86,3882807666.92,4220475938.78,3882807666.92,,,4220475938.78,定期报告,是,20260424,CNY,合并期末,2026-04-23T18:42:03
20250930,,5496375190.82,,,,,,,,,,,78966894.28,109020508.62,5684362593.72,3698942984.31,,,,,,1323307721.24,432678961.89,584197487.84,6039127155.28,-354764561.56,,328171480.0,4401987.33,548840.17,,,,,333122307.5,63739225.13,337764000.0,,,,,401503225.13,-68380917.63,,,,300689561.28,,1153947.39,301843508.67,264865000.0,117256884.61,7221000.0,7461300.9,389583185.51,-87739676.84,-1844795.98,-512729952.01,3882807666.92,,,,,3370077714.91,定期报告,未审计,20251025,CNY,合并期末,2025-10-24T16:50:21
20250630,,3361746414.7,,,,,,,,,,,55261571.45,70645345.45,3487653331.6,2390227551.54,,,,,,934067435.56,339516048.78,374881260.87,4038692296.75,-551038965.15,,257000000.0,2184509.65,8746.15,,,,,259193255.8,25129512.15,267764000.0,,,,,292893512.15,-33700256.35,,,,155944214.48,,1153947.39,157098161.87,240220000.0,8035055.16,7221000.0,3929527.48,252184582.64,-95086420.77,-737938.22,-680563580.49,3882807666.92,3202244086.43,3882807666.92,,,3202244086.43,定期报告,未审计,20250823,CNY,合并期末,2025-08-22T16:20:04
20250331,,1731277700.42,,,,,,,,,,,19395715.72,25493457.69,1776166873.83,1121927701.94,,,,,,588410258.56,192670116.63,192059282.36,2095067359.49,-318900485.66,,85000000.0,235706.97,1354.93,,,,,85237061.9,12755366.9,216000000.0,,,,,228755366.9,-143518305.0,,,,21671491.0,,895063.2,22566554.2,121511630.0,440140.01,,2126489.42,124078259.43,-101511705.23,-56290.27,-563986786.16,3882807666.92,,,,,3318820880.76,定期报告,未审计,20260429,CNY,合并期末,2025-04-28T16:50:12
20241231,,8123262104.97,,,,,,,,,,,90970229.81,93841433.9,8308073768.68,4394887620.0,,,,,,1463341819.52,510976068.58,898784904.91,7267990413.01,1040083355.67,,287000000.0,1309331.39,551646.82,351238.31,,,,289212216.52,110887315.78,276900000.0,,,,,387787315.78,-98575099.26,,,,463324030.47,,,463324030.47,492512210.0,170498478.96,12331504.52,14341452.22,677352141.18,-214028110.71,1498504.31,728978650.01,3153829016.91,3882807666.92,3153829016.91,,,3882807666.92,定期报告,是,20260424,CNY,合并期末,2025-04-22T19:36:34
20240930,,5329540178.42,,,,,,,,,,,58751892.98,119648451.62,5507940523.02,3109073179.13,,,,,,1152757111.97,344292178.19,786618792.29,5392741261.58,115199261.44,,206000000.0,875735.73,269939.74,351068.0,,,,207496743.47,37686537.84,217000000.0,,,,,254686537.84,-47189794.37,,,,346162624.87,,,346162624.87,299695117.53,116212479.26,6932160.0,11949733.94,427857330.73,-81694705.86,-994318.26,-14679557.05,3153829016.91,,,,,3139149459.86,定期报告,未审计,20251025,CNY,合并期末,2024-10-22T16:35:14
20240630,,3216527664.27,,,,,,,,,,,25882953.33,69503968.2,3311914585.8,1961320260.68,,,,,,820866074.43,237250692.41,470356868.27,3489793895.79,-177879309.99,,166064273.97,625664.49,174939.74,351068.0,,,,167215946.2,22880281.3,178000000.0,,,,,200880281.3,-33664335.1,,,,217434352.36,,,217434352.36,246174765.45,7872783.07,6932160.0,4076661.07,258124209.59,-40689857.23,439459.96,-251794042.36,3153829016.91,2902034974.55,3153829016.91,,,2902034974.55,定期报告,未审计,20250823,CNY,合并期末,2024-08-22T18:30:05
20240331,,1687301471.79,,,,,,,,,,,19853764.99,40707609.18,1747862845.96,1018347941.78,,,,,,521243722.85,127988770.39,217227872.99,1884808308.01,-136945462.05,,83000000.0,259089.74,30200.68,351068.0,,,,83640358.42,12945882.53,102000000.0,,,,,114945882.53,-31305524.11,,,,39499227.52,,,39499227.52,129801013.57,319338.14,,2912867.82,133033219.53,-93533992.01,47824.84,-261737153.33,3153829016.91,,,,,2892091863.58,定期报告,未审计,20250429,CNY,合并期末,2024-04-26T18:35:06
20231231,,7440180311.02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,91339436.14,143071440.29,7674591187.45,4043994256.93,0.0,0.0,0.0,0.0,0.0,1272547580.34,400109774.67,698969659.02,6415621270.96,1258969916.49,,216639599.1,5859360.8,39719.11,0.0,0.0,,,222538679.01,153393180.35,175710000.0,,0.0,,0.0,329103180.35,-106564501.34,,,,413534167.76,,,413534167.76,448907375.05,111238618.59,8878739.19,65652327.3,625798320.94,-212264153.18,-620034.61,939521227.36,2214307789.55,3153829016.91,2214307789.55,,,3153829016.91,定期报告,是,20250423,CNY,合并期末,2024-04-18T20:35:10
20230930,,4705462153.9,,,,,,,,,,,71377429.0,79238424.36,4856078007.26,2802033837.21,,,,,,999336111.77,264951215.93,582919661.77,4649240826.68,206837180.58,,169575349.36,3635501.13,40438.98,,100000.0,,,173351289.47,78148873.83,125710000.0,,,,895777.78,204754651.61,-31403362.14,,,,318230949.33,,,318230949.33,332634622.72,106717338.44,5274294.0,62136808.15,501488769.31,-183257819.98,-849967.05,-8673968.59,2214307789.55,,,,,2205633820.96,定期报告,未审计,20241023,CNY,合并期末,2023-10-27T17:05:21
20230630,,2952230120.59,,,,,,,,,,,44341061.44,65307627.07,3061878809.1,1823882610.6,,,,,,712029821.75,197296925.55,386279164.92,3119488522.82,-57609713.72,,129065349.36,3323724.29,40438.98,,,,,132429512.63,50746911.97,105200000.0,,,,480000.0,156426911.97,-23997399.34,,,,205937099.34,,,205937099.34,270336504.05,6867450.64,5259259.2,36585954.72,313789909.41,-107852810.07,1272210.11,-188187713.02,2214307789.55,2026120076.53,2214307789.55,,,2026120076.53,定期报告,未审计,20240823,CNY,合并期末,2023-08-17T17:40:05
20230331,,1489375699.74,,,,,,,,,,,23422926.39,28440780.03,1541239406.16,902399555.27,,,,,,451817536.95,115992181.6,198504060.82,1668713334.64,-127473928.48,,99816253.08,3309513.5,4517.0,,,,,103130283.58,22733437.09,50000000.0,,0.0,,480000.0,73213437.09,29916846.49,,,,54294710.0,,,54294710.0,107649004.05,444806.72,,37550091.71,145643902.48,-91349192.48,6985548.89,-181920725.58,2214307789.55,,,,,2032387063.97,定期报告,未审计,20240427,CNY,合并期末,2023-04-27T16:35:04
