报告日,流动资产,货币资金,结算备付金,拆出资金,交易性金融资产,买入返售金融资产,衍生金融资产,应收票据及应收账款,应收票据,应收账款,应收款项融资,预付款项,应收股利,应收利息,应收保费,应收分保账款,应收分保合同准备金,应收出口退税,应收补贴款,应收保证金,内部应收款,其他应收款,其他应收款(合计),存货,划分为持有待售的资产,待摊费用,待处理流动资产损益,一年内到期的非流动资产,其他流动资产,流动资产合计,非流动资产,发放贷款及垫款,债权投资,其他债权投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,可供出售金融资产,长期股权投资,投资性房地产,长期应收款,其他权益工具投资,其他非流动金融资产,其他长期投资,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,在建工程合计,在建工程,工程物资,固定资产净额,固定资产清理,固定资产及清理合计,生产性生物资产,公益性生物资产,油气资产,合同资产,使用权资产,无形资产,开发支出,商誉,长期待摊费用,股权分置流通权,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,流动负债,短期借款,向中央银行借款,吸收存款及同业存放,拆入资金,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,合同负债,卖出回购金融资产款,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,应付保证金,内部应付款,其他应付款,其他应付款合计,其他应交款,担保责任赔偿准备金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,国际票证结算,国内票证结算,预提费用,预计流动负债,应付短期债券,划分为持有待售的负债,一年内的递延收益,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,应付债券：优先股,应付债券：永续债,租赁负债,长期应付职工薪酬,长期应付款,长期应付款合计,专项应付款,预计非流动负债,长期递延收益,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,所有者权益,实收资本(或股本),其他权益工具,优先股,永续债,资本公积,减:库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未确定的投资损失,未分配利润,拟分配现金股利,外币报表折算差额,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,4009424992.75,,,,,,1761516239.43,36496888.51,1725019350.92,115400710.14,330934647.46,30246.77,,,,,,,,,,222912307.44,4618270083.09,,,,,284498102.44,11512567061.57,,,,,,,,119062180.65,106144922.29,,10233000.0,755550431.39,,,,,,54939198.4,,,,,991986581.68,,,,169609978.82,16101736.07,186822746.91,14580177.68,,47659604.09,,125132471.72,116835836.09,2545048886.97,14057615948.54,,127107026.04,,,,,,2354773361.43,416698864.67,1938074496.76,8836769.11,3764504109.18,,,523761262.34,73703984.81,,,,,,325120639.48,,,,,,,,,,,,,,7072323.51,4351315.54,7189230791.44,,,,,,7263747.32,,,,,92461563.87,31137539.24,72685832.48,30598240.29,234146923.2,7423377714.64,,1340727007.0,,,,1152305597.92,,-3425161.85,,186796669.29,,,3475574008.79,,,6151978121.15,482260112.75,6634238233.9,14057615948.54,定期报告,未审计,20260429,CNY,合并期末,2026-04-28T19:20:12
20251231,,4559246359.87,,,10000000.0,,,1847165948.85,25605803.7,1821560145.15,103651919.35,292409983.03,3740919.6,,,,,,,,,234712771.51,238453691.11,4166383818.32,,,,,213812281.1,11614238522.53,,,,,,,,118191405.57,108337971.21,,10233000.0,631648852.79,,1661071921.7,668718378.56,992353543.14,4699824.17,34434364.31,34434364.31,,987653718.97,,987653718.97,,,,183114520.9,18224206.66,185960501.28,15584603.9,,44906221.5,,124918831.74,121635487.03,2401729164.96,14015967687.49,,223504045.16,,,,,,2263937777.1,361957937.51,1901979839.59,8739661.76,3624420544.44,,,787910919.13,126750746.88,,5512475.06,,,333817456.39,339329931.45,,,,,,,,,,,,,,7781863.15,3499403.86,7385874892.93,,,,,,9124056.08,,,,,93564074.76,33097193.27,54779808.64,30598240.29,221163373.04,7607038265.97,,1340727007.0,,,,1152305597.92,,-6111864.07,,186796669.29,,,3239748345.27,,,5913465755.41,495463666.11,6408929421.52,14015967687.49,定期报告,是,20260429,CNY,合并期末,2026-04-23T18:42:05
20250930,,3660203353.16,,,43000000.0,,,1744476238.86,52105316.41,1692370922.45,126539092.95,363932059.35,2018553.88,,,,,,,,,,258185009.72,4659752589.58,,,,,305243218.85,11330317042.95,,,,,,,,111386582.98,109591015.81,,14516000.0,352930904.55,,,,,,21775075.64,,,,,964751918.77,,,,168985480.48,19517673.93,129125196.69,9950574.69,,28057044.23,,78141619.05,95437357.37,1935180963.71,13265498006.66,,298666936.16,,,,,,2190375514.9,334133909.96,1856241604.94,8933876.47,3651174240.04,,,532004289.06,61475388.63,,,,,,356323727.05,,,,,,,,,,,,,,8469403.69,5177129.36,7112600505.36,,,,,,7791637.83,,,,,108641714.68,31204908.04,27313463.6,35870218.07,210821942.22,7323422447.58,,1340727007.0,,,,1152305597.92,,-1290424.1,,130747442.08,,,2878820299.84,,,5501309922.74,440765636.34,5942075559.08,13265498006.66,定期报告,未审计,20251025,CNY,合并期末,2025-10-24T16:50:04
20250630,,3433013105.82,,,35000000.0,,,1592381821.67,49256108.94,1543125712.73,94675842.38,305049414.88,,,,,,,,,,272271694.63,272271694.63,4495322307.91,,,,,293019997.79,10729878269.18,,,,,,,,112204726.58,110842374.63,,14516000.0,360930904.55,,1611615799.64,638167963.54,973447836.1,4699824.17,3673458.67,3673458.67,,968748011.93,,968748011.93,,,,209144084.1,14165525.26,123907559.61,8485928.81,,29297853.8,,89665640.14,91425414.59,1927863398.57,12657741667.75,,178364536.16,,,,,,1971703684.2,244010541.4,1727693142.8,9380570.29,3564187177.59,,,492744315.88,46899139.88,,60332715.32,,,284493297.48,344826012.8,,,,,,,,,,,,,,7414691.76,13398619.8,6628918748.36,,,,,,5269647.25,,,,,107461131.16,34440953.2,26604382.24,35969282.6,209745396.45,6838664144.81,,1340727007.0,,,,1152305510.85,,-3318477.83,,130747442.08,,,2735802618.75,,,5356264100.85,462813422.09,5819077522.94,12657741667.75,定期报告,未审计,20250823,CNY,合并期末,2025-08-22T16:20:06
20250331,,3552476520.76,,,155000000.0,,,1285792373.08,45662033.78,1240130339.3,117465189.21,309205651.17,,,,,,,,,,,284539148.67,4160954769.15,,,,,295265780.31,10406397826.61,,,,,,,,109307674.19,112093733.43,,14516000.0,362930904.55,,,,,,2153956.34,,,,,971548348.2,,,,245698394.26,14626165.55,126378420.01,7207149.36,,30948759.17,,82298704.45,77867161.58,1911876976.83,12318274803.44,,162696491.0,,,,,,1840287881.66,243324829.16,1596963052.5,4772288.91,3631517475.35,,,428085567.61,61020336.98,,,,,,260087489.91,,,,,,,,,,,,,,5908279.49,15797985.43,6410173796.34,,,,,,7370245.61,,,,,103271921.58,27136916.43,26761780.04,36067995.84,200608859.5,6610782655.84,,1340727007.0,,,,1152302352.45,,-3826939.94,,130747442.08,,,2614646720.02,,,5234596581.61,472895565.99,5707492147.6,12318274803.44,定期报告,未审计,20250429,CNY,合并期末,2025-04-28T16:50:12
20241231,,4120516405.45,,,35000000.0,,,1590231924.96,47392319.06,1542839605.9,104227111.06,320146323.91,,,,,,,,,,238771161.22,238771161.22,3824736041.11,,,,,184413479.1,10699333455.8,,,,,,,,96615796.95,113345092.25,,14516000.0,362930904.55,,1594377735.39,607835041.27,986542694.12,5046080.33,2215538.36,2215538.36,,981496613.79,,981496613.79,,,,281291008.99,14680099.85,131045089.98,6169611.21,,30689381.13,,82827425.25,93938097.65,1930469650.97,12629803106.77,,262015000.0,,,,,,1960114485.17,275625607.12,1684488878.05,5665674.81,3503093578.02,,,676155955.74,143384772.17,,,,,257390073.0,257390073.0,,,,,,,,,,,,,,5639313.73,6760538.4,6820219391.04,,,,,,7122781.77,,,,,101743839.05,30793520.01,26758459.25,36170543.1,202589143.18,7022808534.22,,1340727007.0,,,,1152302352.45,,-3296729.38,,130747442.08,,,2493744757.16,,,5114224829.31,492769743.24,5606994572.55,12629803106.77,定期报告,是,20260424,CNY,合并期末,2025-04-22T19:36:29
20240930,,3359754927.44,,,61000000.0,,,1395933735.09,56420776.45,1339512958.64,137184311.23,288695035.85,,,,,,,,,,,268344976.51,4342319846.69,,,,,149472219.03,10245745581.28,,,,,,,,92942338.45,114628168.45,,11878000.0,362004028.65,,,,,,12655265.8,,,,,984934255.62,,,,243040529.44,13131080.45,128985367.64,4562485.55,,26010211.78,,61112000.86,69629878.63,1882473081.88,12128218663.16,,335545000.0,,,,,,1917153361.85,277234627.54,1639918734.31,5090565.21,3648337638.71,,,432555894.14,77447990.0,,,,,,204191239.73,,,,,,,,,,,,,,3443257.13,2961909.83,6626726856.6,,,,,,7270425.54,,,,,95147279.55,28064717.1,26572863.54,36167202.51,193222488.24,6819949344.84,,1340727007.0,,,,1152302299.59,,-5875425.14,,101904466.06,,,2309473352.02,,,4898531699.53,409737618.79,5308269318.32,12128218663.16,定期报告,未审计,20241023,CNY,合并期末,2024-10-22T16:35:06
20240630,,3081055788.47,,,62000000.0,,,1315980001.11,25197614.2,1290782386.91,106179504.31,211655127.7,,,,,,,,,,155486357.48,155486357.48,4163718953.99,,,,,171492533.1,9509857033.53,,,,,,,,89693119.56,115933100.16,,11878000.0,362004028.65,,1446490687.03,576741150.31,869749536.72,5046902.21,103728753.96,103728753.96,,864702634.51,,864702634.51,,,,242288767.37,11543833.0,117121177.93,18916109.7,,24652965.85,,67688317.77,70985296.45,1858847337.54,11368704371.07,,261220000.0,,,,,,1833062063.86,185937056.95,1647125006.91,4931365.21,3244212737.39,,,367279032.73,50462650.73,,107258160.56,,,146888291.86,254146452.42,,,,,,,,,,,,,,3675051.49,2317954.89,6021307308.72,,,,,,6209580.31,,,,,91675417.25,29839654.0,26709585.06,36266206.52,190700443.14,6212007751.86,,1340727007.0,,,,1152302299.59,,-6764242.83,,101904466.06,,,2141016008.84,,,4729185538.66,427511080.55,5156696619.21,11368704371.07,定期报告,未审计,20240823,CNY,合并期末,2024-08-22T18:30:06
20240331,,3039982231.12,,,69000000.0,,,1277323132.34,15748730.28,1261574402.06,135014415.33,186662736.51,,,,,,,,,,,92307009.44,3967800969.07,,,,2068240.66,197210459.73,9218433559.57,,,,,,,,85691057.35,117078963.36,,11878000.0,362004028.65,,,,,,103626251.88,,,,,866651364.72,,,,251064365.37,16434822.82,121177217.48,18026886.62,,24705776.78,,67884211.5,88027052.62,1883185633.78,11101619193.35,,197320000.0,,,,,82920.0,1866484006.08,101604855.04,1764879151.04,4417633.86,3160924894.07,,,340394722.93,44404137.53,,,,,,164910956.33,,,,,,,,,,,,,,8670368.68,2175280.18,5789784919.66,,,,,,6753093.69,,,,,90660555.57,32402339.2,26230810.49,36466482.81,192513281.76,5982298201.42,,1340727007.0,,,,1152380821.76,,-6535714.68,,101904466.06,,,2096951880.21,,,4685428460.35,433892531.58,5119320991.93,11101619193.35,定期报告,未审计,20240427,CNY,合并期末,2024-04-26T18:35:06
20231231,,3311601904.87,0.0,0.0,50000000.0,0.0,42535.0,1486809308.46,17343974.84,1469465333.62,84187728.06,161001235.5,0.0,0.0,0.0,0.0,0.0,,,,,78885908.01,78885908.01,3641667229.55,0.0,,,2068504.79,166074625.62,9240025188.0,,,,,,,,84890757.91,118350527.48,,11878000.0,362004028.65,,1430488127.47,549320084.18,881168043.29,5060456.87,101262719.55,101262719.55,,876107586.42,,876107586.42,0.0,,0.0,257686208.14,11483736.5,125595280.49,16546191.27,0.0,24895947.23,,68458705.95,100835855.18,1902309336.63,11142334524.63,,287612210.0,0.0,0.0,0.0,0.0,0.0,1687974462.07,137334313.58,1550640148.49,4564888.33,3064773697.31,0.0,0.0,521985478.62,140787085.97,0.0,0.0,,,206184698.07,206184698.07,,,0.0,,0.0,0.0,,,,,,0.0,,4737733.14,2348904.44,5920969157.95,,,,,,5272345.58,0.0,,0.0,,90228646.32,33037027.81,26144496.17,36466482.81,191148998.69,6112118156.64,,1340727007.0,0.0,0.0,0.0,1152380821.76,0.0,-6502945.67,0.0,101904466.06,0.0,,1995544116.25,,,4584053465.4,446162902.59,5030216367.99,11142334524.63,定期报告,是,20250423,CNY,合并期末,2024-04-18T20:35:10
